Parameter S1 S1_conf ST ST_conf
a_neg 0.417802 0.486621 93.938302 110.602575
a_pos 0.186553 0.224739 15.627922 21.857117
l_neg -0.000011 0.000255 0.000763 0.001041
l_sep -0.000060 0.000062 0.003286 0.004717
l_pos 0.004255 0.005195 0.009343 0.009657
Rp_neg 0.000001 0.000002 0.000000 0.000000
Rp_pos 0.000001 0.000001 0.000000 0.000000
epsilon_f_neg -0.000004 0.000005 0.000000 0.000000
epsilon_f_pos -0.000015 0.000012 0.000000 0.000000
epsilon_neg 0.027839 0.024631 0.594093 0.587815
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.048329 0.097880 0.322635 0.133463
Cdl_neg 0.209816 0.229449 6.253243 7.503951
Cdl_pos 0.276871 0.324813 2.641595 2.712817
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000071 0.000105 0.000346 0.000487
D -0.000034 0.000038 0.000053 0.000075
Ds_neg 0.000001 0.000002 0.000000 0.000000
Ds_pos -0.000001 0.000001 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000004 0.000004 0.000000 0.000000
dUdcp_neg_mag 0.000001 0.000002 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.010624 0.010602 0.037611 0.028551
i0_pos -0.003186 0.040776 2.258559 2.626146
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000150 0.000136 0.006717 0.009632
aa_neg 0.012473 0.020803 0.041423 0.029856
aa_pos 0.027185 0.020832 2.357231 2.164745
kappa_0 0.001435 0.026794 0.652003 0.706370
sigma_neg 0.000027 0.000041 0.000000 0.000000
sigma_pos 0.000073 0.000071 0.000008 0.000007

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.512164 0.537155
a_neg l_neg -0.413069 0.500556
a_neg l_sep -0.412885 0.500529
a_neg l_pos -0.415163 0.500775
a_neg Rp_neg -0.412872 0.500527
a_neg Rp_pos -0.412883 0.500529
a_neg epsilon_f_neg -0.412886 0.500529
a_neg epsilon_f_pos -0.412948 0.500537
a_neg epsilon_neg -0.302206 0.530153
a_neg epsilon_sep -0.412886 0.500529
a_neg epsilon_pos -0.402833 0.500176
a_neg Cdl_neg 0.662625 1.238457
a_neg Cdl_pos -0.414481 0.500882
a_neg cs_max_neg -0.412886 0.500529
a_neg cs_max_pos -0.412886 0.500529
a_neg c0 -0.412887 0.500529
a_neg D -0.412885 0.500529
a_neg Ds_neg -0.412872 0.500527
a_neg Ds_pos -0.412886 0.500529
a_neg d2Udcp2_pos_sgn -0.412886 0.500529
a_neg d2Udcp2_neg_sgn -0.412886 0.500529
a_neg d3Udcp3_pos_sgn -0.412886 0.500529
a_neg d3Udcp3_neg_sgn -0.412886 0.500529
a_neg dUdcp_pos_mag -0.412894 0.500530
a_neg dUdcp_neg_mag -0.412872 0.500527
a_neg d2Udcp2_pos_mag -0.412886 0.500529
a_neg d2Udcp2_neg_mag -0.412886 0.500529
a_neg d3Udcp3_pos_mag -0.412886 0.500529
a_neg d3Udcp3_neg_mag -0.412886 0.500529
a_neg i0_neg -0.403173 0.499711
a_neg i0_pos -0.407644 0.499894
a_neg SOC_neg -0.412886 0.500529
a_neg SOC_pos -0.412886 0.500529
a_neg tP -0.412886 0.500530
a_neg aa_neg -0.392811 0.494489
a_neg aa_pos -0.403400 0.498429
a_neg kappa_0 -0.392410 0.494885
a_neg sigma_neg -0.412897 0.500531
a_neg sigma_pos -0.412456 0.500495
a_pos l_neg -0.186248 0.224175
a_pos l_sep -0.185888 0.224138
a_pos l_pos -0.185420 0.224504
a_pos Rp_neg -0.185360 0.224019
a_pos Rp_pos -0.185361 0.224019
a_pos epsilon_f_neg -0.185360 0.224019
a_pos epsilon_f_pos -0.185357 0.224019
a_pos epsilon_neg -0.190906 0.227299
a_pos epsilon_sep -0.185360 0.224019
a_pos epsilon_pos -0.196031 0.227330
a_pos Cdl_neg -0.170931 0.222223
a_pos Cdl_pos -0.210372 0.273429
a_pos cs_max_neg -0.185360 0.224019
a_pos cs_max_pos -0.185360 0.224019
a_pos c0 -0.185669 0.224027
a_pos D -0.185560 0.224047
a_pos Ds_neg -0.185360 0.224019
a_pos Ds_pos -0.185360 0.224019
a_pos d2Udcp2_pos_sgn -0.185360 0.224019
a_pos d2Udcp2_neg_sgn -0.185360 0.224019
a_pos d3Udcp3_pos_sgn -0.185360 0.224019
a_pos d3Udcp3_neg_sgn -0.185360 0.224019
a_pos dUdcp_pos_mag -0.185362 0.224020
a_pos dUdcp_neg_mag -0.185360 0.224019
a_pos d2Udcp2_pos_mag -0.185360 0.224019
a_pos d2Udcp2_neg_mag -0.185360 0.224019
a_pos d3Udcp3_pos_mag -0.185360 0.224019
a_pos d3Udcp3_neg_mag -0.185360 0.224019
a_pos i0_neg -0.185942 0.224100
a_pos i0_pos -0.099276 0.240555
a_pos SOC_neg -0.185360 0.224019
a_pos SOC_pos -0.185360 0.224019
a_pos tP -0.186349 0.224212
a_pos aa_neg -0.186691 0.224242
a_pos aa_pos -0.194623 0.226947
a_pos kappa_0 -0.130346 0.219685
a_pos sigma_neg -0.185361 0.224020
a_pos sigma_pos -0.185358 0.224018
l_neg l_sep -0.000109 0.000337
l_neg l_pos -0.000109 0.000337
l_neg Rp_neg -0.000109 0.000337
l_neg Rp_pos -0.000109 0.000337
l_neg epsilon_f_neg -0.000109 0.000337
l_neg epsilon_f_pos -0.000109 0.000337
l_neg epsilon_neg 0.000359 0.000850
l_neg epsilon_sep -0.000109 0.000337
