Parameter S1 S1_conf ST ST_conf
a_neg 0.031882 0.042479 0.049634 0.076256
a_pos 0.151052 0.180461 0.422439 0.167425
l_neg 0.000029 0.000053 0.000016 0.000034
l_sep 0.000005 0.000007 0.000000 0.000000
l_pos -0.000558 0.000655 0.000000 0.000000
Rp_neg 0.000433 0.000840 0.000208 0.000403
Rp_pos -0.001467 0.001150 0.000009 0.000011
epsilon_f_neg -0.000006 0.000011 0.000000 0.000000
epsilon_f_pos -0.000002 0.000008 0.000000 0.000000
epsilon_neg 0.082055 0.133604 0.086692 0.095502
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.009319 0.043761 3.887779 2.316563
Cdl_neg -0.000239 0.000455 0.000121 0.000140
Cdl_pos 0.001409 0.002880 0.000303 0.000615
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000078 0.000125 0.000002 0.000004
D -0.000088 0.000134 0.000000 0.000000
Ds_neg -0.000184 0.001796 0.002271 0.004557
Ds_pos -0.005238 0.008131 0.000135 0.000166
d2Udcp2_pos_sgn -0.001947 0.002064 0.000011 0.000013
d2Udcp2_neg_sgn 0.000437 0.001288 0.000270 0.000805
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.004114 0.005246 0.000267 0.000468
dUdcp_neg_mag 0.000331 0.000520 0.000012 0.000020
d2Udcp2_pos_mag -0.004998 0.008445 0.000119 0.000156
d2Udcp2_neg_mag -0.000341 0.001800 0.003384 0.006896
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.003731 0.008528 0.043808 0.054285
i0_pos 0.216173 0.239740 0.516092 0.217665
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000074 0.000162 0.000004 0.000008
aa_neg 0.017276 0.024244 0.077767 0.095819
aa_pos 0.019396 0.035146 0.511919 0.292426
kappa_0 0.279817 0.554846 6.564704 11.177319
sigma_neg 0.000017 0.000034 0.000000 0.000000
sigma_pos 0.000004 0.000030 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.029566 0.062010
a_neg l_neg -0.013956 0.066233
a_neg l_sep -0.014029 0.066224
a_neg l_pos -0.014071 0.066266
a_neg Rp_neg -0.013727 0.066270
a_neg Rp_pos -0.013639 0.065453
a_neg epsilon_f_neg -0.014028 0.066219
a_neg epsilon_f_pos -0.014027 0.066217
a_neg epsilon_neg 0.031680 0.104897
a_neg epsilon_sep -0.014025 0.066219
a_neg epsilon_pos -0.025803 0.052321
a_neg Cdl_neg -0.013796 0.066560
a_neg Cdl_pos -0.015414 0.066457
a_neg cs_max_neg -0.014025 0.066219
a_neg cs_max_pos -0.014025 0.066219
a_neg c0 -0.013947 0.066143
a_neg D -0.013945 0.066131
a_neg Ds_neg -0.013446 0.066370
a_neg Ds_pos -0.007662 0.061916
a_neg d2Udcp2_pos_sgn -0.013997 0.066222
a_neg d2Udcp2_neg_sgn -0.013942 0.066217
a_neg d3Udcp3_pos_sgn -0.014025 0.066219
a_neg d3Udcp3_neg_sgn -0.014025 0.066219
a_neg dUdcp_pos_mag -0.014525 0.069878
a_neg dUdcp_neg_mag -0.014084 0.066237
a_neg d2Udcp2_pos_mag -0.008740 0.061072
a_neg d2Udcp2_neg_mag -0.013242 0.066420
a_neg d3Udcp3_pos_mag -0.014025 0.066219
a_neg d3Udcp3_neg_mag -0.014025 0.066219
a_neg i0_neg -0.022812 0.060696
a_neg i0_pos 0.000235 0.065990
a_neg SOC_neg -0.014025 0.066219
a_neg SOC_pos -0.014025 0.066219
a_neg tP -0.013912 0.066121
a_neg aa_neg -0.005789 0.070029
a_neg aa_pos -0.007654 0.075859
a_neg kappa_0 0.266092 0.529649
a_neg sigma_neg -0.014013 0.066220
a_neg sigma_pos -0.013995 0.066233
a_pos l_neg 0.030645 0.417542
a_pos l_sep 0.030654 0.417547
a_pos l_pos 0.031227 0.417229
a_pos Rp_neg 0.029404 0.416737
a_pos Rp_pos 0.029284 0.413946
a_pos epsilon_f_neg 0.030657 0.417553
a_pos epsilon_f_pos 0.030618 0.417487
a_pos epsilon_neg 0.017694 0.409932
a_pos epsilon_sep 0.030654 0.417547
a_pos epsilon_pos -0.114546 0.207960
a_pos Cdl_neg 0.030969 0.417647
a_pos Cdl_pos 0.028526 0.413971
a_pos cs_max_neg 0.030654 0.417547
a_pos cs_max_pos 0.030654 0.417547
