Parameter S1 S1_conf ST ST_conf
a_neg 0.041877 0.102469 0.047077 0.113105
a_pos -0.023278 0.081005 0.613753 0.247246
l_neg 0.000049 0.000174 0.000027 0.000095
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos -0.000038 0.000171 0.000001 0.000003
Rp_neg 0.000114 0.000379 0.000002 0.000007
Rp_pos -0.001451 0.003733 0.000087 0.000244
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos -0.000007 0.000019 0.000000 0.000000
epsilon_neg 0.028760 0.094381 0.104222 0.207252
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.004226 0.073228 5.667408 2.879921
Cdl_neg -0.004047 0.008175 0.046332 0.095407
Cdl_pos -0.005412 0.022246 0.013848 0.019012
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000009 0.000029 0.000000 0.000001
D -0.000002 0.000007 0.000000 0.000000
Ds_neg 0.000031 0.000336 0.000044 0.000179
Ds_pos 0.000114 0.000293 0.000001 0.000001
d2Udcp2_pos_sgn 0.000001 0.000012 0.000000 0.000000
d2Udcp2_neg_sgn 0.000006 0.000025 0.000001 0.000004
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000634 0.001840 0.000022 0.000062
dUdcp_neg_mag 0.000080 0.000234 0.000003 0.000010
d2Udcp2_pos_mag -0.000049 0.000120 0.000000 0.000000
d2Udcp2_neg_mag 0.000010 0.000031 0.000001 0.000002
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.002573 0.007330 0.010800 0.027422
i0_pos -0.003092 0.007655 0.588742 0.281445
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000013 0.000035 0.000000 0.000001
aa_neg 0.008543 0.031785 0.055212 0.115496
aa_pos 0.008685 0.039506 0.733199 0.366977
kappa_0 0.434279 1.243109 10.729961 27.937608
sigma_neg 0.000003 0.000010 0.000000 0.000000
sigma_pos 0.000028 0.000078 0.000000 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.022823 0.107535
a_neg l_neg 0.000198 0.132056
a_neg l_sep 0.000125 0.131990
a_neg l_pos 0.000118 0.131987
a_neg Rp_neg 0.000100 0.131961
a_neg Rp_pos -0.001010 0.129676
a_neg epsilon_f_neg 0.000127 0.131992
a_neg epsilon_f_pos 0.000119 0.131980
a_neg epsilon_neg 0.020881 0.192145
a_neg epsilon_sep 0.000125 0.131990
a_neg epsilon_pos -0.036048 0.104940
a_neg Cdl_neg 0.009253 0.152811
a_neg Cdl_pos -0.008479 0.120412
a_neg cs_max_neg 0.000125 0.131990
a_neg cs_max_pos 0.000125 0.131990
a_neg c0 0.000114 0.132006
a_neg D 0.000128 0.131986
a_neg Ds_neg 0.000099 0.131972
a_neg Ds_pos 0.000227 0.132159
a_neg d2Udcp2_pos_sgn 0.000124 0.131990
a_neg d2Udcp2_neg_sgn 0.000127 0.131992
a_neg d3Udcp3_pos_sgn 0.000125 0.131990
a_neg d3Udcp3_neg_sgn 0.000125 0.131990
a_neg dUdcp_pos_mag 0.000794 0.133030
a_neg dUdcp_neg_mag 0.000144 0.132003
a_neg d2Udcp2_pos_mag 0.000166 0.131923
a_neg d2Udcp2_neg_mag 0.000136 0.132000
a_neg d3Udcp3_pos_mag 0.000125 0.131990
a_neg d3Udcp3_neg_mag 0.000125 0.131990
a_neg i0_neg -0.002138 0.130384
a_neg i0_pos 0.004567 0.133831
a_neg SOC_neg 0.000125 0.131990
a_neg SOC_pos 0.000125 0.131990
a_neg tP 0.000113 0.132011
a_neg aa_neg 0.003267 0.140409
a_neg aa_pos 0.015326 0.152124
a_neg kappa_0 0.441580 1.297253
a_neg sigma_neg 0.000129 0.131994
a_neg sigma_pos 0.000144 0.132024
a_pos l_neg 0.209091 0.589891
a_pos l_sep 0.209103 0.589898
a_pos l_pos 0.209088 0.589863
a_pos Rp_neg 0.208961 0.589751
a_pos Rp_pos 0.200896 0.566982
a_pos epsilon_f_neg 0.209103 0.589900
a_pos epsilon_f_pos 0.209063 0.589785
a_pos epsilon_neg 0.204960 0.583924
a_pos epsilon_sep 0.209102 0.589898
a_pos epsilon_pos 0.049482 0.146426
a_pos Cdl_neg 0.214325 0.593496
a_pos Cdl_pos 0.158701 0.449605
a_pos cs_max_neg 0.209102 0.589898
a_pos cs_max_pos 0.209102 0.589898
a_pos c0 0.209084 0.589849
a_pos D 0.209103 0.589900
a_pos Ds_neg 0.209046 0.589828
a_pos Ds_pos 0.209723 0.591629
a_pos d2Udcp2_pos_sgn 0.209101 0.589897
a_pos d2Udcp2_neg_sgn 0.209102 0.589898
a_pos d3Udcp3_pos_sgn 0.209102 0.589898
a_pos d3Udcp3_neg_sgn 0.209102 0.589898
a_pos dUdcp_pos_mag 0.213244 0.601464
a_pos dUdcp_neg_mag 0.209104 0.589912
a_pos d2Udcp2_pos_mag 0.209103 0.589900
a_pos d2Udcp2_neg_mag 0.209101 0.589897
a_pos d3Udcp3_pos_mag 0.209102 0.589898
a_pos d3Udcp3_neg_mag 0.209102 0.589898
a_pos i0_neg 0.212675 0.595693
a_pos i0_pos 0.214259 0.609416
a_pos SOC_neg 0.209102 0.589898
a_pos SOC_pos 0.209102 0.589898
a_pos tP 0.209101 0.589899
a_pos aa_neg 0.207033 0.578427
a_pos aa_pos 0.283299 0.798253
a_pos kappa_0 2.995188 8.383084
a_pos sigma_neg 0.209102 0.589901
a_pos sigma_pos 0.209267 0.590338
l_neg l_sep -0.000011 0.000188
l_neg l_pos -0.000011 0.000188
l_neg Rp_neg -0.000011 0.000188
l_neg Rp_pos -0.000011 0.000188
l_neg epsilon_f_neg -0.000011 0.000188
l_neg epsilon_f_pos -0.000011 0.000188
l_neg epsilon_neg -0.000025 0.000174
l_neg epsilon_sep -0.000011 0.000188
l_neg epsilon_pos -0.000010 0.000190
l_neg Cdl_neg -0.000015 0.000187
l_neg Cdl_pos -0.000011 0.000188
l_neg cs_max_neg -0.000011 0.000188
l_neg cs_max_pos -0.000011 0.000188
l_neg c0 -0.000011 0.000188
l_neg D -0.000011 0.000188
l_neg Ds_neg -0.000011 0.000188
l_neg Ds_pos -0.000011 0.000188
l_neg d2Udcp2_pos_sgn -0.000011 0.000188
l_neg d2Udcp2_neg_sgn -0.000011 0.000188
l_neg d3Udcp3_pos_sgn -0.000011 0.000188
l_neg d3Udcp3_neg_sgn -0.000011 0.000188
l_neg dUdcp_pos_mag -0.000011 0.000188
l_neg dUdcp_neg_mag -0.000011 0.000188
l_neg d2Udcp2_pos_mag -0.000011 0.000188
l_neg d2Udcp2_neg_mag -0.000011 0.000188
l_neg d3Udcp3_pos_mag -0.000011 0.000188
l_neg d3Udcp3_neg_mag -0.000011 0.000188
l_neg i0_neg -0.000020 0.000175
l_neg i0_pos -0.000010 0.000186
l_neg SOC_neg -0.000011 0.000188
l_neg SOC_pos -0.000011 0.000188
l_neg tP -0.000011 0.000188
l_neg aa_neg 0.000013 0.000272
l_neg aa_pos -0.000009 0.000194
l_neg kappa_0 -0.000039 0.000174
l_neg sigma_neg -0.000011 0.000188
l_neg sigma_pos -0.000011 0.000188
l_sep l_pos 0.000000 0.000000
l_sep Rp_neg 0.000000 0.000000
l_sep Rp_pos 0.000000 0.000000
l_sep epsilon_f_neg 0.000000 0.000000
l_sep epsilon_f_pos 0.000000 0.000000
l_sep epsilon_neg 0.000000 0.000000
l_sep epsilon_sep 0.000000 0.000000
l_sep epsilon_pos 0.000000 0.000000
