Parameter S1 S1_conf ST ST_conf
a_neg 0.044908 0.083506 0.184897 0.161323
a_pos 0.266531 0.551873 6.781819 13.428344
l_neg 0.000040 0.000063 0.000000 0.000000
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos -0.001076 0.002200 0.000103 0.000213
Rp_neg 0.000027 0.000044 0.000004 0.000011
Rp_pos 0.000002 0.000131 0.000000 0.000001
epsilon_f_neg -0.000006 0.000012 0.000000 0.000000
epsilon_f_pos -0.000018 0.000022 0.000000 0.000000
epsilon_neg 0.064229 0.097985 0.174252 0.214711
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.167756 0.260480 1.903664 1.620504
Cdl_neg 0.061821 0.192873 0.461938 0.662906
Cdl_pos -0.004375 0.055174 1.766860 5.110057
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000000 0.000005 0.000000 0.000000
D 0.000000 0.000003 0.000000 0.000000
Ds_neg -0.000005 0.000060 0.000010 0.000025
Ds_pos 0.000053 0.000129 0.000000 0.000000
d2Udcp2_pos_sgn 0.000002 0.000005 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000025 0.000047 0.000000 0.000000
dUdcp_neg_mag -0.000108 0.000189 0.000005 0.000012
d2Udcp2_pos_mag 0.000044 0.000102 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000346 0.006786 0.025283 0.039292
i0_pos 0.007980 0.017097 0.648616 0.576490
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000000 0.000007 0.000000 0.000000
aa_neg 0.047971 0.053825 0.031592 0.027533
aa_pos 0.007955 0.015232 0.269879 0.220218
kappa_0 0.137936 0.315736 4.162614 7.611751
sigma_neg 0.000066 0.000110 0.000000 0.000000
sigma_pos 0.000010 0.000055 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.169056 0.449872
a_neg l_neg 0.046293 0.117332
a_neg l_sep 0.046306 0.117322
a_neg l_pos 0.047121 0.117267
a_neg Rp_neg 0.046473 0.117343
a_neg Rp_pos 0.046212 0.117327
a_neg epsilon_f_neg 0.046318 0.117324
a_neg epsilon_f_pos 0.046296 0.117319
a_neg epsilon_neg 0.524901 0.845769
a_neg epsilon_sep 0.046306 0.117322
a_neg epsilon_pos 0.042436 0.115525
a_neg Cdl_neg 0.280621 0.568467
a_neg Cdl_pos 0.037734 0.116709
a_neg cs_max_neg 0.046306 0.117322
a_neg cs_max_pos 0.046306 0.117322
a_neg c0 0.046306 0.117321
a_neg D 0.046305 0.117322
a_neg Ds_neg 0.046044 0.117286
a_neg Ds_pos 0.046252 0.117338
a_neg d2Udcp2_pos_sgn 0.046305 0.117322
a_neg d2Udcp2_neg_sgn 0.046306 0.117322
a_neg d3Udcp3_pos_sgn 0.046306 0.117322
a_neg d3Udcp3_neg_sgn 0.046306 0.117322
a_neg dUdcp_pos_mag 0.046276 0.117320
a_neg dUdcp_neg_mag 0.046493 0.117303
a_neg d2Udcp2_pos_mag 0.046276 0.117336
a_neg d2Udcp2_neg_mag 0.046306 0.117322
a_neg d3Udcp3_pos_mag 0.046306 0.117322
a_neg d3Udcp3_neg_mag 0.046306 0.117322
a_neg i0_neg 0.049076 0.119058
a_neg i0_pos 0.045270 0.117707
a_neg SOC_neg 0.046306 0.117322
a_neg SOC_pos 0.046306 0.117322
a_neg tP 0.046303 0.117321
a_neg aa_neg 0.070271 0.146743
a_neg aa_pos 0.052228 0.119830
a_neg kappa_0 0.201204 0.367376
a_neg sigma_neg 0.046388 0.117364
a_neg sigma_pos 0.046353 0.117352
a_pos l_neg -0.224808 0.547178
a_pos l_sep -0.224809 0.547179
a_pos l_pos -0.224747 0.547040
a_pos Rp_neg -0.224815 0.547182
a_pos Rp_pos -0.224985 0.547222
a_pos epsilon_f_neg -0.224809 0.547179
a_pos epsilon_f_pos -0.224813 0.547179
a_pos epsilon_neg -0.252407 0.569399
a_pos epsilon_sep -0.224809 0.547179
a_pos epsilon_pos -0.256898 0.586009
a_pos Cdl_neg -0.225201 0.547334
a_pos Cdl_pos -0.245732 0.565000
a_pos cs_max_neg -0.224809 0.547179
a_pos cs_max_pos -0.224809 0.547179
