Parameter S1 S1_conf ST ST_conf
a_neg 0.339793 0.595825 30.154862 54.055304
a_pos 0.274646 0.476123 23.775843 44.419451
l_neg 0.000044 0.000072 0.000003 0.000004
l_sep 0.000000 0.000002 0.000001 0.000001
l_pos -0.003110 0.006060 0.004063 0.007724
Rp_neg 0.000011 0.000019 0.000000 0.000000
Rp_pos 0.000011 0.000014 0.000000 0.000000
epsilon_f_neg -0.000006 0.000010 0.000000 0.000000
epsilon_f_pos -0.000016 0.000019 0.000000 0.000000
epsilon_neg 0.031494 0.040308 0.339014 0.449266
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.096718 0.184265 0.559664 0.565519
Cdl_neg 0.281444 0.459270 5.225865 7.336100
Cdl_pos 0.210485 0.348539 2.133128 3.168961
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000016 0.000023 0.000000 0.000000
D -0.000001 0.000002 0.000000 0.000000
Ds_neg 0.000010 0.000017 0.000000 0.000000
Ds_pos -0.000010 0.000013 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000001 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000033 0.000053 0.000000 0.000000
dUdcp_neg_mag 0.000008 0.000018 0.000000 0.000000
d2Udcp2_pos_mag 0.000001 0.000001 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.019945 0.019243 0.048978 0.046985
i0_pos 0.027358 0.065458 3.822857 6.305359
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000026 0.000029 0.000000 0.000000
aa_neg 0.024359 0.038779 0.035950 0.032892
aa_pos 0.022918 0.028750 2.450887 2.615597
kappa_0 0.007205 0.051756 0.959854 1.346014
sigma_neg 0.000047 0.000083 0.000000 0.000000
sigma_pos 0.000055 0.000077 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.486811 0.763300
a_neg l_neg -0.319208 0.611327
a_neg l_sep -0.319205 0.611326
a_neg l_pos -0.316730 0.610389
a_neg Rp_neg -0.319090 0.611281
a_neg Rp_pos -0.319186 0.611319
a_neg epsilon_f_neg -0.319201 0.611324
a_neg epsilon_f_pos -0.319252 0.611344
a_neg epsilon_neg -0.125865 0.661274
a_neg epsilon_sep -0.319205 0.611326
a_neg epsilon_pos -0.305540 0.606902
a_neg Cdl_neg 0.892336 1.594514
a_neg Cdl_pos -0.334419 0.620740
a_neg cs_max_neg -0.319205 0.611326
a_neg cs_max_pos -0.319205 0.611326
a_neg c0 -0.319202 0.611323
a_neg D -0.319205 0.611325
a_neg Ds_neg -0.319106 0.611287
a_neg Ds_pos -0.319203 0.611324
a_neg d2Udcp2_pos_sgn -0.319205 0.611326
a_neg d2Udcp2_neg_sgn -0.319205 0.611326
a_neg d3Udcp3_pos_sgn -0.319205 0.611326
a_neg d3Udcp3_neg_sgn -0.319205 0.611326
a_neg dUdcp_pos_mag -0.319265 0.611347
a_neg dUdcp_neg_mag -0.319090 0.611281
a_neg d2Udcp2_pos_mag -0.319205 0.611325
a_neg d2Udcp2_neg_mag -0.319205 0.611326
a_neg d3Udcp3_pos_mag -0.319205 0.611326
a_neg d3Udcp3_neg_mag -0.319205 0.611326
a_neg i0_neg -0.305632 0.612225
a_neg i0_pos -0.315053 0.608077
a_neg SOC_neg -0.319205 0.611326
a_neg SOC_pos -0.319205 0.611326
a_neg tP -0.319205 0.611325
a_neg aa_neg -0.300280 0.601598
a_neg aa_pos -0.309949 0.605822
a_neg kappa_0 -0.283590 0.595345
a_neg sigma_neg -0.319193 0.611324
a_neg sigma_pos -0.318918 0.611249
a_pos l_neg -0.267011 0.475396
a_pos l_sep -0.266959 0.475365
a_pos l_pos -0.266890 0.475012
a_pos Rp_neg -0.266956 0.475364
a_pos Rp_pos -0.266958 0.475365
a_pos epsilon_f_neg -0.266956 0.475364
a_pos epsilon_f_pos -0.266953 0.475363
a_pos epsilon_neg -0.274676 0.480738
a_pos epsilon_sep -0.266956 0.475364
a_pos epsilon_pos -0.258769 0.478490
a_pos Cdl_neg -0.244530 0.465171
a_pos Cdl_pos -0.349723 0.551292
a_pos cs_max_neg -0.266956 0.475364
a_pos cs_max_pos -0.266956 0.475364
