Parameter S1 S1_conf ST ST_conf
a_neg 0.109585 0.286167 26.488104 69.039478
a_pos 0.047005 0.183743 3.946492 17.625248
l_neg -0.000257 0.000638 0.084469 0.044377
l_sep -0.000238 0.000118 0.491820 0.260764
l_pos 0.002681 0.012645 0.020237 0.088751
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.000001 0.000003 0.000000 0.000000
epsilon_f_pos -0.000004 0.000010 0.000000 0.000000
epsilon_neg 0.006790 0.016715 0.838229 0.331688
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.012261 0.060373 0.117412 0.188624
Cdl_neg 0.053436 0.147548 1.798470 4.299297
Cdl_pos 0.068243 0.175862 0.674131 1.538761
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000325 0.001248 0.030941 0.015130
D -0.000086 0.000186 0.009402 0.004952
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000001 0.000000 0.000000
dUdcp_neg_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.002477 0.007182 0.009944 0.023955
i0_pos -0.002615 0.020346 0.279020 0.644045
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000589 0.001075 0.747162 0.395025
aa_neg 0.003066 0.012748 0.011021 0.022589
aa_pos 0.007355 0.015725 0.606032 1.355103
kappa_0 0.000634 0.015105 0.893980 0.423577
sigma_neg 0.000007 0.000025 0.000000 0.000000
sigma_pos 0.000022 0.000053 0.000004 0.000008

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.133404 0.336068
a_neg l_neg -0.108598 0.289440
a_neg l_sep -0.108597 0.289434
a_neg l_pos -0.110695 0.291457
a_neg Rp_neg -0.108598 0.289434
a_neg Rp_pos -0.108599 0.289435
a_neg epsilon_f_neg -0.108599 0.289436
a_neg epsilon_f_pos -0.108618 0.289456
a_neg epsilon_neg -0.080701 0.279789
a_neg epsilon_sep -0.108599 0.289435
a_neg epsilon_pos -0.106036 0.287246
a_neg Cdl_neg 0.168090 0.650999
a_neg Cdl_pos -0.108610 0.289223
a_neg cs_max_neg -0.108599 0.289435
a_neg cs_max_pos -0.108599 0.289435
a_neg c0 -0.108600 0.289435
a_neg D -0.108596 0.289433
a_neg Ds_neg -0.108598 0.289434
a_neg Ds_pos -0.108599 0.289435
a_neg d2Udcp2_pos_sgn -0.108599 0.289435
a_neg d2Udcp2_neg_sgn -0.108599 0.289435
a_neg d3Udcp3_pos_sgn -0.108599 0.289435
a_neg d3Udcp3_neg_sgn -0.108599 0.289435
a_neg dUdcp_pos_mag -0.108600 0.289436
a_neg dUdcp_neg_mag -0.108598 0.289434
a_neg d2Udcp2_pos_mag -0.108599 0.289435
a_neg d2Udcp2_neg_mag -0.108599 0.289435
a_neg d3Udcp3_pos_mag -0.108599 0.289435
a_neg d3Udcp3_neg_mag -0.108599 0.289435
a_neg i0_neg -0.106735 0.286669
a_neg i0_pos -0.107401 0.288005
a_neg SOC_neg -0.108599 0.289435
a_neg SOC_pos -0.108599 0.289435
a_neg tP -0.108594 0.289432
a_neg aa_neg -0.103542 0.281958
a_neg aa_pos -0.106136 0.286297
a_neg kappa_0 -0.104556 0.286025
a_neg sigma_neg -0.108603 0.289439
a_neg sigma_pos -0.108474 0.289301
a_pos l_neg -0.045202 0.181807
a_pos l_sep -0.045655 0.180314
a_pos l_pos -0.042369 0.179591
a_pos Rp_neg -0.043076 0.180619
a_pos Rp_pos -0.043076 0.180619
a_pos epsilon_f_neg -0.043076 0.180619
a_pos epsilon_f_pos -0.043075 0.180618
a_pos epsilon_neg -0.049059 0.184143
a_pos epsilon_sep -0.043076 0.180619
a_pos epsilon_pos -0.041810 0.179243
a_pos Cdl_neg -0.040002 0.178517
a_pos Cdl_pos -0.043423 0.201926
a_pos cs_max_neg -0.043076 0.180619
a_pos cs_max_pos -0.043076 0.180619
a_pos c0 -0.044510 0.183239
a_pos D -0.043719 0.180915
a_pos Ds_neg -0.043076 0.180619
a_pos Ds_pos -0.043076 0.180619
a_pos d2Udcp2_pos_sgn -0.043076 0.180619
a_pos d2Udcp2_neg_sgn -0.043076 0.180619
a_pos d3Udcp3_pos_sgn -0.043076 0.180619
a_pos d3Udcp3_neg_sgn -0.043076 0.180619
a_pos dUdcp_pos_mag -0.043076 0.180619
a_pos dUdcp_neg_mag -0.043076 0.180619
a_pos d2Udcp2_pos_mag -0.043076 0.180619
a_pos d2Udcp2_neg_mag -0.043076 0.180619
a_pos d3Udcp3_pos_mag -0.043076 0.180619
a_pos d3Udcp3_neg_mag -0.043076 0.180619
a_pos i0_neg -0.042723 0.179919
a_pos i0_pos -0.029222 0.160600
a_pos SOC_neg -0.043076 0.180619
a_pos SOC_pos -0.043076 0.180619
a_pos tP -0.047850 0.182190
a_pos aa_neg -0.043285 0.180992
a_pos aa_pos -0.044703 0.184073
a_pos kappa_0 -0.022978 0.155986
a_pos sigma_neg -0.043076 0.180619
a_pos sigma_pos -0.043075 0.180616
l_neg l_sep 0.000139 0.000829
l_neg l_pos 0.000142 0.000830
l_neg Rp_neg 0.000140 0.000832
l_neg Rp_pos 0.000140 0.000832
l_neg epsilon_f_neg 0.000140 0.000832
l_neg epsilon_f_pos 0.000140 0.000832
l_neg epsilon_neg 0.000235 0.000873
l_neg epsilon_sep 0.000140 0.000832
l_neg epsilon_pos 0.000235 0.000656
l_neg Cdl_neg 0.000173 0.000857
l_neg Cdl_pos 0.000228 0.000760
l_neg cs_max_neg 0.000140 0.000832
l_neg cs_max_pos 0.000140 0.000832
l_neg c0 0.000124 0.000802
l_neg D 0.000138 0.000827
l_neg Ds_neg 0.000140 0.000832
l_neg Ds_pos 0.000140 0.000832
l_neg d2Udcp2_pos_sgn 0.000140 0.000832
l_neg d2Udcp2_neg_sgn 0.000140 0.000832
l_neg d3Udcp3_pos_sgn 0.000140 0.000832
l_neg d3Udcp3_neg_sgn 0.000140 0.000832
l_neg dUdcp_pos_mag 0.000140 0.000832
l_neg dUdcp_neg_mag 0.000140 0.000832
l_neg d2Udcp2_pos_mag 0.000140 0.000832
l_neg d2Udcp2_neg_mag 0.000140 0.000832
l_neg d3Udcp3_pos_mag 0.000140 0.000832
l_neg d3Udcp3_neg_mag 0.000140 0.000832
l_neg i0_neg 0.000120 0.000842
l_neg i0_pos 0.000112 0.000802
l_neg SOC_neg 0.000140 0.000832
l_neg SOC_pos 0.000140 0.000832
l_neg tP 0.000126 0.000805
l_neg aa_neg 0.000120 0.000841
l_neg aa_pos 0.000040 0.001020
l_neg kappa_0 -0.002296 0.010031
l_neg sigma_neg 0.000140 0.000832
l_neg sigma_pos 0.000140 0.000832
l_sep l_pos 0.000232 0.000119
l_sep Rp_neg 0.000232 0.000119
l_sep Rp_pos 0.000232 0.000119
l_sep epsilon_f_neg 0.000232 0.000119
l_sep epsilon_f_pos 0.000232 0.000119
l_sep epsilon_neg 0.000224 0.000125
l_sep epsilon_sep 0.000232 0.000119
l_sep epsilon_pos 0.000232 0.000119
l_sep Cdl_neg 0.000237 0.000119
l_sep Cdl_pos 0.000231 0.000120
l_sep cs_max_neg 0.000232 0.000119
l_sep cs_max_pos 0.000232 0.000119
l_sep c0 0.000232 0.000119
l_sep D 0.000232 0.000119
l_sep Ds_neg 0.000232 0.000119
