Parameter S1 S1_conf ST ST_conf
a_neg 0.224980 0.274403 0.514064 0.169943
a_pos -0.269614 0.226633 0.320475 0.091160
l_neg 0.056498 0.128552 0.156037 0.080239
l_sep -0.015727 0.008103 0.000642 0.000340
l_pos -0.275203 0.174769 0.246769 0.088108
Rp_neg 0.127234 0.093066 0.067458 0.041008
Rp_pos -0.025576 0.021086 0.007111 0.005337
epsilon_f_neg -0.000030 0.000065 0.000000 0.000000
epsilon_f_pos 0.000149 0.000123 0.000000 0.000000
epsilon_neg -0.236535 0.216302 0.445898 0.122688
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.309821 0.220863 0.513378 0.147240
Cdl_neg -0.064458 0.132810 0.209914 0.076126
Cdl_pos -0.132776 0.114971 0.174921 0.082039
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.046021 0.051945 0.040909 0.037514
D 0.001706 0.043649 0.017254 0.007682
Ds_neg -0.034853 0.114929 0.198125 0.056548
Ds_pos -0.039339 0.084989 0.144874 0.063634
d2Udcp2_pos_sgn -0.028052 0.101198 0.129979 0.041433
d2Udcp2_neg_sgn -0.043273 0.094200 0.105237 0.025231
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.025560 0.049091 0.066466 0.035400
dUdcp_neg_mag 0.226637 0.164410 0.241112 0.094446
d2Udcp2_pos_mag 0.072031 0.090910 0.114823 0.052321
d2Udcp2_neg_mag 0.097424 0.108596 0.142867 0.056129
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.220362 0.164403 0.216385 0.081885
i0_pos -0.217515 0.223299 0.341905 0.101006
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.027885 0.063033 0.076795 0.045825
aa_neg -0.020612 0.229881 0.558946 0.171584
aa_pos -0.040126 0.247986 0.662310 0.181371
kappa_0 -0.116500 0.140547 0.256882 0.090052
sigma_neg 0.000542 0.000477 0.000002 0.000002
sigma_pos -0.003780 0.002559 0.000035 0.000026

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.380105 0.293450
a_neg l_neg -0.511856 0.333953
a_neg l_sep -0.520035 0.335527
a_neg l_pos -0.373216 0.291681
a_neg Rp_neg -0.469440 0.327579
a_neg Rp_pos -0.521836 0.335875
a_neg epsilon_f_neg -0.518943 0.335536
a_neg epsilon_f_pos -0.519040 0.335526
a_neg epsilon_neg -0.432513 0.357319
a_neg epsilon_sep -0.518941 0.335536
a_neg epsilon_pos -0.389333 0.358045
a_neg Cdl_neg -0.384123 0.338577
a_neg Cdl_pos -0.457583 0.332706
a_neg cs_max_neg -0.518941 0.335536
a_neg cs_max_pos -0.518941 0.335536
a_neg c0 -0.501309 0.344183
a_neg D -0.513866 0.332228
a_neg Ds_neg -0.533168 0.320456
a_neg Ds_pos -0.532466 0.336422
a_neg d2Udcp2_pos_sgn -0.507678 0.335655
a_neg d2Udcp2_neg_sgn -0.478961 0.313424
a_neg d3Udcp3_pos_sgn -0.518941 0.335536
a_neg d3Udcp3_neg_sgn -0.518941 0.335536
a_neg dUdcp_pos_mag -0.564942 0.330271
a_neg dUdcp_neg_mag -0.506266 0.343073
a_neg d2Udcp2_pos_mag -0.500015 0.338229
a_neg d2Udcp2_neg_mag -0.551208 0.335168
a_neg d3Udcp3_pos_mag -0.518941 0.335536
a_neg d3Udcp3_neg_mag -0.518941 0.335536
a_neg i0_neg -0.316297 0.306551
a_neg i0_pos -0.073408 0.406096
a_neg SOC_neg -0.518941 0.335536
a_neg SOC_pos -0.518941 0.335536
a_neg tP -0.510681 0.334998
a_neg aa_neg -0.586706 0.347831
a_neg aa_pos -0.307771 0.280272
a_neg kappa_0 -0.378415 0.290242
a_neg sigma_neg -0.518909 0.335534
a_neg sigma_pos -0.517928 0.335633
a_pos l_neg 0.310492 0.265725
a_pos l_sep 0.344286 0.259208
a_pos l_pos 0.408309 0.262447
a_pos Rp_neg 0.271125 0.276283
a_pos Rp_pos 0.342888 0.259392
a_pos epsilon_f_neg 0.342942 0.259411
a_pos epsilon_f_pos 0.342999 0.259424
a_pos epsilon_neg 0.352908 0.264170
a_pos epsilon_sep 0.342945 0.259411
a_pos epsilon_pos 0.440282 0.282602
a_pos Cdl_neg 0.333677 0.259606
a_pos Cdl_pos 0.367694 0.262625
a_pos cs_max_neg 0.342945 0.259411
a_pos cs_max_pos 0.342945 0.259411
a_pos c0 0.360484 0.258360
a_pos D 0.356871 0.250989
a_pos Ds_neg 0.356308 0.253144
a_pos Ds_pos 0.332678 0.256652
a_pos d2Udcp2_pos_sgn 0.335394 0.259017
