Parameter S1 S1_conf ST ST_conf
a_neg 0.243255 0.270340 0.509484 0.163233
a_pos -0.276578 0.217132 0.329999 0.109374
l_neg 0.041929 0.127692 0.164041 0.084306
l_sep 0.011321 0.026629 0.004753 0.004385
l_pos -0.207039 0.164129 0.258978 0.098807
Rp_neg 0.112036 0.087230 0.061342 0.038633
Rp_pos -0.000933 0.018398 0.002258 0.000856
epsilon_f_neg -0.000019 0.000040 0.000000 0.000000
epsilon_f_pos 0.000089 0.000122 0.000000 0.000000
epsilon_neg -0.225784 0.215943 0.459828 0.125944
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.333251 0.229824 0.524031 0.146339
Cdl_neg -0.051155 0.142376 0.221587 0.082894
Cdl_pos -0.134372 0.121888 0.184640 0.083199
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.035414 0.052036 0.045000 0.037732
D -0.013405 0.034436 0.015262 0.007576
Ds_neg -0.034402 0.111485 0.166227 0.051693
Ds_pos -0.010123 0.086425 0.146298 0.063174
d2Udcp2_pos_sgn -0.011914 0.098291 0.126444 0.037502
d2Udcp2_neg_sgn -0.049466 0.091992 0.105619 0.025204
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.004310 0.044245 0.057133 0.034987
dUdcp_neg_mag 0.274251 0.162264 0.242694 0.097907
d2Udcp2_pos_mag 0.093643 0.091251 0.112448 0.050842
d2Udcp2_neg_mag 0.070081 0.101557 0.121737 0.049612
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.182450 0.184014 0.251056 0.102227
i0_pos -0.201257 0.232764 0.342269 0.104646
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.010737 0.061042 0.092621 0.053882
aa_neg -0.038039 0.236189 0.569642 0.174058
aa_pos -0.053761 0.253381 0.690013 0.199343
kappa_0 -0.106758 0.144824 0.262337 0.093794
sigma_neg 0.000324 0.000293 0.000001 0.000001
sigma_pos -0.002229 0.001552 0.000015 0.000008

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.420478 0.274539
a_neg l_neg -0.560949 0.320276
a_neg l_sep -0.568747 0.319947
a_neg l_pos -0.416735 0.274335
a_neg Rp_neg -0.510373 0.316578
a_neg Rp_pos -0.574619 0.320359
a_neg epsilon_f_neg -0.568857 0.319850
a_neg epsilon_f_pos -0.568929 0.319854
a_neg epsilon_neg -0.480135 0.347265
a_neg epsilon_sep -0.568857 0.319850
a_neg epsilon_pos -0.413704 0.341229
a_neg Cdl_neg -0.420625 0.321008
a_neg Cdl_pos -0.501779 0.311481
a_neg cs_max_neg -0.568857 0.319850
a_neg cs_max_pos -0.568857 0.319850
a_neg c0 -0.569646 0.320133
a_neg D -0.560675 0.315423
a_neg Ds_neg -0.562455 0.308023
a_neg Ds_pos -0.591351 0.322428
a_neg d2Udcp2_pos_sgn -0.556007 0.322192
a_neg d2Udcp2_neg_sgn -0.532009 0.299383
a_neg d3Udcp3_pos_sgn -0.568857 0.319850
a_neg d3Udcp3_neg_sgn -0.568857 0.319850
a_neg dUdcp_pos_mag -0.605836 0.318153
a_neg dUdcp_neg_mag -0.570941 0.330118
a_neg d2Udcp2_pos_mag -0.561361 0.322643
a_neg d2Udcp2_neg_mag -0.585686 0.325928
a_neg d3Udcp3_pos_mag -0.568857 0.319850
a_neg d3Udcp3_neg_mag -0.568857 0.319850
a_neg i0_neg -0.352557 0.286265
a_neg i0_pos -0.151407 0.348502
a_neg SOC_neg -0.568857 0.319850
a_neg SOC_pos -0.568857 0.319850
a_neg tP -0.558550 0.319416
a_neg aa_neg -0.623474 0.337146
a_neg aa_pos -0.333984 0.265098
a_neg kappa_0 -0.424457 0.274134
a_neg sigma_neg -0.568810 0.319848
a_neg sigma_pos -0.568057 0.319805
a_pos l_neg 0.356638 0.253683
a_pos l_sep 0.380862 0.249721
a_pos l_pos 0.449186 0.253164
a_pos Rp_neg 0.314020 0.265496
a_pos Rp_pos 0.380632 0.249491
a_pos epsilon_f_neg 0.381149 0.249532
a_pos epsilon_f_pos 0.381187 0.249536
a_pos epsilon_neg 0.393339 0.255219
a_pos epsilon_sep 0.381150 0.249532
a_pos epsilon_pos 0.469339 0.268368
a_pos Cdl_neg 0.368519 0.248395
a_pos Cdl_pos 0.410170 0.253471
a_pos cs_max_neg 0.381150 0.249532
a_pos cs_max_pos 0.381150 0.249532
a_pos c0 0.393382 0.247180
a_pos D 0.400581 0.241253
a_pos Ds_neg 0.397598 0.243120
a_pos Ds_pos 0.368378 0.247906
a_pos d2Udcp2_pos_sgn 0.365381 0.248098
a_pos d2Udcp2_neg_sgn 0.404795 0.242997
a_pos d3Udcp3_pos_sgn 0.381150 0.249532
a_pos d3Udcp3_neg_sgn 0.381150 0.249532
a_pos dUdcp_pos_mag 0.369536 0.248019
a_pos dUdcp_neg_mag 0.354425 0.245841
a_pos d2Udcp2_pos_mag 0.389603 0.251870
a_pos d2Udcp2_neg_mag 0.425051 0.254680
a_pos d3Udcp3_pos_mag 0.381150 0.249532
a_pos d3Udcp3_neg_mag 0.381150 0.249532
a_pos i0_neg 0.406781 0.252918
a_pos i0_pos 0.319867 0.249532
a_pos SOC_neg 0.381150 0.249532
a_pos SOC_pos 0.381150 0.249532
a_pos tP 0.396596 0.246375
a_pos aa_neg 0.265972 0.239116
a_pos aa_pos 0.343249 0.254380
a_pos kappa_0 0.454063 0.256837
a_pos sigma_neg 0.381135 0.249530
a_pos sigma_pos 0.380472 0.249204
l_neg l_sep 0.014354 0.212968
l_neg l_pos 0.012668 0.213417
l_neg Rp_neg -0.013535 0.205109
l_neg Rp_pos 0.015968 0.213348
l_neg epsilon_f_neg 0.013907 0.213524
l_neg epsilon_f_pos 0.013881 0.213537
l_neg epsilon_neg 0.024112 0.221009
l_neg epsilon_sep 0.013909 0.213524
l_neg epsilon_pos 0.052680 0.219929
l_neg Cdl_neg -0.059946 0.195736
l_neg Cdl_pos 0.087770 0.234782
l_neg cs_max_neg 0.013909 0.213524
l_neg cs_max_pos 0.013909 0.213524
l_neg c0 -0.015534 0.209703
l_neg D 0.007234 0.199049
l_neg Ds_neg -0.054502 0.204190
l_neg Ds_pos 0.042344 0.212510
l_neg d2Udcp2_pos_sgn 0.066904 0.226582
l_neg d2Udcp2_neg_sgn -0.051812 0.192987
l_neg d3Udcp3_pos_sgn 0.013909 0.213524
l_neg d3Udcp3_neg_sgn 0.013909 0.213524
l_neg dUdcp_pos_mag -0.005596 0.212357
l_neg dUdcp_neg_mag 0.034385 0.205946
l_neg d2Udcp2_pos_mag -0.034216 0.222468
