Parameter S1 S1_conf ST ST_conf
a_neg 0.258695 0.280907 0.529263 0.175620
a_pos -0.291907 0.222773 0.341142 0.112686
l_neg 0.031350 0.131366 0.175213 0.093673
l_sep 0.009697 0.017531 0.002380 0.001310
l_pos -0.202126 0.168474 0.274885 0.100901
Rp_neg 0.049183 0.044183 0.015419 0.008588
Rp_pos 0.020813 0.022133 0.002608 0.001271
epsilon_f_neg -0.000012 0.000022 0.000000 0.000000
epsilon_f_pos -0.000043 0.000138 0.000000 0.000000
epsilon_neg -0.223826 0.205776 0.468574 0.127654
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.316933 0.228916 0.535224 0.159829
Cdl_neg -0.037315 0.147702 0.235388 0.091018
Cdl_pos -0.107372 0.130036 0.196126 0.097370
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.044252 0.056905 0.046235 0.041415
D -0.022406 0.029961 0.010045 0.006633
Ds_neg -0.056775 0.106011 0.131189 0.042299
Ds_pos 0.025801 0.096945 0.143864 0.058253
d2Udcp2_pos_sgn -0.044511 0.109859 0.126175 0.037555
d2Udcp2_neg_sgn -0.029875 0.094917 0.098385 0.026146
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.025431 0.048400 0.054486 0.036513
dUdcp_neg_mag 0.299223 0.172516 0.255892 0.104381
d2Udcp2_pos_mag 0.093736 0.095623 0.110048 0.056362
d2Udcp2_neg_mag 0.040427 0.091522 0.096112 0.041083
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.132919 0.195095 0.282824 0.118471
i0_pos -0.199611 0.254358 0.363811 0.110718
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.022737 0.072567 0.101767 0.061303
aa_neg -0.022121 0.236231 0.590988 0.187537
aa_pos -0.108035 0.285609 0.716557 0.200442
kappa_0 -0.100154 0.148503 0.275873 0.102130
sigma_neg 0.000213 0.000180 0.000000 0.000000
sigma_pos -0.000149 0.000933 0.000007 0.000003

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.473034 0.268670
a_neg l_neg -0.621608 0.301743
a_neg l_sep -0.621003 0.301818
a_neg l_pos -0.474325 0.268719
a_neg Rp_neg -0.590640 0.297994
a_neg Rp_pos -0.639868 0.301811
a_neg epsilon_f_neg -0.627925 0.301621
a_neg epsilon_f_pos -0.627960 0.301623
a_neg epsilon_neg -0.549555 0.326869
a_neg epsilon_sep -0.627924 0.301621
a_neg epsilon_pos -0.461197 0.326618
a_neg Cdl_neg -0.468941 0.311422
a_neg Cdl_pos -0.558762 0.297584
a_neg cs_max_neg -0.627924 0.301621
a_neg cs_max_pos -0.627924 0.301621
a_neg c0 -0.622440 0.301071
a_neg D -0.621265 0.298141
a_neg Ds_neg -0.618898 0.293467
a_neg Ds_pos -0.654570 0.305591
a_neg d2Udcp2_pos_sgn -0.594903 0.308223
a_neg d2Udcp2_neg_sgn -0.598985 0.285981
a_neg d3Udcp3_pos_sgn -0.627924 0.301621
a_neg d3Udcp3_neg_sgn -0.627924 0.301621
a_neg dUdcp_pos_mag -0.663640 0.301401
a_neg dUdcp_neg_mag -0.625557 0.315078
a_neg d2Udcp2_pos_mag -0.621240 0.306648
a_neg d2Udcp2_neg_mag -0.644634 0.309216
a_neg d3Udcp3_pos_mag -0.627924 0.301621
a_neg d3Udcp3_neg_mag -0.627924 0.301621
a_neg i0_neg -0.396782 0.281532
a_neg i0_pos -0.223252 0.324751
a_neg SOC_neg -0.627924 0.301621
a_neg SOC_pos -0.627924 0.301621
a_neg tP -0.623284 0.301037
a_neg aa_neg -0.669317 0.321804
a_neg aa_pos -0.348162 0.270416
a_neg kappa_0 -0.479226 0.268959
a_neg sigma_neg -0.627883 0.301620
a_neg sigma_pos -0.627625 0.301598
a_pos l_neg 0.327075 0.267102
a_pos l_sep 0.328011 0.266732
a_pos l_pos 0.422874 0.269348
a_pos Rp_neg 0.318660 0.267834
a_pos Rp_pos 0.342257 0.263621
a_pos epsilon_f_neg 0.343136 0.263656
a_pos epsilon_f_pos 0.343160 0.263656
a_pos epsilon_neg 0.356669 0.270662
a_pos epsilon_sep 0.343137 0.263656
a_pos epsilon_pos 0.383605 0.273831
a_pos Cdl_neg 0.328682 0.261466
a_pos Cdl_pos 0.345439 0.263803
a_pos cs_max_neg 0.343137 0.263656
a_pos cs_max_pos 0.343137 0.263656
a_pos c0 0.342924 0.263084
a_pos D 0.364323 0.254190
a_pos Ds_neg 0.364918 0.256115
a_pos Ds_pos 0.333568 0.263558
a_pos d2Udcp2_pos_sgn 0.349505 0.263886
a_pos d2Udcp2_neg_sgn 0.366105 0.257140
a_pos d3Udcp3_pos_sgn 0.343137 0.263656
a_pos d3Udcp3_neg_sgn 0.343137 0.263656
a_pos dUdcp_pos_mag 0.335156 0.263603
a_pos dUdcp_neg_mag 0.305720 0.261441
a_pos d2Udcp2_pos_mag 0.352477 0.267362
a_pos d2Udcp2_neg_mag 0.392179 0.267764
a_pos d3Udcp3_pos_mag 0.343137 0.263656
a_pos d3Udcp3_neg_mag 0.343137 0.263656
a_pos i0_neg 0.319737 0.266624
a_pos i0_pos 0.254509 0.259583
a_pos SOC_neg 0.343137 0.263656
a_pos SOC_pos 0.343137 0.263656
a_pos tP 0.366334 0.258338
a_pos aa_neg 0.220029 0.251163
a_pos aa_pos 0.332597 0.268934
a_pos kappa_0 0.420799 0.273684
a_pos sigma_neg 0.343130 0.263653
a_pos sigma_pos 0.342924 0.263466
l_neg l_sep -0.027458 0.224501
l_neg l_pos -0.027489 0.224875
l_neg Rp_neg -0.028857 0.222483
l_neg Rp_pos -0.025663 0.224788
l_neg epsilon_f_neg -0.027761 0.224877
l_neg epsilon_f_pos -0.027773 0.224882
l_neg epsilon_neg -0.014038 0.233265
l_neg epsilon_sep -0.027760 0.224877
l_neg epsilon_pos 0.010885 0.228594
l_neg Cdl_neg -0.106217 0.196094
l_neg Cdl_pos 0.050667 0.248825
l_neg cs_max_neg -0.027760 0.224877
l_neg cs_max_pos -0.027760 0.224877
l_neg c0 -0.031135 0.227058
l_neg D -0.009397 0.218009
l_neg Ds_neg -0.047490 0.222820
l_neg Ds_pos -0.010729 0.224333
l_neg d2Udcp2_pos_sgn 0.018479 0.236398
l_neg d2Udcp2_neg_sgn -0.069890 0.206635
l_neg d3Udcp3_pos_sgn -0.027760 0.224877
l_neg d3Udcp3_neg_sgn -0.027760 0.224877
l_neg dUdcp_pos_mag -0.047266 0.222335
l_neg dUdcp_neg_mag -0.018987 0.212574
l_neg d2Udcp2_pos_mag -0.052431 0.244574
l_neg d2Udcp2_neg_mag -0.031807 0.220185
l_neg d3Udcp3_pos_mag -0.027760 0.224877
l_neg d3Udcp3_neg_mag -0.027760 0.224877
l_neg i0_neg -0.032305 0.223827
l_neg i0_pos 0.047286 0.204079
l_neg SOC_neg -0.027760 0.224877
l_neg SOC_pos -0.027760 0.224877
l_neg tP -0.063007 0.212266
l_neg aa_neg 0.097364 0.201904
l_neg aa_pos 0.062421 0.227990
l_neg kappa_0 -0.033529 0.224096
l_neg sigma_neg -0.027743 0.224879
l_neg sigma_pos -0.027349 0.224681
l_sep l_pos -0.017232 0.019470
l_sep Rp_neg -0.011465 0.019524
l_sep Rp_pos -0.012408 0.019731
l_sep epsilon_f_neg -0.012058 0.019789
l_sep epsilon_f_pos -0.012058 0.019789
l_sep epsilon_neg -0.013386 0.020227
l_sep epsilon_sep -0.012058 0.019789
l_sep epsilon_pos -0.013314 0.019927
l_sep Cdl_neg -0.012458 0.019773
l_sep Cdl_pos -0.011922 0.019784
l_sep cs_max_neg -0.012058 0.019789
l_sep cs_max_pos -0.012058 0.019789
l_sep c0 -0.010449 0.019458
l_sep D -0.010364 0.019452
l_sep Ds_neg -0.009945 0.019190
l_sep Ds_pos -0.010573 0.019879
l_sep d2Udcp2_pos_sgn -0.011529 0.019932
l_sep d2Udcp2_neg_sgn -0.012383 0.019096
l_sep d3Udcp3_pos_sgn -0.012058 0.019789
l_sep d3Udcp3_neg_sgn -0.012058 0.019789
l_sep dUdcp_pos_mag -0.012338 0.019881
l_sep dUdcp_neg_mag -0.009889 0.019871
l_sep d2Udcp2_pos_mag -0.010934 0.019778
l_sep d2Udcp2_neg_mag -0.012022 0.019364
l_sep d3Udcp3_pos_mag -0.012058 0.019789
l_sep d3Udcp3_neg_mag -0.012058 0.019789
l_sep i0_neg -0.013128 0.019354
l_sep i0_pos -0.012697 0.019289
l_sep SOC_neg -0.012058 0.019789
l_sep SOC_pos -0.012058 0.019789
l_sep tP -0.012430 0.019634
l_sep aa_neg -0.006062 0.020562
l_sep aa_pos -0.013112 0.018504
l_sep kappa_0 -0.015668 0.019514
l_sep sigma_neg -0.012058 0.019789
l_sep sigma_pos -0.012043 0.019784
l_pos Rp_neg 0.265396 0.177710
l_pos Rp_pos 0.265378 0.177765
l_pos epsilon_f_neg 0.265666 0.177742
l_pos epsilon_f_pos 0.265665 0.177741
l_pos epsilon_neg 0.265141 0.177790
l_pos epsilon_sep 0.265666 0.177742
l_pos epsilon_pos 0.296398 0.189460
l_pos Cdl_neg 0.265757 0.177739
l_pos Cdl_pos 0.265640 0.177740
l_pos cs_max_neg 0.265666 0.177742
l_pos cs_max_pos 0.265666 0.177742
l_pos c0 0.264959 0.177601
l_pos D 0.276762 0.181577
l_pos Ds_neg 0.270963 0.179018
l_pos Ds_pos 0.266252 0.177662
l_pos d2Udcp2_pos_sgn 0.265722 0.177771
l_pos d2Udcp2_neg_sgn 0.265346 0.177686
l_pos d3Udcp3_pos_sgn 0.265666 0.177742
l_pos d3Udcp3_neg_sgn 0.265666 0.177742
l_pos dUdcp_pos_mag 0.266274 0.177910
l_pos dUdcp_neg_mag 0.264585 0.177433
l_pos d2Udcp2_pos_mag 0.254649 0.174645
l_pos d2Udcp2_neg_mag 0.299115 0.191263
l_pos d3Udcp3_pos_mag 0.265666 0.177742
l_pos d3Udcp3_neg_mag 0.265666 0.177742
l_pos i0_neg 0.262425 0.176692
l_pos i0_pos 0.185361 0.170139
l_pos SOC_neg 0.265666 0.177742
l_pos SOC_pos 0.265666 0.177742
l_pos tP 0.265527 0.177742
l_pos aa_neg 0.187485 0.170013
l_pos aa_pos 0.266891 0.177567
l_pos kappa_0 0.264991 0.177384
l_pos sigma_neg 0.265658 0.177739
l_pos sigma_pos 0.265683 0.177748
Rp_neg Rp_pos -0.043746 0.060675
Rp_neg epsilon_f_neg -0.044072 0.060455
Rp_neg epsilon_f_pos -0.044072 0.060455
Rp_neg epsilon_neg -0.051312 0.059229
Rp_neg epsilon_sep -0.044071 0.060455
Rp_neg epsilon_pos -0.059698 0.057617
Rp_neg Cdl_neg -0.031101 0.059620
Rp_neg Cdl_pos -0.038397 0.059206
Rp_neg cs_max_neg -0.044071 0.060455
Rp_neg cs_max_pos -0.044071 0.060455
Rp_neg c0 -0.045543 0.061124
Rp_neg D -0.044579 0.060512
Rp_neg Ds_neg -0.044388 0.059031
