Parameter S1 S1_conf ST ST_conf
a_neg 0.204866 0.262585 0.470238 0.141744
a_pos -0.357433 0.205256 0.317539 0.105233
l_neg 0.008863 0.137763 0.185474 0.105853
l_sep 0.006806 0.009466 0.001069 0.000739
l_pos -0.198394 0.168074 0.290070 0.109823
Rp_neg 0.017047 0.020143 0.004812 0.001757
Rp_pos 0.029256 0.024645 0.003062 0.001859
epsilon_f_neg -0.000011 0.000012 0.000000 0.000000
epsilon_f_pos 0.000346 0.000322 0.000001 0.000001
epsilon_neg -0.182877 0.203637 0.448537 0.134227
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.351040 0.233656 0.544549 0.161674
Cdl_neg -0.024585 0.156312 0.248469 0.096330
Cdl_pos -0.103841 0.132309 0.207012 0.099389
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.069332 0.058629 0.045824 0.045150
D -0.026490 0.025801 0.007604 0.004741
Ds_neg -0.063314 0.104389 0.112978 0.042037
Ds_pos 0.061682 0.098652 0.139626 0.055015
d2Udcp2_pos_sgn -0.046360 0.115690 0.127134 0.037865
d2Udcp2_neg_sgn -0.057872 0.082335 0.088347 0.025641
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.042627 0.055046 0.055190 0.038387
dUdcp_neg_mag 0.256962 0.153295 0.230401 0.097693
d2Udcp2_pos_mag 0.091261 0.096676 0.109996 0.060225
d2Udcp2_neg_mag 0.030709 0.073649 0.064879 0.030726
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.174474 0.192466 0.255590 0.103206
i0_pos -0.185961 0.240118 0.376962 0.113929
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.021682 0.077210 0.104127 0.061982
aa_neg -0.027125 0.242640 0.566886 0.183844
aa_pos -0.102731 0.275126 0.723535 0.212365
kappa_0 -0.087336 0.143850 0.291047 0.107502
sigma_neg -0.000101 0.000187 0.000000 0.000000
sigma_pos -0.002122 0.001968 0.000022 0.000021

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.402542 0.269750
a_neg l_neg -0.544412 0.301152
a_neg l_sep -0.538084 0.301552
a_neg l_pos -0.396970 0.270227
a_neg Rp_neg -0.517452 0.300362
a_neg Rp_pos -0.556115 0.301987
a_neg epsilon_f_neg -0.540270 0.301386
a_neg epsilon_f_pos -0.540296 0.301389
a_neg epsilon_neg -0.523914 0.322319
a_neg epsilon_sep -0.540270 0.301386
a_neg epsilon_pos -0.361129 0.324696
a_neg Cdl_neg -0.371030 0.309263
a_neg Cdl_pos -0.460148 0.294206
a_neg cs_max_neg -0.540270 0.301386
a_neg cs_max_pos -0.540270 0.301386
a_neg c0 -0.540144 0.300800
a_neg D -0.540330 0.299990
a_neg Ds_neg -0.519875 0.294202
a_neg Ds_pos -0.582674 0.310161
a_neg d2Udcp2_pos_sgn -0.509894 0.309816
a_neg d2Udcp2_neg_sgn -0.518502 0.290301
a_neg d3Udcp3_pos_sgn -0.540270 0.301386
a_neg d3Udcp3_neg_sgn -0.540270 0.301386
a_neg dUdcp_pos_mag -0.576802 0.300982
a_neg dUdcp_neg_mag -0.550816 0.314181
a_neg d2Udcp2_pos_mag -0.540189 0.308620
a_neg d2Udcp2_neg_mag -0.570444 0.314349
a_neg d3Udcp3_pos_mag -0.540270 0.301386
a_neg d3Udcp3_neg_mag -0.540270 0.301386
a_neg i0_neg -0.316639 0.285589
a_neg i0_pos -0.145277 0.322655
a_neg SOC_neg -0.540270 0.301386
a_neg SOC_pos -0.540270 0.301386
a_neg tP -0.546788 0.299408
a_neg aa_neg -0.578787 0.330149
a_neg aa_pos -0.278005 0.272949
a_neg kappa_0 -0.397566 0.270434
a_neg sigma_neg -0.540204 0.301386
a_neg sigma_pos -0.540205 0.301371
a_pos l_neg 0.413124 0.251138
a_pos l_sep 0.400782 0.253893
a_pos l_pos 0.501205 0.268420
a_pos Rp_neg 0.401724 0.251816
a_pos Rp_pos 0.406597 0.252068
a_pos epsilon_f_neg 0.407287 0.252105
a_pos epsilon_f_pos 0.407304 0.252102
a_pos epsilon_neg 0.429107 0.256369
a_pos epsilon_sep 0.407288 0.252105
a_pos epsilon_pos 0.434566 0.259305
a_pos Cdl_neg 0.390904 0.249294
a_pos Cdl_pos 0.408260 0.252085
a_pos cs_max_neg 0.407288 0.252105
a_pos cs_max_pos 0.407288 0.252105
a_pos c0 0.415014 0.248922
a_pos D 0.428366 0.243024
a_pos Ds_neg 0.403359 0.246338
a_pos Ds_pos 0.398355 0.251658
a_pos d2Udcp2_pos_sgn 0.412528 0.252140
a_pos d2Udcp2_neg_sgn 0.422189 0.248769
a_pos d3Udcp3_pos_sgn 0.407288 0.252105
a_pos d3Udcp3_neg_sgn 0.407288 0.252105
a_pos dUdcp_pos_mag 0.401773 0.252590
a_pos dUdcp_neg_mag 0.385565 0.245390
a_pos d2Udcp2_pos_mag 0.421878 0.257593
a_pos d2Udcp2_neg_mag 0.475656 0.254241
a_pos d3Udcp3_pos_mag 0.407288 0.252105
a_pos d3Udcp3_neg_mag 0.407288 0.252105
a_pos i0_neg 0.393910 0.250381
a_pos i0_pos 0.316817 0.249237
a_pos SOC_neg 0.407288 0.252105
a_pos SOC_pos 0.407288 0.252105
a_pos tP 0.443771 0.245675
a_pos aa_neg 0.278979 0.243145
a_pos aa_pos 0.397039 0.255960
a_pos kappa_0 0.486093 0.274082
a_pos sigma_neg 0.407277 0.252100
a_pos sigma_pos 0.407501 0.251929
l_neg l_sep -0.006738 0.218438
l_neg l_pos -0.006934 0.218629
l_neg Rp_neg -0.009001 0.214565
l_neg Rp_pos -0.005559 0.218563
l_neg epsilon_f_neg -0.007013 0.218630
l_neg epsilon_f_pos -0.007015 0.218634
l_neg epsilon_neg -0.019816 0.221788
l_neg epsilon_sep -0.007012 0.218631
l_neg epsilon_pos 0.020969 0.220137
l_neg Cdl_neg -0.089839 0.194452
l_neg Cdl_pos 0.075745 0.243348
l_neg cs_max_neg -0.007012 0.218631
l_neg cs_max_pos -0.007012 0.218631
l_neg c0 -0.008221 0.220132
l_neg D 0.011940 0.212600
l_neg Ds_neg -0.013297 0.218056
l_neg Ds_pos -0.008601 0.217344
l_neg d2Udcp2_pos_sgn 0.032535 0.228908
l_neg d2Udcp2_neg_sgn -0.048049 0.203402
l_neg d3Udcp3_pos_sgn -0.007012 0.218631
l_neg d3Udcp3_neg_sgn -0.007012 0.218631
l_neg dUdcp_pos_mag -0.023188 0.218072
l_neg dUdcp_neg_mag -0.011727 0.203957
l_neg d2Udcp2_pos_mag -0.031128 0.238792
l_neg d2Udcp2_neg_mag -0.007073 0.216193
l_neg d3Udcp3_pos_mag -0.007012 0.218631
l_neg d3Udcp3_neg_mag -0.007012 0.218631
l_neg i0_neg -0.010576 0.218056
l_neg i0_pos 0.059081 0.197384
l_neg SOC_neg -0.007012 0.218631
l_neg SOC_pos -0.007012 0.218631
l_neg tP -0.044942 0.206434
l_neg aa_neg 0.118443 0.199290
l_neg aa_pos 0.079543 0.219789
l_neg kappa_0 -0.009691 0.222700
l_neg sigma_neg -0.007003 0.218632
l_neg sigma_pos -0.006862 0.218554
l_sep l_pos -0.001170 0.015904
l_sep Rp_neg 0.002594 0.016064
l_sep Rp_pos 0.002046 0.016021
l_sep epsilon_f_neg 0.002315 0.016180
l_sep epsilon_f_pos 0.002316 0.016180
l_sep epsilon_neg -0.002897 0.017171
l_sep epsilon_sep 0.002315 0.016180
l_sep epsilon_pos 0.000878 0.016416
l_sep Cdl_neg 0.002003 0.016181
l_sep Cdl_pos 0.002279 0.016180
l_sep cs_max_neg 0.002315 0.016180
l_sep cs_max_pos 0.002315 0.016180
l_sep c0 0.002202 0.016015
l_sep D 0.003347 0.016583
l_sep Ds_neg 0.004596 0.015997
l_sep Ds_pos 0.003470 0.016193
l_sep d2Udcp2_pos_sgn 0.002385 0.016306
l_sep d2Udcp2_neg_sgn 0.000873 0.015781
l_sep d3Udcp3_pos_sgn 0.002315 0.016180
l_sep d3Udcp3_neg_sgn 0.002315 0.016180
l_sep dUdcp_pos_mag 0.002192 0.016252
l_sep dUdcp_neg_mag 0.003735 0.016291
l_sep d2Udcp2_pos_mag 0.003048 0.016133
l_sep d2Udcp2_neg_mag -0.000837 0.016607
l_sep d3Udcp3_pos_mag 0.002315 0.016180
l_sep d3Udcp3_neg_mag 0.002315 0.016180
l_sep i0_neg 0.000884 0.015863
l_sep i0_pos 0.003856 0.015613
l_sep SOC_neg 0.002315 0.016180
l_sep SOC_pos 0.002315 0.016180
l_sep tP 0.001285 0.016099
l_sep aa_neg 0.015085 0.022881
l_sep aa_pos 0.000227 0.015547
l_sep kappa_0 -0.002023 0.015993
l_sep sigma_neg 0.002316 0.016180
l_sep sigma_pos 0.002328 0.016176
l_pos Rp_neg 0.268694 0.181289
l_pos Rp_pos 0.268732 0.181293
l_pos epsilon_f_neg 0.268748 0.181294
l_pos epsilon_f_pos 0.268748 0.181294
l_pos epsilon_neg 0.267272 0.181603
l_pos epsilon_sep 0.268748 0.181295
l_pos epsilon_pos 0.290533 0.190781
l_pos Cdl_neg 0.268806 0.181289
l_pos Cdl_pos 0.268733 0.181294
l_pos cs_max_neg 0.268748 0.181295
l_pos cs_max_pos 0.268748 0.181295
l_pos c0 0.267922 0.181014
l_pos D 0.280621 0.186270
l_pos Ds_neg 0.273187 0.182920
l_pos Ds_pos 0.268789 0.181300
l_pos d2Udcp2_pos_sgn 0.268798 0.181315
l_pos d2Udcp2_neg_sgn 0.268730 0.181337
l_pos d3Udcp3_pos_sgn 0.268748 0.181295
l_pos d3Udcp3_neg_sgn 0.268748 0.181295
l_pos dUdcp_pos_mag 0.268081 0.181026
l_pos dUdcp_neg_mag 0.267758 0.180944
l_pos d2Udcp2_pos_mag 0.263032 0.179186
l_pos d2Udcp2_neg_mag 0.303237 0.198253
l_pos d3Udcp3_pos_mag 0.268748 0.181295
l_pos d3Udcp3_neg_mag 0.268748 0.181295
l_pos i0_neg 0.262897 0.179147
l_pos i0_pos 0.181272 0.169262
l_pos SOC_neg 0.268748 0.181295
l_pos SOC_pos 0.268748 0.181295
l_pos tP 0.268761 0.181302
l_pos aa_neg 0.186406 0.168605
l_pos aa_pos 0.269146 0.181544
l_pos kappa_0 0.267906 0.180989
l_pos sigma_neg 0.268736 0.181290
l_pos sigma_pos 0.268780 0.181308
Rp_neg Rp_pos 0.012886 0.036649
Rp_neg epsilon_f_neg 0.012757 0.036439
Rp_neg epsilon_f_pos 0.012758 0.036439
Rp_neg epsilon_neg 0.006807 0.035087
Rp_neg epsilon_sep 0.012758 0.036439
Rp_neg epsilon_pos -0.000189 0.032791
Rp_neg Cdl_neg 0.015961 0.033812
Rp_neg Cdl_pos 0.016028 0.034355
Rp_neg cs_max_neg 0.012758 0.036439
Rp_neg cs_max_pos 0.012758 0.036439
Rp_neg c0 0.012408 0.036395
Rp_neg D 0.012535 0.036391
Rp_neg Ds_neg 0.013123 0.035716
Rp_neg Ds_pos 0.024619 0.036557
Rp_neg d2Udcp2_pos_sgn 0.023620 0.033809
Rp_neg d2Udcp2_neg_sgn -0.005567 0.035122
Rp_neg d3Udcp3_pos_sgn 0.012758 0.036439
Rp_neg d3Udcp3_neg_sgn 0.012758 0.036439
Rp_neg dUdcp_pos_mag 0.013803 0.036484
Rp_neg dUdcp_neg_mag 0.016093 0.036393
Rp_neg d2Udcp2_pos_mag 0.013629 0.037276
Rp_neg d2Udcp2_neg_mag 0.010369 0.036684
Rp_neg d3Udcp3_pos_mag 0.012758 0.036439
Rp_neg d3Udcp3_neg_mag 0.012758 0.036439
Rp_neg i0_neg 0.002478 0.034830
Rp_neg i0_pos 0.010477 0.033544
Rp_neg SOC_neg 0.012758 0.036439
Rp_neg SOC_pos 0.012758 0.036439
Rp_neg tP 0.007409 0.034553
Rp_neg aa_neg 0.014557 0.036214
Rp_neg aa_pos 0.019742 0.031399
Rp_neg kappa_0 -0.015088 0.029039
Rp_neg sigma_neg 0.012759 0.036439
Rp_neg sigma_pos 0.012746 0.036437
Rp_pos epsilon_f_neg -0.050859 0.028927
Rp_pos epsilon_f_pos -0.050859 0.028927
Rp_pos epsilon_neg -0.049240 0.028962
Rp_pos epsilon_sep -0.050860 0.028927
Rp_pos epsilon_pos -0.034489 0.024905
Rp_pos Cdl_neg -0.049595 0.029014
Rp_pos Cdl_pos -0.050837 0.028928
Rp_pos cs_max_neg -0.050860 0.028927
Rp_pos cs_max_pos -0.050860 0.028927
Rp_pos c0 -0.050953 0.029026
Rp_pos D -0.051458 0.029002
Rp_pos Ds_neg -0.044277 0.029093
Rp_pos Ds_pos -0.042511 0.026977
Rp_pos d2Udcp2_pos_sgn -0.049969 0.028823
Rp_pos d2Udcp2_neg_sgn -0.050919 0.028930
Rp_pos d3Udcp3_pos_sgn -0.050860 0.028927
Rp_pos d3Udcp3_neg_sgn -0.050860 0.028927
Rp_pos dUdcp_pos_mag -0.049910 0.029043
Rp_pos dUdcp_neg_mag -0.048312 0.028816
Rp_pos d2Udcp2_pos_mag -0.050883 0.028771
Rp_pos d2Udcp2_neg_mag -0.051688 0.028903
Rp_pos d3Udcp3_pos_mag -0.050860 0.028927
Rp_pos d3Udcp3_neg_mag -0.050860 0.028927
Rp_pos i0_neg -0.049521 0.029129
Rp_pos i0_pos -0.050069 0.028972
Rp_pos SOC_neg -0.050860 0.028927
Rp_pos SOC_pos -0.050860 0.028927
Rp_pos tP -0.050983 0.028947
Rp_pos aa_neg -0.050154 0.029191
Rp_pos aa_pos -0.029402 0.025576
Rp_pos kappa_0 -0.049485 0.028776
Rp_pos sigma_neg -0.050860 0.028927
Rp_pos sigma_pos -0.050864 0.028927
epsilon_f_neg epsilon_f_pos 0.000049 0.000045
epsilon_f_neg epsilon_neg 0.000052 0.000045
epsilon_f_neg epsilon_sep 0.000049 0.000045
epsilon_f_neg epsilon_pos 0.000049 0.000045
epsilon_f_neg Cdl_neg 0.000048 0.000045
epsilon_f_neg Cdl_pos 0.000050 0.000046
epsilon_f_neg cs_max_neg 0.000049 0.000045
epsilon_f_neg cs_max_pos 0.000049 0.000045
epsilon_f_neg c0 0.000052 0.000045
epsilon_f_neg D 0.000049 0.000046
epsilon_f_neg Ds_neg 0.000058 0.000056
epsilon_f_neg Ds_pos 0.000048 0.000046
epsilon_f_neg d2Udcp2_pos_sgn 0.000049 0.000045
epsilon_f_neg d2Udcp2_neg_sgn 0.000050 0.000045
epsilon_f_neg d3Udcp3_pos_sgn 0.000049 0.000045
epsilon_f_neg d3Udcp3_neg_sgn 0.000049 0.000045
epsilon_f_neg dUdcp_pos_mag 0.000049 0.000045
epsilon_f_neg dUdcp_neg_mag 0.000050 0.000047
epsilon_f_neg d2Udcp2_pos_mag 0.000049 0.000045
epsilon_f_neg d2Udcp2_neg_mag 0.000047 0.000044
epsilon_f_neg d3Udcp3_pos_mag 0.000049 0.000045
epsilon_f_neg d3Udcp3_neg_mag 0.000049 0.000045
epsilon_f_neg i0_neg 0.000050 0.000047
epsilon_f_neg i0_pos 0.000049 0.000045
epsilon_f_neg SOC_neg 0.000049 0.000045
epsilon_f_neg SOC_pos 0.000049 0.000045
epsilon_f_neg tP 0.000052 0.000045
epsilon_f_neg aa_neg 0.000049 0.000045
epsilon_f_neg aa_pos 0.000049 0.000045
epsilon_f_neg kappa_0 0.000052 0.000045
epsilon_f_neg sigma_neg 0.000049 0.000045
epsilon_f_neg sigma_pos 0.000049 0.000045
epsilon_f_pos epsilon_neg -0.000392 0.000325
epsilon_f_pos epsilon_sep -0.000355 0.000330
epsilon_f_pos epsilon_pos -0.000354 0.000329
epsilon_f_pos Cdl_neg -0.000355 0.000330
epsilon_f_pos Cdl_pos -0.000357 0.000330
epsilon_f_pos cs_max_neg -0.000355 0.000330
epsilon_f_pos cs_max_pos -0.000355 0.000330
epsilon_f_pos c0 -0.000337 0.000329
epsilon_f_pos D -0.000352 0.000330
epsilon_f_pos Ds_neg -0.000345 0.000330
epsilon_f_pos Ds_pos -0.000350 0.000330
epsilon_f_pos d2Udcp2_pos_sgn -0.000343 0.000329
epsilon_f_pos d2Udcp2_neg_sgn -0.000347 0.000329
epsilon_f_pos d3Udcp3_pos_sgn -0.000355 0.000330
epsilon_f_pos d3Udcp3_neg_sgn -0.000355 0.000330
epsilon_f_pos dUdcp_pos_mag -0.000356 0.000330
epsilon_f_pos dUdcp_neg_mag -0.000358 0.000329
epsilon_f_pos d2Udcp2_pos_mag -0.000349 0.000329
epsilon_f_pos d2Udcp2_neg_mag -0.000368 0.000330
epsilon_f_pos d3Udcp3_pos_mag -0.000355 0.000330
epsilon_f_pos d3Udcp3_neg_mag -0.000355 0.000330
epsilon_f_pos i0_neg -0.000348 0.000329
epsilon_f_pos i0_pos -0.000379 0.000331
epsilon_f_pos SOC_neg -0.000355 0.000330
epsilon_f_pos SOC_pos -0.000355 0.000330
epsilon_f_pos tP -0.000344 0.000329
epsilon_f_pos aa_neg -0.000340 0.000330
epsilon_f_pos aa_pos -0.000339 0.000329
epsilon_f_pos kappa_0 -0.000340 0.000329
epsilon_f_pos sigma_neg -0.000355 0.000330
epsilon_f_pos sigma_pos -0.000355 0.000330
epsilon_neg epsilon_sep 0.109397 0.288376
epsilon_neg epsilon_pos 0.284391 0.267412
epsilon_neg Cdl_neg -0.046362 0.297813
epsilon_neg Cdl_pos 0.109427 0.288366
epsilon_neg cs_max_neg 0.109397 0.288376
epsilon_neg cs_max_pos 0.109397 0.288376
epsilon_neg c0 0.180935 0.285770
epsilon_neg D 0.092353 0.283856
epsilon_neg Ds_neg 0.088876 0.279507
epsilon_neg Ds_pos 0.076580 0.297871
epsilon_neg d2Udcp2_pos_sgn 0.096311 0.288733
epsilon_neg d2Udcp2_neg_sgn 0.148264 0.286688
epsilon_neg d3Udcp3_pos_sgn 0.109397 0.288376
epsilon_neg d3Udcp3_neg_sgn 0.109397 0.288376
epsilon_neg dUdcp_pos_mag 0.101093 0.293427
epsilon_neg dUdcp_neg_mag 0.084139 0.282107
epsilon_neg d2Udcp2_pos_mag 0.163440 0.294601
epsilon_neg d2Udcp2_neg_mag 0.104979 0.282780
epsilon_neg d3Udcp3_pos_mag 0.109397 0.288376
epsilon_neg d3Udcp3_neg_mag 0.109397 0.288376
epsilon_neg i0_neg 0.090452 0.245160
epsilon_neg i0_pos 0.090926 0.297854
epsilon_neg SOC_neg 0.109397 0.288376
epsilon_neg SOC_pos 0.109397 0.288376
