Parameter S1 S1_conf ST ST_conf
a_neg 0.165466 0.251321 0.440474 0.127134
a_pos -0.362406 0.208608 0.319673 0.117455
l_neg 0.002930 0.136067 0.194466 0.108274
l_sep 0.003109 0.005923 0.000362 0.000224
l_pos -0.196832 0.172999 0.301971 0.114986
Rp_neg 0.006326 0.014797 0.002741 0.000815
Rp_pos -0.011587 0.028724 0.003866 0.002483
epsilon_f_neg -0.000001 0.000012 0.000000 0.000000
epsilon_f_pos 0.000303 0.000197 0.000000 0.000000
epsilon_neg -0.161979 0.211063 0.461905 0.140176
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.394011 0.236690 0.567738 0.160262
Cdl_neg -0.016169 0.150998 0.258704 0.096753
Cdl_pos -0.099636 0.135418 0.215540 0.102501
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.086112 0.064702 0.048704 0.046680
D -0.015150 0.020897 0.004027 0.002071
Ds_neg -0.032015 0.101157 0.103209 0.040189
Ds_pos 0.052242 0.089716 0.126148 0.053892
d2Udcp2_pos_sgn -0.043607 0.117630 0.127467 0.038296
d2Udcp2_neg_sgn -0.027485 0.074000 0.074901 0.025108
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.013648 0.035590 0.044417 0.036119
dUdcp_neg_mag 0.229545 0.134730 0.213171 0.095596
d2Udcp2_pos_mag 0.047238 0.109612 0.115710 0.058926
d2Udcp2_neg_mag 0.044132 0.072962 0.058165 0.028214
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.159734 0.185936 0.269431 0.111224
i0_pos -0.117556 0.226176 0.363709 0.115445
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.012391 0.077144 0.095740 0.058230
aa_neg -0.046613 0.240372 0.588949 0.194594
aa_pos -0.070849 0.262851 0.728364 0.224215
kappa_0 -0.094430 0.145036 0.301130 0.112774
sigma_neg -0.001604 0.001493 0.000009 0.000008
sigma_pos 0.000052 0.000908 0.000004 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.413189 0.270292
a_neg l_neg -0.512247 0.283983
a_neg l_sep -0.505795 0.284466
a_neg l_pos -0.402084 0.271175
a_neg Rp_neg -0.489185 0.285050
a_neg Rp_pos -0.495158 0.288589
a_neg epsilon_f_neg -0.506302 0.284537
a_neg epsilon_f_pos -0.506441 0.284529
a_neg epsilon_neg -0.516394 0.311180
a_neg epsilon_sep -0.506295 0.284537
a_neg epsilon_pos -0.300431 0.305807
a_neg Cdl_neg -0.322918 0.290773
a_neg Cdl_pos -0.422584 0.273017
a_neg cs_max_neg -0.506295 0.284537
a_neg cs_max_pos -0.506295 0.284537
a_neg c0 -0.503063 0.284312
a_neg D -0.508816 0.285037
a_neg Ds_neg -0.478356 0.275068
a_neg Ds_pos -0.542011 0.298398
a_neg d2Udcp2_pos_sgn -0.479055 0.296487
a_neg d2Udcp2_neg_sgn -0.500512 0.288636
a_neg d3Udcp3_pos_sgn -0.506295 0.284537
a_neg d3Udcp3_neg_sgn -0.506295 0.284537
a_neg dUdcp_pos_mag -0.518252 0.285421
a_neg dUdcp_neg_mag -0.525223 0.299061
a_neg d2Udcp2_pos_mag -0.489049 0.301677
a_neg d2Udcp2_neg_mag -0.543177 0.308938
a_neg d3Udcp3_pos_mag -0.506295 0.284537
a_neg d3Udcp3_neg_mag -0.506295 0.284537
a_neg i0_neg -0.322134 0.285047
a_neg i0_pos -0.190356 0.310897
a_neg SOC_neg -0.506295 0.284537
a_neg SOC_pos -0.506295 0.284537
a_neg tP -0.491972 0.283802
a_neg aa_neg -0.532242 0.319011
a_neg aa_pos -0.278002 0.276198
a_neg kappa_0 -0.394682 0.270647
a_neg sigma_neg -0.505077 0.284632
a_neg sigma_pos -0.506822 0.284499
a_pos l_neg 0.447773 0.248713
a_pos l_sep 0.434695 0.250554
a_pos l_pos 0.532475 0.268566
a_pos Rp_neg 0.427370 0.251156
a_pos Rp_pos 0.436028 0.250324
a_pos epsilon_f_neg 0.436193 0.250306
a_pos epsilon_f_pos 0.436202 0.250305
a_pos epsilon_neg 0.454849 0.253569
a_pos epsilon_sep 0.436194 0.250306
a_pos epsilon_pos 0.451649 0.256799
a_pos Cdl_neg 0.407103 0.249305
a_pos Cdl_pos 0.437408 0.250290
a_pos cs_max_neg 0.436194 0.250306
a_pos cs_max_pos 0.436194 0.250306
