Parameter S1 S1_conf ST ST_conf
a_neg 0.139975 0.254421 0.471838 0.146287
a_pos -0.377322 0.204975 0.339729 0.117127
l_neg -0.007760 0.154824 0.205127 0.115069
l_sep 0.005632 0.005143 0.000152 0.000119
l_pos -0.203877 0.165752 0.318984 0.123427
Rp_neg -0.001848 0.017334 0.007639 0.005400
Rp_pos -0.037829 0.046774 0.007492 0.005856
epsilon_f_neg -0.000008 0.000005 0.000000 0.000000
epsilon_f_pos 0.000071 0.000058 0.000000 0.000000
epsilon_neg -0.172627 0.208323 0.457760 0.147600
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.325507 0.240890 0.569116 0.163271
Cdl_neg -0.030443 0.159245 0.273282 0.107877
Cdl_pos -0.098258 0.137563 0.227716 0.110160
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.100914 0.074058 0.052802 0.048887
D -0.003618 0.016832 0.002696 0.001563
Ds_neg -0.000689 0.112654 0.101082 0.043403
Ds_pos 0.055846 0.090292 0.127955 0.052100
d2Udcp2_pos_sgn -0.040127 0.115922 0.128108 0.038657
d2Udcp2_neg_sgn -0.026591 0.071573 0.060628 0.023710
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.017927 0.027345 0.007320 0.002947
dUdcp_neg_mag 0.228855 0.133819 0.212975 0.092921
d2Udcp2_pos_mag 0.016937 0.123855 0.125946 0.064324
d2Udcp2_neg_mag 0.064528 0.074072 0.065658 0.027694
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.155485 0.185039 0.284945 0.114043
i0_pos -0.113476 0.242035 0.389721 0.128493
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.018850 0.080096 0.090498 0.058688
aa_neg -0.010402 0.255617 0.615392 0.209126
aa_pos 0.019429 0.271418 0.739162 0.233224
kappa_0 -0.129710 0.144857 0.318176 0.119540
sigma_neg -0.000031 0.000047 0.000000 0.000000
sigma_pos -0.000233 0.000354 0.000001 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.426935 0.285005
a_neg l_neg -0.520415 0.298070
a_neg l_sep -0.521142 0.299034
a_neg l_pos -0.423089 0.285490
a_neg Rp_neg -0.509784 0.298749
a_neg Rp_pos -0.496993 0.301601
a_neg epsilon_f_neg -0.521136 0.299069
a_neg epsilon_f_pos -0.521146 0.299073
a_neg epsilon_neg -0.527717 0.326456
a_neg epsilon_sep -0.521136 0.299069
a_neg epsilon_pos -0.376167 0.310702
a_neg Cdl_neg -0.298750 0.307074
a_neg Cdl_pos -0.433176 0.291992
a_neg cs_max_neg -0.521136 0.299069
a_neg cs_max_pos -0.521136 0.299069
a_neg c0 -0.517641 0.298757
a_neg D -0.523092 0.299743
a_neg Ds_neg -0.490092 0.289598
a_neg Ds_pos -0.562013 0.313642
a_neg d2Udcp2_pos_sgn -0.496157 0.308160
a_neg d2Udcp2_neg_sgn -0.506542 0.302097
a_neg d3Udcp3_pos_sgn -0.521136 0.299069
a_neg d3Udcp3_neg_sgn -0.521136 0.299069
a_neg dUdcp_pos_mag -0.524704 0.299432
a_neg dUdcp_neg_mag -0.545180 0.311327
a_neg d2Udcp2_pos_mag -0.486337 0.315141
a_neg d2Udcp2_neg_mag -0.559161 0.321255
a_neg d3Udcp3_pos_mag -0.521136 0.299069
a_neg d3Udcp3_neg_mag -0.521136 0.299069
a_neg i0_neg -0.332110 0.299780
a_neg i0_pos -0.200830 0.334261
a_neg SOC_neg -0.521136 0.299069
a_neg SOC_pos -0.521136 0.299069
a_neg tP -0.498014 0.297667
a_neg aa_neg -0.565810 0.338259
a_neg aa_pos -0.336304 0.289189
a_neg kappa_0 -0.386009 0.284648
a_neg sigma_neg -0.521113 0.299069
a_neg sigma_pos -0.521212 0.299052
a_pos l_neg 0.458276 0.246254
a_pos l_sep 0.440863 0.247773
a_pos l_pos 0.537798 0.267291
a_pos Rp_neg 0.437908 0.247012
a_pos Rp_pos 0.441194 0.247831
a_pos epsilon_f_neg 0.441088 0.247793
a_pos epsilon_f_pos 0.441090 0.247792
a_pos epsilon_neg 0.467215 0.251035
a_pos epsilon_sep 0.441089 0.247793
a_pos epsilon_pos 0.449923 0.251407
a_pos Cdl_neg 0.426471 0.245113
a_pos Cdl_pos 0.442527 0.247822
a_pos cs_max_neg 0.441089 0.247793
a_pos cs_max_pos 0.441089 0.247793
a_pos c0 0.431857 0.245699
a_pos D 0.441617 0.247974
a_pos Ds_neg 0.444253 0.240864
a_pos Ds_pos 0.458674 0.247893
a_pos d2Udcp2_pos_sgn 0.453633 0.247974
a_pos d2Udcp2_neg_sgn 0.442968 0.248190
a_pos d3Udcp3_pos_sgn 0.441089 0.247793
a_pos d3Udcp3_neg_sgn 0.441089 0.247793
a_pos dUdcp_pos_mag 0.439477 0.247191
a_pos dUdcp_neg_mag 0.440764 0.244361
a_pos d2Udcp2_pos_mag 0.454604 0.250767
a_pos d2Udcp2_neg_mag 0.522211 0.251259
a_pos d3Udcp3_pos_mag 0.441089 0.247793
a_pos d3Udcp3_neg_mag 0.441089 0.247793
a_pos i0_neg 0.433359 0.247050
a_pos i0_pos 0.339137 0.244031
a_pos SOC_neg 0.441089 0.247793
a_pos SOC_pos 0.441089 0.247793
a_pos tP 0.442531 0.247818
a_pos aa_neg 0.278548 0.246308
a_pos aa_pos 0.412859 0.252909
a_pos kappa_0 0.533438 0.266453
a_pos sigma_neg 0.441065 0.247786
a_pos sigma_pos 0.441220 0.247780
l_neg l_sep 0.000431 0.237546
l_neg l_pos 0.000245 0.237575
l_neg Rp_neg -0.006192 0.231950
l_neg Rp_pos 0.001959 0.237666
l_neg epsilon_f_neg 0.000359 0.237583
l_neg epsilon_f_pos 0.000373 0.237590
l_neg epsilon_neg -0.004888 0.234644
l_neg epsilon_sep 0.000360 0.237584
l_neg epsilon_pos 0.010747 0.237243
l_neg Cdl_neg -0.090723 0.216793
l_neg Cdl_pos 0.091345 0.264360
l_neg cs_max_neg 0.000360 0.237584
l_neg cs_max_pos 0.000360 0.237584
l_neg c0 -0.000457 0.238011
l_neg D 0.012481 0.232973
l_neg Ds_neg 0.015493 0.239467
l_neg Ds_pos -0.008678 0.237695
l_neg d2Udcp2_pos_sgn 0.047124 0.247451
l_neg d2Udcp2_neg_sgn -0.040988 0.224088
l_neg d3Udcp3_pos_sgn 0.000360 0.237584
