Parameter S1 S1_conf ST ST_conf
a_neg 0.174904 0.259889 0.489824 0.156034
a_pos -0.383870 0.215742 0.364943 0.123350
l_neg -0.015162 0.164719 0.212833 0.109369
l_sep 0.007547 0.005350 0.000223 0.000164
l_pos -0.216091 0.178410 0.336796 0.127786
Rp_neg -0.016190 0.020781 0.003526 0.002012
Rp_pos -0.014083 0.024577 0.002302 0.001466
epsilon_f_neg -0.000006 0.000005 0.000000 0.000000
epsilon_f_pos 0.000053 0.000048 0.000000 0.000000
epsilon_neg -0.155741 0.231486 0.464287 0.149822
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.322466 0.240985 0.584493 0.167080
Cdl_neg -0.018769 0.161648 0.288500 0.108243
Cdl_pos -0.099499 0.142107 0.240459 0.113250
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.115553 0.077290 0.056534 0.049778
D 0.002622 0.014515 0.001798 0.001428
Ds_neg 0.002266 0.115230 0.095748 0.043784
Ds_pos 0.073562 0.087842 0.115419 0.049211
d2Udcp2_pos_sgn -0.025566 0.119373 0.118744 0.034795
d2Udcp2_neg_sgn -0.021140 0.071024 0.046709 0.021456
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.025473 0.024906 0.006896 0.002876
dUdcp_neg_mag 0.236931 0.132698 0.205350 0.085224
d2Udcp2_pos_mag 0.008991 0.130134 0.132450 0.065458
d2Udcp2_neg_mag 0.070379 0.071958 0.068826 0.027622
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.144386 0.189471 0.288463 0.117067
i0_pos -0.123071 0.233206 0.409475 0.136132
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.024357 0.083944 0.079124 0.054581
aa_neg -0.020030 0.254362 0.627654 0.209550
aa_pos 0.048547 0.276662 0.752660 0.227394
kappa_0 -0.141759 0.149309 0.336857 0.126290
sigma_neg 0.000002 0.000047 0.000000 0.000000
sigma_pos -0.000039 0.000273 0.000001 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.459826 0.285665
a_neg l_neg -0.537867 0.305070
a_neg l_sep -0.549758 0.305500
a_neg l_pos -0.454616 0.286290
a_neg Rp_neg -0.550257 0.306236
a_neg Rp_pos -0.550632 0.306847
a_neg epsilon_f_neg -0.549533 0.305476
a_neg epsilon_f_pos -0.549527 0.305481
a_neg epsilon_neg -0.559633 0.331069
a_neg epsilon_sep -0.549533 0.305476
a_neg epsilon_pos -0.405143 0.317786
a_neg Cdl_neg -0.353411 0.310040
a_neg Cdl_pos -0.456979 0.295591
a_neg cs_max_neg -0.549533 0.305476
a_neg cs_max_pos -0.549533 0.305476
a_neg c0 -0.547509 0.305329
a_neg D -0.551180 0.306031
a_neg Ds_neg -0.507694 0.295097
a_neg Ds_pos -0.585637 0.324742
a_neg d2Udcp2_pos_sgn -0.522221 0.315725
a_neg d2Udcp2_neg_sgn -0.553530 0.308776
a_neg d3Udcp3_pos_sgn -0.549533 0.305476
a_neg d3Udcp3_neg_sgn -0.549533 0.305476
a_neg dUdcp_pos_mag -0.557424 0.307138
a_neg dUdcp_neg_mag -0.572629 0.323502
a_neg d2Udcp2_pos_mag -0.524345 0.320200
a_neg d2Udcp2_neg_mag -0.580666 0.327392
a_neg d3Udcp3_pos_mag -0.549533 0.305476
a_neg d3Udcp3_neg_mag -0.549533 0.305476
a_neg i0_neg -0.356271 0.303330
a_neg i0_pos -0.241473 0.321467
a_neg SOC_neg -0.549533 0.305476
a_neg SOC_pos -0.549533 0.305476
a_neg tP -0.545166 0.305242
a_neg aa_neg -0.622214 0.342947
a_neg aa_pos -0.368393 0.297216
a_neg kappa_0 -0.457131 0.286440
a_neg sigma_neg -0.549515 0.305478
a_neg sigma_pos -0.549676 0.305428
a_pos l_neg 0.470772 0.263461
a_pos l_sep 0.454985 0.265325
a_pos l_pos 0.552636 0.278939
a_pos Rp_neg 0.461666 0.263084
a_pos Rp_pos 0.455472 0.265347
a_pos epsilon_f_neg 0.454696 0.265352
a_pos epsilon_f_pos 0.454697 0.265351
a_pos epsilon_neg 0.485287 0.265648
a_pos epsilon_sep 0.454696 0.265352
a_pos epsilon_pos 0.454839 0.266363
a_pos Cdl_neg 0.438173 0.262321
a_pos Cdl_pos 0.456164 0.265124
a_pos cs_max_neg 0.454696 0.265352
a_pos cs_max_pos 0.454696 0.265352
a_pos c0 0.439985 0.261700
a_pos D 0.452088 0.265037
a_pos Ds_neg 0.455053 0.259812
a_pos Ds_pos 0.484147 0.266425
a_pos d2Udcp2_pos_sgn 0.473598 0.265637
a_pos d2Udcp2_neg_sgn 0.455146 0.265615
a_pos d3Udcp3_pos_sgn 0.454696 0.265352
a_pos d3Udcp3_neg_sgn 0.454696 0.265352
a_pos dUdcp_pos_mag 0.456272 0.265699
a_pos dUdcp_neg_mag 0.490402 0.267090
a_pos d2Udcp2_pos_mag 0.459191 0.264338
a_pos d2Udcp2_neg_mag 0.536304 0.266541
a_pos d3Udcp3_pos_mag 0.454696 0.265352
a_pos d3Udcp3_neg_mag 0.454696 0.265352
a_pos i0_neg 0.444569 0.263867
a_pos i0_pos 0.338873 0.256791
a_pos SOC_neg 0.454696 0.265352
a_pos SOC_pos 0.454696 0.265352
a_pos tP 0.453669 0.265341
a_pos aa_neg 0.282069 0.262738
a_pos aa_pos 0.436434 0.269034
a_pos kappa_0 0.549670 0.278551
a_pos sigma_neg 0.454683 0.265347
a_pos sigma_pos 0.454763 0.265352
l_neg l_sep -0.000711 0.265763
l_neg l_pos -0.000884 0.265773
l_neg Rp_neg -0.009823 0.259927
l_neg Rp_pos 0.000716 0.265890
l_neg epsilon_f_neg -0.000724 0.265780
l_neg epsilon_f_pos -0.000705 0.265789
l_neg epsilon_neg -0.009717 0.261291
l_neg epsilon_sep -0.000723 0.265780
l_neg epsilon_pos 0.006390 0.265205
l_neg Cdl_neg -0.096872 0.232715
l_neg Cdl_pos 0.095298 0.294931
l_neg cs_max_neg -0.000723 0.265780
l_neg cs_max_pos -0.000723 0.265780
l_neg c0 -0.001455 0.266080
l_neg D 0.007241 0.262295
l_neg Ds_neg 0.019241 0.270747
l_neg Ds_pos -0.013014 0.266186
l_neg d2Udcp2_pos_sgn 0.046451 0.276108
l_neg d2Udcp2_neg_sgn -0.006511 0.263037
l_neg d3Udcp3_pos_sgn -0.000723 0.265780
l_neg d3Udcp3_neg_sgn -0.000723 0.265780
l_neg dUdcp_pos_mag -0.009195 0.266228
l_neg dUdcp_neg_mag -0.020017 0.255626
l_neg d2Udcp2_pos_mag -0.001689 0.286325
l_neg d2Udcp2_neg_mag -0.001046 0.265791
l_neg d3Udcp3_pos_mag -0.000723 0.265780
l_neg d3Udcp3_neg_mag -0.000723 0.265780
l_neg i0_neg -0.002317 0.264680
l_neg i0_pos 0.078545 0.236877
l_neg SOC_neg -0.000723 0.265780
l_neg SOC_pos -0.000723 0.265780
l_neg tP -0.022196 0.256631
l_neg aa_neg 0.191628 0.239817
l_neg aa_pos 0.143817 0.258711
l_neg kappa_0 -0.001334 0.267718
l_neg sigma_neg -0.000719 0.265780
l_neg sigma_pos -0.000794 0.265738
l_sep l_pos -0.007795 0.005399
l_sep Rp_neg -0.007264 0.005416
l_sep Rp_pos -0.007234 0.005415
l_sep epsilon_f_neg -0.007274 0.005415
l_sep epsilon_f_pos -0.007274 0.005415
l_sep epsilon_neg -0.008171 0.005421
l_sep epsilon_sep -0.007274 0.005415
l_sep epsilon_pos -0.007343 0.005433
l_sep Cdl_neg -0.007166 0.005418
l_sep Cdl_pos -0.007331 0.005415
l_sep cs_max_neg -0.007274 0.005415
l_sep cs_max_pos -0.007274 0.005415
l_sep c0 -0.007753 0.005387
l_sep D -0.007278 0.005416
l_sep Ds_neg -0.007093 0.005428
l_sep Ds_pos -0.007011 0.005422
l_sep d2Udcp2_pos_sgn -0.007263 0.005415
l_sep d2Udcp2_neg_sgn -0.007436 0.005405
l_sep d3Udcp3_pos_sgn -0.007274 0.005415
l_sep d3Udcp3_neg_sgn -0.007274 0.005415
l_sep dUdcp_pos_mag -0.007277 0.005416
l_sep dUdcp_neg_mag -0.007062 0.005416
l_sep d2Udcp2_pos_mag -0.007162 0.005416
l_sep d2Udcp2_neg_mag -0.007526 0.005423
l_sep d3Udcp3_pos_mag -0.007274 0.005415
l_sep d3Udcp3_neg_mag -0.007274 0.005415
l_sep i0_neg -0.007800 0.005418
l_sep i0_pos -0.007646 0.005397
l_sep SOC_neg -0.007274 0.005415
l_sep SOC_pos -0.007274 0.005415
l_sep tP -0.007716 0.005389
l_sep aa_neg -0.007738 0.005493
