Parameter S1 S1_conf ST ST_conf
a_neg 0.145233 0.256415 0.482361 0.152811
a_pos -0.400955 0.212570 0.389445 0.126317
l_neg -0.004384 0.173508 0.209799 0.111914
l_sep 0.006621 0.004769 0.000179 0.000139
l_pos -0.227840 0.188429 0.348964 0.131366
Rp_neg -0.022285 0.026983 0.004742 0.002781
Rp_pos -0.022608 0.026283 0.003119 0.002081
epsilon_f_neg -0.000012 0.000012 0.000000 0.000000
epsilon_f_pos 0.000031 0.000057 0.000000 0.000000
epsilon_neg -0.165151 0.234576 0.450706 0.149203
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.330814 0.237546 0.600790 0.173890
Cdl_neg -0.008426 0.164498 0.298807 0.115697
Cdl_pos -0.100461 0.145805 0.249147 0.116378
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.133474 0.082868 0.059993 0.052220
D -0.000391 0.005573 0.000229 0.000145
Ds_neg 0.025321 0.108712 0.078578 0.042983
Ds_pos 0.054515 0.080465 0.076549 0.040118
d2Udcp2_pos_sgn -0.031530 0.122326 0.107957 0.035067
d2Udcp2_neg_sgn 0.026516 0.053709 0.030057 0.017380
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.013954 0.021143 0.003022 0.001193
dUdcp_neg_mag 0.223368 0.131049 0.168766 0.076701
d2Udcp2_pos_mag -0.016589 0.132954 0.130764 0.063902
d2Udcp2_neg_mag 0.066504 0.078489 0.063925 0.025715
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.135272 0.190071 0.289961 0.117796
i0_pos -0.155212 0.225511 0.406506 0.144471
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.034185 0.088495 0.071373 0.054360
aa_neg -0.073580 0.248864 0.576659 0.182251
aa_pos 0.064942 0.267826 0.654369 0.195428
kappa_0 -0.153289 0.157051 0.349279 0.133300
sigma_neg 0.000070 0.000088 0.000000 0.000000
sigma_pos -0.000041 0.000331 0.000002 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.436544 0.289225
a_neg l_neg -0.498133 0.305910
a_neg l_sep -0.516178 0.305574
a_neg l_pos -0.423997 0.289680
a_neg Rp_neg -0.526858 0.307551
a_neg Rp_pos -0.515129 0.306470
a_neg epsilon_f_neg -0.515913 0.305544
a_neg epsilon_f_pos -0.515890 0.305552
a_neg epsilon_neg -0.525375 0.326074
a_neg epsilon_sep -0.515912 0.305544
a_neg epsilon_pos -0.375290 0.313657
a_neg Cdl_neg -0.312428 0.313068
a_neg Cdl_pos -0.421088 0.296517
a_neg cs_max_neg -0.515912 0.305544
a_neg cs_max_pos -0.515912 0.305544
a_neg c0 -0.513905 0.305444
a_neg D -0.517122 0.305871
a_neg Ds_neg -0.483086 0.296831
a_neg Ds_pos -0.516331 0.321200
a_neg d2Udcp2_pos_sgn -0.482794 0.315596
a_neg d2Udcp2_neg_sgn -0.561144 0.321456
a_neg d3Udcp3_pos_sgn -0.515912 0.305544
a_neg d3Udcp3_neg_sgn -0.515912 0.305544
a_neg dUdcp_pos_mag -0.524872 0.307086
a_neg dUdcp_neg_mag -0.520015 0.323045
a_neg d2Udcp2_pos_mag -0.486244 0.319954
a_neg d2Udcp2_neg_mag -0.540018 0.326145
a_neg d3Udcp3_pos_mag -0.515912 0.305544
a_neg d3Udcp3_neg_mag -0.515912 0.305544
a_neg i0_neg -0.319804 0.307013
a_neg i0_pos -0.208350 0.317316
a_neg SOC_neg -0.515912 0.305544
a_neg SOC_pos -0.515912 0.305544
a_neg tP -0.513240 0.305476
a_neg aa_neg -0.583659 0.340278
a_neg aa_pos -0.314904 0.296354
a_neg kappa_0 -0.426493 0.289860
a_neg sigma_neg -0.515885 0.305549
a_neg sigma_pos -0.516114 0.305418
a_pos l_neg 0.477020 0.263537
a_pos l_sep 0.469163 0.263927
a_pos l_pos 0.568389 0.274957
a_pos Rp_neg 0.484463 0.260217
a_pos Rp_pos 0.471045 0.263864
a_pos epsilon_f_neg 0.468853 0.263925
a_pos epsilon_f_pos 0.468854 0.263925
a_pos epsilon_neg 0.497200 0.262704
a_pos epsilon_sep 0.468854 0.263925
a_pos epsilon_pos 0.465124 0.263977
a_pos Cdl_neg 0.452826 0.261434
a_pos Cdl_pos 0.470127 0.263759
a_pos cs_max_neg 0.468854 0.263925
a_pos cs_max_pos 0.468854 0.263925
