Parameter S1 S1_conf ST ST_conf
a_neg 0.000989 0.237924 0.447144 0.167326
a_pos -0.507214 0.226139 0.377967 0.134054
l_neg -0.090884 0.139712 0.161870 0.103490
l_sep -0.006191 0.008691 0.000321 0.000320
l_pos -0.244119 0.204093 0.368100 0.143003
Rp_neg -0.019228 0.029886 0.005175 0.002994
Rp_pos -0.021435 0.024573 0.002567 0.002101
epsilon_f_neg -0.000011 0.000008 0.000000 0.000000
epsilon_f_pos -0.000139 0.000146 0.000000 0.000000
epsilon_neg -0.231790 0.258141 0.465844 0.153963
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.456257 0.248775 0.575604 0.175401
Cdl_neg 0.001786 0.171536 0.314906 0.123675
Cdl_pos -0.101082 0.152775 0.262837 0.126080
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.125357 0.085199 0.060255 0.057055
D 0.000127 0.002862 0.000061 0.000029
Ds_neg -0.036282 0.051241 0.031530 0.012654
Ds_pos 0.015596 0.047323 0.071233 0.042705
d2Udcp2_pos_sgn -0.007388 0.101881 0.090465 0.032191
d2Udcp2_neg_sgn 0.027344 0.045224 0.025216 0.016220
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.007830 0.019048 0.002559 0.001155
dUdcp_neg_mag 0.085378 0.063875 0.120241 0.069363
d2Udcp2_pos_mag -0.017136 0.082991 0.116934 0.066602
d2Udcp2_neg_mag 0.002247 0.062141 0.046094 0.023770
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.172351 0.215270 0.307963 0.136262
i0_pos -0.247357 0.229011 0.365710 0.129023
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.093640 0.087357 0.064652 0.057658
aa_neg -0.202667 0.240105 0.508354 0.140344
aa_pos -0.088817 0.263880 0.557696 0.155783
kappa_0 -0.171656 0.170680 0.368263 0.143656
sigma_neg 0.000079 0.000043 0.000000 0.000000
sigma_pos -0.001038 0.000674 0.000005 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.268155 0.264194
a_neg l_neg -0.311681 0.285076
a_neg l_sep -0.332394 0.285549
a_neg l_pos -0.237975 0.263089
a_neg Rp_neg -0.347014 0.288489
a_neg Rp_pos -0.328251 0.285231
a_neg epsilon_f_neg -0.332173 0.285530
a_neg epsilon_f_pos -0.332117 0.285552
a_neg epsilon_neg -0.335802 0.305186
a_neg epsilon_sep -0.332173 0.285529
a_neg epsilon_pos -0.197440 0.303000
a_neg Cdl_neg -0.170071 0.304519
a_neg Cdl_pos -0.289504 0.281142
a_neg cs_max_neg -0.332173 0.285529
a_neg cs_max_pos -0.332173 0.285529
a_neg c0 -0.329934 0.285381
a_neg D -0.333043 0.285770
a_neg Ds_neg -0.319880 0.281618
a_neg Ds_pos -0.271649 0.288718
a_neg d2Udcp2_pos_sgn -0.270659 0.288409
a_neg d2Udcp2_neg_sgn -0.351481 0.289787
a_neg d3Udcp3_pos_sgn -0.332173 0.285529
a_neg d3Udcp3_neg_sgn -0.332173 0.285529
a_neg dUdcp_pos_mag -0.335667 0.285736
a_neg dUdcp_neg_mag -0.275556 0.287129
a_neg d2Udcp2_pos_mag -0.291165 0.284676
a_neg d2Udcp2_neg_mag -0.353112 0.297917
a_neg d3Udcp3_pos_mag -0.332173 0.285529
a_neg d3Udcp3_neg_mag -0.332173 0.285529
a_neg i0_neg -0.124177 0.294152
a_neg i0_pos -0.055853 0.303255
a_neg SOC_neg -0.332173 0.285529
a_neg SOC_pos -0.332173 0.285529
a_neg tP -0.329807 0.285643
a_neg aa_neg -0.324271 0.314730
a_neg aa_pos -0.118838 0.260473
a_neg kappa_0 -0.238039 0.263219
a_neg sigma_neg -0.332117 0.285544
a_neg sigma_pos -0.332487 0.285150
a_pos l_neg 0.538480 0.285585
a_pos l_sep 0.533587 0.285562
a_pos l_pos 0.637537 0.297391
a_pos Rp_neg 0.547011 0.281787
a_pos Rp_pos 0.537032 0.285376
a_pos epsilon_f_neg 0.533487 0.285558
a_pos epsilon_f_pos 0.533487 0.285558
a_pos epsilon_neg 0.557087 0.283121
a_pos epsilon_sep 0.533487 0.285558
a_pos epsilon_pos 0.530052 0.285459
a_pos Cdl_neg 0.567408 0.281596
a_pos Cdl_pos 0.580001 0.283696
a_pos cs_max_neg 0.533487 0.285558
a_pos cs_max_pos 0.533487 0.285558
a_pos c0 0.528568 0.284776
a_pos D 0.532327 0.285380
a_pos Ds_neg 0.546487 0.282662
a_pos Ds_pos 0.577328 0.286887
a_pos d2Udcp2_pos_sgn 0.558501 0.285262
a_pos d2Udcp2_neg_sgn 0.514209 0.288717
a_pos d3Udcp3_pos_sgn 0.533487 0.285558
a_pos d3Udcp3_neg_sgn 0.533487 0.285558
a_pos dUdcp_pos_mag 0.534944 0.285881
a_pos dUdcp_neg_mag 0.604207 0.289551
a_pos d2Udcp2_pos_mag 0.549617 0.285018
a_pos d2Udcp2_neg_mag 0.590347 0.280512
a_pos d3Udcp3_pos_mag 0.533487 0.285558
a_pos d3Udcp3_neg_mag 0.533487 0.285558
a_pos i0_neg 0.522277 0.281104
a_pos i0_pos 0.495276 0.270746
a_pos SOC_neg 0.533487 0.285558
a_pos SOC_pos 0.533487 0.285558
a_pos tP 0.530912 0.285415
a_pos aa_neg 0.346929 0.287845
a_pos aa_pos 0.575133 0.284591
a_pos kappa_0 0.637456 0.297393
a_pos sigma_neg 0.533487 0.285558
a_pos sigma_pos 0.533458 0.285560
l_neg l_sep 0.062800 0.250451
l_neg l_pos 0.062752 0.250440
l_neg Rp_neg 0.054413 0.247757
l_neg Rp_pos 0.063475 0.250455
l_neg epsilon_f_neg 0.062824 0.250441
l_neg epsilon_f_pos 0.062832 0.250445
l_neg epsilon_neg 0.061394 0.247799
l_neg epsilon_sep 0.062824 0.250441
l_neg epsilon_pos 0.074233 0.250390
l_neg Cdl_neg -0.042153 0.216827
l_neg Cdl_pos 0.167225 0.278442
l_neg cs_max_neg 0.062824 0.250441
l_neg cs_max_pos 0.062824 0.250441
l_neg c0 0.062621 0.250660
l_neg D 0.063889 0.249847
l_neg Ds_neg 0.087732 0.260869
l_neg Ds_pos 0.075483 0.249943
l_neg d2Udcp2_pos_sgn 0.114137 0.258812
l_neg d2Udcp2_neg_sgn 0.062332 0.250184
l_neg d3Udcp3_pos_sgn 0.062824 0.250441
l_neg d3Udcp3_neg_sgn 0.062824 0.250441
l_neg dUdcp_pos_mag 0.055552 0.250789
l_neg dUdcp_neg_mag 0.025616 0.254756
l_neg d2Udcp2_pos_mag 0.079823 0.259879
l_neg d2Udcp2_neg_mag 0.063128 0.250447
l_neg d3Udcp3_pos_mag 0.062824 0.250441
l_neg d3Udcp3_neg_mag 0.062824 0.250441
l_neg i0_neg 0.059610 0.248302
l_neg i0_pos 0.156945 0.218435
l_neg SOC_neg 0.062824 0.250441
l_neg SOC_pos 0.062824 0.250441
l_neg tP 0.061744 0.250370
l_neg aa_neg 0.272762 0.216933
l_neg aa_pos 0.220156 0.243618
l_neg kappa_0 0.062135 0.250600
l_neg sigma_neg 0.062837 0.250442
l_neg sigma_pos 0.062792 0.250423
l_sep l_pos 0.006276 0.008693
l_sep Rp_neg 0.006346 0.008696
l_sep Rp_pos 0.006341 0.008696
l_sep epsilon_f_neg 0.006341 0.008696
l_sep epsilon_f_pos 0.006341 0.008696
l_sep epsilon_neg 0.006324 0.008697
l_sep epsilon_sep 0.006341 0.008696
l_sep epsilon_pos 0.006336 0.008702
l_sep Cdl_neg 0.006306 0.008697
l_sep Cdl_pos 0.006347 0.008697
l_sep cs_max_neg 0.006341 0.008696
l_sep cs_max_pos 0.006341 0.008696
l_sep c0 0.006320 0.008696
l_sep D 0.006340 0.008696
l_sep Ds_neg 0.006361 0.008697
l_sep Ds_pos 0.006360 0.008696
l_sep d2Udcp2_pos_sgn 0.006353 0.008696
l_sep d2Udcp2_neg_sgn 0.006344 0.008696
l_sep d3Udcp3_pos_sgn 0.006341 0.008696
l_sep d3Udcp3_neg_sgn 0.006341 0.008696
l_sep dUdcp_pos_mag 0.006343 0.008696
l_sep dUdcp_neg_mag 0.006351 0.008697
l_sep d2Udcp2_pos_mag 0.006356 0.008696
l_sep d2Udcp2_neg_mag 0.006346 0.008696
l_sep d3Udcp3_pos_mag 0.006341 0.008696
l_sep d3Udcp3_neg_mag 0.006341 0.008696
