Parameter S1 S1_conf ST ST_conf
a_neg -0.001204 0.233713 0.465396 0.167000
a_pos -0.518566 0.231971 0.405927 0.140594
l_neg -0.102485 0.139134 0.164852 0.097416
l_sep 0.000085 0.000593 0.000004 0.000003
l_pos -0.253477 0.211420 0.382078 0.147903
Rp_neg -0.020409 0.025440 0.003440 0.002252
Rp_pos -0.011647 0.017725 0.001447 0.001200
epsilon_f_neg -0.000007 0.000009 0.000000 0.000000
epsilon_f_pos -0.000045 0.000050 0.000000 0.000000
epsilon_neg -0.240359 0.257571 0.497694 0.166264
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.458654 0.248348 0.566966 0.167342
Cdl_neg 0.018786 0.161396 0.326220 0.129640
Cdl_pos -0.081076 0.140901 0.272971 0.128361
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.102172 0.078454 0.059241 0.056897
D -0.000429 0.001747 0.000044 0.000026
Ds_neg 0.005625 0.044373 0.028789 0.013275
Ds_pos 0.005995 0.041730 0.068635 0.045475
d2Udcp2_pos_sgn 0.039247 0.089969 0.074365 0.029906
d2Udcp2_neg_sgn 0.009290 0.019350 0.016635 0.013071
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.009628 0.020716 0.002361 0.001543
dUdcp_neg_mag 0.060159 0.061573 0.109773 0.070617
d2Udcp2_pos_mag -0.022268 0.081591 0.114549 0.066726
d2Udcp2_neg_mag -0.016435 0.049397 0.037542 0.022172
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.138629 0.205272 0.313341 0.131557
i0_pos -0.255319 0.216533 0.391476 0.145590
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.088431 0.080275 0.061348 0.056965
aa_neg -0.209977 0.229550 0.453784 0.120724
aa_pos -0.073037 0.251638 0.558054 0.153673
kappa_0 -0.172786 0.171538 0.382103 0.141226
sigma_neg 0.000029 0.000053 0.000000 0.000000
sigma_pos -0.001500 0.001165 0.000024 0.000020

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.272605 0.239410
a_neg l_neg -0.322762 0.261433
a_neg l_sep -0.350457 0.263086
a_neg l_pos -0.249673 0.238402
a_neg Rp_neg -0.358888 0.264610
a_neg Rp_pos -0.350837 0.263412
a_neg epsilon_f_neg -0.350398 0.263086
a_neg epsilon_f_pos -0.350259 0.263120
a_neg epsilon_neg -0.338398 0.277963
a_neg epsilon_sep -0.350397 0.263086
a_neg epsilon_pos -0.244668 0.285819
a_neg Cdl_neg -0.198118 0.286760
a_neg Cdl_pos -0.328969 0.260905
a_neg cs_max_neg -0.350397 0.263086
a_neg cs_max_pos -0.350397 0.263086
a_neg c0 -0.348270 0.263106
a_neg D -0.350802 0.263257
a_neg Ds_neg -0.358220 0.263316
a_neg Ds_pos -0.280639 0.270313
a_neg d2Udcp2_pos_sgn -0.295852 0.267086
a_neg d2Udcp2_neg_sgn -0.356400 0.263842
a_neg d3Udcp3_pos_sgn -0.350397 0.263086
a_neg d3Udcp3_neg_sgn -0.350397 0.263086
a_neg dUdcp_pos_mag -0.351294 0.263034
a_neg dUdcp_neg_mag -0.300104 0.270067
a_neg d2Udcp2_pos_mag -0.313943 0.265104
a_neg d2Udcp2_neg_mag -0.357188 0.271313
a_neg d3Udcp3_pos_mag -0.350397 0.263086
a_neg d3Udcp3_neg_mag -0.350397 0.263086
a_neg i0_neg -0.131121 0.275215
a_neg i0_pos -0.070251 0.281330
a_neg SOC_neg -0.350397 0.263086
a_neg SOC_pos -0.350397 0.263086
a_neg tP -0.348423 0.263197
a_neg aa_neg -0.334481 0.289207
a_neg aa_pos -0.140301 0.242261
a_neg kappa_0 -0.248470 0.238777
a_neg sigma_neg -0.350261 0.263106
a_neg sigma_pos -0.350489 0.262279
a_pos l_neg 0.535796 0.293290
a_pos l_sep 0.532758 0.293179
a_pos l_pos 0.639193 0.307885
a_pos Rp_neg 0.546608 0.289344
a_pos Rp_pos 0.535107 0.292918
a_pos epsilon_f_neg 0.532746 0.293173
a_pos epsilon_f_pos 0.532745 0.293173
a_pos epsilon_neg 0.559252 0.288902
a_pos epsilon_sep 0.532747 0.293173
a_pos epsilon_pos 0.530193 0.293073
a_pos Cdl_neg 0.556827 0.290635
a_pos Cdl_pos 0.559977 0.290663
a_pos cs_max_neg 0.532747 0.293173
a_pos cs_max_pos 0.532747 0.293173
a_pos c0 0.530581 0.293007
a_pos D 0.533034 0.293164
a_pos Ds_neg 0.531420 0.292764
a_pos Ds_pos 0.577169 0.292225
a_pos d2Udcp2_pos_sgn 0.555001 0.291509
a_pos d2Udcp2_neg_sgn 0.526855 0.293860
a_pos d3Udcp3_pos_sgn 0.532747 0.293173
a_pos d3Udcp3_neg_sgn 0.532747 0.293173
a_pos dUdcp_pos_mag 0.534754 0.293298
a_pos dUdcp_neg_mag 0.599152 0.292381
a_pos d2Udcp2_pos_mag 0.555545 0.292297
a_pos d2Udcp2_neg_mag 0.592523 0.285509
a_pos d3Udcp3_pos_mag 0.532747 0.293173
a_pos d3Udcp3_neg_mag 0.532747 0.293173
a_pos i0_neg 0.525888 0.289879
a_pos i0_pos 0.481465 0.267542
a_pos SOC_neg 0.532747 0.293173
a_pos SOC_pos 0.532747 0.293173
a_pos tP 0.531372 0.293149
a_pos aa_neg 0.341649 0.287501
a_pos aa_pos 0.558576 0.292055
a_pos kappa_0 0.641239 0.308472
a_pos sigma_neg 0.532754 0.293172
a_pos sigma_pos 0.532704 0.293176
l_neg l_sep 0.066993 0.242722
l_neg l_pos 0.067158 0.242710
l_neg Rp_neg 0.061871 0.242062
l_neg Rp_pos 0.066958 0.242785
l_neg epsilon_f_neg 0.066979 0.242714
l_neg epsilon_f_pos 0.066985 0.242716
l_neg epsilon_neg 0.073403 0.241809
l_neg epsilon_sep 0.066981 0.242714
l_neg epsilon_pos 0.086939 0.243632
l_neg Cdl_neg -0.041793 0.216012
l_neg Cdl_pos 0.174482 0.278441
l_neg cs_max_neg 0.066981 0.242714
l_neg cs_max_pos 0.066981 0.242714
l_neg c0 0.067113 0.242834
l_neg D 0.066314 0.242847
l_neg Ds_neg 0.093964 0.254049
l_neg Ds_pos 0.083806 0.241470
l_neg d2Udcp2_pos_sgn 0.119297 0.254243
l_neg d2Udcp2_neg_sgn 0.066748 0.242608
l_neg d3Udcp3_pos_sgn 0.066981 0.242714
l_neg d3Udcp3_neg_sgn 0.066981 0.242714
l_neg dUdcp_pos_mag 0.060217 0.243318
l_neg dUdcp_neg_mag 0.036303 0.248043
l_neg d2Udcp2_pos_mag 0.095439 0.246712
l_neg d2Udcp2_neg_mag 0.067112 0.242730
l_neg d3Udcp3_pos_mag 0.066981 0.242714
l_neg d3Udcp3_neg_mag 0.066981 0.242714
l_neg i0_neg 0.065470 0.241071
l_neg i0_pos 0.166699 0.216887
l_neg SOC_neg 0.066981 0.242714
l_neg SOC_pos 0.066981 0.242714
l_neg tP 0.066835 0.242816
l_neg aa_neg 0.285580 0.219048
l_neg aa_pos 0.230389 0.235717
l_neg kappa_0 0.066499 0.255691
l_neg sigma_neg 0.067007 0.242717
l_neg sigma_pos 0.066963 0.242705
l_sep l_pos -0.000072 0.000598
l_sep Rp_neg -0.000048 0.000598
l_sep Rp_pos -0.000051 0.000598
l_sep epsilon_f_neg -0.000053 0.000598
l_sep epsilon_f_pos -0.000053 0.000598
l_sep epsilon_neg -0.000030 0.000598
l_sep epsilon_sep -0.000053 0.000598
l_sep epsilon_pos -0.000038 0.000599
l_sep Cdl_neg -0.000059 0.000598
l_sep Cdl_pos -0.000039 0.000600
l_sep cs_max_neg -0.000053 0.000598
l_sep cs_max_pos -0.000053 0.000598
l_sep c0 -0.000043 0.000598
l_sep D -0.000053 0.000598
l_sep Ds_neg -0.000045 0.000598
l_sep Ds_pos -0.000050 0.000598
l_sep d2Udcp2_pos_sgn -0.000059 0.000598
l_sep d2Udcp2_neg_sgn -0.000052 0.000598
l_sep d3Udcp3_pos_sgn -0.000053 0.000598
l_sep d3Udcp3_neg_sgn -0.000053 0.000598
l_sep dUdcp_pos_mag -0.000055 0.000598
l_sep dUdcp_neg_mag -0.000046 0.000598
l_sep d2Udcp2_pos_mag -0.000046 0.000598
l_sep d2Udcp2_neg_mag -0.000053 0.000598
l_sep d3Udcp3_pos_mag -0.000053 0.000598
l_sep d3Udcp3_neg_mag -0.000053 0.000598
l_sep i0_neg -0.000049 0.000600
l_sep i0_pos -0.000078 0.000598
l_sep SOC_neg -0.000053 0.000598
l_sep SOC_pos -0.000053 0.000598
l_sep tP -0.000044 0.000598
l_sep aa_neg -0.000040 0.000598
l_sep aa_pos -0.000074 0.000598
l_sep kappa_0 -0.000057 0.000598
l_sep sigma_neg -0.000053 0.000598
l_sep sigma_pos -0.000053 0.000598
l_pos Rp_neg 0.360652 0.238913
l_pos Rp_pos 0.360592 0.238882
l_pos epsilon_f_neg 0.360646 0.238907
l_pos epsilon_f_pos 0.360646 0.238907
l_pos epsilon_neg 0.359964 0.238921
l_pos epsilon_sep 0.360646 0.238907
l_pos epsilon_pos 0.361190 0.239012
l_pos Cdl_neg 0.360642 0.238908
l_pos Cdl_pos 0.357605 0.237515
l_pos cs_max_neg 0.360646 0.238907
l_pos cs_max_pos 0.360646 0.238907
l_pos c0 0.360638 0.238903
l_pos D 0.360574 0.238875
l_pos Ds_neg 0.360710 0.238941
l_pos Ds_pos 0.360836 0.238989
l_pos d2Udcp2_pos_sgn 0.361178 0.239143
l_pos d2Udcp2_neg_sgn 0.360646 0.238907
l_pos d3Udcp3_pos_sgn 0.360646 0.238907
l_pos d3Udcp3_neg_sgn 0.360646 0.238907
l_pos dUdcp_pos_mag 0.361255 0.239184
l_pos dUdcp_neg_mag 0.360417 0.238895
l_pos d2Udcp2_pos_mag 0.359869 0.238543
l_pos d2Udcp2_neg_mag 0.367560 0.242256
l_pos d3Udcp3_pos_mag 0.360646 0.238907
l_pos d3Udcp3_neg_mag 0.360646 0.238907
l_pos i0_neg 0.360773 0.238963
l_pos i0_pos 0.251903 0.210782
l_pos SOC_neg 0.360646 0.238907
l_pos SOC_pos 0.360646 0.238907
l_pos tP 0.360643 0.238906
l_pos aa_neg 0.251548 0.210637
l_pos aa_pos 0.360057 0.238931
l_pos kappa_0 0.360708 0.238933
l_pos sigma_neg 0.360645 0.238907
l_pos sigma_pos 0.360647 0.238907
Rp_neg Rp_pos 0.012525 0.028609
Rp_neg epsilon_f_neg 0.012514 0.028614
Rp_neg epsilon_f_pos 0.012513 0.028614
Rp_neg epsilon_neg 0.012837 0.028004
Rp_neg epsilon_sep 0.012515 0.028614
Rp_neg epsilon_pos 0.016105 0.027771
Rp_neg Cdl_neg 0.023444 0.029358
Rp_neg Cdl_pos 0.014699 0.028716
Rp_neg cs_max_neg 0.012515 0.028614
Rp_neg cs_max_pos 0.012515 0.028614
Rp_neg c0 0.012587 0.028565
Rp_neg D 0.012532 0.028606
Rp_neg Ds_neg 0.011709 0.028758
Rp_neg Ds_pos 0.013088 0.028631
Rp_neg d2Udcp2_pos_sgn 0.012685 0.028604
Rp_neg d2Udcp2_neg_sgn 0.011937 0.028667
Rp_neg d3Udcp3_pos_sgn 0.012515 0.028614
Rp_neg d3Udcp3_neg_sgn 0.012515 0.028614
Rp_neg dUdcp_pos_mag 0.012496 0.028580
Rp_neg dUdcp_neg_mag 0.013308 0.028515
Rp_neg d2Udcp2_pos_mag 0.012665 0.028607
Rp_neg d2Udcp2_neg_mag 0.012518 0.028722
Rp_neg d3Udcp3_pos_mag 0.012515 0.028614
Rp_neg d3Udcp3_neg_mag 0.012515 0.028614
Rp_neg i0_neg 0.012519 0.028623
Rp_neg i0_pos 0.019535 0.027490
Rp_neg SOC_neg 0.012515 0.028614
Rp_neg SOC_pos 0.012515 0.028614
Rp_neg tP 0.012658 0.028562
Rp_neg aa_neg 0.014079 0.028633
Rp_neg aa_pos 0.015922 0.028502
Rp_neg kappa_0 0.014530 0.028221
Rp_neg sigma_neg 0.012515 0.028613
Rp_neg sigma_pos 0.012525 0.028613
Rp_pos epsilon_f_neg 0.026004 0.031085
Rp_pos epsilon_f_pos 0.026003 0.031085
Rp_pos epsilon_neg 0.025569 0.031336
Rp_pos epsilon_sep 0.026004 0.031085
Rp_pos epsilon_pos 0.028045 0.031186
Rp_pos Cdl_neg 0.025983 0.031064
Rp_pos Cdl_pos 0.025927 0.031148
Rp_pos cs_max_neg 0.026004 0.031085
Rp_pos cs_max_pos 0.026004 0.031085
Rp_pos c0 0.025929 0.030940
Rp_pos D 0.026105 0.031161
Rp_pos Ds_neg 0.025876 0.031090
Rp_pos Ds_pos 0.026464 0.031761
Rp_pos d2Udcp2_pos_sgn 0.032535 0.037029
Rp_pos d2Udcp2_neg_sgn 0.026033 0.031085
Rp_pos d3Udcp3_pos_sgn 0.026004 0.031085
Rp_pos d3Udcp3_neg_sgn 0.026004 0.031085
Rp_pos dUdcp_pos_mag 0.028074 0.032995
Rp_pos dUdcp_neg_mag 0.025248 0.031142
Rp_pos d2Udcp2_pos_mag 0.025565 0.031166
Rp_pos d2Udcp2_neg_mag 0.026765 0.031088
Rp_pos d3Udcp3_pos_mag 0.026004 0.031085
Rp_pos d3Udcp3_neg_mag 0.026004 0.031085
Rp_pos i0_neg 0.026021 0.031110
Rp_pos i0_pos 0.024325 0.031519
Rp_pos SOC_neg 0.026004 0.031085
Rp_pos SOC_pos 0.026004 0.031085
Rp_pos tP 0.026395 0.031270
Rp_pos aa_neg 0.028359 0.031185
Rp_pos aa_pos -0.000617 0.029405
Rp_pos kappa_0 0.026139 0.031140
Rp_pos sigma_neg 0.026003 0.031085
Rp_pos sigma_pos 0.025970 0.031085
epsilon_f_neg epsilon_f_pos 0.000008 0.000009
epsilon_f_neg epsilon_neg 0.000009 0.000009
epsilon_f_neg epsilon_sep 0.000008 0.000009
epsilon_f_neg epsilon_pos 0.000008 0.000009
epsilon_f_neg Cdl_neg 0.000007 0.000009
epsilon_f_neg Cdl_pos 0.000007 0.000009
epsilon_f_neg cs_max_neg 0.000008 0.000009
epsilon_f_neg cs_max_pos 0.000008 0.000009
epsilon_f_neg c0 0.000009 0.000009
epsilon_f_neg D 0.000008 0.000009
epsilon_f_neg Ds_neg 0.000008 0.000009
epsilon_f_neg Ds_pos 0.000007 0.000009
epsilon_f_neg d2Udcp2_pos_sgn 0.000007 0.000009
epsilon_f_neg d2Udcp2_neg_sgn 0.000008 0.000009
epsilon_f_neg d3Udcp3_pos_sgn 0.000008 0.000009
epsilon_f_neg d3Udcp3_neg_sgn 0.000008 0.000009
epsilon_f_neg dUdcp_pos_mag 0.000008 0.000009
epsilon_f_neg dUdcp_neg_mag 0.000007 0.000009
epsilon_f_neg d2Udcp2_pos_mag 0.000007 0.000009
epsilon_f_neg d2Udcp2_neg_mag 0.000008 0.000009
epsilon_f_neg d3Udcp3_pos_mag 0.000008 0.000009
epsilon_f_neg d3Udcp3_neg_mag 0.000008 0.000009
epsilon_f_neg i0_neg 0.000008 0.000009
epsilon_f_neg i0_pos 0.000007 0.000009
epsilon_f_neg SOC_neg 0.000008 0.000009
epsilon_f_neg SOC_pos 0.000008 0.000009
epsilon_f_neg tP 0.000009 0.000009
epsilon_f_neg aa_neg 0.000007 0.000009
epsilon_f_neg aa_pos 0.000008 0.000009
epsilon_f_neg kappa_0 0.000009 0.000009
epsilon_f_neg sigma_neg 0.000008 0.000009
epsilon_f_neg sigma_pos 0.000008 0.000009
epsilon_f_pos epsilon_neg 0.000042 0.000189
epsilon_f_pos epsilon_sep -0.000093 0.000293
epsilon_f_pos epsilon_pos -0.000092 0.000292
epsilon_f_pos Cdl_neg -0.000238 0.000258
epsilon_f_pos Cdl_pos -0.000242 0.000263
epsilon_f_pos cs_max_neg -0.000093 0.000293
epsilon_f_pos cs_max_pos -0.000093 0.000293
epsilon_f_pos c0 -0.000089 0.000293
epsilon_f_pos D -0.000093 0.000293
epsilon_f_pos Ds_neg -0.000076 0.000302
epsilon_f_pos Ds_pos -0.000093 0.000293
epsilon_f_pos d2Udcp2_pos_sgn -0.000093 0.000293
epsilon_f_pos d2Udcp2_neg_sgn -0.000064 0.000309
epsilon_f_pos d3Udcp3_pos_sgn -0.000093 0.000293
epsilon_f_pos d3Udcp3_neg_sgn -0.000093 0.000293
epsilon_f_pos dUdcp_pos_mag -0.000097 0.000291
epsilon_f_pos dUdcp_neg_mag -0.000094 0.000293
epsilon_f_pos d2Udcp2_pos_mag -0.000092 0.000293
epsilon_f_pos d2Udcp2_neg_mag -0.000068 0.000305
epsilon_f_pos d3Udcp3_pos_mag -0.000093 0.000293
epsilon_f_pos d3Udcp3_neg_mag -0.000093 0.000293
epsilon_f_pos i0_neg -0.000089 0.000294
epsilon_f_pos i0_pos -0.000272 0.000266
epsilon_f_pos SOC_neg -0.000093 0.000293
epsilon_f_pos SOC_pos -0.000093 0.000293
epsilon_f_pos tP -0.000090 0.000293
epsilon_f_pos aa_neg -0.000141 0.000273
epsilon_f_pos aa_pos -0.000244 0.000261
epsilon_f_pos kappa_0 -0.000089 0.000293
epsilon_f_pos sigma_neg -0.000093 0.000293
epsilon_f_pos sigma_pos -0.000093 0.000293
epsilon_neg epsilon_sep 0.185648 0.323360
epsilon_neg epsilon_pos 0.357616 0.307798
epsilon_neg Cdl_neg -0.044775 0.340901
epsilon_neg Cdl_pos 0.170901 0.323146
epsilon_neg cs_max_neg 0.185648 0.323360
epsilon_neg cs_max_pos 0.185648 0.323360
epsilon_neg c0 0.275209 0.323483
epsilon_neg D 0.185105 0.323294
epsilon_neg Ds_neg 0.175439 0.324189
epsilon_neg Ds_pos 0.199827 0.322366
epsilon_neg d2Udcp2_pos_sgn 0.185236 0.323120
epsilon_neg d2Udcp2_neg_sgn 0.188806 0.323480
epsilon_neg d3Udcp3_pos_sgn 0.185648 0.323360
epsilon_neg d3Udcp3_neg_sgn 0.185648 0.323360
epsilon_neg dUdcp_pos_mag 0.178332 0.324140
epsilon_neg dUdcp_neg_mag 0.197238 0.326426
epsilon_neg d2Udcp2_pos_mag 0.210383 0.322751
epsilon_neg d2Udcp2_neg_mag 0.183830 0.323447
epsilon_neg d3Udcp3_pos_mag 0.185648 0.323360
epsilon_neg d3Udcp3_neg_mag 0.185648 0.323360
epsilon_neg i0_neg 0.140067 0.278169
epsilon_neg i0_pos 0.156901 0.338577
epsilon_neg SOC_neg 0.185648 0.323360
epsilon_neg SOC_pos 0.185648 0.323360
epsilon_neg tP 0.281425 0.325692
epsilon_neg aa_neg 0.277253 0.321726
epsilon_neg aa_pos 0.320611 0.347242
epsilon_neg kappa_0 0.290082 0.332467
epsilon_neg sigma_neg 0.185613 0.323370
epsilon_neg sigma_pos 0.185659 0.323357
epsilon_sep epsilon_pos 0.000000 0.000000
epsilon_sep Cdl_neg 0.000000 0.000000
epsilon_sep Cdl_pos -0.000000 0.000000
epsilon_sep cs_max_neg 0.000000 0.000000
epsilon_sep cs_max_pos 0.000000 0.000000
epsilon_sep c0 -0.000000 0.000000
epsilon_sep D -0.000000 0.000000
epsilon_sep Ds_neg -0.000000 0.000000
epsilon_sep Ds_pos -0.000000 0.000000
epsilon_sep d2Udcp2_pos_sgn -0.000000 0.000000
epsilon_sep d2Udcp2_neg_sgn -0.000000 0.000000
epsilon_sep d3Udcp3_pos_sgn 0.000000 0.000000
epsilon_sep d3Udcp3_neg_sgn 0.000000 0.000000
epsilon_sep dUdcp_pos_mag -0.000000 0.000000
epsilon_sep dUdcp_neg_mag -0.000000 0.000000
epsilon_sep d2Udcp2_pos_mag -0.000000 0.000000
epsilon_sep d2Udcp2_neg_mag -0.000000 0.000000
epsilon_sep d3Udcp3_pos_mag 0.000000 0.000000
