Parameter S1 S1_conf ST ST_conf
a_neg 0.049635 0.209632 0.407103 0.152283
a_pos -0.588640 0.229963 0.420346 0.154005
l_neg -0.124256 0.154533 0.185059 0.114217
l_sep -0.000008 0.000007 0.000000 0.000000
l_pos -0.239412 0.215287 0.431129 0.161874
Rp_neg -0.006915 0.006067 0.000196 0.000117
Rp_pos 0.003469 0.005253 0.000657 0.000358
epsilon_f_neg -0.000030 0.000039 0.000000 0.000000
epsilon_f_pos 0.000198 0.000252 0.000002 0.000001
epsilon_neg -0.136925 0.240547 0.497245 0.162416
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.313240 0.240011 0.577534 0.184614
Cdl_neg 0.000696 0.173292 0.360853 0.137340
Cdl_pos -0.003051 0.130386 0.325366 0.139008
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.012322 0.010620 0.061758 0.062106
D -0.000427 0.000512 0.000004 0.000003
Ds_neg -0.015827 0.007935 0.006297 0.004539
Ds_pos -0.035999 0.024054 0.010856 0.007753
d2Udcp2_pos_sgn -0.007956 0.023419 0.009216 0.007684
d2Udcp2_neg_sgn -0.007246 0.006238 0.005424 0.005252
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.007496 0.010920 0.001194 0.000705
dUdcp_neg_mag 0.003082 0.005465 0.000609 0.000358
d2Udcp2_pos_mag -0.014747 0.038062 0.031448 0.016985
d2Udcp2_neg_mag -0.006206 0.005840 0.004770 0.004625
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.227484 0.236006 0.366937 0.141662
i0_pos -0.277495 0.197986 0.392084 0.143482
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.015782 0.010609 0.061774 0.062106
aa_neg -0.296983 0.231062 0.493306 0.114303
aa_pos -0.082700 0.270419 0.558849 0.151701
kappa_0 -0.103209 0.153197 0.431345 0.151134
sigma_neg 0.000060 0.000187 0.000002 0.000001
sigma_pos -0.001593 0.001856 0.000092 0.000065

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.282831 0.211453
a_neg l_neg -0.308335 0.243383
a_neg l_sep -0.368862 0.249879
a_neg l_pos -0.242845 0.222048
a_neg Rp_neg -0.368780 0.249758
a_neg Rp_pos -0.375993 0.250198
a_neg epsilon_f_neg -0.368863 0.249879
a_neg epsilon_f_pos -0.368540 0.249965
a_neg epsilon_neg -0.375919 0.253510
a_neg epsilon_sep -0.368862 0.249879
a_neg epsilon_pos -0.254789 0.270381
a_neg Cdl_neg -0.232178 0.280087
a_neg Cdl_pos -0.452294 0.255781
a_neg cs_max_neg -0.368862 0.249879
a_neg cs_max_pos -0.368862 0.249879
a_neg c0 -0.381156 0.249266
a_neg D -0.369029 0.249884
a_neg Ds_neg -0.367607 0.249727
a_neg Ds_pos -0.345610 0.250938
a_neg d2Udcp2_pos_sgn -0.363294 0.250363
a_neg d2Udcp2_neg_sgn -0.368858 0.249878
a_neg d3Udcp3_pos_sgn -0.368862 0.249879
a_neg d3Udcp3_neg_sgn -0.368862 0.249879
a_neg dUdcp_pos_mag -0.372555 0.250015
a_neg dUdcp_neg_mag -0.369395 0.249646
a_neg d2Udcp2_pos_mag -0.382688 0.250401
a_neg d2Udcp2_neg_mag -0.368836 0.249917
a_neg d3Udcp3_pos_mag -0.368862 0.249879
a_neg d3Udcp3_neg_mag -0.368862 0.249879
a_neg i0_neg -0.081749 0.259039
a_neg i0_pos -0.112612 0.265995
a_neg SOC_neg -0.368862 0.249879
a_neg SOC_pos -0.368862 0.249879
a_neg tP -0.381513 0.249243
a_neg aa_neg -0.340917 0.274715
a_neg aa_pos -0.174882 0.238140
a_neg kappa_0 -0.263561 0.222697
a_neg sigma_neg -0.368605 0.249937
a_neg sigma_pos -0.369945 0.248382
a_pos l_neg 0.640984 0.279170
a_pos l_sep 0.640636 0.279170
a_pos l_pos 0.736333 0.286726
a_pos Rp_neg 0.642868 0.278855
a_pos Rp_pos 0.641457 0.279537
a_pos epsilon_f_neg 0.640637 0.279170
a_pos epsilon_f_pos 0.640638 0.279169
a_pos epsilon_neg 0.663417 0.278555
a_pos epsilon_sep 0.640636 0.279170
a_pos epsilon_pos 0.636270 0.279274
a_pos Cdl_neg 0.660859 0.277574
a_pos Cdl_pos 0.611883 0.270386
a_pos cs_max_neg 0.640636 0.279170
a_pos cs_max_pos 0.640636 0.279170
