Parameter S1 S1_conf ST ST_conf
a_neg 0.121921 0.172121 0.380930 0.151408
a_pos -0.417384 0.185598 0.355990 0.145708
l_neg -0.130664 0.125016 0.192467 0.118813
l_sep 0.000001 0.000001 0.000000 0.000000
l_pos -0.184756 0.187743 0.447679 0.159194
Rp_neg -0.000299 0.000489 0.000002 0.000001
Rp_pos -0.001898 0.001567 0.000081 0.000057
epsilon_f_neg -0.000006 0.000008 0.000000 0.000000
epsilon_f_pos -0.000096 0.000100 0.000001 0.000001
epsilon_neg -0.022505 0.171597 0.458469 0.171028
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.076521 0.180917 0.525391 0.181511
Cdl_neg 0.027895 0.150296 0.320670 0.111953
Cdl_pos 0.038360 0.099681 0.315431 0.137538
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.015095 0.015364 0.063865 0.064709
D -0.000022 0.000034 0.000000 0.000000
Ds_neg -0.008475 0.007624 0.001999 0.001926
Ds_pos -0.003136 0.002201 0.000157 0.000105
d2Udcp2_pos_sgn -0.000190 0.000200 0.000001 0.000001
d2Udcp2_neg_sgn -0.000090 0.000085 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000087 0.003020 0.000161 0.000117
dUdcp_neg_mag 0.000474 0.000776 0.000019 0.000011
d2Udcp2_pos_mag -0.001854 0.001586 0.000090 0.000083
d2Udcp2_neg_mag -0.000045 0.000042 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.016337 0.191005 0.343621 0.119469
i0_pos -0.080605 0.147330 0.390557 0.146123
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.015076 0.015365 0.063865 0.064709
aa_neg -0.197727 0.195470 0.468054 0.109494
aa_pos 0.011170 0.225809 0.485243 0.137181
kappa_0 -0.030462 0.109631 0.447256 0.157360
sigma_neg 0.000090 0.000082 0.000000 0.000000
sigma_pos -0.000426 0.000290 0.000007 0.000004

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.191836 0.157169
a_neg l_neg -0.251614 0.184182
a_neg l_sep -0.323055 0.189251
a_neg l_pos -0.178059 0.159679
a_neg Rp_neg -0.322981 0.189262
a_neg Rp_pos -0.319488 0.188977
a_neg epsilon_f_neg -0.323054 0.189251
a_neg epsilon_f_pos -0.323020 0.189266
a_neg epsilon_neg -0.361438 0.199232
a_neg epsilon_sep -0.323055 0.189251
a_neg epsilon_pos -0.185419 0.246173
a_neg Cdl_neg -0.175032 0.222880
a_neg Cdl_pos -0.394388 0.207107
a_neg cs_max_neg -0.323055 0.189251
a_neg cs_max_pos -0.323055 0.189251
a_neg c0 -0.323625 0.189237
a_neg D -0.322997 0.189246
a_neg Ds_neg -0.316441 0.189152
a_neg Ds_pos -0.318873 0.188930
a_neg d2Udcp2_pos_sgn -0.323051 0.189251
a_neg d2Udcp2_neg_sgn -0.323055 0.189251
a_neg d3Udcp3_pos_sgn -0.323055 0.189251
a_neg d3Udcp3_neg_sgn -0.323055 0.189251
a_neg dUdcp_pos_mag -0.323091 0.189279
a_neg dUdcp_neg_mag -0.322809 0.189395
a_neg d2Udcp2_pos_mag -0.318493 0.188921
a_neg d2Udcp2_neg_mag -0.323052 0.189251
a_neg d3Udcp3_pos_mag -0.323055 0.189251
a_neg d3Udcp3_neg_mag -0.323055 0.189251
a_neg i0_neg -0.096292 0.213720
a_neg i0_pos -0.061565 0.224715
a_neg SOC_neg -0.323055 0.189251
a_neg SOC_pos -0.323055 0.189251
a_neg tP -0.323680 0.189235
a_neg aa_neg -0.244979 0.234326
a_neg aa_pos -0.109337 0.173746
a_neg kappa_0 -0.235719 0.165371
a_neg sigma_neg -0.323027 0.189268
a_neg sigma_pos -0.323999 0.189080
a_pos l_neg 0.411482 0.215421
a_pos l_sep 0.411490 0.215419
a_pos l_pos 0.524729 0.217284
a_pos Rp_neg 0.411824 0.215402
a_pos Rp_pos 0.411412 0.215421
a_pos epsilon_f_neg 0.411490 0.215419
a_pos epsilon_f_pos 0.411492 0.215419
a_pos epsilon_neg 0.414202 0.215583
a_pos epsilon_sep 0.411490 0.215419
a_pos epsilon_pos 0.378595 0.224642
a_pos Cdl_neg 0.445633 0.216219
a_pos Cdl_pos 0.327010 0.208068
a_pos cs_max_neg 0.411490 0.215419
a_pos cs_max_pos 0.411490 0.215419
a_pos c0 0.411572 0.215419
a_pos D 0.411491 0.215419
a_pos Ds_neg 0.410935 0.215460
a_pos Ds_pos 0.411423 0.215423
a_pos d2Udcp2_pos_sgn 0.411497 0.215419
a_pos d2Udcp2_neg_sgn 0.411488 0.215419
a_pos d3Udcp3_pos_sgn 0.411490 0.215419
a_pos d3Udcp3_neg_sgn 0.411490 0.215419
a_pos dUdcp_pos_mag 0.411486 0.215434
a_pos dUdcp_neg_mag 0.412110 0.215415
a_pos d2Udcp2_pos_mag 0.411494 0.215419
a_pos d2Udcp2_neg_mag 0.411493 0.215421
a_pos d3Udcp3_pos_mag 0.411490 0.215419
a_pos d3Udcp3_neg_mag 0.411490 0.215419
a_pos i0_neg 0.406774 0.225106
a_pos i0_pos 0.329456 0.187603
a_pos SOC_neg 0.411490 0.215419
a_pos SOC_pos 0.411490 0.215419
a_pos tP 0.411558 0.215417
a_pos aa_neg 0.206669 0.216916
a_pos aa_pos 0.415728 0.214816
a_pos kappa_0 0.533895 0.219969
a_pos sigma_neg 0.411492 0.215418
a_pos sigma_pos 0.411522 0.215419
l_neg l_sep 0.095529 0.210480
l_neg l_pos 0.095157 0.210516
l_neg Rp_neg 0.095410 0.210494
l_neg Rp_pos 0.099596 0.210140
l_neg epsilon_f_neg 0.095512 0.210479
l_neg epsilon_f_pos 0.095524 0.210479
l_neg epsilon_neg 0.146295 0.214138
l_neg epsilon_sep 0.095529 0.210480
l_neg epsilon_pos 0.144704 0.214780
l_neg Cdl_neg -0.016593 0.179310
l_neg Cdl_pos 0.203237 0.256785
l_neg cs_max_neg 0.095529 0.210480
l_neg cs_max_pos 0.095529 0.210480
l_neg c0 0.095538 0.210480
l_neg D 0.095559 0.210476
l_neg Ds_neg 0.118968 0.222385
l_neg Ds_pos 0.100070 0.210062
l_neg d2Udcp2_pos_sgn 0.095632 0.210486
l_neg d2Udcp2_neg_sgn 0.095527 0.210479
l_neg d3Udcp3_pos_sgn 0.095529 0.210480
l_neg d3Udcp3_neg_sgn 0.095529 0.210480
l_neg dUdcp_pos_mag 0.095254 0.210478
l_neg dUdcp_neg_mag 0.093610 0.210469
l_neg d2Udcp2_pos_mag 0.100332 0.210049
l_neg d2Udcp2_neg_mag 0.095530 0.210480
l_neg d3Udcp3_pos_mag 0.095529 0.210480
l_neg d3Udcp3_neg_mag 0.095529 0.210480
l_neg i0_neg 0.076159 0.202333
l_neg i0_pos 0.191088 0.208615
l_neg SOC_neg 0.095529 0.210480
l_neg SOC_pos 0.095529 0.210480
l_neg tP 0.095441 0.210482
l_neg aa_neg 0.317363 0.200575
l_neg aa_pos 0.236043 0.217178
l_neg kappa_0 0.095527 0.234715
l_neg sigma_neg 0.095786 0.210498
l_neg sigma_pos 0.095527 0.210481
l_sep l_pos -0.000001 0.000001
l_sep Rp_neg -0.000001 0.000001
l_sep Rp_pos -0.000001 0.000001
l_sep epsilon_f_neg -0.000001 0.000001
l_sep epsilon_f_pos -0.000001 0.000001
l_sep epsilon_neg -0.000001 0.000001
l_sep epsilon_sep -0.000001 0.000001
l_sep epsilon_pos -0.000001 0.000001
l_sep Cdl_neg -0.000001 0.000001
l_sep Cdl_pos -0.000001 0.000001
l_sep cs_max_neg -0.000001 0.000001
l_sep cs_max_pos -0.000001 0.000001
l_sep c0 -0.000001 0.000001
l_sep D -0.000001 0.000001
l_sep Ds_neg -0.000001 0.000001
l_sep Ds_pos -0.000001 0.000001
l_sep d2Udcp2_pos_sgn -0.000001 0.000001
l_sep d2Udcp2_neg_sgn -0.000001 0.000001
l_sep d3Udcp3_pos_sgn -0.000001 0.000001
l_sep d3Udcp3_neg_sgn -0.000001 0.000001
l_sep dUdcp_pos_mag -0.000001 0.000001
l_sep dUdcp_neg_mag -0.000001 0.000001
l_sep d2Udcp2_pos_mag -0.000001 0.000001
l_sep d2Udcp2_neg_mag -0.000001 0.000001
l_sep d3Udcp3_pos_mag -0.000001 0.000001
l_sep d3Udcp3_neg_mag -0.000001 0.000001
l_sep i0_neg -0.000001 0.000001
l_sep i0_pos -0.000001 0.000001
l_sep SOC_neg -0.000001 0.000001
l_sep SOC_pos -0.000001 0.000001
l_sep tP -0.000001 0.000001
l_sep aa_neg -0.000001 0.000001
l_sep aa_pos -0.000001 0.000001
l_sep kappa_0 -0.000001 0.000001
l_sep sigma_neg -0.000001 0.000001
l_sep sigma_pos -0.000001 0.000001
l_pos Rp_neg 0.288364 0.212277
l_pos Rp_pos 0.288365 0.212277
l_pos epsilon_f_neg 0.288365 0.212277
l_pos epsilon_f_pos 0.288365 0.212277
l_pos epsilon_neg 0.287970 0.212335
l_pos epsilon_sep 0.288365 0.212277
l_pos epsilon_pos 0.289248 0.212541
l_pos Cdl_neg 0.288490 0.212384
l_pos Cdl_pos 0.244440 0.195602
l_pos cs_max_neg 0.288365 0.212277
l_pos cs_max_pos 0.288365 0.212277
l_pos c0 0.288367 0.212278
l_pos D 0.288365 0.212277
l_pos Ds_neg 0.288368 0.212278
l_pos Ds_pos 0.288365 0.212277
l_pos d2Udcp2_pos_sgn 0.288365 0.212277
l_pos d2Udcp2_neg_sgn 0.288365 0.212277
l_pos d3Udcp3_pos_sgn 0.288365 0.212277
l_pos d3Udcp3_neg_sgn 0.288365 0.212277
l_pos dUdcp_pos_mag 0.288376 0.212282
l_pos dUdcp_neg_mag 0.288357 0.212277
l_pos d2Udcp2_pos_mag 0.288365 0.212277
l_pos d2Udcp2_neg_mag 0.288369 0.212279
l_pos d3Udcp3_pos_mag 0.288365 0.212277
l_pos d3Udcp3_neg_mag 0.288365 0.212277
l_pos i0_neg 0.290171 0.213137
l_pos i0_pos 0.184647 0.187747
l_pos SOC_neg 0.288365 0.212277
l_pos SOC_pos 0.288365 0.212277
l_pos tP 0.288365 0.212277
l_pos aa_neg 0.163821 0.189371
l_pos aa_pos 0.288062 0.212370
l_pos kappa_0 0.288474 0.212270
l_pos sigma_neg 0.288364 0.212277
l_pos sigma_pos 0.288370 0.212279
Rp_neg Rp_pos 0.001728 0.001717
Rp_neg epsilon_f_neg 0.001728 0.001717
Rp_neg epsilon_f_pos 0.001728 0.001717
Rp_neg epsilon_neg 0.001556 0.001725
Rp_neg epsilon_sep 0.001728 0.001717
Rp_neg epsilon_pos 0.001756 0.001716
Rp_neg Cdl_neg 0.001740 0.001652
Rp_neg Cdl_pos 0.001493 0.001744
Rp_neg cs_max_neg 0.001728 0.001717
Rp_neg cs_max_pos 0.001728 0.001717
Rp_neg c0 0.001729 0.001717
Rp_neg D 0.001729 0.001717
Rp_neg Ds_neg 0.001722 0.001718
Rp_neg Ds_pos 0.001728 0.001717
Rp_neg d2Udcp2_pos_sgn 0.001728 0.001717
Rp_neg d2Udcp2_neg_sgn 0.001728 0.001717
Rp_neg d3Udcp3_pos_sgn 0.001728 0.001717
Rp_neg d3Udcp3_neg_sgn 0.001728 0.001717
Rp_neg dUdcp_pos_mag 0.001728 0.001717
Rp_neg dUdcp_neg_mag 0.001736 0.001725
Rp_neg d2Udcp2_pos_mag 0.001728 0.001717
Rp_neg d2Udcp2_neg_mag 0.001728 0.001717
Rp_neg d3Udcp3_pos_mag 0.001728 0.001717
Rp_neg d3Udcp3_neg_mag 0.001728 0.001717
Rp_neg i0_neg 0.001682 0.001683
Rp_neg i0_pos 0.001670 0.001724
Rp_neg SOC_neg 0.001728 0.001717
