Parameter S1 S1_conf ST ST_conf
a_neg 0.078552 0.103019 0.369165 0.154785
a_pos -0.266305 0.130206 0.353253 0.136587
l_neg -0.098699 0.083813 0.203895 0.128056
l_sep -0.000034 0.000033 0.000000 0.000000
l_pos -0.170142 0.145522 0.479541 0.159986
Rp_neg 0.000263 0.000204 0.000004 0.000004
Rp_pos 0.000094 0.000058 0.000001 0.000001
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos 0.000179 0.000207 0.000001 0.000001
epsilon_neg -0.035872 0.131245 0.456426 0.167564
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.052674 0.115343 0.477651 0.174894
Cdl_neg 0.090865 0.097046 0.269593 0.089550
Cdl_pos 0.080661 0.090033 0.379406 0.141823
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.057142 0.057617 0.068372 0.068664
D 0.000016 0.000012 0.000000 0.000000
Ds_neg -0.001328 0.001307 0.000165 0.000168
Ds_pos 0.000075 0.000095 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000001 0.000001 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000227 0.000245 0.000004 0.000004
dUdcp_neg_mag -0.000064 0.000457 0.000008 0.000006
d2Udcp2_pos_mag -0.000005 0.000006 0.000000 0.000000
d2Udcp2_neg_mag -0.000001 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.022628 0.120723 0.302684 0.117533
i0_pos -0.144990 0.113432 0.327738 0.113851
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.058195 0.057625 0.068381 0.068664
aa_neg -0.117701 0.169770 0.442676 0.087025
aa_pos 0.012564 0.167196 0.430572 0.123407
kappa_0 -0.011692 0.115062 0.479512 0.175660
sigma_neg -0.000080 0.000112 0.000000 0.000000
sigma_pos -0.001600 0.001366 0.000025 0.000024

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.100849 0.111161
a_neg l_neg -0.193544 0.122847
a_neg l_sep -0.226998 0.122543
a_neg l_pos -0.092741 0.111487
a_neg Rp_neg -0.226997 0.122544
a_neg Rp_pos -0.227101 0.122563
a_neg epsilon_f_neg -0.226998 0.122543
a_neg epsilon_f_pos -0.226990 0.122543
a_neg epsilon_neg -0.264744 0.126358
a_neg epsilon_sep -0.226998 0.122543
a_neg epsilon_pos -0.089263 0.185009
a_neg Cdl_neg -0.099700 0.155233
a_neg Cdl_pos -0.283084 0.142813
a_neg cs_max_neg -0.226998 0.122543
a_neg cs_max_pos -0.226998 0.122543
a_neg c0 -0.227086 0.122546
a_neg D -0.226991 0.122546
a_neg Ds_neg -0.226950 0.122533
a_neg Ds_pos -0.227174 0.122579
a_neg d2Udcp2_pos_sgn -0.226998 0.122543
a_neg d2Udcp2_neg_sgn -0.226998 0.122543
a_neg d3Udcp3_pos_sgn -0.226998 0.122543
a_neg d3Udcp3_neg_sgn -0.226998 0.122543
a_neg dUdcp_pos_mag -0.227123 0.122582
a_neg dUdcp_neg_mag -0.226976 0.122541
a_neg d2Udcp2_pos_mag -0.226986 0.122542
a_neg d2Udcp2_neg_mag -0.226998 0.122543
a_neg d3Udcp3_pos_mag -0.226998 0.122543
a_neg d3Udcp3_neg_mag -0.226998 0.122543
a_neg i0_neg -0.022554 0.147359
a_neg i0_pos 0.036774 0.153486
a_neg SOC_neg -0.226998 0.122543
a_neg SOC_pos -0.226998 0.122543
a_neg tP -0.227074 0.122551
a_neg aa_neg -0.114661 0.172202
a_neg aa_pos -0.022393 0.110460
a_neg kappa_0 -0.097181 0.111555
a_neg sigma_neg -0.227012 0.122547
a_neg sigma_pos -0.227125 0.122555
a_pos l_neg 0.251594 0.163816
a_pos l_sep 0.249788 0.163907
a_pos l_pos 0.384569 0.156940
a_pos Rp_neg 0.249858 0.163905
a_pos Rp_pos 0.249726 0.163910
a_pos epsilon_f_neg 0.249787 0.163907
a_pos epsilon_f_pos 0.249787 0.163906
a_pos epsilon_neg 0.249708 0.164361
a_pos epsilon_sep 0.249787 0.163907
a_pos epsilon_pos 0.271041 0.166448
a_pos Cdl_neg 0.273157 0.165491
a_pos Cdl_pos 0.210732 0.152541
a_pos cs_max_neg 0.249787 0.163907
a_pos cs_max_pos 0.249787 0.163907
a_pos c0 0.249878 0.163903
a_pos D 0.249786 0.163907
a_pos Ds_neg 0.249738 0.163907
a_pos Ds_pos 0.249789 0.163907
a_pos d2Udcp2_pos_sgn 0.249787 0.163907
a_pos d2Udcp2_neg_sgn 0.249787 0.163907
a_pos d3Udcp3_pos_sgn 0.249787 0.163907
a_pos d3Udcp3_neg_sgn 0.249787 0.163907
a_pos dUdcp_pos_mag 0.249821 0.163906
a_pos dUdcp_neg_mag 0.249877 0.163909
a_pos d2Udcp2_pos_mag 0.249788 0.163907
a_pos d2Udcp2_neg_mag 0.249788 0.163907
a_pos d3Udcp3_pos_mag 0.249787 0.163907
