Parameter S1 S1_conf ST ST_conf
a_neg 0.129367 0.106313 0.330682 0.126046
a_pos -0.172976 0.125872 0.358064 0.133206
l_neg -0.104383 0.073229 0.190075 0.110569
l_sep -0.005431 0.005154 0.000402 0.000397
l_pos -0.180537 0.125094 0.429185 0.152513
Rp_neg 0.000241 0.000230 0.000001 0.000001
Rp_pos -0.000002 0.000022 0.000000 0.000000
epsilon_f_neg -0.000001 0.000001 0.000000 0.000000
epsilon_f_pos 0.000067 0.000080 0.000001 0.000001
epsilon_neg -0.049359 0.113672 0.401527 0.141895
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.025034 0.097499 0.434126 0.153172
Cdl_neg 0.073334 0.097948 0.222177 0.090799
Cdl_pos 0.050493 0.099482 0.340385 0.134655
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.071114 0.067665 0.068782 0.068947
D -0.000427 0.000294 0.000008 0.000006
Ds_neg -0.000136 0.000136 0.000000 0.000000
Ds_pos 0.000006 0.000005 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000040 0.000026 0.000000 0.000000
dUdcp_neg_mag 0.000208 0.000241 0.000001 0.000001
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.016791 0.107532 0.311070 0.125985
i0_pos -0.037212 0.095825 0.257479 0.110894
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.057487 0.068650 0.069865 0.068955
aa_neg -0.015781 0.152367 0.411001 0.086022
aa_pos 0.032084 0.111458 0.333364 0.097529
kappa_0 -0.000092 0.154523 0.497933 0.164497
sigma_neg -0.000101 0.000067 0.000000 0.000000
sigma_pos -0.000456 0.000766 0.000033 0.000028

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.166772 0.126470
a_neg l_neg -0.221575 0.125260
a_neg l_sep -0.287696 0.119929
a_neg l_pos -0.166478 0.127788
a_neg Rp_neg -0.287687 0.119930
a_neg Rp_pos -0.287706 0.119933
a_neg epsilon_f_neg -0.287688 0.119930
a_neg epsilon_f_pos -0.287686 0.119930
a_neg epsilon_neg -0.355551 0.118171
a_neg epsilon_sep -0.287688 0.119930
a_neg epsilon_pos -0.166034 0.181535
a_neg Cdl_neg -0.205962 0.131444
a_neg Cdl_pos -0.333960 0.132694
a_neg cs_max_neg -0.287688 0.119930
a_neg cs_max_pos -0.287688 0.119930
a_neg c0 -0.287633 0.119925
a_neg D -0.287699 0.119930
a_neg Ds_neg -0.287689 0.119929
a_neg Ds_pos -0.287695 0.119931
a_neg d2Udcp2_pos_sgn -0.287688 0.119930
a_neg d2Udcp2_neg_sgn -0.287688 0.119930
a_neg d3Udcp3_pos_sgn -0.287688 0.119930
a_neg d3Udcp3_neg_sgn -0.287688 0.119930
a_neg dUdcp_pos_mag -0.287716 0.119935
a_neg dUdcp_neg_mag -0.287687 0.119930
a_neg d2Udcp2_pos_mag -0.287688 0.119930
a_neg d2Udcp2_neg_mag -0.287688 0.119930
a_neg d3Udcp3_pos_mag -0.287688 0.119930
a_neg d3Udcp3_neg_mag -0.287688 0.119930
a_neg i0_neg -0.044894 0.177548
a_neg i0_pos -0.085185 0.152744
a_neg SOC_neg -0.287688 0.119930
a_neg SOC_pos -0.287688 0.119930
a_neg tP -0.287784 0.119922
a_neg aa_neg -0.174600 0.166894
a_neg aa_pos -0.132367 0.123881
a_neg kappa_0 -0.179428 0.131603
a_neg sigma_neg -0.287686 0.119930
a_neg sigma_pos -0.287718 0.119930
a_pos l_neg 0.153024 0.152918
a_pos l_sep 0.154227 0.152898
a_pos l_pos 0.295441 0.137670
a_pos Rp_neg 0.154330 0.152895
a_pos Rp_pos 0.154324 0.152896
a_pos epsilon_f_neg 0.154324 0.152895
a_pos epsilon_f_pos 0.154321 0.152895
a_pos epsilon_neg 0.151752 0.152563
a_pos epsilon_sep 0.154324 0.152896
a_pos epsilon_pos 0.174735 0.158831
a_pos Cdl_neg 0.159515 0.153057
a_pos Cdl_pos 0.092301 0.148906
a_pos cs_max_neg 0.154324 0.152896
a_pos cs_max_pos 0.154324 0.152896
