Parameter S1 S1_conf ST ST_conf
a_neg 0.145085 0.086520 0.301280 0.115125
a_pos -0.209915 0.119425 0.350452 0.142427
l_neg -0.102123 0.075477 0.163503 0.090872
l_sep 0.006644 0.003661 0.003160 0.002688
l_pos -0.148838 0.118594 0.422757 0.153839
Rp_neg 0.000045 0.000044 0.000000 0.000000
Rp_pos 0.000000 0.000002 0.000000 0.000000
epsilon_f_neg 0.000008 0.000008 0.000000 0.000000
epsilon_f_pos -0.000106 0.000057 0.000001 0.000001
epsilon_neg -0.020150 0.122800 0.444761 0.154678
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.054126 0.077562 0.393508 0.147872
Cdl_neg 0.027265 0.108200 0.226698 0.102940
Cdl_pos 0.027988 0.103985 0.248533 0.095385
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.070033 0.074903 0.079209 0.074355
D 0.002060 0.001760 0.000228 0.000180
Ds_neg -0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000005 0.000004 0.000000 0.000000
dUdcp_neg_mag 0.000043 0.000045 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.047120 0.046510 0.182642 0.112838
i0_pos 0.029893 0.083483 0.273869 0.123878
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.055038 0.076088 0.089685 0.075379
aa_neg 0.102404 0.141723 0.389990 0.092759
aa_pos 0.123794 0.106903 0.356950 0.095154
kappa_0 -0.001885 0.144990 0.470238 0.148111
sigma_neg -0.000013 0.000030 0.000000 0.000000
sigma_pos 0.001267 0.000878 0.000031 0.000018

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.106857 0.120657
a_neg l_neg -0.118114 0.128197
a_neg l_sep -0.179132 0.116211
a_neg l_pos -0.105839 0.120489
a_neg Rp_neg -0.178317 0.116214
a_neg Rp_pos -0.178318 0.116214
a_neg epsilon_f_neg -0.178317 0.116213
a_neg epsilon_f_pos -0.178297 0.116213
a_neg epsilon_neg -0.237954 0.119016
a_neg epsilon_sep -0.178318 0.116214
a_neg epsilon_pos -0.182510 0.113284
a_neg Cdl_neg -0.112405 0.113263
a_neg Cdl_pos -0.225669 0.135908
a_neg cs_max_neg -0.178318 0.116214
a_neg cs_max_pos -0.178318 0.116214
a_neg c0 -0.176804 0.116104
a_neg D -0.177931 0.116204
a_neg Ds_neg -0.178318 0.116214
a_neg Ds_pos -0.178318 0.116214
a_neg d2Udcp2_pos_sgn -0.178318 0.116214
a_neg d2Udcp2_neg_sgn -0.178318 0.116214
a_neg d3Udcp3_pos_sgn -0.178318 0.116214
a_neg d3Udcp3_neg_sgn -0.178318 0.116214
a_neg dUdcp_pos_mag -0.178322 0.116214
a_neg dUdcp_neg_mag -0.178317 0.116213
a_neg d2Udcp2_pos_mag -0.178318 0.116214
a_neg d2Udcp2_neg_mag -0.178318 0.116214
a_neg d3Udcp3_pos_mag -0.178318 0.116214
a_neg d3Udcp3_neg_mag -0.178318 0.116214
a_neg i0_neg -0.075646 0.116546
a_neg i0_pos -0.037655 0.144086
a_neg SOC_neg -0.178318 0.116214
a_neg SOC_pos -0.178318 0.116214
a_neg tP -0.176158 0.116083
a_neg aa_neg -0.119253 0.155115
a_neg aa_pos -0.103115 0.122733
a_neg kappa_0 -0.117738 0.119398
a_neg sigma_neg -0.178311 0.116214
a_neg sigma_pos -0.178447 0.116218
a_pos l_neg 0.231625 0.130446
a_pos l_sep 0.231582 0.131164
a_pos l_pos 0.345614 0.125716
a_pos Rp_neg 0.231644 0.131172
a_pos Rp_pos 0.231644 0.131172
a_pos epsilon_f_neg 0.231643 0.131172
a_pos epsilon_f_pos 0.231649 0.131173
a_pos epsilon_neg 0.238499 0.130228
a_pos epsilon_sep 0.231644 0.131172
a_pos epsilon_pos 0.243603 0.124224
a_pos Cdl_neg 0.226011 0.130702
a_pos Cdl_pos 0.151914 0.134848
a_pos cs_max_neg 0.231644 0.131172
a_pos cs_max_pos 0.231644 0.131172
a_pos c0 0.231799 0.131159
a_pos D 0.231659 0.131191
a_pos Ds_neg 0.231644 0.131172
a_pos Ds_pos 0.231644 0.131172
a_pos d2Udcp2_pos_sgn 0.231644 0.131172
a_pos d2Udcp2_neg_sgn 0.231644 0.131172
a_pos d3Udcp3_pos_sgn 0.231644 0.131172
a_pos d3Udcp3_neg_sgn 0.231644 0.131172
a_pos dUdcp_pos_mag 0.231644 0.131172
a_pos dUdcp_neg_mag 0.231644 0.131172
a_pos d2Udcp2_pos_mag 0.231644 0.131172
a_pos d2Udcp2_neg_mag 0.231644 0.131172
a_pos d3Udcp3_pos_mag 0.231644 0.131172
a_pos d3Udcp3_neg_mag 0.231644 0.131172
a_pos i0_neg 0.231525 0.130504
a_pos i0_pos 0.079741 0.164352
a_pos SOC_neg 0.231644 0.131172
a_pos SOC_pos 0.231644 0.131172
a_pos tP 0.229065 0.131256
a_pos aa_neg 0.036468 0.169396
a_pos aa_pos 0.218451 0.133115
a_pos kappa_0 0.343670 0.128810
a_pos sigma_neg 0.231642 0.131172
a_pos sigma_pos 0.231529 0.131163
l_neg l_sep 0.055510 0.138125
l_neg l_pos 0.049853 0.135338
l_neg Rp_neg 0.056561 0.138387
l_neg Rp_pos 0.056650 0.138434
l_neg epsilon_f_neg 0.056651 0.138434
l_neg epsilon_f_pos 0.056707 0.138426
l_neg epsilon_neg 0.109111 0.142958
l_neg epsilon_sep 0.056651 0.138434
l_neg epsilon_pos 0.015387 0.141890
l_neg Cdl_neg -0.067783 0.133752
l_neg Cdl_pos 0.156529 0.143338
