Parameter S1 S1_conf ST ST_conf
a_neg -0.029793 0.249637 0.442688 0.162404
a_pos -0.607161 0.257306 0.434927 0.157606
l_neg -0.117622 0.155344 0.182453 0.114876
l_sep -0.000060 0.000053 0.000000 0.000000
l_pos -0.277828 0.250959 0.425386 0.165074
Rp_neg -0.027870 0.020607 0.002273 0.001282
Rp_pos 0.026334 0.056745 0.026596 0.017896
epsilon_f_neg -0.000014 0.000016 0.000000 0.000000
epsilon_f_pos -0.000183 0.000233 0.000001 0.000001
epsilon_neg -0.296018 0.286864 0.537643 0.176836
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.443672 0.265888 0.617974 0.184390
Cdl_neg 0.027571 0.170889 0.361701 0.135767
Cdl_pos -0.058618 0.148262 0.306106 0.131598
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.091660 0.078444 0.063061 0.063440
D -0.000824 0.001775 0.000037 0.000032
Ds_neg 0.016128 0.046677 0.020112 0.011234
Ds_pos -0.033126 0.029462 0.013562 0.009094
d2Udcp2_pos_sgn 0.029487 0.076797 0.045885 0.024608
d2Udcp2_neg_sgn -0.009183 0.006390 0.015229 0.014107
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.018045 0.024463 0.003004 0.002306
dUdcp_neg_mag 0.005244 0.018192 0.007830 0.004309
d2Udcp2_pos_mag -0.061339 0.070300 0.069800 0.040996
d2Udcp2_neg_mag 0.036293 0.071876 0.038582 0.022981
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.157549 0.241403 0.346692 0.141338
i0_pos -0.264390 0.226517 0.388827 0.137656
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.086422 0.079254 0.063859 0.063408
aa_neg -0.257637 0.232622 0.479882 0.119663
aa_pos -0.121548 0.272634 0.567818 0.162931
kappa_0 -0.184293 0.197695 0.425401 0.159159
sigma_neg -0.000127 0.000235 0.000001 0.000001
sigma_pos -0.007356 0.007086 0.000746 0.000745

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.267885 0.247444
a_neg l_neg -0.304823 0.287656
a_neg l_sep -0.347934 0.286539
a_neg l_pos -0.229530 0.255209
a_neg Rp_neg -0.344262 0.284749
a_neg Rp_pos -0.364931 0.286693
a_neg epsilon_f_neg -0.347977 0.286539
a_neg epsilon_f_pos -0.347568 0.286536
a_neg epsilon_neg -0.314015 0.298018
a_neg epsilon_sep -0.347978 0.286540
a_neg epsilon_pos -0.242200 0.304834
a_neg Cdl_neg -0.193685 0.311424
a_neg Cdl_pos -0.361627 0.288350
a_neg cs_max_neg -0.347978 0.286540
a_neg cs_max_pos -0.347978 0.286540
a_neg c0 -0.345232 0.286577
a_neg D -0.348797 0.286613
a_neg Ds_neg -0.363449 0.288016
a_neg Ds_pos -0.315353 0.287490
a_neg d2Udcp2_pos_sgn -0.320771 0.287962
a_neg d2Udcp2_neg_sgn -0.348561 0.286596
a_neg d3Udcp3_pos_sgn -0.347978 0.286540
a_neg d3Udcp3_neg_sgn -0.347978 0.286540
a_neg dUdcp_pos_mag -0.348511 0.286731
a_neg dUdcp_neg_mag -0.339631 0.286501
a_neg d2Udcp2_pos_mag -0.335534 0.287217
a_neg d2Udcp2_neg_mag -0.382262 0.292157
a_neg d3Udcp3_pos_mag -0.347978 0.286540
a_neg d3Udcp3_neg_mag -0.347978 0.286540
a_neg i0_neg -0.098068 0.288285
a_neg i0_pos -0.064930 0.286161
a_neg SOC_neg -0.347978 0.286540
a_neg SOC_pos -0.347978 0.286540
a_neg tP -0.345449 0.286614
a_neg aa_neg -0.357516 0.313843
a_neg aa_pos -0.129353 0.258388
a_neg kappa_0 -0.229850 0.255871
a_neg sigma_neg -0.347590 0.286512
a_neg sigma_pos -0.343227 0.283555
a_pos l_neg 0.634508 0.309212
a_pos l_sep 0.632803 0.309027
a_pos l_pos 0.748189 0.322491
a_pos Rp_neg 0.643243 0.307146
a_pos Rp_pos 0.620840 0.309213
a_pos epsilon_f_neg 0.632800 0.309026
a_pos epsilon_f_pos 0.632796 0.309026
a_pos epsilon_neg 0.665079 0.303241
a_pos epsilon_sep 0.632800 0.309026
a_pos epsilon_pos 0.623404 0.308829
a_pos Cdl_neg 0.654548 0.306550
a_pos Cdl_pos 0.644523 0.305584
a_pos cs_max_neg 0.632800 0.309026
a_pos cs_max_pos 0.632800 0.309026
