Parameter S1 S1_conf ST ST_conf
a_neg 0.090660 0.197277 0.385310 0.148428
a_pos -0.503873 0.208513 0.373162 0.141128
l_neg -0.125273 0.150004 0.183865 0.118327
l_sep -0.000000 0.000003 0.000000 0.000000
l_pos -0.209544 0.210734 0.427587 0.152012
Rp_neg -0.003660 0.003240 0.000045 0.000034
Rp_pos -0.002487 0.003627 0.000539 0.000336
epsilon_f_neg -0.000029 0.000032 0.000000 0.000000
epsilon_f_pos 0.000135 0.000176 0.000001 0.000001
epsilon_neg -0.066665 0.206734 0.453807 0.162376
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.227486 0.210580 0.558683 0.179180
Cdl_neg -0.018849 0.160755 0.351492 0.132733
Cdl_pos 0.010117 0.121291 0.325336 0.143733
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.004772 0.004307 0.061060 0.066621
D -0.000196 0.000204 0.000001 0.000001
Ds_neg -0.007887 0.004721 0.001720 0.001606
Ds_pos -0.016859 0.010747 0.003134 0.001858
d2Udcp2_pos_sgn -0.007849 0.009148 0.001390 0.001440
d2Udcp2_neg_sgn -0.000752 0.000557 0.000019 0.000016
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.007506 0.009846 0.001242 0.000757
dUdcp_neg_mag 0.001822 0.002892 0.000165 0.000092
d2Udcp2_pos_mag -0.015046 0.011021 0.008289 0.004989
d2Udcp2_neg_mag -0.000402 0.000340 0.000007 0.000006
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.103274 0.214317 0.337131 0.122175
i0_pos -0.220309 0.193598 0.411771 0.153073
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.006379 0.004307 0.061065 0.066621
aa_neg -0.242434 0.218618 0.484780 0.121693
aa_pos -0.047962 0.262771 0.529410 0.145757
kappa_0 -0.080752 0.140765 0.427361 0.156787
sigma_neg 0.000124 0.000124 0.000000 0.000000
sigma_pos -0.000462 0.000826 0.000033 0.000023

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.261413 0.200305
a_neg l_neg -0.294229 0.224877
a_neg l_sep -0.356902 0.232720
a_neg l_pos -0.232725 0.206545
a_neg Rp_neg -0.356666 0.232739
a_neg Rp_pos -0.347592 0.232782
a_neg epsilon_f_neg -0.356900 0.232721
a_neg epsilon_f_pos -0.356634 0.232799
a_neg epsilon_neg -0.370707 0.242565
a_neg epsilon_sep -0.356900 0.232720
a_neg epsilon_pos -0.226808 0.258744
a_neg Cdl_neg -0.197205 0.261187
a_neg Cdl_pos -0.443997 0.250103
a_neg cs_max_neg -0.356900 0.232720
a_neg cs_max_pos -0.356900 0.232720
a_neg c0 -0.361400 0.232942
a_neg D -0.356745 0.232722
a_neg Ds_neg -0.355623 0.232695
a_neg Ds_pos -0.339628 0.233115
a_neg d2Udcp2_pos_sgn -0.355976 0.232742
a_neg d2Udcp2_neg_sgn -0.356899 0.232720
a_neg d3Udcp3_pos_sgn -0.356900 0.232720
a_neg d3Udcp3_neg_sgn -0.356900 0.232720
a_neg dUdcp_pos_mag -0.359776 0.232793
a_neg dUdcp_neg_mag -0.356033 0.233087
a_neg d2Udcp2_pos_mag -0.373163 0.235090
a_neg d2Udcp2_neg_mag -0.356864 0.232726
a_neg d3Udcp3_pos_mag -0.356900 0.232720
a_neg d3Udcp3_neg_mag -0.356900 0.232720
a_neg i0_neg -0.098133 0.251912
a_neg i0_pos -0.101538 0.259363
a_neg SOC_neg -0.356900 0.232720
a_neg SOC_pos -0.356900 0.232720
a_neg tP -0.361527 0.232945
a_neg aa_neg -0.311162 0.269226
a_neg aa_pos -0.162429 0.223709
a_neg kappa_0 -0.247816 0.207480
a_neg sigma_neg -0.356713 0.232775
a_neg sigma_pos -0.358562 0.231690
a_pos l_neg 0.556797 0.260462
a_pos l_sep 0.556657 0.260460
a_pos l_pos 0.639063 0.260940
a_pos Rp_neg 0.557692 0.260219
a_pos Rp_pos 0.557317 0.260764
a_pos epsilon_f_neg 0.556657 0.260460
a_pos epsilon_f_pos 0.556658 0.260460
a_pos epsilon_neg 0.568856 0.260665
a_pos epsilon_sep 0.556657 0.260460
a_pos epsilon_pos 0.545521 0.261484
a_pos Cdl_neg 0.581907 0.258165
a_pos Cdl_pos 0.505616 0.248995
a_pos cs_max_neg 0.556657 0.260460
a_pos cs_max_pos 0.556657 0.260460
a_pos c0 0.557181 0.260430
a_pos D 0.556676 0.260464
a_pos Ds_neg 0.556673 0.260460
a_pos Ds_pos 0.556601 0.260441
a_pos d2Udcp2_pos_sgn 0.556639 0.260434
a_pos d2Udcp2_neg_sgn 0.556641 0.260463
a_pos d3Udcp3_pos_sgn 0.556657 0.260460
a_pos d3Udcp3_neg_sgn 0.556657 0.260460
a_pos dUdcp_pos_mag 0.556504 0.260480
a_pos dUdcp_neg_mag 0.558736 0.260441
a_pos d2Udcp2_pos_mag 0.556700 0.260465
a_pos d2Udcp2_neg_mag 0.556671 0.260473
a_pos d3Udcp3_pos_mag 0.556657 0.260460
a_pos d3Udcp3_neg_mag 0.556657 0.260460
a_pos i0_neg 0.563595 0.260029
a_pos i0_pos 0.440442 0.236334
a_pos SOC_neg 0.556657 0.260460
a_pos SOC_pos 0.556657 0.260460
a_pos tP 0.557163 0.260423
a_pos aa_neg 0.341597 0.261507
a_pos aa_pos 0.560753 0.261472
a_pos kappa_0 0.677329 0.274652
a_pos sigma_neg 0.556658 0.260460
a_pos sigma_pos 0.556684 0.260457
l_neg l_sep 0.091492 0.237041
l_neg l_pos 0.091298 0.237073
l_neg Rp_neg 0.091628 0.237315
l_neg Rp_pos 0.101762 0.236111
l_neg epsilon_f_neg 0.091478 0.237040
l_neg epsilon_f_pos 0.091489 0.237041
l_neg epsilon_neg 0.155353 0.239226
l_neg epsilon_sep 0.091494 0.237041
l_neg epsilon_pos 0.156823 0.240236
l_neg Cdl_neg -0.025005 0.210593
l_neg Cdl_pos 0.201613 0.277410
l_neg cs_max_neg 0.091494 0.237041
l_neg cs_max_pos 0.091494 0.237041
l_neg c0 0.091802 0.237021
l_neg D 0.091290 0.237033
l_neg Ds_neg 0.113716 0.246893
l_neg Ds_pos 0.109146 0.235445
