Parameter S1 S1_conf ST ST_conf
a_neg 0.090946 0.165479 0.396468 0.156527
a_pos -0.356068 0.161557 0.355172 0.138499
l_neg -0.126004 0.110921 0.201672 0.124117
l_sep 0.000002 0.000002 0.000000 0.000000
l_pos -0.166735 0.173496 0.471732 0.161500
Rp_neg 0.000113 0.000231 0.000001 0.000001
Rp_pos -0.000338 0.000616 0.000010 0.000007
epsilon_f_neg -0.000003 0.000004 0.000000 0.000000
epsilon_f_pos -0.000048 0.000087 0.000000 0.000000
epsilon_neg -0.031014 0.145911 0.473754 0.178754
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000257 0.169807 0.522705 0.183885
Cdl_neg 0.017758 0.135867 0.306338 0.098353
Cdl_pos 0.043208 0.096135 0.347630 0.142107
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.030556 0.031754 0.067307 0.070197
D -0.000014 0.000027 0.000000 0.000000
Ds_neg -0.003727 0.003327 0.001443 0.001382
Ds_pos -0.000544 0.000650 0.000011 0.000008
d2Udcp2_pos_sgn -0.000015 0.000015 0.000000 0.000000
d2Udcp2_neg_sgn -0.000021 0.000019 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.001164 0.001441 0.000042 0.000040
dUdcp_neg_mag 0.000205 0.000540 0.000013 0.000007
d2Udcp2_pos_mag -0.000866 0.000784 0.000015 0.000013
d2Udcp2_neg_mag -0.000011 0.000009 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.009329 0.176994 0.340886 0.120672
i0_pos -0.092503 0.133332 0.393127 0.131613
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.030620 0.031754 0.067307 0.070197
aa_neg -0.182247 0.181274 0.479052 0.094686
aa_pos 0.026436 0.209233 0.472824 0.137368
kappa_0 -0.030148 0.095670 0.471403 0.169917
sigma_neg 0.000151 0.000163 0.000001 0.000000
sigma_pos -0.000708 0.000444 0.000004 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.148889 0.139475
a_neg l_neg -0.203460 0.156023
a_neg l_sep -0.278984 0.163934
a_neg l_pos -0.138407 0.139916
a_neg Rp_neg -0.279002 0.163940
a_neg Rp_pos -0.277585 0.163769
a_neg epsilon_f_neg -0.278983 0.163934
a_neg epsilon_f_pos -0.278974 0.163940
a_neg epsilon_neg -0.326988 0.174485
a_neg epsilon_sep -0.278984 0.163934
a_neg epsilon_pos -0.161834 0.244525
a_neg Cdl_neg -0.113619 0.198148
a_neg Cdl_pos -0.349618 0.179266
a_neg cs_max_neg -0.278984 0.163934
a_neg cs_max_pos -0.278984 0.163934
a_neg c0 -0.279250 0.163935
a_neg D -0.278933 0.163928
a_neg Ds_neg -0.276533 0.163859
a_neg Ds_pos -0.277552 0.163763
a_neg d2Udcp2_pos_sgn -0.278985 0.163934
a_neg d2Udcp2_neg_sgn -0.278984 0.163934
a_neg d3Udcp3_pos_sgn -0.278984 0.163934
a_neg d3Udcp3_neg_sgn -0.278984 0.163934
a_neg dUdcp_pos_mag -0.279217 0.163995
a_neg dUdcp_neg_mag -0.278919 0.163981
a_neg d2Udcp2_pos_mag -0.277020 0.163713
a_neg d2Udcp2_neg_mag -0.278984 0.163934
a_neg d3Udcp3_pos_mag -0.278984 0.163934
a_neg d3Udcp3_neg_mag -0.278984 0.163934
a_neg i0_neg -0.054447 0.197895
a_neg i0_pos -0.006817 0.201928
a_neg SOC_neg -0.278984 0.163934
a_neg SOC_pos -0.278984 0.163934
a_neg tP -0.279309 0.163934
a_neg aa_neg -0.189881 0.219407
a_neg aa_pos -0.068639 0.145018
a_neg kappa_0 -0.164225 0.142200
a_neg sigma_neg -0.278991 0.163946
a_neg sigma_pos -0.279503 0.163893
a_pos l_neg 0.327311 0.195965
a_pos l_sep 0.327242 0.195972
a_pos l_pos 0.452549 0.194041
a_pos Rp_neg 0.327550 0.195933
a_pos Rp_pos 0.327155 0.195962
a_pos epsilon_f_neg 0.327242 0.195972
a_pos epsilon_f_pos 0.327259 0.195972
a_pos epsilon_neg 0.329079 0.196789
a_pos epsilon_sep 0.327242 0.195972
a_pos epsilon_pos 0.312407 0.198450
a_pos Cdl_neg 0.372855 0.195758
a_pos Cdl_pos 0.262761 0.182784
a_pos cs_max_neg 0.327242 0.195972
a_pos cs_max_pos 0.327242 0.195972
a_pos c0 0.327235 0.195968
a_pos D 0.327239 0.195972
a_pos Ds_neg 0.324191 0.196392
a_pos Ds_pos 0.327295 0.195972
a_pos d2Udcp2_pos_sgn 0.327244 0.195972
a_pos d2Udcp2_neg_sgn 0.327242 0.195972
a_pos d3Udcp3_pos_sgn 0.327242 0.195972
a_pos d3Udcp3_neg_sgn 0.327242 0.195972
a_pos dUdcp_pos_mag 0.327373 0.195980
a_pos dUdcp_neg_mag 0.327751 0.195941
a_pos d2Udcp2_pos_mag 0.327243 0.195972
a_pos d2Udcp2_neg_mag 0.327244 0.195973
a_pos d3Udcp3_pos_mag 0.327242 0.195972
a_pos d3Udcp3_neg_mag 0.327242 0.195972
a_pos i0_neg 0.344707 0.200736
a_pos i0_pos 0.255775 0.165607
a_pos SOC_neg 0.327242 0.195972
a_pos SOC_pos 0.327242 0.195972
a_pos tP 0.327233 0.195969
a_pos aa_neg 0.121905 0.200963
a_pos aa_pos 0.326787 0.193677
a_pos kappa_0 0.476666 0.193405
a_pos sigma_neg 0.327245 0.195970
a_pos sigma_pos 0.327354 0.195978
l_neg l_sep 0.094374 0.185756
l_neg l_pos 0.094196 0.185740
l_neg Rp_neg 0.093755 0.185507
l_neg Rp_pos 0.095940 0.185629
l_neg epsilon_f_neg 0.094361 0.185755
l_neg epsilon_f_pos 0.094369 0.185754
l_neg epsilon_neg 0.116782 0.190973
