Parameter S1 S1_conf ST ST_conf
a_neg 0.090466 0.102040 0.353387 0.143226
a_pos -0.236728 0.131412 0.345498 0.140277
l_neg -0.113156 0.085353 0.199151 0.121108
l_sep -0.000321 0.000317 0.000001 0.000001
l_pos -0.178152 0.145333 0.472403 0.164876
Rp_neg 0.000299 0.000256 0.000003 0.000003
Rp_pos 0.000018 0.000048 0.000000 0.000000
epsilon_f_neg -0.000002 0.000002 0.000000 0.000000
epsilon_f_pos 0.000223 0.000236 0.000001 0.000001
epsilon_neg -0.040219 0.126836 0.428053 0.157677
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.061054 0.116649 0.453372 0.148566
Cdl_neg 0.088887 0.091745 0.249303 0.091700
Cdl_pos 0.083018 0.105261 0.364488 0.131758
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.062805 0.062752 0.067844 0.067918
D 0.000023 0.000060 0.000000 0.000000
Ds_neg -0.000873 0.000857 0.000030 0.000030
Ds_pos 0.000056 0.000055 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000122 0.000091 0.000001 0.000001
dUdcp_neg_mag 0.000053 0.000367 0.000004 0.000003
d2Udcp2_pos_mag 0.000002 0.000003 0.000000 0.000000
d2Udcp2_neg_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.010852 0.114747 0.300691 0.114010
i0_pos -0.135220 0.113636 0.298095 0.113605
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.064355 0.062692 0.067868 0.067917
aa_neg -0.090387 0.167737 0.430304 0.084498
aa_pos 0.015910 0.152551 0.392629 0.119254
kappa_0 -0.003177 0.137650 0.476961 0.166313
sigma_neg -0.000129 0.000129 0.000000 0.000000
sigma_pos -0.001742 0.001741 0.000043 0.000041

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.140829 0.115665
a_neg l_neg -0.207793 0.120949
a_neg l_sep -0.262334 0.118540
a_neg l_pos -0.135891 0.115745
a_neg Rp_neg -0.262332 0.118541
a_neg Rp_pos -0.262404 0.118554
a_neg epsilon_f_neg -0.262334 0.118540
a_neg epsilon_f_pos -0.262331 0.118541
a_neg epsilon_neg -0.318857 0.118740
a_neg epsilon_sep -0.262334 0.118540
a_neg epsilon_pos -0.129635 0.180728
a_neg Cdl_neg -0.149529 0.149896
a_neg Cdl_pos -0.306977 0.133489
a_neg cs_max_neg -0.262334 0.118540
a_neg cs_max_pos -0.262334 0.118540
a_neg c0 -0.262322 0.118547
a_neg D -0.262321 0.118542
a_neg Ds_neg -0.262326 0.118538
a_neg Ds_pos -0.262431 0.118560
a_neg d2Udcp2_pos_sgn -0.262334 0.118540
a_neg d2Udcp2_neg_sgn -0.262334 0.118540
a_neg d3Udcp3_pos_sgn -0.262334 0.118540
a_neg d3Udcp3_neg_sgn -0.262334 0.118540
a_neg dUdcp_pos_mag -0.262425 0.118563
a_neg dUdcp_neg_mag -0.262320 0.118543
a_neg d2Udcp2_pos_mag -0.262332 0.118540
a_neg d2Udcp2_neg_mag -0.262334 0.118540
a_neg d3Udcp3_pos_mag -0.262334 0.118540
a_neg d3Udcp3_neg_mag -0.262334 0.118540
a_neg i0_neg -0.044244 0.155489
a_neg i0_pos -0.009840 0.150959
a_neg SOC_neg -0.262334 0.118540
a_neg SOC_pos -0.262334 0.118540
a_neg tP -0.262411 0.118542
a_neg aa_neg -0.134342 0.169678
a_neg aa_pos -0.075969 0.113182
a_neg kappa_0 -0.137859 0.115712
a_neg sigma_neg -0.262335 0.118542
a_neg sigma_pos -0.262395 0.118543
a_pos l_neg 0.217708 0.158541
a_pos l_sep 0.214138 0.158452
a_pos l_pos 0.349378 0.148625
a_pos Rp_neg 0.214169 0.158452
a_pos Rp_pos 0.214120 0.158455
a_pos epsilon_f_neg 0.214139 0.158453
a_pos epsilon_f_pos 0.214137 0.158452
a_pos epsilon_neg 0.211364 0.158692
a_pos epsilon_sep 0.214139 0.158453
a_pos epsilon_pos 0.239722 0.160387
a_pos Cdl_neg 0.230716 0.159834
a_pos Cdl_pos 0.171009 0.152113
a_pos cs_max_neg 0.214139 0.158453
a_pos cs_max_pos 0.214139 0.158453
a_pos c0 0.214349 0.158427
a_pos D 0.214137 0.158452
a_pos Ds_neg 0.214130 0.158452
a_pos Ds_pos 0.214139 0.158453
a_pos d2Udcp2_pos_sgn 0.214139 0.158453
a_pos d2Udcp2_neg_sgn 0.214139 0.158453
a_pos d3Udcp3_pos_sgn 0.214139 0.158453
a_pos d3Udcp3_neg_sgn 0.214139 0.158453
a_pos dUdcp_pos_mag 0.214151 0.158452
a_pos dUdcp_neg_mag 0.214171 0.158454
a_pos d2Udcp2_pos_mag 0.214139 0.158453
a_pos d2Udcp2_neg_mag 0.214139 0.158453
a_pos d3Udcp3_pos_mag 0.214139 0.158453
a_pos d3Udcp3_neg_mag 0.214139 0.158453
a_pos i0_neg 0.248526 0.159255
a_pos i0_pos 0.130338 0.155259
a_pos SOC_neg 0.214139 0.158453
a_pos SOC_pos 0.214139 0.158453
a_pos tP 0.214354 0.158430
a_pos aa_neg 0.031133 0.185106
a_pos aa_pos 0.217984 0.158590
a_pos kappa_0 0.350269 0.148811
a_pos sigma_neg 0.214115 0.158446
a_pos sigma_pos 0.214225 0.158474
l_neg l_sep 0.049517 0.139024
l_neg l_pos 0.042334 0.138867
l_neg Rp_neg 0.048589 0.138622
l_neg Rp_pos 0.049461 0.139043
l_neg epsilon_f_neg 0.049517 0.139024
l_neg epsilon_f_pos 0.049519 0.139023
l_neg epsilon_neg 0.063915 0.135302
l_neg epsilon_sep 0.049517 0.139024
l_neg epsilon_pos 0.058275 0.137050
l_neg Cdl_neg -0.045845 0.123503
l_neg Cdl_pos 0.152612 0.162942
l_neg cs_max_neg 0.049517 0.139024
l_neg cs_max_pos 0.049517 0.139024
l_neg c0 0.049502 0.139029
l_neg D 0.049513 0.139025
l_neg Ds_neg 0.052398 0.140410
l_neg Ds_pos 0.049406 0.139057
l_neg d2Udcp2_pos_sgn 0.049517 0.139024
l_neg d2Udcp2_neg_sgn 0.049517 0.139024
l_neg d3Udcp3_pos_sgn 0.049517 0.139024
l_neg d3Udcp3_neg_sgn 0.049517 0.139024
l_neg dUdcp_pos_mag 0.049367 0.139068
l_neg dUdcp_neg_mag 0.048455 0.138604
l_neg d2Udcp2_pos_mag 0.049518 0.139024
