Parameter S1 S1_conf ST ST_conf
a_neg 0.127018 0.101246 0.324117 0.127009
a_pos -0.204672 0.120495 0.330087 0.148403
l_neg -0.104476 0.074028 0.191505 0.115870
l_sep -0.004666 0.003956 0.000225 0.000207
l_pos -0.164411 0.126232 0.432254 0.153408
Rp_neg 0.000163 0.000157 0.000000 0.000000
Rp_pos 0.000006 0.000007 0.000000 0.000000
epsilon_f_neg 0.000001 0.000001 0.000000 0.000000
epsilon_f_pos 0.000030 0.000037 0.000001 0.000001
epsilon_neg -0.071008 0.118789 0.402259 0.146942
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.042096 0.087129 0.453336 0.172525
Cdl_neg 0.052552 0.099528 0.208987 0.094441
Cdl_pos 0.027718 0.102349 0.359952 0.140239
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.056791 0.071908 0.075891 0.069460
D -0.002129 0.001740 0.000058 0.000050
Ds_neg -0.000028 0.000028 0.000000 0.000000
Ds_pos 0.000001 0.000001 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000017 0.000012 0.000000 0.000000
dUdcp_neg_mag 0.000150 0.000162 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.014221 0.073122 0.246923 0.126758
i0_pos -0.007550 0.086089 0.258294 0.122541
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.037330 0.074674 0.079645 0.069485
aa_neg 0.015700 0.149785 0.413042 0.093389
aa_pos 0.061091 0.106285 0.331269 0.103226
kappa_0 0.019920 0.152480 0.531527 0.162630
sigma_neg -0.000035 0.000029 0.000000 0.000000
sigma_pos 0.000365 0.000715 0.000035 0.000033

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.163651 0.127471
a_neg l_neg -0.208538 0.126992
a_neg l_sep -0.277190 0.122730
a_neg l_pos -0.172536 0.127604
a_neg Rp_neg -0.277187 0.122729
a_neg Rp_pos -0.277194 0.122730
a_neg epsilon_f_neg -0.277187 0.122729
a_neg epsilon_f_pos -0.277182 0.122730
a_neg epsilon_neg -0.328130 0.119870
a_neg epsilon_sep -0.277187 0.122729
a_neg epsilon_pos -0.184542 0.174290
a_neg Cdl_neg -0.197840 0.130867
a_neg Cdl_pos -0.323341 0.140489
a_neg cs_max_neg -0.277187 0.122729
a_neg cs_max_pos -0.277187 0.122729
a_neg c0 -0.277188 0.122734
a_neg D -0.277191 0.122730
a_neg Ds_neg -0.277188 0.122729
a_neg Ds_pos -0.277188 0.122729
a_neg d2Udcp2_pos_sgn -0.277187 0.122729
a_neg d2Udcp2_neg_sgn -0.277187 0.122729
a_neg d3Udcp3_pos_sgn -0.277187 0.122729
a_neg d3Udcp3_neg_sgn -0.277187 0.122729
a_neg dUdcp_pos_mag -0.277198 0.122730
a_neg dUdcp_neg_mag -0.277185 0.122729
a_neg d2Udcp2_pos_mag -0.277187 0.122729
a_neg d2Udcp2_neg_mag -0.277187 0.122729
a_neg d3Udcp3_pos_mag -0.277187 0.122729
a_neg d3Udcp3_neg_mag -0.277187 0.122729
a_neg i0_neg -0.044429 0.169421
a_neg i0_pos -0.080344 0.152684
a_neg SOC_neg -0.277187 0.122729
a_neg SOC_pos -0.277187 0.122729
a_neg tP -0.277319 0.122723
a_neg aa_neg -0.178739 0.171624
a_neg aa_pos -0.143874 0.130271
a_neg kappa_0 -0.182365 0.128879
a_neg sigma_neg -0.277184 0.122730
a_neg sigma_pos -0.277228 0.122728
a_pos l_neg 0.167782 0.148985
a_pos l_sep 0.170481 0.149161
a_pos l_pos 0.326186 0.136625
a_pos Rp_neg 0.170619 0.149164
a_pos Rp_pos 0.170617 0.149165
a_pos epsilon_f_neg 0.170617 0.149165
a_pos epsilon_f_pos 0.170613 0.149164
a_pos epsilon_neg 0.176035 0.148148
a_pos epsilon_sep 0.170617 0.149165
a_pos epsilon_pos 0.212132 0.142211
a_pos Cdl_neg 0.175804 0.149537
a_pos Cdl_pos 0.110663 0.145623
a_pos cs_max_neg 0.170617 0.149165
