Parameter S1 S1_conf ST ST_conf
a_neg 0.010379 0.231810 0.430395 0.164878
a_pos -0.629325 0.253630 0.439740 0.163616
l_neg -0.124208 0.156541 0.187891 0.114215
l_sep -0.000059 0.000044 0.000000 0.000000
l_pos -0.269993 0.237490 0.438478 0.168560
Rp_neg -0.014973 0.012210 0.000710 0.000446
Rp_pos 0.025946 0.059769 0.027067 0.019130
epsilon_f_neg -0.000020 0.000029 0.000000 0.000000
epsilon_f_pos 0.000011 0.000172 0.000001 0.000000
epsilon_neg -0.289730 0.275846 0.548289 0.176404
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.401988 0.260937 0.613783 0.192051
Cdl_neg 0.025189 0.167772 0.370260 0.139478
Cdl_pos -0.027947 0.143334 0.322627 0.141481
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.075898 0.068028 0.063322 0.062379
D -0.000736 0.001067 0.000017 0.000014
Ds_neg -0.025986 0.015355 0.014186 0.011302
Ds_pos -0.036643 0.030526 0.015110 0.011140
d2Udcp2_pos_sgn 0.043303 0.067169 0.036040 0.020919
d2Udcp2_neg_sgn -0.007373 0.005540 0.014395 0.014033
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.020646 0.025987 0.003566 0.003086
dUdcp_neg_mag 0.003002 0.011174 0.002169 0.001291
d2Udcp2_pos_mag -0.028097 0.056370 0.041444 0.020430
d2Udcp2_neg_mag -0.004317 0.004961 0.011613 0.011339
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.218625 0.245178 0.368626 0.146810
i0_pos -0.265113 0.210769 0.385782 0.139159
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.075763 0.068064 0.063448 0.062381
aa_neg -0.317517 0.243900 0.505120 0.118425
aa_pos -0.105588 0.265842 0.573107 0.162903
kappa_0 -0.174858 0.182501 0.438540 0.155931
sigma_neg 0.000050 0.000159 0.000000 0.000000
sigma_pos -0.004334 0.004424 0.000297 0.000286

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.314268 0.244883
a_neg l_neg -0.342616 0.280534
a_neg l_sep -0.398410 0.286128
a_neg l_pos -0.271873 0.258298
a_neg Rp_neg -0.397386 0.285376
a_neg Rp_pos -0.403478 0.286450
a_neg epsilon_f_neg -0.398432 0.286129
a_neg epsilon_f_pos -0.398085 0.286200
a_neg epsilon_neg -0.365896 0.287609
a_neg epsilon_sep -0.398430 0.286128
a_neg epsilon_pos -0.287433 0.299556
a_neg Cdl_neg -0.256934 0.307726
a_neg Cdl_pos -0.453738 0.292475
a_neg cs_max_neg -0.398430 0.286128
a_neg cs_max_pos -0.398430 0.286128
a_neg c0 -0.391525 0.286241
a_neg D -0.398983 0.286164
a_neg Ds_neg -0.394394 0.285393
a_neg Ds_pos -0.368332 0.286408
a_neg d2Udcp2_pos_sgn -0.382116 0.286251
a_neg d2Udcp2_neg_sgn -0.398455 0.286130
a_neg d3Udcp3_pos_sgn -0.398430 0.286128
a_neg d3Udcp3_neg_sgn -0.398430 0.286128
a_neg dUdcp_pos_mag -0.399767 0.286282
a_neg dUdcp_neg_mag -0.399254 0.285113
a_neg d2Udcp2_pos_mag -0.398198 0.287839
a_neg d2Udcp2_neg_mag -0.399152 0.286413
a_neg d3Udcp3_pos_mag -0.398430 0.286128
a_neg d3Udcp3_neg_mag -0.398430 0.286128
a_neg i0_neg -0.111535 0.288934
a_neg i0_pos -0.122991 0.294905
a_neg SOC_neg -0.398430 0.286128
a_neg SOC_pos -0.398430 0.286128
a_neg tP -0.391951 0.286262
a_neg aa_neg -0.384976 0.311338
a_neg aa_pos -0.176942 0.266358
a_neg kappa_0 -0.270703 0.259332
a_neg sigma_neg -0.398121 0.286165
a_neg sigma_pos -0.397172 0.283841
a_pos l_neg 0.671888 0.302793
a_pos l_sep 0.671082 0.302762
a_pos l_pos 0.782685 0.312880
a_pos Rp_neg 0.676177 0.301826
a_pos Rp_pos 0.671236 0.302972
a_pos epsilon_f_neg 0.671084 0.302762
a_pos epsilon_f_pos 0.671085 0.302762
a_pos epsilon_neg 0.699985 0.297894
a_pos epsilon_sep 0.671084 0.302762
a_pos epsilon_pos 0.669090 0.302650
a_pos Cdl_neg 0.691035 0.301526
a_pos Cdl_pos 0.663822 0.298019
a_pos cs_max_neg 0.671084 0.302762
a_pos cs_max_pos 0.671084 0.302762
