Parameter S1 S1_conf ST ST_conf
a_neg 0.123180 0.183866 0.378946 0.147419
a_pos -0.466991 0.196963 0.359898 0.142289
l_neg -0.129537 0.144316 0.187827 0.117596
l_sep 0.000000 0.000001 0.000000 0.000000
l_pos -0.197331 0.207233 0.435690 0.155263
Rp_neg -0.001509 0.001330 0.000010 0.000006
Rp_pos -0.003286 0.002647 0.000330 0.000245
epsilon_f_neg -0.000017 0.000016 0.000000 0.000000
epsilon_f_pos -0.000243 0.000242 0.000002 0.000002
epsilon_neg -0.030186 0.190947 0.456055 0.167827
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.149003 0.199758 0.542256 0.184658
Cdl_neg -0.014742 0.154855 0.340628 0.123665
Cdl_pos 0.029492 0.109402 0.310134 0.132597
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.004320 0.004927 0.062166 0.065049
D -0.000081 0.000080 0.000000 0.000000
Ds_neg -0.008349 0.006206 0.002066 0.001952
Ds_pos -0.006041 0.004437 0.000710 0.000429
d2Udcp2_pos_sgn -0.001634 0.001781 0.000060 0.000062
d2Udcp2_neg_sgn -0.000236 0.000237 0.000002 0.000002
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000809 0.005286 0.000457 0.000327
dUdcp_neg_mag 0.000629 0.001346 0.000048 0.000028
d2Udcp2_pos_mag -0.004439 0.002914 0.000516 0.000389
d2Udcp2_neg_mag -0.000117 0.000123 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.055500 0.211680 0.349507 0.124967
i0_pos -0.120638 0.173860 0.400984 0.147338
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.004157 0.004929 0.062168 0.065049
aa_neg -0.212753 0.201387 0.473119 0.112687
aa_pos -0.020932 0.253347 0.506264 0.144250
kappa_0 -0.055904 0.128493 0.435307 0.162704
sigma_neg 0.000098 0.000096 0.000000 0.000000
sigma_pos -0.000659 0.000549 0.000016 0.000010

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.235467 0.175256
a_neg l_neg -0.290074 0.205751
a_neg l_sep -0.356756 0.213580
a_neg l_pos -0.218363 0.179080
a_neg Rp_neg -0.356576 0.213606
a_neg Rp_pos -0.349249 0.213475
a_neg epsilon_f_neg -0.356755 0.213580
a_neg epsilon_f_pos -0.356605 0.213624
a_neg epsilon_neg -0.381162 0.223561
a_neg epsilon_sep -0.356756 0.213580
a_neg epsilon_pos -0.216583 0.259144
a_neg Cdl_neg -0.176040 0.252985
a_neg Cdl_pos -0.436686 0.230953
a_neg cs_max_neg -0.356756 0.213580
a_neg cs_max_pos -0.356756 0.213580
a_neg c0 -0.358473 0.213575
a_neg D -0.356611 0.213576
a_neg Ds_neg -0.353478 0.213453
a_neg Ds_pos -0.347555 0.213489
a_neg d2Udcp2_pos_sgn -0.356662 0.213587
a_neg d2Udcp2_neg_sgn -0.356753 0.213580
a_neg d3Udcp3_pos_sgn -0.356756 0.213580
a_neg d3Udcp3_neg_sgn -0.356756 0.213580
a_neg dUdcp_pos_mag -0.357271 0.213646
a_neg dUdcp_neg_mag -0.355961 0.213897
a_neg d2Udcp2_pos_mag -0.349083 0.213398
a_neg d2Udcp2_neg_mag -0.356743 0.213582
a_neg d3Udcp3_pos_mag -0.356756 0.213580
a_neg d3Udcp3_neg_mag -0.356756 0.213580
a_neg i0_neg -0.107597 0.235303
a_neg i0_pos -0.103121 0.237775
a_neg SOC_neg -0.356756 0.213580
a_neg SOC_pos -0.356756 0.213580
a_neg tP -0.358542 0.213573
a_neg aa_neg -0.289664 0.257537
a_neg aa_pos -0.149016 0.200129
a_neg kappa_0 -0.253336 0.180770
a_neg sigma_neg -0.356658 0.213614
a_neg sigma_pos -0.358050 0.213114
a_pos l_neg 0.489902 0.244287
a_pos l_sep 0.489867 0.244285
a_pos l_pos 0.583411 0.245122
a_pos Rp_neg 0.490411 0.244181
a_pos Rp_pos 0.489997 0.244373
a_pos epsilon_f_neg 0.489867 0.244285
a_pos epsilon_f_pos 0.489868 0.244285
a_pos epsilon_neg 0.495294 0.244824
a_pos epsilon_sep 0.489867 0.244285
a_pos epsilon_pos 0.463245 0.249668
a_pos Cdl_neg 0.521210 0.241023
a_pos Cdl_pos 0.413161 0.233633
a_pos cs_max_neg 0.489867 0.244285
a_pos cs_max_pos 0.489867 0.244285
a_pos c0 0.490100 0.244289
a_pos D 0.489874 0.244287
a_pos Ds_neg 0.489729 0.244296
a_pos Ds_pos 0.489781 0.244281
a_pos d2Udcp2_pos_sgn 0.489887 0.244282
a_pos d2Udcp2_neg_sgn 0.489859 0.244287
a_pos d3Udcp3_pos_sgn 0.489867 0.244285
a_pos d3Udcp3_neg_sgn 0.489867 0.244285
a_pos dUdcp_pos_mag 0.489809 0.244296
a_pos dUdcp_neg_mag 0.490919 0.244260
a_pos d2Udcp2_pos_mag 0.489882 0.244286
a_pos d2Udcp2_neg_mag 0.489871 0.244290
a_pos d3Udcp3_pos_mag 0.489867 0.244285
a_pos d3Udcp3_neg_mag 0.489867 0.244285
a_pos i0_neg 0.488955 0.247988
a_pos i0_pos 0.385542 0.215614
a_pos SOC_neg 0.489867 0.244285
a_pos SOC_pos 0.489867 0.244285
a_pos tP 0.490077 0.244285
a_pos aa_neg 0.282116 0.243352
a_pos aa_pos 0.493825 0.244103
a_pos kappa_0 0.608669 0.255534
a_pos sigma_neg 0.489868 0.244285
a_pos sigma_pos 0.489892 0.244282
l_neg l_sep 0.097532 0.233341
l_neg l_pos 0.097262 0.233391
l_neg Rp_neg 0.097543 0.233453
l_neg Rp_pos 0.106025 0.232342
l_neg epsilon_f_neg 0.097516 0.233341
l_neg epsilon_f_pos 0.097527 0.233340
l_neg epsilon_neg 0.161057 0.234287
l_neg epsilon_sep 0.097532 0.233341
l_neg epsilon_pos 0.159876 0.234964
l_neg Cdl_neg -0.018832 0.206327
l_neg Cdl_pos 0.208933 0.270432
l_neg cs_max_neg 0.097532 0.233341
l_neg cs_max_pos 0.097532 0.233341
l_neg c0 0.097586 0.233339
l_neg D 0.097557 0.233329
l_neg Ds_neg 0.121402 0.244204
l_neg Ds_pos 0.107239 0.232141
l_neg d2Udcp2_pos_sgn 0.098011 0.233346
l_neg d2Udcp2_neg_sgn 0.097528 0.233338
l_neg d3Udcp3_pos_sgn 0.097532 0.233341
l_neg d3Udcp3_neg_sgn 0.097532 0.233341
l_neg dUdcp_pos_mag 0.096399 0.233436
l_neg dUdcp_neg_mag 0.094881 0.233387
l_neg d2Udcp2_pos_mag 0.107800 0.232110
l_neg d2Udcp2_neg_mag 0.097533 0.233341
l_neg d3Udcp3_pos_mag 0.097532 0.233341
l_neg d3Udcp3_neg_mag 0.097532 0.233341
l_neg i0_neg 0.098378 0.228222
l_neg i0_pos 0.191657 0.221177
l_neg SOC_neg 0.097532 0.233341
l_neg SOC_pos 0.097532 0.233341
l_neg tP 0.097341 0.233355
l_neg aa_neg 0.335565 0.219220
l_neg aa_pos 0.259059 0.230674
l_neg kappa_0 0.097089 0.249629
l_neg sigma_neg 0.097781 0.233344
l_neg sigma_pos 0.097524 0.233340
l_sep l_pos -0.000000 0.000001
l_sep Rp_neg -0.000000 0.000001
l_sep Rp_pos -0.000000 0.000001
l_sep epsilon_f_neg -0.000000 0.000001
l_sep epsilon_f_pos -0.000000 0.000001
l_sep epsilon_neg -0.000000 0.000001
l_sep epsilon_sep -0.000000 0.000001
l_sep epsilon_pos -0.000000 0.000001
l_sep Cdl_neg -0.000000 0.000001
l_sep Cdl_pos -0.000000 0.000001
l_sep cs_max_neg -0.000000 0.000001
l_sep cs_max_pos -0.000000 0.000001
l_sep c0 -0.000000 0.000001
l_sep D -0.000000 0.000001
l_sep Ds_neg -0.000000 0.000001
l_sep Ds_pos -0.000000 0.000001
l_sep d2Udcp2_pos_sgn -0.000000 0.000001
l_sep d2Udcp2_neg_sgn -0.000000 0.000001
l_sep d3Udcp3_pos_sgn -0.000000 0.000001
l_sep d3Udcp3_neg_sgn -0.000000 0.000001
l_sep dUdcp_pos_mag -0.000000 0.000001
l_sep dUdcp_neg_mag -0.000000 0.000001
l_sep d2Udcp2_pos_mag -0.000000 0.000001
l_sep d2Udcp2_neg_mag -0.000000 0.000001
l_sep d3Udcp3_pos_mag -0.000000 0.000001
l_sep d3Udcp3_neg_mag -0.000000 0.000001
l_sep i0_neg -0.000000 0.000001
l_sep i0_pos -0.000000 0.000001
l_sep SOC_neg -0.000000 0.000001
l_sep SOC_pos -0.000000 0.000001
l_sep tP -0.000000 0.000001
l_sep aa_neg -0.000000 0.000001
l_sep aa_pos -0.000000 0.000001
l_sep kappa_0 -0.000000 0.000001
l_sep sigma_neg -0.000000 0.000001
l_sep sigma_pos -0.000000 0.000001
l_pos Rp_neg 0.309608 0.233118
l_pos Rp_pos 0.309611 0.233119
l_pos epsilon_f_neg 0.309611 0.233119
l_pos epsilon_f_pos 0.309611 0.233119
l_pos epsilon_neg 0.309398 0.233132
l_pos epsilon_sep 0.309611 0.233119
l_pos epsilon_pos 0.310064 0.233232
l_pos Cdl_neg 0.309676 0.233158
l_pos Cdl_pos 0.264202 0.216652
l_pos cs_max_neg 0.309611 0.233119
l_pos cs_max_pos 0.309611 0.233119
l_pos c0 0.309615 0.233121
l_pos D 0.309610 0.233119
l_pos Ds_neg 0.309616 0.233122
l_pos Ds_pos 0.309610 0.233119
l_pos d2Udcp2_pos_sgn 0.309611 0.233119
l_pos d2Udcp2_neg_sgn 0.309611 0.233119
l_pos d3Udcp3_pos_sgn 0.309611 0.233119
l_pos d3Udcp3_neg_sgn 0.309611 0.233119
l_pos dUdcp_pos_mag 0.309628 0.233127
l_pos dUdcp_neg_mag 0.309603 0.233118
l_pos d2Udcp2_pos_mag 0.309611 0.233119
l_pos d2Udcp2_neg_mag 0.309620 0.233124
l_pos d3Udcp3_pos_mag 0.309611 0.233119
l_pos d3Udcp3_neg_mag 0.309611 0.233119
l_pos i0_neg 0.310706 0.233604
l_pos i0_pos 0.197380 0.207260
l_pos SOC_neg 0.309611 0.233119
l_pos SOC_pos 0.309611 0.233119
l_pos tP 0.309611 0.233119
l_pos aa_neg 0.186677 0.207575
l_pos aa_pos 0.309446 0.233147
l_pos kappa_0 0.309705 0.233112
l_pos sigma_neg 0.309610 0.233119
l_pos sigma_pos 0.309613 0.233120
Rp_neg Rp_pos 0.003059 0.002318
Rp_neg epsilon_f_neg 0.003059 0.002318
Rp_neg epsilon_f_pos 0.003059 0.002318
Rp_neg epsilon_neg 0.002796 0.002329
Rp_neg epsilon_sep 0.003059 0.002318
Rp_neg epsilon_pos 0.003135 0.002317
Rp_neg Cdl_neg 0.003014 0.002279
Rp_neg Cdl_pos 0.002726 0.002403
Rp_neg cs_max_neg 0.003059 0.002318
Rp_neg cs_max_pos 0.003059 0.002318
Rp_neg c0 0.003060 0.002317
Rp_neg D 0.003060 0.002318
Rp_neg Ds_neg 0.003055 0.002318
Rp_neg Ds_pos 0.003058 0.002317
