Parameter S1 S1_conf ST ST_conf
a_neg 0.066610 0.129623 0.392730 0.157297
a_pos -0.305830 0.142376 0.358771 0.137432
l_neg -0.109231 0.096551 0.203730 0.125573
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos -0.160341 0.151570 0.476799 0.158948
Rp_neg 0.000205 0.000159 0.000003 0.000003
Rp_pos 0.000199 0.000137 0.000002 0.000001
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos 0.000038 0.000130 0.000000 0.000000
epsilon_neg -0.044041 0.135604 0.461557 0.165802
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.038888 0.138027 0.499936 0.169198
Cdl_neg 0.066535 0.115743 0.282890 0.088638
Cdl_pos 0.056891 0.091979 0.367295 0.144390
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.046250 0.046401 0.068005 0.068280
D 0.000010 0.000010 0.000000 0.000000
Ds_neg -0.001659 0.001618 0.000632 0.000665
Ds_pos 0.000072 0.000131 0.000001 0.000000
d2Udcp2_pos_sgn -0.000001 0.000001 0.000000 0.000000
d2Udcp2_neg_sgn -0.000004 0.000003 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000527 0.000723 0.000015 0.000015
dUdcp_neg_mag -0.000012 0.000434 0.000011 0.000008
d2Udcp2_pos_mag -0.000066 0.000058 0.000000 0.000000
d2Udcp2_neg_mag -0.000002 0.000002 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.025064 0.145550 0.318833 0.119272
i0_pos -0.126308 0.121694 0.363017 0.127555
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.046726 0.046395 0.068006 0.068280
aa_neg -0.165758 0.175896 0.459552 0.091284
aa_pos 0.019120 0.193625 0.453052 0.132783
kappa_0 -0.021871 0.097346 0.476447 0.168766
sigma_neg 0.000046 0.000108 0.000000 0.000000
sigma_pos -0.001110 0.000803 0.000008 0.000007

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.084665 0.115389
a_neg l_neg -0.156864 0.138418
a_neg l_sep -0.214434 0.137260
a_neg l_pos -0.076477 0.115605
a_neg Rp_neg -0.214443 0.137263
a_neg Rp_pos -0.214519 0.137268
a_neg epsilon_f_neg -0.214433 0.137260
a_neg epsilon_f_pos -0.214422 0.137261
a_neg epsilon_neg -0.258563 0.149170
a_neg epsilon_sep -0.214434 0.137260
a_neg epsilon_pos -0.106155 0.209365
a_neg Cdl_neg -0.075792 0.163980
a_neg Cdl_pos -0.283113 0.155674
a_neg cs_max_neg -0.214434 0.137260
a_neg cs_max_pos -0.214434 0.137260
a_neg c0 -0.214556 0.137260
a_neg D -0.214438 0.137260
a_neg Ds_neg -0.214168 0.137226
a_neg Ds_pos -0.214656 0.137286
a_neg d2Udcp2_pos_sgn -0.214434 0.137260
a_neg d2Udcp2_neg_sgn -0.214434 0.137260
a_neg d3Udcp3_pos_sgn -0.214434 0.137260
a_neg d3Udcp3_neg_sgn -0.214434 0.137260
a_neg dUdcp_pos_mag -0.214674 0.137311
a_neg dUdcp_neg_mag -0.214396 0.137267
a_neg d2Udcp2_pos_mag -0.214302 0.137245
a_neg d2Udcp2_neg_mag -0.214434 0.137260
a_neg d3Udcp3_pos_mag -0.214434 0.137260
a_neg d3Udcp3_neg_mag -0.214434 0.137260
a_neg i0_neg -0.012260 0.159987
a_neg i0_pos 0.042187 0.168336
a_neg SOC_neg -0.214434 0.137260
a_neg SOC_pos -0.214434 0.137260
a_neg tP -0.214603 0.137261
a_neg aa_neg -0.111126 0.190253
a_neg aa_pos -0.004416 0.121492
a_neg kappa_0 -0.085245 0.115884
a_neg sigma_neg -0.214463 0.137268
a_neg sigma_pos -0.214696 0.137275
a_pos l_neg 0.291091 0.172366
a_pos l_sep 0.290686 0.172326
a_pos l_pos 0.422024 0.163747
a_pos Rp_neg 0.290832 0.172318
a_pos Rp_pos 0.290576 0.172325
a_pos epsilon_f_neg 0.290686 0.172326
a_pos epsilon_f_pos 0.290690 0.172326
a_pos epsilon_neg 0.288850 0.173193
a_pos epsilon_sep 0.290686 0.172326
a_pos epsilon_pos 0.296910 0.173950
a_pos Cdl_neg 0.320820 0.173830
a_pos Cdl_pos 0.244234 0.160680
a_pos cs_max_neg 0.290686 0.172326
a_pos cs_max_pos 0.290686 0.172326
