Parameter S1 S1_conf ST ST_conf
a_neg 0.097947 0.099592 0.341189 0.138610
a_pos -0.204899 0.131805 0.349079 0.139077
l_neg -0.111965 0.080486 0.192242 0.117407
l_sep -0.002377 0.002510 0.000082 0.000086
l_pos -0.190038 0.138372 0.447945 0.161628
Rp_neg 0.000291 0.000275 0.000002 0.000002
Rp_pos 0.000004 0.000038 0.000000 0.000000
epsilon_f_neg -0.000001 0.000002 0.000000 0.000000
epsilon_f_pos 0.000151 0.000161 0.000001 0.000000
epsilon_neg -0.041012 0.117762 0.408653 0.154548
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.051917 0.115687 0.440468 0.159770
Cdl_neg 0.080301 0.093630 0.228889 0.088198
Cdl_pos 0.070763 0.110677 0.343231 0.131968
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.067805 0.067785 0.067535 0.070336
D -0.000179 0.000247 0.000002 0.000001
Ds_neg -0.000415 0.000420 0.000004 0.000004
Ds_pos 0.000026 0.000024 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000073 0.000047 0.000000 0.000000
dUdcp_neg_mag 0.000189 0.000315 0.000002 0.000002
d2Udcp2_pos_mag 0.000000 0.000001 0.000000 0.000000
d2Udcp2_neg_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.001401 0.120141 0.308181 0.121966
i0_pos -0.078866 0.103666 0.257327 0.102475
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.065602 0.067782 0.067459 0.070338
aa_neg -0.055784 0.156303 0.415610 0.090139
aa_pos 0.019508 0.133795 0.358853 0.103688
kappa_0 -0.012136 0.154145 0.478609 0.164669
sigma_neg -0.000128 0.000103 0.000000 0.000000
sigma_pos -0.001184 0.001345 0.000033 0.000027

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.145985 0.122105
a_neg l_neg -0.213620 0.120688
a_neg l_sep -0.277056 0.117141
a_neg l_pos -0.145550 0.122826
a_neg Rp_neg -0.277057 0.117142
a_neg Rp_pos -0.277097 0.117150
a_neg epsilon_f_neg -0.277057 0.117141
a_neg epsilon_f_pos -0.277057 0.117142
a_neg epsilon_neg -0.339784 0.115177
a_neg epsilon_sep -0.277058 0.117141
a_neg epsilon_pos -0.144392 0.173617
a_neg Cdl_neg -0.183929 0.134232
a_neg Cdl_pos -0.313688 0.131271
a_neg cs_max_neg -0.277058 0.117141
a_neg cs_max_pos -0.277058 0.117141
a_neg c0 -0.277005 0.117144
a_neg D -0.277062 0.117142
a_neg Ds_neg -0.277057 0.117141
a_neg Ds_pos -0.277094 0.117149
a_neg d2Udcp2_pos_sgn -0.277058 0.117141
a_neg d2Udcp2_neg_sgn -0.277058 0.117141
a_neg d3Udcp3_pos_sgn -0.277058 0.117141
a_neg d3Udcp3_neg_sgn -0.277058 0.117141
a_neg dUdcp_pos_mag -0.277115 0.117155
a_neg dUdcp_neg_mag -0.277056 0.117142
a_neg d2Udcp2_pos_mag -0.277057 0.117141
a_neg d2Udcp2_neg_mag -0.277058 0.117141
a_neg d3Udcp3_pos_mag -0.277058 0.117141
a_neg d3Udcp3_neg_mag -0.277058 0.117141
a_neg i0_neg -0.034279 0.168569
a_neg i0_pos -0.056521 0.145232
a_neg SOC_neg -0.277058 0.117141
a_neg SOC_pos -0.277058 0.117141
a_neg tP -0.277128 0.117141
a_neg aa_neg -0.149449 0.168236
a_neg aa_pos -0.097036 0.116466
a_neg kappa_0 -0.149660 0.123782
a_neg sigma_neg -0.277057 0.117142
a_neg sigma_pos -0.277095 0.117144
a_pos l_neg 0.187901 0.159613
a_pos l_sep 0.187511 0.159595
a_pos l_pos 0.323551 0.141128
a_pos Rp_neg 0.187541 0.159595
a_pos Rp_pos 0.187525 0.159596
a_pos epsilon_f_neg 0.187528 0.159596
a_pos epsilon_f_pos 0.187526 0.159595
a_pos epsilon_neg 0.181993 0.159189
a_pos epsilon_sep 0.187528 0.159596
a_pos epsilon_pos 0.209295 0.164551
a_pos Cdl_neg 0.197221 0.160317
a_pos Cdl_pos 0.126934 0.154993
a_pos cs_max_neg 0.187528 0.159596
a_pos cs_max_pos 0.187528 0.159596
