Parameter S1 S1_conf ST ST_conf
a_neg 0.128984 0.088906 0.315479 0.116712
a_pos -0.221065 0.123598 0.339142 0.135865
l_neg -0.105428 0.073016 0.161075 0.099066
l_sep -0.004097 0.004524 0.000421 0.000339
l_pos -0.169261 0.130074 0.438567 0.155517
Rp_neg 0.000091 0.000089 0.000000 0.000000
Rp_pos 0.000002 0.000003 0.000000 0.000000
epsilon_f_neg 0.000003 0.000002 0.000000 0.000000
epsilon_f_pos -0.000025 0.000035 0.000001 0.000001
epsilon_neg -0.053556 0.117519 0.391323 0.146418
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.042112 0.080620 0.471099 0.166978
Cdl_neg 0.031916 0.104773 0.208124 0.094234
Cdl_pos 0.023079 0.101623 0.349808 0.130554
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.060123 0.070382 0.079085 0.069322
D -0.000190 0.001267 0.001059 0.001043
Ds_neg -0.000004 0.000004 0.000000 0.000000
Ds_pos 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000008 0.000006 0.000000 0.000000
dUdcp_neg_mag 0.000086 0.000090 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.004031 0.047651 0.228872 0.121890
i0_pos 0.017238 0.088005 0.261095 0.124089
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.044403 0.072848 0.084841 0.069904
aa_neg 0.057232 0.137698 0.405249 0.098388
aa_pos 0.097832 0.113749 0.337861 0.099202
kappa_0 -0.007381 0.162938 0.552786 0.160653
sigma_neg -0.000010 0.000029 0.000000 0.000000
sigma_pos 0.001190 0.001023 0.000028 0.000018

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.125967 0.124105
a_neg l_neg -0.171632 0.126411
a_neg l_sep -0.239748 0.121260
a_neg l_pos -0.152560 0.124279
a_neg Rp_neg -0.239734 0.121264
a_neg Rp_pos -0.239736 0.121264
a_neg epsilon_f_neg -0.239734 0.121264
a_neg epsilon_f_pos -0.239724 0.121264
a_neg epsilon_neg -0.291976 0.119432
a_neg epsilon_sep -0.239734 0.121264
a_neg epsilon_pos -0.206218 0.143614
a_neg Cdl_neg -0.160410 0.121412
a_neg Cdl_pos -0.282578 0.137142
a_neg cs_max_neg -0.239734 0.121264
a_neg cs_max_pos -0.239734 0.121264
a_neg c0 -0.239830 0.121258
a_neg D -0.239736 0.121265
a_neg Ds_neg -0.239734 0.121264
a_neg Ds_pos -0.239734 0.121264
a_neg d2Udcp2_pos_sgn -0.239734 0.121264
a_neg d2Udcp2_neg_sgn -0.239734 0.121264
a_neg d3Udcp3_pos_sgn -0.239734 0.121264
a_neg d3Udcp3_neg_sgn -0.239734 0.121264
a_neg dUdcp_pos_mag -0.239740 0.121264
a_neg dUdcp_neg_mag -0.239733 0.121264
a_neg d2Udcp2_pos_mag -0.239734 0.121264
a_neg d2Udcp2_neg_mag -0.239734 0.121264
a_neg d3Udcp3_pos_mag -0.239734 0.121264
a_neg d3Udcp3_neg_mag -0.239734 0.121264
a_neg i0_neg -0.036303 0.138936
a_neg i0_pos -0.051198 0.147156
a_neg SOC_neg -0.239734 0.121264
a_neg SOC_pos -0.239734 0.121264
a_neg tP -0.239887 0.121258
a_neg aa_neg -0.139503 0.155125
a_neg aa_pos -0.121896 0.125950
a_neg kappa_0 -0.164484 0.124003
a_neg sigma_neg -0.239730 0.121265
a_neg sigma_pos -0.239799 0.121265
a_pos l_neg 0.197638 0.139031
a_pos l_sep 0.199724 0.139203
a_pos l_pos 0.354589 0.135288
a_pos Rp_neg 0.200120 0.139203
a_pos Rp_pos 0.200120 0.139203
a_pos epsilon_f_neg 0.200120 0.139203
a_pos epsilon_f_pos 0.200118 0.139203
a_pos epsilon_neg 0.202307 0.138741
a_pos epsilon_sep 0.200120 0.139203
a_pos epsilon_pos 0.249718 0.122386
a_pos Cdl_neg 0.209419 0.139615
a_pos Cdl_pos 0.130022 0.143837
a_pos cs_max_neg 0.200120 0.139203
a_pos cs_max_pos 0.200120 0.139203
a_pos c0 0.199935 0.139182
a_pos D 0.200184 0.139207
a_pos Ds_neg 0.200120 0.139203
a_pos Ds_pos 0.200120 0.139203
a_pos d2Udcp2_pos_sgn 0.200120 0.139203
a_pos d2Udcp2_neg_sgn 0.200120 0.139203
a_pos d3Udcp3_pos_sgn 0.200120 0.139203
a_pos d3Udcp3_neg_sgn 0.200120 0.139203
a_pos dUdcp_pos_mag 0.200121 0.139203
a_pos dUdcp_neg_mag 0.200120 0.139203
a_pos d2Udcp2_pos_mag 0.200120 0.139203
a_pos d2Udcp2_neg_mag 0.200120 0.139203
a_pos d3Udcp3_pos_mag 0.200120 0.139203
a_pos d3Udcp3_neg_mag 0.200120 0.139203
a_pos i0_neg 0.216062 0.139394
a_pos i0_pos 0.059759 0.178104
a_pos SOC_neg 0.200120 0.139203
a_pos SOC_pos 0.200120 0.139203
a_pos tP 0.198205 0.139207
a_pos aa_neg 0.004840 0.189633
a_pos aa_pos 0.195339 0.139599
a_pos kappa_0 0.371539 0.138353
a_pos sigma_neg 0.200117 0.139202
a_pos sigma_pos 0.200167 0.139208
l_neg l_sep 0.042476 0.133270
l_neg l_pos 0.041922 0.130061
l_neg Rp_neg 0.042243 0.133190
l_neg Rp_pos 0.042424 0.133282
l_neg epsilon_f_neg 0.042427 0.133281
l_neg epsilon_f_pos 0.042485 0.133272
l_neg epsilon_neg 0.080193 0.133712
l_neg epsilon_sep 0.042427 0.133281
l_neg epsilon_pos 0.027561 0.147441
l_neg Cdl_neg -0.068141 0.133640
l_neg Cdl_pos 0.135689 0.143682
l_neg cs_max_neg 0.042427 0.133281
l_neg cs_max_pos 0.042427 0.133281
l_neg c0 0.042862 0.133304
l_neg D 0.042467 0.133287
l_neg Ds_neg 0.042434 0.133285
l_neg Ds_pos 0.042427 0.133281
l_neg d2Udcp2_pos_sgn 0.042427 0.133281
l_neg d2Udcp2_neg_sgn 0.042427 0.133281
l_neg d3Udcp3_pos_sgn 0.042427 0.133281
l_neg d3Udcp3_neg_sgn 0.042427 0.133281
l_neg dUdcp_pos_mag 0.042411 0.133285
l_neg dUdcp_neg_mag 0.042242 0.133188
l_neg d2Udcp2_pos_mag 0.042427 0.133281
l_neg d2Udcp2_neg_mag 0.042427 0.133281
l_neg d3Udcp3_pos_mag 0.042427 0.133281
l_neg d3Udcp3_neg_mag 0.042427 0.133281
l_neg i0_neg 0.059123 0.133393
