Parameter S1 S1_conf ST ST_conf
a_neg -0.000930 0.003884 3.576160 403.414166
a_pos -0.061615 0.033547 0.001937 0.119394
l_neg 0.000001 0.000012 0.043130 2.690696
l_sep -0.000076 0.000040 0.000000 0.000001
l_pos -0.001981 0.001077 0.000001 0.000001
Rp_neg 0.000000 0.000025 0.000402 0.045285
Rp_pos -0.021144 0.011500 0.000148 0.000395
epsilon_f_neg -0.000000 0.000000 0.000000 0.000000
epsilon_f_pos -0.000016 0.000009 0.000000 0.000000
epsilon_neg 0.000005 0.000238 0.265772 29.675693
epsilon_sep -0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.525325 0.285753 0.091423 0.326391
Cdl_neg 0.000000 0.000000 0.000000 0.000000
Cdl_pos 0.000000 0.000000 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.005241 0.002845 0.000085 0.013824
D 0.002087 0.001137 0.000052 0.009755
Ds_neg 0.005395 0.263488 68.930419 10950.123545
Ds_pos -0.125129 0.068074 16.437226 3257.755216
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.125044 0.074966 0.005261 0.044029
dUdcp_neg_mag 0.020440 1.801740 799.261049 49857.247211
d2Udcp2_pos_mag 525.176676 285.671368 89693.124418 48788.708812
d2Udcp2_neg_mag 0.000003 0.000926 9.891559 1166.134366
d3Udcp3_pos_mag -0.000215 0.000117 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000002 0.000000 0.000000
i0_neg -0.000001 0.000009 0.002548 0.161716
i0_pos 0.003830 0.002071 0.000253 0.049148
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000264 0.000182 0.001110 0.071698
aa_neg -0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000004 0.000000 0.000000
kappa_0 -0.090065 0.048996 0.005263 0.149533
sigma_neg 0.000000 0.000000 0.000000 0.000002
sigma_pos -0.000117 0.000064 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.062180 0.033544
a_neg l_neg -0.123369 0.067905
a_neg l_sep -0.123336 0.066728
a_neg l_pos -0.121443 0.065697
a_neg Rp_neg -0.123410 0.066822
a_neg Rp_pos -0.102399 0.055358
a_neg epsilon_f_neg -0.123412 0.066766
a_neg epsilon_f_pos -0.123396 0.066757
a_neg epsilon_neg -0.123403 0.067397
a_neg epsilon_sep -0.123412 0.066766
a_neg epsilon_pos -0.645471 0.350662
a_neg Cdl_neg -0.123412 0.066765
a_neg Cdl_pos -0.123412 0.066766
a_neg cs_max_neg -0.123412 0.066766
a_neg cs_max_pos -0.123412 0.066766
a_neg c0 -0.128620 0.069595
a_neg D -0.125487 0.067890
a_neg Ds_neg -0.074201 6.840922
a_neg Ds_pos 0.000940 0.003818
a_neg d2Udcp2_pos_sgn -0.123412 0.066766
a_neg d2Udcp2_neg_sgn -0.123412 0.066766
a_neg d3Udcp3_pos_sgn -0.123412 0.066766
a_neg d3Udcp3_neg_sgn -0.123412 0.066766
a_neg dUdcp_pos_mag 0.000855 0.025109
a_neg dUdcp_neg_mag -0.127921 0.868602
a_neg d2Udcp2_pos_mag -522.035997 283.962521
a_neg d2Udcp2_neg_mag -0.122964 0.136657
a_neg d3Udcp3_pos_mag -0.123199 0.066650
a_neg d3Udcp3_neg_mag -0.123412 0.066765
a_neg i0_neg -0.123411 0.066764
a_neg i0_pos -0.127218 0.068826
a_neg SOC_neg -0.123412 0.066766
a_neg SOC_pos -0.123412 0.066766
a_neg tP -0.123150 0.066652
a_neg aa_neg -0.123412 0.066766
a_neg aa_pos -0.123412 0.066766
a_neg kappa_0 -0.033911 0.018238
a_neg sigma_neg -0.123412 0.066766
a_neg sigma_pos -0.123296 0.066703
a_pos l_neg 0.061209 0.033325
a_pos l_sep 0.061209 0.033325
a_pos l_pos 0.061215 0.033328
a_pos Rp_neg 0.061209 0.033325
a_pos Rp_pos 0.061277 0.033362
a_pos epsilon_f_neg 0.061209 0.033325
a_pos epsilon_f_pos 0.061209 0.033325
a_pos epsilon_neg 0.061209 0.033323
a_pos epsilon_sep 0.061209 0.033325
a_pos epsilon_pos 0.059505 0.032399
a_pos Cdl_neg 0.061209 0.033325
a_pos Cdl_pos 0.061209 0.033325
a_pos cs_max_neg 0.061209 0.033325
a_pos cs_max_pos 0.061209 0.033325
