Parameter S1 S1_conf ST ST_conf
a_neg -0.000827 0.005075 0.568280 88.194668
a_pos -0.052677 0.136114 0.009637 0.695931
l_neg 0.000003 0.000016 0.269124 1.506899
l_sep -0.000092 0.000241 0.000000 0.000003
l_pos -0.002319 0.005991 0.000014 0.000035
Rp_neg 0.000001 0.000082 0.000083 0.010450
Rp_pos -0.011354 0.029331 0.000333 0.000854
epsilon_f_neg -0.000000 0.000000 0.000000 0.000000
epsilon_f_pos -0.000014 0.000037 0.000000 0.000000
epsilon_neg -0.000003 0.002275 0.081331 7.421889
epsilon_sep -0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.449429 1.161048 0.522090 1.343309
Cdl_neg 0.000000 0.000000 0.000000 0.000000
Cdl_pos 0.000000 0.000000 0.000000 0.000000
cs_max_neg -0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.004392 0.011342 0.000310 0.020724
D 0.001741 0.004500 0.000110 0.004973
Ds_neg 0.011177 2.447036 40.111417 21417.281392
Ds_pos -0.106995 0.276421 148.538766 7298.280942
d2Udcp2_pos_sgn 0.000001 0.000004 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000001 0.000000 0.000000
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.106725 0.278331 0.029925 0.089117
dUdcp_neg_mag 0.031055 1.240038 12150.038192 68030.966799
d2Udcp2_pos_mag 449.077047 1160.138547 516024.393614 1333089.228327
d2Udcp2_neg_mag 0.000009 0.003181 9.520299 3122.595600
d3Udcp3_pos_mag -0.000193 0.000500 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000009 0.000000 0.000000
i0_neg -0.000002 0.000015 0.013987 0.150145
i0_pos 0.004660 0.012024 0.000762 0.034704
SOC_neg -0.000000 0.000000 0.000000 0.000000
SOC_pos -0.000000 0.000000 0.000000 0.000000
tP -0.000228 0.000640 0.004950 0.053140
aa_neg -0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000008 0.000000 0.000000
kappa_0 -0.077089 0.199158 0.034883 0.160913
sigma_neg 0.000000 0.000000 0.000000 0.000002
sigma_pos -0.000101 0.000261 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.053101 0.137155
a_neg l_neg -0.105248 0.272591
a_neg l_sep -0.105405 0.272264
a_neg l_pos -0.103189 0.266532
a_neg Rp_neg -0.105495 0.272541
a_neg Rp_pos -0.094203 0.243323
a_neg epsilon_f_neg -0.105495 0.272490
a_neg epsilon_f_pos -0.105481 0.272454
a_neg epsilon_neg -0.105467 0.280145
a_neg epsilon_sep -0.105495 0.272490
a_neg epsilon_pos -0.552493 1.427230
a_neg Cdl_neg -0.105496 0.272490
a_neg Cdl_pos -0.105496 0.272491
a_neg cs_max_neg -0.105495 0.272490
a_neg cs_max_pos -0.105495 0.272490
a_neg c0 -0.109863 0.283776
a_neg D -0.107228 0.276959
a_neg Ds_neg 0.025516 61.898448
a_neg Ds_pos 0.000925 0.005116
a_neg d2Udcp2_pos_sgn -0.105497 0.272494
a_neg d2Udcp2_neg_sgn -0.105495 0.272490
a_neg d3Udcp3_pos_sgn -0.105495 0.272490
a_neg d3Udcp3_neg_sgn -0.105495 0.272490
a_neg dUdcp_pos_mag 0.000654 0.025792
a_neg dUdcp_neg_mag -0.068504 0.737997
a_neg d2Udcp2_pos_mag -446.753987 1154.137110
a_neg d2Udcp2_neg_mag -0.103742 0.440699
a_neg d3Udcp3_pos_mag -0.105303 0.271993
a_neg d3Udcp3_neg_mag -0.105495 0.272490
a_neg i0_neg -0.105493 0.272481
a_neg i0_pos -0.110129 0.284450
a_neg SOC_neg -0.105495 0.272490
a_neg SOC_pos -0.105495 0.272490
a_neg tP -0.105272 0.271942
a_neg aa_neg -0.105495 0.272490
a_neg aa_pos -0.105496 0.272492
a_neg kappa_0 -0.028864 0.074467
a_neg sigma_neg -0.105496 0.272491
a_neg sigma_pos -0.105395 0.272231
a_pos l_neg 0.052272 0.135068
a_pos l_sep 0.052273 0.135069
a_pos l_pos 0.052281 0.135091
a_pos Rp_neg 0.052272 0.135068
a_pos Rp_pos 0.052315 0.135179
a_pos epsilon_f_neg 0.052272 0.135068
a_pos epsilon_f_pos 0.052272 0.135068
a_pos epsilon_neg 0.052273 0.135066
a_pos epsilon_sep 0.052272 0.135068
a_pos epsilon_pos 0.050573 0.130678
a_pos Cdl_neg 0.052272 0.135068
a_pos Cdl_pos 0.052272 0.135068
a_pos cs_max_neg 0.052272 0.135068
a_pos cs_max_pos 0.052272 0.135068
