Parameter S1 S1_conf ST ST_conf
a_neg -0.000090 0.055126 0.299097 133.463802
a_pos -0.011491 0.077367 0.010218 9.588125
l_neg 0.000002 0.000086 0.127173 0.155709
l_sep -0.000027 0.000683 0.000001 0.000111
l_pos -0.000681 0.004576 0.000021 0.000140
Rp_neg 0.000001 0.001213 0.002289 0.019950
Rp_pos 0.016022 0.107721 0.011530 0.077507
epsilon_f_neg -0.000000 0.000000 0.000000 0.000000
epsilon_f_pos -0.000003 0.000021 0.000000 0.000000
epsilon_neg 0.000001 0.023200 0.246483 13.181042
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.098180 0.660095 0.440408 3.008558
Cdl_neg 0.000000 0.000000 0.000001 0.000001
Cdl_pos 0.000000 0.000000 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000942 0.006323 0.000521 0.354199
D 0.000376 0.002532 0.000107 0.013045
Ds_neg 0.005581 7.843947 4.212844 8611.157353
Ds_pos -0.023349 0.157025 335.991596 35841.005967
d2Udcp2_pos_sgn 0.000001 0.000009 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000003 0.000000 0.000000
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.022966 0.325290 0.025751 0.930773
dUdcp_neg_mag 0.013871 1.751359 67786.599227 82996.517230
d2Udcp2_pos_mag 98.024170 659.035976 431547.453642 2901379.144811
d2Udcp2_neg_mag 0.000021 0.128692 1.571019 3262.317297
d3Udcp3_pos_mag -0.000044 0.000296 0.000000 0.000001
d3Udcp3_neg_mag 0.000000 0.000152 0.000000 0.000002
i0_neg -0.000000 0.000184 0.039889 0.198551
i0_pos 0.001409 0.009456 0.001012 0.104586
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000059 0.001584 0.007940 0.039393
aa_neg 0.000000 0.000001 0.000000 0.000000
aa_pos 0.000001 0.000025 0.000000 0.000000
kappa_0 -0.016840 0.113222 0.092417 1.354641
sigma_neg 0.000000 0.000002 0.000000 0.000004
sigma_pos -0.000022 0.000151 0.000000 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.011366 0.090222
a_neg l_neg -0.022566 0.161070
a_neg l_sep -0.022783 0.160881
a_neg l_pos -0.022130 0.156652
a_neg Rp_neg -0.022837 0.160274
a_neg Rp_pos -0.038756 0.265471
a_neg epsilon_f_neg -0.022807 0.161008
a_neg epsilon_f_pos -0.022804 0.160989
a_neg epsilon_neg -0.022880 0.540174
a_neg epsilon_sep -0.022807 0.161009
a_neg epsilon_pos -0.120538 0.812561
a_neg Cdl_neg -0.022808 0.161009
a_neg Cdl_pos -0.022807 0.161009
a_neg cs_max_neg -0.022807 0.161009
a_neg cs_max_pos -0.022807 0.161009
a_neg c0 -0.023744 0.166926
a_neg D -0.023181 0.163518
a_neg Ds_neg 0.067176 195.472934
a_neg Ds_pos 0.000444 0.046329
a_neg d2Udcp2_pos_sgn -0.022809 0.161018
a_neg d2Udcp2_neg_sgn -0.022807 0.161006
a_neg d3Udcp3_pos_sgn -0.022807 0.161009
a_neg d3Udcp3_neg_sgn -0.022807 0.161009
a_neg dUdcp_pos_mag 0.000054 0.323553
a_neg dUdcp_neg_mag 0.146981 0.974043
a_neg d2Udcp2_pos_mag -97.598454 656.174649
a_neg d2Udcp2_neg_mag -0.019906 12.377771
a_neg d3Udcp3_pos_mag -0.022763 0.160726
a_neg d3Udcp3_neg_mag -0.022807 0.161001
a_neg i0_neg -0.022805 0.161122
a_neg i0_pos -0.024210 0.170099
a_neg SOC_neg -0.022807 0.161009
a_neg SOC_pos -0.022807 0.161009
a_neg tP -0.022754 0.160538
a_neg aa_neg -0.022807 0.161007
a_neg aa_pos -0.022808 0.161014
a_neg kappa_0 -0.006188 0.065295
a_neg sigma_neg -0.022807 0.161002
a_neg sigma_pos -0.022785 0.160860
a_pos l_neg 0.011334 0.076264
a_pos l_sep 0.011334 0.076265
a_pos l_pos 0.011338 0.076295
a_pos Rp_neg 0.011334 0.076263
a_pos Rp_pos 0.011225 0.075539
a_pos epsilon_f_neg 0.011334 0.076264
a_pos epsilon_f_pos 0.011334 0.076264
a_pos epsilon_neg 0.011334 0.076252
a_pos epsilon_sep 0.011334 0.076264
a_pos epsilon_pos 0.010669 0.071837
a_pos Cdl_neg 0.011334 0.076264
a_pos Cdl_pos 0.011334 0.076264
a_pos cs_max_neg 0.011334 0.076264
a_pos cs_max_pos 0.011334 0.076264
