Parameter S1 S1_conf ST ST_conf
a_neg 0.000032 0.025447 0.815425 1.122868
a_pos -0.000903 0.034911 0.006064 1.741011
l_neg -0.000001 0.000329 0.221980 0.117896
l_sep -0.000005 0.002561 0.000003 0.000300
l_pos -0.000064 0.002475 0.000004 0.000172
Rp_neg 0.000001 0.000568 0.016798 0.008900
Rp_pos 0.009858 0.378824 0.104527 4.016901
epsilon_f_neg -0.000000 0.000000 0.000000 0.000000
epsilon_f_pos -0.000000 0.000010 0.000000 0.000000
epsilon_neg 0.000004 0.013320 0.737330 1.383287
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.007765 0.298396 0.072573 2.739709
Cdl_neg -0.000000 0.000001 0.000003 0.000001
Cdl_pos 0.000000 0.000000 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000074 0.002863 0.000674 0.411346
D 0.000030 0.001157 0.000091 0.010229
Ds_neg 0.001186 1.189520 1.063651 205.912926
Ds_pos -0.001840 0.070928 182.087599 18205.030442
d2Udcp2_pos_sgn 0.000001 0.000019 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000002 0.000000 0.000000
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.001577 0.183209 0.005345 1.089696
dUdcp_neg_mag 0.003609 1.869553 151355.151909 80390.854183
d2Udcp2_pos_mag 7.751387 297.881268 64629.267973 2483664.731384
d2Udcp2_neg_mag 0.000024 0.056394 0.928062 112.076072
d3Udcp3_pos_mag -0.000004 0.000136 0.000000 0.000001
d3Udcp3_neg_mag 0.000000 0.000059 0.000000 0.000002
i0_neg 0.000001 0.000350 0.072551 0.270689
i0_pos 0.000137 0.005295 0.001096 0.199401
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000011 0.005150 0.006016 0.022455
aa_neg -0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000024 0.000000 0.000000
kappa_0 -0.001332 0.051213 0.199082 2.271920
sigma_neg 0.000000 0.000004 0.000001 0.000003
sigma_pos -0.000002 0.000069 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.000310 0.041527
a_neg l_neg -0.001537 0.073235
a_neg l_sep -0.001199 0.073005
a_neg l_pos -0.001139 0.070919
a_neg Rp_neg -0.001292 0.072688
a_neg Rp_pos -0.010889 0.443176
a_neg epsilon_f_neg -0.001202 0.073254
a_neg epsilon_f_pos -0.001202 0.073246
a_neg epsilon_neg -0.001533 0.315820
a_neg epsilon_sep -0.001202 0.073256
a_neg epsilon_pos -0.008832 0.364221
a_neg Cdl_neg -0.001203 0.073255
a_neg Cdl_pos -0.001202 0.073256
a_neg cs_max_neg -0.001202 0.073256
a_neg cs_max_pos -0.001202 0.073256
a_neg c0 -0.001276 0.075906
a_neg D -0.001229 0.074287
a_neg Ds_neg 0.021813 29.123116
a_neg Ds_pos 0.000616 0.019697
a_neg d2Udcp2_pos_sgn -0.001203 0.073274
a_neg d2Udcp2_neg_sgn -0.001202 0.073253
a_neg d3Udcp3_pos_sgn -0.001202 0.073256
a_neg d3Udcp3_neg_sgn -0.001202 0.073255
a_neg dUdcp_pos_mag 0.000344 0.188515
a_neg dUdcp_neg_mag 0.273421 1.002831
a_neg d2Udcp2_pos_mag -7.617899 292.775677
a_neg d2Udcp2_neg_mag 0.001501 5.773015
a_neg d3Udcp3_pos_mag -0.001199 0.073127
a_neg d3Udcp3_neg_mag -0.001202 0.073259
a_neg i0_neg -0.001197 0.073444
a_neg i0_pos -0.001337 0.078289
a_neg SOC_neg -0.001202 0.073256
a_neg SOC_pos -0.001202 0.073256
a_neg tP -0.001195 0.072630
a_neg aa_neg -0.001202 0.073251
a_neg aa_pos -0.001203 0.073266
a_neg kappa_0 -0.000154 0.031173
a_neg sigma_neg -0.001202 0.073249
a_neg sigma_pos -0.001200 0.073189
a_pos l_neg 0.000896 0.034567
a_pos l_sep 0.000896 0.034567
a_pos l_pos 0.000896 0.034579
a_pos Rp_neg 0.000896 0.034567
a_pos Rp_pos 0.000847 0.032723
a_pos epsilon_f_neg 0.000896 0.034567
a_pos epsilon_f_pos 0.000896 0.034567
a_pos epsilon_neg 0.000896 0.034571
a_pos epsilon_sep 0.000896 0.034567
a_pos epsilon_pos 0.000857 0.033114
a_pos Cdl_neg 0.000896 0.034567
a_pos Cdl_pos 0.000896 0.034567
a_pos cs_max_neg 0.000896 0.034567
a_pos cs_max_pos 0.000896 0.034567
