Parameter S1 S1_conf ST ST_conf
a_neg 0.000003 0.031455 0.945462 0.454287
a_pos -0.000015 0.089477 0.002991 27.774468
l_neg -0.000000 0.000230 0.317523 0.154422
l_sep -0.000001 0.001310 0.000001 0.000546
l_pos -0.000002 0.001395 0.000000 0.000131
Rp_neg -0.000000 0.001217 0.024795 0.012043
Rp_pos 0.001557 1.227978 0.127309 100.433188
epsilon_f_neg -0.000000 0.000000 0.000000 0.000000
epsilon_f_pos -0.000000 0.000005 0.000000 0.000000
epsilon_neg 0.000001 0.003767 0.836443 7.550071
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000199 0.157385 0.006019 2.427355
Cdl_neg -0.000000 0.000001 0.000003 0.000002
Cdl_pos 0.000000 0.000000 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000002 0.001622 0.000395 1.030420
D 0.000001 0.000878 0.000037 0.013245
Ds_neg 0.000073 0.102259 1.006794 12.136017
Ds_pos -0.000045 0.038056 13.393548 5105.464487
d2Udcp2_pos_sgn 0.000000 0.000047 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000006 0.000000 0.000000
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000012 0.614820 0.001115 10.055355
dUdcp_neg_mag 0.000496 0.424050 68650.611137 33385.548911
d2Udcp2_pos_mag 0.199624 157.482762 2093.754521 1651758.619373
d2Udcp2_neg_mag 0.000005 0.084058 0.968641 22.048037
d3Udcp3_pos_mag -0.000000 0.000070 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000156 0.000000 0.000013
i0_neg 0.000000 0.000339 0.056324 0.376828
i0_pos 0.000004 0.003262 0.001014 1.845913
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000002 0.003218 0.001122 0.009481
aa_neg -0.000000 0.000021 0.000000 0.000001
aa_pos 0.000000 0.000144 0.000000 0.000010
kappa_0 -0.000034 0.027069 0.203949 9.540544
sigma_neg 0.000000 0.000002 0.000001 0.000005
sigma_pos -0.000000 0.000037 0.000000 0.000003

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000398 0.042031
a_neg l_neg 0.000130 0.053274
a_neg l_sep 0.000375 0.052948
a_neg l_pos 0.000377 0.052296
a_neg Rp_neg 0.000307 0.052032
a_neg Rp_pos -0.001131 1.227416
a_neg epsilon_f_neg 0.000375 0.053242
a_neg epsilon_f_pos 0.000375 0.053240
a_neg epsilon_neg 0.000060 0.099214
a_neg epsilon_sep 0.000375 0.053243
a_neg epsilon_pos 0.000182 0.193528
a_neg Cdl_neg 0.000374 0.053243
a_neg Cdl_pos 0.000375 0.053243
a_neg cs_max_neg 0.000375 0.053243
a_neg cs_max_pos 0.000375 0.053243
a_neg c0 0.000372 0.053982
a_neg D 0.000376 0.054081
a_neg Ds_neg 0.001470 2.245751
a_neg Ds_pos 0.000422 0.032299
a_neg d2Udcp2_pos_sgn 0.000375 0.053277
a_neg d2Udcp2_neg_sgn 0.000375 0.053240
a_neg d3Udcp3_pos_sgn 0.000375 0.053243
a_neg d3Udcp3_neg_sgn 0.000375 0.053243
a_neg dUdcp_pos_mag 0.000362 0.648814
a_neg dUdcp_neg_mag 0.114045 0.263338
a_neg d2Udcp2_pos_mag -0.192783 152.420763
a_neg d2Udcp2_neg_mag 0.000781 8.509614
a_neg d3Udcp3_pos_mag 0.000375 0.053194
a_neg d3Udcp3_neg_mag 0.000375 0.053331
a_neg i0_neg 0.000381 0.053530
a_neg i0_pos 0.000371 0.054731
a_neg SOC_neg 0.000375 0.053243
a_neg SOC_pos 0.000375 0.053243
a_neg tP 0.000376 0.052016
a_neg aa_neg 0.000375 0.053224
a_neg aa_pos 0.000375 0.053348
a_neg kappa_0 0.000238 0.036134
a_neg sigma_neg 0.000375 0.053239
a_neg sigma_pos 0.000375 0.053217
a_pos l_neg 0.000016 0.063255
a_pos l_sep 0.000016 0.063312
a_pos l_pos 0.000016 0.063250
a_pos Rp_neg 0.000016 0.063274
a_pos Rp_pos 0.000036 0.069442
a_pos epsilon_f_neg 0.000016 0.063270
a_pos epsilon_f_pos 0.000016 0.063281
a_pos epsilon_neg 0.000016 0.062426
a_pos epsilon_sep 0.000016 0.063274
a_pos epsilon_pos 0.000018 0.083675
a_pos Cdl_neg 0.000016 0.063274
a_pos Cdl_pos 0.000016 0.063272
a_pos cs_max_neg 0.000016 0.063274
a_pos cs_max_pos 0.000016 0.063274
a_pos c0 0.000017 0.046619
a_pos D 0.000016 0.081018
a_pos Ds_neg 0.000016 0.063288
a_pos Ds_pos 0.000016 0.082311
a_pos d2Udcp2_pos_sgn 0.000016 0.063273
a_pos d2Udcp2_neg_sgn 0.000016 0.063274
a_pos d3Udcp3_pos_sgn 0.000016 0.063274
a_pos d3Udcp3_neg_sgn 0.000016 0.063274
a_pos dUdcp_pos_mag 0.000016 0.054666
a_pos dUdcp_neg_mag 0.000080 0.063332
a_pos d2Udcp2_pos_mag 0.002510 1.981016
a_pos d2Udcp2_neg_mag 0.000016 0.062840
a_pos d3Udcp3_pos_mag 0.000016 0.063273
a_pos d3Udcp3_neg_mag 0.000016 0.063274
a_pos i0_neg 0.000016 0.067062
a_pos i0_pos 0.000016 0.063291
a_pos SOC_neg 0.000016 0.063274
a_pos SOC_pos 0.000016 0.063274
a_pos tP 0.000016 0.063909
a_pos aa_neg 0.000016 0.065578
a_pos aa_pos 0.000016 0.064014
a_pos kappa_0 0.000022 0.121889
a_pos sigma_neg 0.000016 0.063262
a_pos sigma_pos 0.000016 0.063248
l_neg l_sep 0.000000 0.000235
l_neg l_pos 0.000000 0.000238
l_neg Rp_neg 0.000000 0.000238
l_neg Rp_pos 0.000000 0.000276
l_neg epsilon_f_neg 0.000000 0.000238
l_neg epsilon_f_pos 0.000000 0.000238
l_neg epsilon_neg 0.000000 0.000223
l_neg epsilon_sep 0.000000 0.000238
l_neg epsilon_pos 0.000000 0.000243
l_neg Cdl_neg 0.000000 0.000238
l_neg Cdl_pos 0.000000 0.000238
l_neg cs_max_neg 0.000000 0.000238
l_neg cs_max_pos 0.000000 0.000238
l_neg c0 0.000000 0.000239
l_neg D 0.000000 0.000238
l_neg Ds_neg 0.000001 0.000208
l_neg Ds_pos 0.000000 0.000239
l_neg d2Udcp2_pos_sgn 0.000000 0.000238
l_neg d2Udcp2_neg_sgn 0.000000 0.000238
l_neg d3Udcp3_pos_sgn 0.000000 0.000238
l_neg d3Udcp3_neg_sgn 0.000000 0.000238
l_neg dUdcp_pos_mag 0.000000 0.000234
l_neg dUdcp_neg_mag -0.000014 0.001305
l_neg d2Udcp2_pos_mag -0.000010 0.008615
l_neg d2Udcp2_neg_mag 0.000000 0.001678
l_neg d3Udcp3_pos_mag 0.000000 0.000238
l_neg d3Udcp3_neg_mag 0.000000 0.000238
l_neg i0_neg 0.000000 0.000239
l_neg i0_pos 0.000000 0.000239
l_neg SOC_neg 0.000000 0.000238
l_neg SOC_pos 0.000000 0.000238
l_neg tP 0.000000 0.000231
l_neg aa_neg 0.000000 0.000238
l_neg aa_pos 0.000000 0.000238
l_neg kappa_0 0.000000 0.000240
l_neg sigma_neg 0.000000 0.000238
l_neg sigma_pos 0.000000 0.000238
l_sep l_pos 0.000000 0.001149
l_sep Rp_neg 0.000000 0.001147
l_sep Rp_pos -0.000023 0.018261
l_sep epsilon_f_neg 0.000000 0.001147
l_sep epsilon_f_pos 0.000000 0.001147
l_sep epsilon_neg 0.000000 0.001127
l_sep epsilon_sep 0.000000 0.001147
l_sep epsilon_pos -0.000003 0.002545
l_sep Cdl_neg 0.000000 0.001147
l_sep Cdl_pos 0.000000 0.001147
l_sep cs_max_neg 0.000000 0.001147
l_sep cs_max_pos 0.000000 0.001147
l_sep c0 0.000000 0.001148
l_sep D 0.000000 0.001147
l_sep Ds_neg -0.000001 0.001417
l_sep Ds_pos 0.000001 0.001308
l_sep d2Udcp2_pos_sgn 0.000000 0.001147
l_sep d2Udcp2_neg_sgn 0.000000 0.001147
l_sep d3Udcp3_pos_sgn 0.000000 0.001147
l_sep d3Udcp3_neg_sgn 0.000000 0.001147
