Parameter S1 S1_conf ST ST_conf
a_neg -0.000001 0.012060 0.965255 0.462276
a_pos 0.000021 0.741775 0.001602 52.389301
l_neg -0.000000 0.001484 0.050476 0.024337
l_sep -0.000000 0.004182 0.000000 0.002401
l_pos -0.000000 0.000523 0.000000 0.000044
Rp_neg -0.000000 0.000819 0.028422 0.013713
Rp_pos 0.000154 1.410760 0.068339 624.053522
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000000 0.000002 0.000000 0.000000
epsilon_neg -0.000001 0.003764 0.846651 13.671654
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000004 0.039347 0.001886 2.122227
Cdl_neg -0.000000 0.000008 0.000003 0.000002
Cdl_pos 0.000000 0.000002 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000000 0.001313 0.000179 1.060607
D 0.000000 0.001153 0.000013 0.006501
Ds_neg 0.000002 0.096000 1.004691 2.394679
Ds_pos -0.000001 0.015113 0.347098 385.965393
d2Udcp2_pos_sgn 0.000000 0.000054 0.000000 0.000001
d2Udcp2_neg_sgn -0.000000 0.000011 0.000000 0.000000
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000014 0.530833 0.000552 18.828967
dUdcp_neg_mag 0.000155 0.906970 9182.632588 4422.130118
d2Udcp2_pos_mag 0.004229 38.621518 51.217831 467719.079217
d2Udcp2_neg_mag -0.000001 0.020368 0.967922 10.494472
d3Udcp3_pos_mag -0.000000 0.000018 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000293 0.000000 0.000069
i0_neg 0.000000 0.002105 0.040191 0.396969
i0_pos -0.000000 0.004896 0.001397 9.105334
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000000 0.015038 0.000044 0.030927
aa_neg 0.000000 0.000049 0.000001 0.000012
aa_pos 0.000000 0.001291 0.000000 0.001026
kappa_0 -0.000001 0.009618 0.191546 19.897293
sigma_neg 0.000000 0.000011 0.000000 0.000005
sigma_pos -0.000000 0.000013 0.000000 0.000004

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000232 0.020013
a_neg l_neg 0.000179 0.020077
a_neg l_sep 0.000232 0.017756
a_neg l_pos 0.000232 0.019297
a_neg Rp_neg 0.000192 0.018364
a_neg Rp_pos 0.000084 1.363522
a_neg epsilon_f_neg 0.000232 0.019444
a_neg epsilon_f_pos 0.000232 0.019447
a_neg epsilon_neg 0.000032 0.316619
a_neg epsilon_sep 0.000232 0.019448
a_neg epsilon_pos 0.000228 0.049696
a_neg Cdl_neg 0.000232 0.019445
a_neg Cdl_pos 0.000232 0.019449
a_neg cs_max_neg 0.000232 0.019448
a_neg cs_max_pos 0.000232 0.019448
a_neg c0 0.000231 0.019697
a_neg D 0.000233 0.019880
a_neg Ds_neg 0.000061 1.333877
a_neg Ds_pos 0.000234 0.011459
a_neg d2Udcp2_pos_sgn 0.000232 0.019480
a_neg d2Udcp2_neg_sgn 0.000232 0.019403
a_neg d3Udcp3_pos_sgn 0.000232 0.019448
a_neg d3Udcp3_neg_sgn 0.000232 0.019448
a_neg dUdcp_pos_mag 0.000218 0.539061
a_neg dUdcp_neg_mag 0.022773 0.482151
a_neg d2Udcp2_pos_mag -0.003820 37.015049
a_neg d2Udcp2_neg_mag 0.000077 3.087403
a_neg d3Udcp3_pos_mag 0.000232 0.019439
a_neg d3Udcp3_neg_mag 0.000232 0.019628
a_neg i0_neg 0.000240 0.020931
a_neg i0_pos 0.000232 0.018619
a_neg SOC_neg 0.000232 0.019448
a_neg SOC_pos 0.000232 0.019448
a_neg tP 0.000232 0.013200
a_neg aa_neg 0.000232 0.019226
a_neg aa_pos 0.000232 0.020302
a_neg kappa_0 0.000140 0.019853
a_neg sigma_neg 0.000232 0.019426
a_neg sigma_pos 0.000232 0.019442
a_pos l_neg -0.000021 0.729896
a_pos l_sep -0.000021 0.729918
a_pos l_pos -0.000021 0.729485
a_pos Rp_neg -0.000021 0.729907
a_pos Rp_pos -0.000017 0.729454
a_pos epsilon_f_neg -0.000021 0.729904
a_pos epsilon_f_pos -0.000021 0.729910
a_pos epsilon_neg -0.000020 0.729062
a_pos epsilon_sep -0.000021 0.729907
a_pos epsilon_pos -0.000021 0.736366
a_pos Cdl_neg -0.000021 0.729908
a_pos Cdl_pos -0.000021 0.729900
a_pos cs_max_neg -0.000021 0.729907
a_pos cs_max_pos -0.000021 0.729907
