Parameter S1 S1_conf ST ST_conf
a_neg -0.000007 0.004950 0.972679 0.464696
a_pos 0.000059 2.902566 0.000989 46.301727
l_neg -0.000000 0.000590 0.000516 0.000974
l_sep -0.000000 0.000364 0.000000 0.000354
l_pos -0.000000 0.001519 0.000000 0.000023
Rp_neg -0.000001 0.000274 0.036342 0.017571
Rp_pos 0.000008 0.687130 0.013621 1206.291424
epsilon_f_neg -0.000000 0.000000 0.000000 0.000000
epsilon_f_pos 0.000000 0.000001 0.000000 0.000000
epsilon_neg -0.000007 0.012075 0.849808 8.453264
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.000000 0.026313 0.000739 2.159553
Cdl_neg -0.000000 0.000003 0.000003 0.000002
Cdl_pos 0.000000 0.000003 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000000 0.001828 0.000082 0.572784
D 0.000000 0.002679 0.000006 0.001262
Ds_neg -0.000007 0.016589 1.003684 0.307166
Ds_pos -0.000000 0.029850 0.005633 16.481227
d2Udcp2_pos_sgn -0.000000 0.000050 0.000000 0.000006
d2Udcp2_neg_sgn 0.000000 0.000014 0.000000 0.000000
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000010 0.683639 0.000337 21.515659
dUdcp_neg_mag 0.000163 0.105588 467.450936 224.071940
d2Udcp2_pos_mag 0.000078 6.914931 1.381716 122398.860090
d2Udcp2_neg_mag -0.000007 0.004219 0.967511 7.191898
d3Udcp3_pos_mag -0.000000 0.000058 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000034 0.000000 0.000348
i0_neg 0.000001 0.000880 0.048693 0.407352
i0_pos -0.000000 0.013396 0.002516 27.579610
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000000 0.005285 0.000018 0.049972
aa_neg 0.000000 0.000061 0.000028 0.000419
aa_pos 0.000000 0.001332 0.000000 0.010843
kappa_0 -0.000003 0.024875 0.185954 27.844693
sigma_neg -0.000000 0.000004 0.000000 0.000005
sigma_pos -0.000000 0.000005 0.000000 0.000004

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000157 0.031446
a_neg l_neg 0.000154 0.020798
a_neg l_sep 0.000157 0.020618
a_neg l_pos 0.000157 0.020931
a_neg Rp_neg 0.000128 0.020474
a_neg Rp_pos 0.000150 0.655503
a_neg epsilon_f_neg 0.000157 0.020705
a_neg epsilon_f_pos 0.000157 0.020706
a_neg epsilon_neg 0.000022 0.308143
a_neg epsilon_sep 0.000157 0.020705
a_neg epsilon_pos 0.000157 0.011817
a_neg Cdl_neg 0.000157 0.020705
a_neg Cdl_pos 0.000157 0.020708
a_neg cs_max_neg 0.000157 0.020705
a_neg cs_max_pos 0.000157 0.020705
a_neg c0 0.000156 0.019005
a_neg D 0.000157 0.023063
a_neg Ds_neg 0.000010 0.248439
a_neg Ds_pos 0.000157 0.010149
a_neg d2Udcp2_pos_sgn 0.000157 0.020728
a_neg d2Udcp2_neg_sgn 0.000157 0.020698
a_neg d3Udcp3_pos_sgn 0.000157 0.020705
a_neg d3Udcp3_neg_sgn 0.000157 0.020705
a_neg dUdcp_pos_mag 0.000147 0.698074
a_neg dUdcp_neg_mag 0.003433 0.063645
a_neg d2Udcp2_pos_mag 0.000084 6.493695
a_neg d2Udcp2_neg_mag 0.000014 0.259640
a_neg d3Udcp3_pos_mag 0.000157 0.020705
a_neg d3Udcp3_neg_mag 0.000157 0.020710
a_neg i0_neg 0.000177 0.020760
a_neg i0_pos 0.000157 0.014068
a_neg SOC_neg 0.000157 0.020705
a_neg SOC_pos 0.000157 0.020705
a_neg tP 0.000157 0.017889
a_neg aa_neg 0.000158 0.020695
a_neg aa_pos 0.000157 0.021234
a_neg kappa_0 0.000097 0.009072
a_neg sigma_neg 0.000157 0.020705
a_neg sigma_pos 0.000157 0.020702
a_pos l_neg -0.000061 2.900938
a_pos l_sep -0.000061 2.900946
a_pos l_pos -0.000061 2.899304
a_pos Rp_neg -0.000060 2.900960
a_pos Rp_pos -0.000061 2.895842
a_pos epsilon_f_neg -0.000061 2.900940
a_pos epsilon_f_pos -0.000061 2.900944
a_pos epsilon_neg -0.000059 2.900401
a_pos epsilon_sep -0.000061 2.900941
a_pos epsilon_pos -0.000061 2.899021
a_pos Cdl_neg -0.000061 2.900942
a_pos Cdl_pos -0.000061 2.900926
a_pos cs_max_neg -0.000061 2.900941
a_pos cs_max_pos -0.000061 2.900941
a_pos c0 -0.000061 2.899314
a_pos D -0.000061 2.901531
a_pos Ds_neg -0.000059 2.901012
a_pos Ds_pos -0.000061 2.897788
a_pos d2Udcp2_pos_sgn -0.000061 2.900907
a_pos d2Udcp2_neg_sgn -0.000061 2.900942
a_pos d3Udcp3_pos_sgn -0.000061 2.900941
a_pos d3Udcp3_neg_sgn -0.000061 2.900941
a_pos dUdcp_pos_mag -0.000060 2.875885
