Parameter S1 S1_conf ST ST_conf
a_neg -0.000036 0.008836 0.962527 0.469427
a_pos 0.000283 2.200095 0.001064 8.186528
l_neg -0.000001 0.000028 0.000259 0.000151
l_sep -0.000000 0.000318 0.000000 0.000085
l_pos -0.000000 0.001275 0.000000 0.000008
Rp_neg -0.000009 0.000325 0.058472 0.028452
Rp_pos 0.000000 0.025841 0.001400 90.072780
epsilon_f_neg -0.000000 0.000000 0.000000 0.000000
epsilon_f_pos 0.000000 0.000002 0.000000 0.000000
epsilon_neg -0.000032 0.020327 0.845421 5.524266
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.000003 0.051254 0.000227 1.441450
Cdl_neg -0.000000 0.000002 0.000003 0.000002
Cdl_pos 0.000000 0.000010 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000000 0.003935 0.000049 0.191763
D 0.000000 0.005034 0.000003 0.001434
Ds_neg -0.000035 0.023693 1.002030 0.330169
Ds_pos -0.000003 0.050955 0.000084 0.497340
d2Udcp2_pos_sgn -0.000000 0.000079 0.000000 0.000013
d2Udcp2_neg_sgn -0.000000 0.000014 0.000000 0.000009
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000027 0.784308 0.000324 8.951323
dUdcp_neg_mag 0.000151 0.002242 18.072546 8.686468
d2Udcp2_pos_mag 0.000002 0.172485 0.060841 3958.193231
d2Udcp2_neg_mag -0.000034 0.001546 0.970473 1.512701
d3Udcp3_pos_mag -0.000000 0.000052 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000010 0.000000 0.000667
i0_neg 0.000018 0.002739 0.314217 0.319004
i0_pos -0.000000 0.021730 0.007356 65.822500
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000000 0.005231 0.000046 0.014443
aa_neg 0.000001 0.000620 0.000606 0.004881
aa_pos -0.000000 0.005596 0.000003 0.362899
kappa_0 -0.000015 0.103218 0.194459 32.929526
sigma_neg -0.000000 0.000003 0.000001 0.000005
sigma_pos -0.000000 0.000007 0.000000 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000142 0.044471
a_neg l_neg 0.000142 0.046586
a_neg l_sep 0.000143 0.046266
a_neg l_pos 0.000143 0.047222
a_neg Rp_neg 0.000116 0.046406
a_neg Rp_pos 0.000143 0.055757
a_neg epsilon_f_neg 0.000143 0.046579
a_neg epsilon_f_pos 0.000143 0.046582
a_neg epsilon_neg 0.000045 0.195070
a_neg epsilon_sep 0.000143 0.046580
a_neg epsilon_pos 0.000145 0.010340
a_neg Cdl_neg 0.000143 0.046580
a_neg Cdl_pos 0.000143 0.046587
a_neg cs_max_neg 0.000143 0.046580
a_neg cs_max_pos 0.000143 0.046580
a_neg c0 0.000143 0.042687
a_neg D 0.000143 0.051489
a_neg Ds_neg 0.000035 0.045327
a_neg Ds_pos 0.000145 0.009985
a_neg d2Udcp2_pos_sgn 0.000143 0.046581
a_neg d2Udcp2_neg_sgn 0.000143 0.046306
a_neg d3Udcp3_pos_sgn 0.000143 0.046580
a_neg d3Udcp3_neg_sgn 0.000143 0.046580
a_neg dUdcp_pos_mag 0.000116 0.824141
a_neg dUdcp_neg_mag 0.000616 0.047105
a_neg d2Udcp2_pos_mag 0.000143 0.157457
a_neg d2Udcp2_neg_mag 0.000036 0.044526
a_neg d3Udcp3_pos_mag 0.000143 0.046580
a_neg d3Udcp3_neg_mag 0.000143 0.046555
a_neg i0_neg 0.000201 0.046835
a_neg i0_pos 0.000144 0.024529
a_neg SOC_neg 0.000143 0.046580
a_neg SOC_pos 0.000143 0.046580
a_neg tP 0.000143 0.041529
a_neg aa_neg 0.000146 0.046146
a_neg aa_pos 0.000143 0.046205
a_neg kappa_0 0.000102 0.129976
a_neg sigma_neg 0.000143 0.046576
a_neg sigma_pos 0.000143 0.046573
a_pos l_neg -0.000291 2.207196
a_pos l_sep -0.000291 2.207192
a_pos l_pos -0.000291 2.205988
a_pos Rp_neg -0.000289 2.207164
a_pos Rp_pos -0.000291 2.207481
a_pos epsilon_f_neg -0.000291 2.207197
a_pos epsilon_f_pos -0.000291 2.207195
a_pos epsilon_neg -0.000282 2.206640
a_pos epsilon_sep -0.000291 2.207196
a_pos epsilon_pos -0.000291 2.198890
a_pos Cdl_neg -0.000291 2.207196
a_pos Cdl_pos -0.000291 2.207205
a_pos cs_max_neg -0.000291 2.207196
a_pos cs_max_pos -0.000291 2.207196
