Parameter S1 S1_conf ST ST_conf
a_neg -0.000227 0.010017 0.890625 0.486953
a_pos 0.004094 1.018800 0.003880 0.961653
l_neg -0.000007 0.000005 0.000712 0.000361
l_sep -0.000000 0.000397 0.000000 0.000005
l_pos -0.000002 0.000772 0.000000 0.000002
Rp_neg -0.000083 0.001034 0.093394 0.047029
Rp_pos -0.000000 0.003595 0.000270 1.304925
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos 0.000000 0.000002 0.000000 0.000000
epsilon_neg -0.000237 0.032934 0.813846 0.303216
epsilon_sep -0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.000044 0.059963 0.000286 0.602211
Cdl_neg -0.000000 0.000011 0.000003 0.000001
Cdl_pos 0.000000 0.000021 0.000000 0.000001
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000004 0.004392 0.000027 0.014995
D 0.000004 0.005301 0.000001 0.000632
Ds_neg -0.000259 0.003371 0.993787 0.336224
Ds_pos -0.000041 0.056576 0.000027 0.034755
d2Udcp2_pos_sgn -0.000001 0.000324 0.000000 0.000027
d2Udcp2_neg_sgn -0.000000 0.000019 0.000024 0.000083
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000283 0.477999 0.000804 1.319188
dUdcp_neg_mag 0.000237 0.000224 0.754053 0.378292
d2Udcp2_pos_mag -0.000017 0.056775 0.007455 45.424725
d2Udcp2_neg_mag -0.000257 0.000371 0.983800 0.339219
d3Udcp3_pos_mag -0.000000 0.000012 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000002 0.000000 0.000142
i0_neg 0.000505 0.002629 3.599732 1.520468
i0_pos 0.000063 0.039419 0.044430 61.372906
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000004 0.005649 0.000059 0.000698
aa_neg 0.000032 0.001053 0.013044 0.008838
aa_pos -0.000003 0.011538 0.000193 0.405769
kappa_0 -0.000088 0.281228 0.255135 22.803883
sigma_neg -0.000000 0.000004 0.000001 0.000005
sigma_pos -0.000000 0.000013 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000094 0.064102
a_neg l_neg 0.000125 0.056805
a_neg l_sep 0.000124 0.056422
a_neg l_pos 0.000123 0.057349
a_neg Rp_neg 0.000146 0.056608
a_neg Rp_pos 0.000122 0.058893
a_neg epsilon_f_neg 0.000123 0.056804
a_neg epsilon_f_pos 0.000123 0.056806
a_neg epsilon_neg 0.000208 0.053691
a_neg epsilon_sep 0.000123 0.056804
a_neg epsilon_pos 0.000157 0.009624
a_neg Cdl_neg 0.000124 0.056805
a_neg Cdl_pos 0.000123 0.056811
a_neg cs_max_neg 0.000123 0.056804
a_neg cs_max_pos 0.000123 0.056804
a_neg c0 0.000126 0.052562
a_neg D 0.000120 0.061901
a_neg Ds_neg 0.000191 0.057089
a_neg Ds_pos 0.000155 0.022278
a_neg d2Udcp2_pos_sgn 0.000123 0.056803
a_neg d2Udcp2_neg_sgn 0.000123 0.056743
a_neg d3Udcp3_pos_sgn 0.000123 0.056804
a_neg d3Udcp3_neg_sgn 0.000123 0.056804
a_neg dUdcp_pos_mag -0.000156 0.528222
a_neg dUdcp_neg_mag 0.000060 0.056629
a_neg d2Udcp2_pos_mag 0.000153 0.032917
a_neg d2Udcp2_neg_mag 0.000191 0.056584
a_neg d3Udcp3_pos_mag 0.000123 0.056804
a_neg d3Udcp3_neg_mag 0.000123 0.056772
a_neg i0_neg -0.000014 0.057907
a_neg i0_pos 0.000149 0.023033
a_neg SOC_neg 0.000123 0.056804
a_neg SOC_pos 0.000123 0.056804
a_neg tP 0.000127 0.051453
a_neg aa_neg 0.000115 0.057119
a_neg aa_pos 0.000126 0.052413
a_neg kappa_0 0.000278 0.538416
a_neg sigma_neg 0.000123 0.056802
a_neg sigma_pos 0.000123 0.056792
a_pos l_neg -0.004150 1.026704
a_pos l_sep -0.004152 1.026704
a_pos l_pos -0.004150 1.026156
a_pos Rp_neg -0.004131 1.026628
a_pos Rp_pos -0.004150 1.026471
a_pos epsilon_f_neg -0.004152 1.026705
a_pos epsilon_f_pos -0.004152 1.026701
a_pos epsilon_neg -0.004087 1.026058
a_pos epsilon_sep -0.004152 1.026704
a_pos epsilon_pos -0.004156 1.019611
a_pos Cdl_neg -0.004152 1.026703
a_pos Cdl_pos -0.004152 1.026728
a_pos cs_max_neg -0.004152 1.026704
a_pos cs_max_pos -0.004152 1.026704
a_pos c0 -0.004152 1.026668
a_pos D -0.004153 1.026701
a_pos Ds_neg -0.004086 1.026562
a_pos Ds_pos -0.004162 1.019915
a_pos d2Udcp2_pos_sgn -0.004151 1.026387
a_pos d2Udcp2_neg_sgn -0.004152 1.026703
a_pos d3Udcp3_pos_sgn -0.004152 1.026704
a_pos d3Udcp3_neg_sgn -0.004152 1.026704
a_pos dUdcp_pos_mag -0.004130 1.044017
a_pos dUdcp_neg_mag -0.004217 1.026566
a_pos d2Udcp2_pos_mag -0.004164 1.029597
a_pos d2Udcp2_neg_mag -0.004082 1.027012
a_pos d3Udcp3_pos_mag -0.004152 1.026692
a_pos d3Udcp3_neg_mag -0.004152 1.026704
a_pos i0_neg -0.004286 1.025490
a_pos i0_pos -0.004173 1.065743
a_pos SOC_neg -0.004152 1.026704
a_pos SOC_pos -0.004152 1.026704
a_pos tP -0.004152 1.026750
a_pos aa_neg -0.004162 1.026482
a_pos aa_pos -0.004148 1.026371
a_pos kappa_0 -0.002816 7.097650
a_pos sigma_neg -0.004152 1.026707
a_pos sigma_pos -0.004152 1.026713
l_neg l_sep 0.000007 0.000151
l_neg l_pos 0.000007 0.000151
l_neg Rp_neg 0.000007 0.000151
l_neg Rp_pos 0.000007 0.000170
l_neg epsilon_f_neg 0.000007 0.000151
l_neg epsilon_f_pos 0.000007 0.000151
l_neg epsilon_neg 0.000007 0.000047
l_neg epsilon_sep 0.000007 0.000151
l_neg epsilon_pos 0.000007 0.000186
l_neg Cdl_neg 0.000007 0.000151
l_neg Cdl_pos 0.000007 0.000151
l_neg cs_max_neg 0.000007 0.000151
l_neg cs_max_pos 0.000007 0.000151
l_neg c0 0.000007 0.000151
l_neg D 0.000007 0.000151
l_neg Ds_neg 0.000007 0.000088
l_neg Ds_pos 0.000007 0.000151
l_neg d2Udcp2_pos_sgn 0.000007 0.000151
l_neg d2Udcp2_neg_sgn 0.000007 0.000151
l_neg d3Udcp3_pos_sgn 0.000007 0.000151
l_neg d3Udcp3_neg_sgn 0.000007 0.000151
l_neg dUdcp_pos_mag 0.000007 0.000158
l_neg dUdcp_neg_mag 0.000007 0.000152
l_neg d2Udcp2_pos_mag 0.000007 0.000154
l_neg d2Udcp2_neg_mag 0.000007 0.000151
l_neg d3Udcp3_pos_mag 0.000007 0.000151
l_neg d3Udcp3_neg_mag 0.000007 0.000151
l_neg i0_neg 0.000007 0.000074
l_neg i0_pos 0.000008 0.000230
l_neg SOC_neg 0.000007 0.000151
l_neg SOC_pos 0.000007 0.000151
l_neg tP 0.000007 0.000151
l_neg aa_neg 0.000007 0.000189
l_neg aa_pos 0.000007 0.000151
l_neg kappa_0 0.000007 0.000437
l_neg sigma_neg 0.000007 0.000151
l_neg sigma_pos 0.000007 0.000151
l_sep l_pos 0.000000 0.000400
l_sep Rp_neg 0.000000 0.000400
l_sep Rp_pos 0.000000 0.000400
l_sep epsilon_f_neg 0.000000 0.000400
l_sep epsilon_f_pos 0.000000 0.000400
l_sep epsilon_neg 0.000000 0.000399
l_sep epsilon_sep 0.000000 0.000400
l_sep epsilon_pos 0.000000 0.000405
l_sep Cdl_neg 0.000000 0.000400
l_sep Cdl_pos 0.000000 0.000400
l_sep cs_max_neg 0.000000 0.000400
l_sep cs_max_pos 0.000000 0.000400
l_sep c0 0.000000 0.000400
l_sep D 0.000000 0.000400
l_sep Ds_neg 0.000000 0.000409
l_sep Ds_pos 0.000000 0.000402
l_sep d2Udcp2_pos_sgn 0.000000 0.000400
l_sep d2Udcp2_neg_sgn 0.000000 0.000400
l_sep d3Udcp3_pos_sgn 0.000000 0.000400
l_sep d3Udcp3_neg_sgn 0.000000 0.000400
l_sep dUdcp_pos_mag 0.000000 0.000377
l_sep dUdcp_neg_mag 0.000000 0.000400
l_sep d2Udcp2_pos_mag 0.000000 0.000403
l_sep d2Udcp2_neg_mag 0.000000 0.000400
l_sep d3Udcp3_pos_mag 0.000000 0.000400
l_sep d3Udcp3_neg_mag 0.000000 0.000400
l_sep i0_neg 0.000000 0.000398
l_sep i0_pos 0.000000 0.000410
l_sep SOC_neg 0.000000 0.000400
l_sep SOC_pos 0.000000 0.000400
l_sep tP 0.000000 0.000400
l_sep aa_neg 0.000000 0.000400
l_sep aa_pos 0.000000 0.000400
l_sep kappa_0 0.000000 0.000400
l_sep sigma_neg 0.000000 0.000400
l_sep sigma_pos 0.000000 0.000400
l_pos Rp_neg 0.000004 0.001282
l_pos Rp_pos 0.000004 0.001220
l_pos epsilon_f_neg 0.000004 0.001282
l_pos epsilon_f_pos 0.000004 0.001282
l_pos epsilon_neg 0.000004 0.001168
l_pos epsilon_sep 0.000004 0.001282
l_pos epsilon_pos 0.000002 0.000870
l_pos Cdl_neg 0.000004 0.001282
l_pos Cdl_pos 0.000004 0.001282
l_pos cs_max_neg 0.000004 0.001282
l_pos cs_max_pos 0.000004 0.001282
l_pos c0 0.000004 0.001287
l_pos D 0.000004 0.001292
l_pos Ds_neg 0.000004 0.001296
l_pos Ds_pos 0.000003 0.000937
l_pos d2Udcp2_pos_sgn 0.000004 0.001219
l_pos d2Udcp2_neg_sgn 0.000004 0.001282
l_pos d3Udcp3_pos_sgn 0.000004 0.001282
l_pos d3Udcp3_neg_sgn 0.000004 0.001282
l_pos dUdcp_pos_mag 0.000004 0.001256
l_pos dUdcp_neg_mag 0.000004 0.001275
l_pos d2Udcp2_pos_mag 0.000007 0.001885
l_pos d2Udcp2_neg_mag 0.000004 0.001282
l_pos d3Udcp3_pos_mag 0.000004 0.001279
l_pos d3Udcp3_neg_mag 0.000004 0.001282
l_pos i0_neg 0.000004 0.001283
l_pos i0_pos 0.000022 0.005532
l_pos SOC_neg 0.000004 0.001282
l_pos SOC_pos 0.000004 0.001282
l_pos tP 0.000004 0.001290
l_pos aa_neg 0.000005 0.001300
l_pos aa_pos 0.000004 0.001224
l_pos kappa_0 0.000002 0.000873
l_pos sigma_neg 0.000004 0.001282
l_pos sigma_pos 0.000004 0.001282
Rp_neg Rp_pos 0.000084 0.007434
Rp_neg epsilon_f_neg 0.000084 0.007386
Rp_neg epsilon_f_pos 0.000084 0.007385
Rp_neg epsilon_neg 0.000083 0.011143
Rp_neg epsilon_sep 0.000084 0.007386
Rp_neg epsilon_pos 0.000083 0.000888
Rp_neg Cdl_neg 0.000084 0.007387
Rp_neg Cdl_pos 0.000084 0.007462
Rp_neg cs_max_neg 0.000084 0.007386
Rp_neg cs_max_pos 0.000084 0.007386
Rp_neg c0 0.000084 0.007364
Rp_neg D 0.000084 0.007394
Rp_neg Ds_neg 0.000084 0.007419
Rp_neg Ds_pos 0.000085 0.007475
Rp_neg d2Udcp2_pos_sgn 0.000084 0.007386
Rp_neg d2Udcp2_neg_sgn 0.000084 0.007387
Rp_neg d3Udcp3_pos_sgn 0.000084 0.007386
Rp_neg d3Udcp3_neg_sgn 0.000084 0.007386
Rp_neg dUdcp_pos_mag 0.000075 0.016788
Rp_neg dUdcp_neg_mag 0.000084 0.007275
Rp_neg d2Udcp2_pos_mag 0.000085 0.007676
Rp_neg d2Udcp2_neg_mag 0.000084 0.007388
Rp_neg d3Udcp3_pos_mag 0.000084 0.007386
Rp_neg d3Udcp3_neg_mag 0.000084 0.007386
Rp_neg i0_neg 0.000084 0.007152
Rp_neg i0_pos 0.000082 0.001354
Rp_neg SOC_neg 0.000084 0.007386
Rp_neg SOC_pos 0.000084 0.007386
Rp_neg tP 0.000084 0.007362
Rp_neg aa_neg 0.000084 0.007324
Rp_neg aa_pos 0.000084 0.006997
Rp_neg kappa_0 0.000083 0.002336
Rp_neg sigma_neg 0.000084 0.007386
Rp_neg sigma_pos 0.000084 0.007389
Rp_pos epsilon_f_neg -0.000000 0.003828
Rp_pos epsilon_f_pos -0.000000 0.003828
Rp_pos epsilon_neg -0.000000 0.003895
Rp_pos epsilon_sep -0.000000 0.003828
Rp_pos epsilon_pos 0.000000 0.003641
Rp_pos Cdl_neg -0.000000 0.003828
Rp_pos Cdl_pos -0.000000 0.003829
Rp_pos cs_max_neg -0.000000 0.003828
Rp_pos cs_max_pos -0.000000 0.003828
Rp_pos c0 -0.000000 0.003824
Rp_pos D -0.000000 0.003827
Rp_pos Ds_neg -0.000000 0.003828
Rp_pos Ds_pos 0.000000 0.003636
Rp_pos d2Udcp2_pos_sgn -0.000000 0.003828
Rp_pos d2Udcp2_neg_sgn -0.000000 0.003828
Rp_pos d3Udcp3_pos_sgn -0.000000 0.003828
Rp_pos d3Udcp3_neg_sgn -0.000000 0.003828
Rp_pos dUdcp_pos_mag -0.000000 0.004106
Rp_pos dUdcp_neg_mag -0.000000 0.003828
Rp_pos d2Udcp2_pos_mag -0.000000 0.003952
Rp_pos d2Udcp2_neg_mag -0.000000 0.003827
Rp_pos d3Udcp3_pos_mag -0.000000 0.003828
Rp_pos d3Udcp3_neg_mag -0.000000 0.003828
Rp_pos i0_neg -0.000000 0.003799
Rp_pos i0_pos 0.000000 0.003739
Rp_pos SOC_neg -0.000000 0.003828
Rp_pos SOC_pos -0.000000 0.003828
Rp_pos tP -0.000000 0.003828
Rp_pos aa_neg -0.000000 0.003818
Rp_pos aa_pos -0.000000 0.003813
Rp_pos kappa_0 -0.000005 0.028674
Rp_pos sigma_neg -0.000000 0.003828
Rp_pos sigma_pos -0.000000 0.003828
epsilon_f_neg epsilon_f_pos 0.000000 0.000004
epsilon_f_neg epsilon_neg 0.000000 0.000002
epsilon_f_neg epsilon_sep 0.000000 0.000004
epsilon_f_neg epsilon_pos 0.000000 0.000004
epsilon_f_neg Cdl_neg 0.000000 0.000004
epsilon_f_neg Cdl_pos 0.000000 0.000004
epsilon_f_neg cs_max_neg 0.000000 0.000004
epsilon_f_neg cs_max_pos 0.000000 0.000004
epsilon_f_neg c0 0.000000 0.000004
epsilon_f_neg D 0.000000 0.000004
epsilon_f_neg Ds_neg -0.000000 0.000009
epsilon_f_neg Ds_pos 0.000000 0.000004
epsilon_f_neg d2Udcp2_pos_sgn 0.000000 0.000004
epsilon_f_neg d2Udcp2_neg_sgn 0.000000 0.000004
epsilon_f_neg d3Udcp3_pos_sgn 0.000000 0.000004
epsilon_f_neg d3Udcp3_neg_sgn 0.000000 0.000004
epsilon_f_neg dUdcp_pos_mag 0.000000 0.000004
epsilon_f_neg dUdcp_neg_mag 0.000000 0.000004
epsilon_f_neg d2Udcp2_pos_mag 0.000000 0.000004
epsilon_f_neg d2Udcp2_neg_mag 0.000000 0.000004
epsilon_f_neg d3Udcp3_pos_mag 0.000000 0.000004
epsilon_f_neg d3Udcp3_neg_mag 0.000000 0.000004
epsilon_f_neg i0_neg 0.000000 0.000001
epsilon_f_neg i0_pos 0.000000 0.000004
epsilon_f_neg SOC_neg 0.000000 0.000004
epsilon_f_neg SOC_pos 0.000000 0.000004
epsilon_f_neg tP 0.000000 0.000004
epsilon_f_neg aa_neg 0.000000 0.000004
epsilon_f_neg aa_pos 0.000000 0.000004
epsilon_f_neg kappa_0 0.000000 0.000004
epsilon_f_neg sigma_neg 0.000000 0.000004
epsilon_f_neg sigma_pos 0.000000 0.000004
epsilon_f_pos epsilon_neg 0.000000 0.000005
epsilon_f_pos epsilon_sep 0.000000 0.000010
epsilon_f_pos epsilon_pos 0.000000 0.000010
epsilon_f_pos Cdl_neg 0.000000 0.000010
epsilon_f_pos Cdl_pos 0.000000 0.000010
epsilon_f_pos cs_max_neg 0.000000 0.000010
epsilon_f_pos cs_max_pos 0.000000 0.000010
epsilon_f_pos c0 0.000000 0.000010
epsilon_f_pos D 0.000000 0.000010
epsilon_f_pos Ds_neg 0.000000 0.000006
epsilon_f_pos Ds_pos 0.000000 0.000010
epsilon_f_pos d2Udcp2_pos_sgn 0.000000 0.000010
epsilon_f_pos d2Udcp2_neg_sgn 0.000000 0.000010
epsilon_f_pos d3Udcp3_pos_sgn 0.000000 0.000010
epsilon_f_pos d3Udcp3_neg_sgn 0.000000 0.000010
epsilon_f_pos dUdcp_pos_mag 0.000000 0.000010
epsilon_f_pos dUdcp_neg_mag 0.000000 0.000010
epsilon_f_pos d2Udcp2_pos_mag 0.000000 0.000010
epsilon_f_pos d2Udcp2_neg_mag 0.000000 0.000010
epsilon_f_pos d3Udcp3_pos_mag 0.000000 0.000010
epsilon_f_pos d3Udcp3_neg_mag 0.000000 0.000010
epsilon_f_pos i0_neg 0.000000 0.000005
epsilon_f_pos i0_pos 0.000000 0.000015
epsilon_f_pos SOC_neg 0.000000 0.000010
epsilon_f_pos SOC_pos 0.000000 0.000010
epsilon_f_pos tP 0.000000 0.000010
epsilon_f_pos aa_neg 0.000000 0.000013
epsilon_f_pos aa_pos 0.000000 0.000010
epsilon_f_pos kappa_0 0.000000 0.000006
epsilon_f_pos sigma_neg 0.000000 0.000010
epsilon_f_pos sigma_pos 0.000000 0.000010
epsilon_neg epsilon_sep 0.000199 0.074004
epsilon_neg epsilon_pos 0.000231 0.033733
epsilon_neg Cdl_neg 0.000199 0.074003
epsilon_neg Cdl_pos 0.000199 0.074016
epsilon_neg cs_max_neg 0.000199 0.074004
epsilon_neg cs_max_pos 0.000199 0.074004
epsilon_neg c0 0.000201 0.071070
epsilon_neg D 0.000196 0.077661
epsilon_neg Ds_neg 0.000209 0.072217
epsilon_neg Ds_pos 0.000228 0.049115
epsilon_neg d2Udcp2_pos_sgn 0.000199 0.074002
epsilon_neg d2Udcp2_neg_sgn 0.000199 0.074005
epsilon_neg d3Udcp3_pos_sgn 0.000199 0.074004
epsilon_neg d3Udcp3_neg_sgn 0.000199 0.074004
epsilon_neg dUdcp_pos_mag -0.000045 0.473565
epsilon_neg dUdcp_neg_mag 0.000187 0.073344
epsilon_neg d2Udcp2_pos_mag 0.000229 0.039286
epsilon_neg d2Udcp2_neg_mag 0.000207 0.073916
epsilon_neg d3Udcp3_pos_mag 0.000199 0.074004
epsilon_neg d3Udcp3_neg_mag 0.000199 0.073998
epsilon_neg i0_neg 0.000164 0.074118
epsilon_neg i0_pos 0.000217 0.044378
epsilon_neg SOC_neg 0.000199 0.074004
epsilon_neg SOC_pos 0.000199 0.074004
epsilon_neg tP 0.000202 0.070262
epsilon_neg aa_neg 0.000198 0.073929
epsilon_neg aa_pos 0.000202 0.065221
epsilon_neg kappa_0 0.000213 0.061645
epsilon_neg sigma_neg 0.000199 0.074008
epsilon_neg sigma_pos 0.000199 0.073991
epsilon_sep epsilon_pos -0.000000 0.000000
epsilon_sep Cdl_neg -0.000000 0.000000
epsilon_sep Cdl_pos -0.000000 0.000000
epsilon_sep cs_max_neg 0.000000 0.000000
epsilon_sep cs_max_pos 0.000000 0.000000
epsilon_sep c0 -0.000000 0.000000
epsilon_sep D -0.000000 0.000000
epsilon_sep Ds_neg 0.000000 0.000000
epsilon_sep Ds_pos 0.000000 0.000000
epsilon_sep d2Udcp2_pos_sgn 0.000000 0.000000
epsilon_sep d2Udcp2_neg_sgn 0.000000 0.000000
epsilon_sep d3Udcp3_pos_sgn 0.000000 0.000000
epsilon_sep d3Udcp3_neg_sgn -0.000000 0.000000
epsilon_sep dUdcp_pos_mag 0.000000 0.000000
epsilon_sep dUdcp_neg_mag 0.000000 0.000000
epsilon_sep d2Udcp2_pos_mag 0.000000 0.000000
epsilon_sep d2Udcp2_neg_mag -0.000000 0.000000
epsilon_sep d3Udcp3_pos_mag 0.000000 0.000000
epsilon_sep d3Udcp3_neg_mag -0.000000 0.000000
epsilon_sep i0_neg 0.000000 0.000000
epsilon_sep i0_pos -0.000000 0.000000
epsilon_sep SOC_neg 0.000000 0.000000
epsilon_sep SOC_pos 0.000000 0.000000
epsilon_sep tP -0.000000 0.000000
epsilon_sep aa_neg -0.000000 0.000000
epsilon_sep aa_pos -0.000000 0.000000
epsilon_sep kappa_0 0.000000 0.000000
epsilon_sep sigma_neg -0.000000 0.000000
epsilon_sep sigma_pos -0.000000 0.000000
epsilon_pos Cdl_neg -0.000119 0.071244
epsilon_pos Cdl_pos -0.000120 0.071246
epsilon_pos cs_max_neg -0.000120 0.071237
epsilon_pos cs_max_pos -0.000120 0.071237
epsilon_pos c0 -0.000118 0.071280
epsilon_pos D -0.000119 0.071336
epsilon_pos Ds_neg 0.000122 0.067978
epsilon_pos Ds_pos -0.000167 0.065454
epsilon_pos d2Udcp2_pos_sgn -0.000128 0.070596
epsilon_pos d2Udcp2_neg_sgn -0.000120 0.071233
epsilon_pos d3Udcp3_pos_sgn -0.000120 0.071237
