Parameter S1 S1_conf ST ST_conf
a_neg 0.005760 0.016768 0.505268 0.610215
a_pos 0.171483 0.289024 0.048960 0.086170
l_neg -0.000057 0.000042 0.000296 0.000211
l_sep -0.000006 0.000081 0.000000 0.000000
l_pos -0.000042 0.000152 0.000000 0.000001
Rp_neg -0.000917 0.001617 0.081288 0.057354
Rp_pos -0.000055 0.002742 0.000219 0.009787
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos 0.000000 0.000002 0.000000 0.000000
epsilon_neg -0.000197 0.084067 0.582261 0.221744
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.002317 0.032313 0.032472 1.036385
Cdl_neg 0.000002 0.000038 0.000001 0.000002
Cdl_pos 0.000007 0.000210 0.000001 0.000016
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000137 0.002017 0.000006 0.000073
D 0.000157 0.002261 0.000002 0.000033
Ds_neg -0.002385 0.002342 0.804757 0.307882
Ds_pos -0.001769 0.026185 0.000251 0.004013
d2Udcp2_pos_sgn -0.000428 0.000722 0.000001 0.000035
d2Udcp2_neg_sgn -0.000009 0.000015 0.001771 0.001594
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.008092 0.121272 0.004682 0.069819
dUdcp_neg_mag 0.000488 0.000440 0.020861 0.014059
d2Udcp2_pos_mag -0.001369 0.024744 0.002857 0.145817
d2Udcp2_neg_mag -0.002472 0.001609 0.851356 0.326909
d3Udcp3_pos_mag 0.000009 0.000015 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg 0.015360 0.012917 22.074193 15.355506
i0_pos 0.018740 0.042828 0.280953 11.192502
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000171 0.002580 0.000050 0.000068
aa_neg 0.001695 0.001528 0.225619 0.156600
aa_pos -0.000393 0.007664 0.027690 0.897229
kappa_0 0.005189 0.440652 1.130821 35.659899
sigma_neg -0.000000 0.000009 0.000004 0.000004
sigma_pos -0.000000 0.000013 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.009874 0.049676
a_neg l_neg -0.008109 0.041981
a_neg l_sep -0.008113 0.041908
a_neg l_pos -0.008127 0.042084
a_neg Rp_neg -0.007955 0.041913
a_neg Rp_pos -0.008294 0.044344
a_neg epsilon_f_neg -0.008119 0.041980
a_neg epsilon_f_pos -0.008119 0.041980
a_neg epsilon_neg -0.005596 0.078079
a_neg epsilon_sep -0.008119 0.041979
a_neg epsilon_pos -0.006184 0.020504
a_neg Cdl_neg -0.008119 0.041981
a_neg Cdl_pos -0.008123 0.042030
a_neg cs_max_neg -0.008119 0.041979
a_neg cs_max_pos -0.008119 0.041979
a_neg c0 -0.007984 0.040207
a_neg D -0.008270 0.044005
a_neg Ds_neg -0.007775 0.042099
a_neg Ds_pos -0.006566 0.022606
a_neg d2Udcp2_pos_sgn -0.008115 0.041976
a_neg d2Udcp2_neg_sgn -0.008118 0.041971
a_neg d3Udcp3_pos_sgn -0.008119 0.041979
a_neg d3Udcp3_neg_sgn -0.008119 0.041979
a_neg dUdcp_pos_mag -0.015902 0.156780
a_neg dUdcp_neg_mag -0.008182 0.041839
a_neg d2Udcp2_pos_mag -0.006498 0.023167
a_neg d2Udcp2_neg_mag -0.007752 0.042052
a_neg d3Udcp3_pos_mag -0.008119 0.041979
a_neg d3Udcp3_neg_mag -0.008119 0.041980
a_neg i0_neg -0.010749 0.041617
a_neg i0_pos -0.006286 0.028312
a_neg SOC_neg -0.008119 0.041979
a_neg SOC_pos -0.008119 0.041979
a_neg tP -0.007948 0.039721
a_neg aa_neg -0.008427 0.042080
a_neg aa_pos -0.007932 0.039818
a_neg kappa_0 0.011755 0.905232
a_neg sigma_neg -0.008118 0.041977
a_neg sigma_pos -0.008118 0.041973
a_pos l_neg -0.172022 0.296530
a_pos l_sep -0.172037 0.296527
a_pos l_pos -0.171987 0.296440
a_pos Rp_neg -0.171718 0.296809
a_pos Rp_pos -0.171792 0.296272
a_pos epsilon_f_neg -0.172037 0.296527
a_pos epsilon_f_pos -0.172037 0.296525
a_pos epsilon_neg -0.171580 0.296736
a_pos epsilon_sep -0.172037 0.296527
a_pos epsilon_pos -0.171893 0.294678
a_pos Cdl_neg -0.172065 0.296459
a_pos Cdl_pos -0.172035 0.296555
a_pos cs_max_neg -0.172037 0.296527
a_pos cs_max_pos -0.172037 0.296527
