Parameter S1 S1_conf ST ST_conf
a_neg 0.120832 0.098096 0.340908 1.037051
a_pos 0.041163 0.036637 0.122563 0.142423
l_neg 0.000024 0.000063 0.000001 0.000004
l_sep 0.000001 0.000001 0.000000 0.000000
l_pos 0.000002 0.000072 0.000000 0.000000
Rp_neg 0.000192 0.000479 0.000061 0.000155
Rp_pos -0.001129 0.001388 0.000055 0.000124
epsilon_f_neg -0.000001 0.000004 0.000000 0.000000
epsilon_f_pos -0.000002 0.000003 0.000000 0.000000
epsilon_neg 0.068030 0.153472 0.307401 0.202794
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.003791 0.025834 4.556966 6.054945
Cdl_neg -0.000997 0.001016 0.003167 0.002421
Cdl_pos 0.014403 0.024967 0.006989 0.009521
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000073 0.000121 0.000000 0.000001
D 0.000036 0.000065 0.000000 0.000000
Ds_neg 0.000062 0.000480 0.000104 0.000183
Ds_pos -0.000367 0.001156 0.000048 0.000107
d2Udcp2_pos_sgn -0.000138 0.000102 0.000000 0.000000
d2Udcp2_neg_sgn -0.000019 0.000051 0.000020 0.000052
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.001571 0.002270 0.000097 0.000215
dUdcp_neg_mag 0.000108 0.000173 0.000015 0.000034
d2Udcp2_pos_mag -0.000560 0.001023 0.000001 0.000002
d2Udcp2_neg_mag 0.000149 0.000573 0.000105 0.000355
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg -0.003630 0.009199 0.132465 0.085471
i0_pos 0.164110 0.128694 0.209958 0.148548
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000096 0.000156 0.000001 0.000002
aa_neg 0.002072 0.002078 0.015296 0.011392
aa_pos 0.004308 0.008460 0.294371 0.389876
kappa_0 0.288424 0.711202 39.995814 90.335472
sigma_neg 0.000010 0.000014 0.000000 0.000000
sigma_pos 0.000002 0.000019 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.130914 0.108261
a_neg l_neg -0.116049 0.103442
a_neg l_sep -0.116050 0.103443
a_neg l_pos -0.116061 0.103429
a_neg Rp_neg -0.116026 0.103442
a_neg Rp_pos -0.116185 0.102342
a_neg epsilon_f_neg -0.116051 0.103442
a_neg epsilon_f_pos -0.116052 0.103442
a_neg epsilon_neg -0.058259 0.179890
a_neg epsilon_sep -0.116049 0.103443
a_neg epsilon_pos -0.122283 0.098656
a_neg Cdl_neg -0.116191 0.103533
a_neg Cdl_pos -0.128803 0.109553
a_neg cs_max_neg -0.116049 0.103443
a_neg cs_max_pos -0.116049 0.103443
a_neg c0 -0.115978 0.103339
a_neg D -0.116093 0.103497
a_neg Ds_neg -0.116047 0.103441
a_neg Ds_pos -0.114784 0.102801
a_neg d2Udcp2_pos_sgn -0.116051 0.103443
a_neg d2Udcp2_neg_sgn -0.116050 0.103443
a_neg d3Udcp3_pos_sgn -0.116049 0.103443
a_neg d3Udcp3_neg_sgn -0.116049 0.103443
a_neg dUdcp_pos_mag -0.116145 0.105312
a_neg dUdcp_neg_mag -0.116005 0.103439
a_neg d2Udcp2_pos_mag -0.115462 0.102575
a_neg d2Udcp2_neg_mag -0.116053 0.103443
a_neg d3Udcp3_pos_mag -0.116049 0.103443
a_neg d3Udcp3_neg_mag -0.116049 0.103443
a_neg i0_neg -0.118895 0.103284
a_neg i0_pos -0.101295 0.102371
a_neg SOC_neg -0.116049 0.103443
a_neg SOC_pos -0.116049 0.103443
a_neg tP -0.115958 0.103309
a_neg aa_neg -0.116576 0.103541
a_neg aa_pos -0.123519 0.104054
a_neg kappa_0 0.539540 1.489346
a_neg sigma_neg -0.116043 0.103444
a_neg sigma_pos -0.116040 0.103444
a_pos l_neg 0.018905 0.169493
a_pos l_sep 0.018917 0.169498
a_pos l_pos 0.018919 0.169482
a_pos Rp_neg 0.019697 0.170290
a_pos Rp_pos 0.014377 0.159022
a_pos epsilon_f_neg 0.018918 0.169501
a_pos epsilon_f_pos 0.018900 0.169460
a_pos epsilon_neg 0.020029 0.166407
a_pos epsilon_sep 0.018917 0.169498
a_pos epsilon_pos 0.001970 0.087320
a_pos Cdl_neg 0.015190 0.165127
a_pos Cdl_pos 0.022348 0.178336
a_pos cs_max_neg 0.018917 0.169498
a_pos cs_max_pos 0.018917 0.169498
a_pos c0 0.018901 0.169468
a_pos D 0.018875 0.169409
a_pos Ds_neg 0.018707 0.169205
a_pos Ds_pos 0.023337 0.179192
a_pos d2Udcp2_pos_sgn 0.019054 0.169459
a_pos d2Udcp2_neg_sgn 0.018916 0.169497
a_pos d3Udcp3_pos_sgn 0.018917 0.169498
a_pos d3Udcp3_neg_sgn 0.018917 0.169498
