Parameter S1 S1_conf ST ST_conf
a_neg 0.037491 0.201431 0.060170 0.369646
a_pos -0.009613 0.049107 0.737532 0.296289
l_neg -0.000019 0.000154 0.000001 0.000004
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos 0.000004 0.000016 0.000000 0.000000
Rp_neg 0.000013 0.000043 0.000001 0.000003
Rp_pos -0.000494 0.002760 0.000070 0.000395
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos -0.000002 0.000014 0.000000 0.000000
epsilon_neg 0.008466 0.094268 0.134067 0.348933
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.010692 0.050216 31.051844 15.989179
Cdl_neg -0.003828 0.012917 0.088659 0.211850
Cdl_pos 0.002198 0.057788 0.046343 0.037558
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000001 0.000007 0.000000 0.000000
D 0.000000 0.000001 0.000000 0.000000
Ds_neg 0.000002 0.000018 0.000000 0.000005
Ds_pos 0.000009 0.000093 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000139 0.000785 0.000006 0.000032
dUdcp_neg_mag 0.000017 0.000112 0.000001 0.000003
d2Udcp2_pos_mag -0.000009 0.000048 0.000000 0.000000
d2Udcp2_neg_mag 0.000004 0.000034 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg -0.001011 0.017072 0.007200 0.047862
i0_pos -0.002017 0.004649 0.817676 0.401643
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000000 0.000002 0.000000 0.000000
aa_neg 0.000295 0.003593 0.001688 0.004213
aa_pos 0.001294 0.013834 0.145120 0.069824
kappa_0 0.560613 3.197601 95.229533 532.769262
sigma_neg 0.000003 0.000013 0.000000 0.000000
sigma_pos 0.000011 0.000067 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.034000 0.196043
a_neg l_neg -0.014196 0.200560
a_neg l_sep -0.014191 0.200556
a_neg l_pos -0.014194 0.200556
a_neg Rp_neg -0.014188 0.200552
a_neg Rp_pos -0.015188 0.198723
a_neg epsilon_f_neg -0.014191 0.200556
a_neg epsilon_f_pos -0.014196 0.200547
a_neg epsilon_neg 0.003870 0.253096
a_neg epsilon_sep -0.014191 0.200556
a_neg epsilon_pos -0.030285 0.199259
a_neg Cdl_neg -0.011080 0.198219
a_neg Cdl_pos -0.029150 0.216493
a_neg cs_max_neg -0.014191 0.200556
a_neg cs_max_pos -0.014191 0.200556
a_neg c0 -0.014193 0.200552
a_neg D -0.014191 0.200557
a_neg Ds_neg -0.014192 0.200558
a_neg Ds_pos -0.014151 0.200590
a_neg d2Udcp2_pos_sgn -0.014191 0.200556
a_neg d2Udcp2_neg_sgn -0.014191 0.200556
a_neg d3Udcp3_pos_sgn -0.014191 0.200556
a_neg d3Udcp3_neg_sgn -0.014191 0.200556
a_neg dUdcp_pos_mag -0.013905 0.201096
a_neg dUdcp_neg_mag -0.014186 0.200543
a_neg d2Udcp2_pos_mag -0.014183 0.200517
a_neg d2Udcp2_neg_mag -0.014190 0.200556
a_neg d3Udcp3_pos_mag -0.014191 0.200556
a_neg d3Udcp3_neg_mag -0.014191 0.200556
a_neg i0_neg -0.015994 0.203052
a_neg i0_pos -0.014311 0.200763
a_neg SOC_neg -0.014191 0.200556
a_neg SOC_pos -0.014191 0.200556
a_neg tP -0.014192 0.200558
a_neg aa_neg -0.014166 0.200423
a_neg aa_pos -0.009514 0.211326
a_neg kappa_0 1.155723 6.665557
a_neg sigma_neg -0.014190 0.200556
a_neg sigma_pos -0.014173 0.200596
a_pos l_neg 0.128898 0.518052
a_pos l_sep 0.128894 0.518044
a_pos l_pos 0.128908 0.517991
a_pos Rp_neg 0.128880 0.518031
a_pos Rp_pos 0.124249 0.491852
a_pos epsilon_f_neg 0.128894 0.518045
a_pos epsilon_f_pos 0.128870 0.517911
a_pos epsilon_neg 0.130153 0.516858
a_pos epsilon_sep 0.128894 0.518044
a_pos epsilon_pos 0.266774 0.125160
a_pos Cdl_neg 0.130436 0.517901
a_pos Cdl_pos 0.093207 0.272898
a_pos cs_max_neg 0.128894 0.518044
a_pos cs_max_pos 0.128894 0.518044
