Parameter S1 S1_conf ST ST_conf
a_neg 0.076772 0.252250 0.535736 0.926208
a_pos 0.381966 1.293665 40.160257 121.065762
l_neg -0.000001 0.000013 0.000001 0.000002
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos -0.000358 0.000986 0.000024 0.000072
Rp_neg -0.000003 0.000008 0.000000 0.000000
Rp_pos 0.000001 0.000012 0.000000 0.000000
epsilon_f_neg -0.000003 0.000009 0.000000 0.000000
epsilon_f_pos -0.000005 0.000012 0.000000 0.000000
epsilon_neg 0.019960 0.032236 0.595748 0.928223
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.339163 0.402273 6.445653 7.685087
Cdl_neg 0.010040 0.074910 0.701099 0.877115
Cdl_pos 0.011135 0.023508 2.690754 8.347572
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000000 0.000002 0.000000 0.000000
D -0.000000 0.000001 0.000000 0.000000
Ds_neg -0.000004 0.000009 0.000000 0.000000
Ds_pos 0.000004 0.000016 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000001 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000003 0.000012 0.000000 0.000000
dUdcp_neg_mag -0.000027 0.000060 0.000000 0.000000
d2Udcp2_pos_mag 0.000003 0.000010 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.007331 0.013573 0.025729 0.036740
i0_pos 0.115400 0.140406 2.161686 2.638413
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000001 0.000005 0.000000 0.000000
aa_neg 0.005197 0.009826 0.002909 0.002622
aa_pos -0.014487 0.018995 0.038819 0.047131
kappa_0 0.082353 0.343086 21.351010 58.279557
sigma_neg 0.000031 0.000078 0.000000 0.000000
sigma_pos -0.000019 0.000022 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.384963 1.295622
a_neg l_neg -0.023637 0.243683
a_neg l_sep -0.023637 0.243675
a_neg l_pos -0.023362 0.243163
a_neg Rp_neg -0.023626 0.243655
a_neg Rp_pos -0.023647 0.243684
a_neg epsilon_f_neg -0.023631 0.243660
a_neg epsilon_f_pos -0.023639 0.243676
a_neg epsilon_neg 0.569206 1.377030
a_neg epsilon_sep -0.023637 0.243675
a_neg epsilon_pos -0.018364 0.233646
a_neg Cdl_neg 0.178202 0.677584
a_neg Cdl_pos -0.024441 0.242089
a_neg cs_max_neg -0.023637 0.243675
a_neg cs_max_pos -0.023637 0.243675
a_neg c0 -0.023637 0.243675
a_neg D -0.023636 0.243674
a_neg Ds_neg -0.023635 0.243671
a_neg Ds_pos -0.023640 0.243679
a_neg d2Udcp2_pos_sgn -0.023637 0.243675
a_neg d2Udcp2_neg_sgn -0.023637 0.243675
a_neg d3Udcp3_pos_sgn -0.023637 0.243675
a_neg d3Udcp3_neg_sgn -0.023637 0.243675
a_neg dUdcp_pos_mag -0.023638 0.243678
a_neg dUdcp_neg_mag -0.023631 0.243636
a_neg d2Udcp2_pos_mag -0.023640 0.243680
a_neg d2Udcp2_neg_mag -0.023637 0.243675
a_neg d3Udcp3_pos_mag -0.023637 0.243675
a_neg d3Udcp3_neg_mag -0.023637 0.243675
a_neg i0_neg -0.014914 0.240442
a_neg i0_pos -0.024782 0.243023
a_neg SOC_neg -0.023637 0.243675
a_neg SOC_pos -0.023637 0.243675
a_neg tP -0.023637 0.243675
a_neg aa_neg -0.019529 0.238117
a_neg aa_pos -0.022176 0.242264
a_neg kappa_0 0.206605 0.692782
a_neg sigma_neg -0.023613 0.243613
a_neg sigma_pos -0.023643 0.243706
a_pos l_neg -0.020243 1.371656
a_pos l_sep -0.020262 1.371652
a_pos l_pos -0.020714 1.371415
a_pos Rp_neg -0.020261 1.371651
a_pos Rp_pos -0.020282 1.371666
a_pos epsilon_f_neg -0.020262 1.371652
a_pos epsilon_f_pos -0.020266 1.371652
a_pos epsilon_neg -0.025043 1.373649
a_pos epsilon_sep -0.020262 1.371652
a_pos epsilon_pos 2.050608 3.389804
a_pos Cdl_neg -0.021464 1.363291
a_pos Cdl_pos 0.133781 1.458070
a_pos cs_max_neg -0.020262 1.371652
a_pos cs_max_pos -0.020262 1.371652
