Parameter S1 S1_conf ST ST_conf
a_neg 0.809363 1.694149 185.958651 392.658225
a_pos 0.221394 0.435236 52.856039 98.895913
l_neg -0.000085 0.000147 0.000007 0.000015
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.001338 0.003012 0.004257 0.007842
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000001 0.000001 0.000000 0.000000
epsilon_f_neg -0.000001 0.000003 0.000000 0.000000
epsilon_f_pos -0.000003 0.000005 0.000000 0.000000
epsilon_neg 0.015328 0.023924 30.500760 45.503808
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.074467 0.148242 0.591789 0.273342
Cdl_neg 0.023021 0.069055 2.474640 4.600304
Cdl_pos 0.087831 0.140562 1.886958 3.138776
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000001 0.000001 0.000000 0.000000
D -0.000000 0.000000 0.000000 0.000000
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000001 0.000002 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000004 0.000007 0.000000 0.000000
dUdcp_neg_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.006007 0.008120 0.050924 0.050258
i0_pos 0.119577 0.259576 2.562421 5.247440
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000003 0.000006 0.000000 0.000000
aa_neg 0.001660 0.003552 0.001372 0.001458
aa_pos -0.005632 0.013619 0.336978 0.195756
kappa_0 0.008588 0.066387 5.157900 12.377979
sigma_neg 0.000012 0.000028 0.000000 0.000000
sigma_pos -0.000004 0.000011 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.995065 1.840898
a_neg l_neg -0.798012 1.700069
a_neg l_sep -0.798000 1.700060
a_neg l_pos -0.798053 1.700087
a_neg Rp_neg -0.797997 1.700058
a_neg Rp_pos -0.798000 1.700061
a_neg epsilon_f_neg -0.797998 1.700059
a_neg epsilon_f_pos -0.798005 1.700064
a_neg epsilon_neg -0.613445 1.646098
a_neg epsilon_sep -0.798000 1.700060
a_neg epsilon_pos -0.792790 1.697521
a_neg Cdl_neg -0.525463 1.565771
a_neg Cdl_pos -0.803966 1.704299
a_neg cs_max_neg -0.798000 1.700060
a_neg cs_max_pos -0.798000 1.700060
a_neg c0 -0.797999 1.700060
a_neg D -0.797999 1.700060
a_neg Ds_neg -0.797997 1.700058
a_neg Ds_pos -0.797999 1.700060
a_neg d2Udcp2_pos_sgn -0.798000 1.700060
a_neg d2Udcp2_neg_sgn -0.798000 1.700060
a_neg d3Udcp3_pos_sgn -0.798000 1.700060
a_neg d3Udcp3_neg_sgn -0.798000 1.700060
a_neg dUdcp_pos_mag -0.797998 1.700059
a_neg dUdcp_neg_mag -0.797997 1.700058
a_neg d2Udcp2_pos_mag -0.798000 1.700060
a_neg d2Udcp2_neg_mag -0.798000 1.700060
a_neg d3Udcp3_pos_mag -0.798000 1.700060
a_neg d3Udcp3_neg_mag -0.798000 1.700060
a_neg i0_neg -0.791218 1.699501
a_neg i0_pos -0.799011 1.700246
a_neg SOC_neg -0.798000 1.700060
a_neg SOC_pos -0.798000 1.700060
a_neg tP -0.798000 1.700060
a_neg aa_neg -0.796470 1.698979
a_neg aa_pos -0.797621 1.699802
a_neg kappa_0 -0.748625 1.672262
a_neg sigma_neg -0.797994 1.700057
a_neg sigma_pos -0.797975 1.700045
a_pos l_neg -0.063715 0.489044
a_pos l_sep -0.063231 0.489579
a_pos l_pos -0.047398 0.507400
a_pos Rp_neg -0.063231 0.489579
a_pos Rp_pos -0.063232 0.489580
a_pos epsilon_f_neg -0.063231 0.489579
a_pos epsilon_f_pos -0.063232 0.489578
a_pos epsilon_neg -0.064645 0.488930
a_pos epsilon_sep -0.063231 0.489579
a_pos epsilon_pos 0.163638 0.871631
a_pos Cdl_neg -0.052714 0.489240
a_pos Cdl_pos 0.049754 0.603295
a_pos cs_max_neg -0.063231 0.489579
a_pos cs_max_pos -0.063231 0.489579
a_pos c0 -0.063232 0.489579
a_pos D -0.063231 0.489579
a_pos Ds_neg -0.063231 0.489579
a_pos Ds_pos -0.063231 0.489579
a_pos d2Udcp2_pos_sgn -0.063231 0.489579
a_pos d2Udcp2_neg_sgn -0.063231 0.489579
a_pos d3Udcp3_pos_sgn -0.063231 0.489579
a_pos d3Udcp3_neg_sgn -0.063231 0.489579
a_pos dUdcp_pos_mag -0.063233 0.489580
a_pos dUdcp_neg_mag -0.063231 0.489579
a_pos d2Udcp2_pos_mag -0.063231 0.489579
a_pos d2Udcp2_neg_mag -0.063231 0.489579
a_pos d3Udcp3_pos_mag -0.063231 0.489579
a_pos d3Udcp3_neg_mag -0.063231 0.489579
a_pos i0_neg -0.065815 0.488207
a_pos i0_pos 1.338943 3.268982
a_pos SOC_neg -0.063231 0.489579
a_pos SOC_pos -0.063231 0.489579
a_pos tP -0.063229 0.489579
a_pos aa_neg -0.063566 0.489328
a_pos aa_pos -0.137596 0.432668
a_pos kappa_0 -0.051241 0.520837
a_pos sigma_neg -0.063231 0.489580
a_pos sigma_pos -0.063253 0.489553
l_neg l_sep 0.000048 0.000130
l_neg l_pos 0.000048 0.000130
l_neg Rp_neg 0.000048 0.000130
l_neg Rp_pos 0.000048 0.000130
l_neg epsilon_f_neg 0.000048 0.000130
l_neg epsilon_f_pos 0.000048 0.000130
l_neg epsilon_neg 0.000045 0.000172
l_neg epsilon_sep 0.000048 0.000130
l_neg epsilon_pos 0.000084 0.000147
l_neg Cdl_neg 0.000030 0.000122
l_neg Cdl_pos 0.000072 0.000136
l_neg cs_max_neg 0.000048 0.000130
l_neg cs_max_pos 0.000048 0.000130
l_neg c0 0.000048 0.000130
l_neg D 0.000048 0.000130
l_neg Ds_neg 0.000048 0.000130
l_neg Ds_pos 0.000048 0.000130
l_neg d2Udcp2_pos_sgn 0.000048 0.000130
l_neg d2Udcp2_neg_sgn 0.000048 0.000130
l_neg d3Udcp3_pos_sgn 0.000048 0.000130
l_neg d3Udcp3_neg_sgn 0.000048 0.000130
l_neg dUdcp_pos_mag 0.000048 0.000130
l_neg dUdcp_neg_mag 0.000048 0.000130
l_neg d2Udcp2_pos_mag 0.000048 0.000130
l_neg d2Udcp2_neg_mag 0.000048 0.000130
l_neg d3Udcp3_pos_mag 0.000048 0.000130
l_neg d3Udcp3_neg_mag 0.000048 0.000130
l_neg i0_neg 0.000047 0.000130
l_neg i0_pos 0.000051 0.000128
l_neg SOC_neg 0.000048 0.000130
l_neg SOC_pos 0.000048 0.000130
l_neg tP 0.000048 0.000130
l_neg aa_neg 0.000047 0.000130
l_neg aa_pos 0.000037 0.000137
l_neg kappa_0 -0.002188 0.006088
l_neg sigma_neg 0.000048 0.000130
l_neg sigma_pos 0.000048 0.000130
l_sep l_pos -0.000000 0.000000
l_sep Rp_neg -0.000000 0.000000
l_sep Rp_pos -0.000000 0.000000
l_sep epsilon_f_neg -0.000000 0.000000
l_sep epsilon_f_pos -0.000000 0.000000
l_sep epsilon_neg -0.000000 0.000000
l_sep epsilon_sep -0.000000 0.000000
l_sep epsilon_pos -0.000000 0.000000
l_sep Cdl_neg -0.000000 0.000000
l_sep Cdl_pos -0.000000 0.000000
l_sep cs_max_neg -0.000000 0.000000
l_sep cs_max_pos -0.000000 0.000000
l_sep c0 -0.000000 0.000000
l_sep D -0.000000 0.000000
l_sep Ds_neg -0.000000 0.000000
l_sep Ds_pos -0.000000 0.000000
l_sep d2Udcp2_pos_sgn -0.000000 0.000000
l_sep d2Udcp2_neg_sgn -0.000000 0.000000
l_sep d3Udcp3_pos_sgn -0.000000 0.000000
l_sep d3Udcp3_neg_sgn -0.000000 0.000000
l_sep dUdcp_pos_mag -0.000000 0.000000
l_sep dUdcp_neg_mag -0.000000 0.000000
l_sep d2Udcp2_pos_mag -0.000000 0.000000
l_sep d2Udcp2_neg_mag -0.000000 0.000000
l_sep d3Udcp3_pos_mag -0.000000 0.000000
l_sep d3Udcp3_neg_mag -0.000000 0.000000
l_sep i0_neg -0.000000 0.000000
l_sep i0_pos -0.000000 0.000000
l_sep SOC_neg -0.000000 0.000000
l_sep SOC_pos -0.000000 0.000000
l_sep tP -0.000000 0.000000
l_sep aa_neg -0.000000 0.000000
l_sep aa_pos -0.000000 0.000000
l_sep kappa_0 0.000000 0.000000
l_sep sigma_neg -0.000000 0.000000
l_sep sigma_pos -0.000000 0.000000
l_pos Rp_neg -0.006481 0.014048
l_pos Rp_pos -0.006481 0.014048
l_pos epsilon_f_neg -0.006481 0.014048
l_pos epsilon_f_pos -0.006481 0.014048
l_pos epsilon_neg -0.006476 0.014027
l_pos epsilon_sep -0.006481 0.014048
l_pos epsilon_pos -0.013887 0.030760
