Parameter S1 S1_conf ST ST_conf
a_neg 0.000611 1.156272 0.896146 395.307492
a_pos 0.000121 0.232877 0.026913 51.994079
l_neg -0.000000 0.000122 0.238886 0.115754
l_sep -0.000000 0.000022 0.963669 0.469091
l_pos 0.000008 0.018237 0.000210 0.389431
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000000 0.000002 0.000000 0.000000
epsilon_neg 0.000010 0.016635 1.023340 35.705586
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000060 0.100689 0.003608 5.859918
Cdl_neg 0.000011 0.025239 1.176717 2.326503
Cdl_pos 0.000068 0.114019 0.000623 0.575007
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000000 0.000090 0.177688 0.086300
D -0.000000 0.000031 0.015321 0.007439
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000000 0.000000 0.000000
dUdcp_neg_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000002 0.003365 0.000049 0.061092
i0_pos 0.000014 0.027799 0.000510 0.753215
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000000 0.000088 1.009055 0.491010
aa_neg 0.000001 0.001411 0.000001 0.000968
aa_pos -0.000000 0.001528 0.000210 0.179606
kappa_0 -0.000003 0.007729 3.454501 1.287815
sigma_neg 0.000000 0.000011 0.000000 0.000000
sigma_pos 0.000000 0.000006 0.000000 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.000711 1.262823
a_neg l_neg -0.000609 1.160248
a_neg l_sep -0.000609 1.160282
a_neg l_pos -0.000618 1.167900
a_neg Rp_neg -0.000609 1.160280
a_neg Rp_pos -0.000609 1.160280
a_neg epsilon_f_neg -0.000609 1.160279
a_neg epsilon_f_pos -0.000609 1.160283
a_neg epsilon_neg -0.000517 1.097425
a_neg epsilon_sep -0.000609 1.160280
a_neg epsilon_pos -0.000604 1.155873
a_neg Cdl_neg -0.000452 1.047538
a_neg Cdl_pos -0.000620 1.170029
a_neg cs_max_neg -0.000609 1.160280
a_neg cs_max_pos -0.000609 1.160280
a_neg c0 -0.000609 1.160284
a_neg D -0.000609 1.160279
a_neg Ds_neg -0.000609 1.160280
a_neg Ds_pos -0.000609 1.160280
a_neg d2Udcp2_pos_sgn -0.000609 1.160280
a_neg d2Udcp2_neg_sgn -0.000609 1.160280
a_neg d3Udcp3_pos_sgn -0.000609 1.160280
a_neg d3Udcp3_neg_sgn -0.000609 1.160280
a_neg dUdcp_pos_mag -0.000609 1.160280
a_neg dUdcp_neg_mag -0.000609 1.160280
a_neg d2Udcp2_pos_mag -0.000609 1.160280
a_neg d2Udcp2_neg_mag -0.000609 1.160280
a_neg d3Udcp3_pos_mag -0.000609 1.160280
a_neg d3Udcp3_neg_mag -0.000609 1.160280
a_neg i0_neg -0.000605 1.157857
a_neg i0_pos -0.000609 1.159517
a_neg SOC_neg -0.000609 1.160280
a_neg SOC_pos -0.000609 1.160280
a_neg tP -0.000609 1.160285
a_neg aa_neg -0.000608 1.159180
a_neg aa_pos -0.000609 1.159947
a_neg kappa_0 -0.000596 1.147076
a_neg sigma_neg -0.000609 1.160277
a_neg sigma_pos -0.000609 1.160265
a_pos l_neg -0.000079 0.214935
a_pos l_sep -0.000090 0.214957
a_pos l_pos -0.000081 0.221260
a_pos Rp_neg -0.000069 0.214906
a_pos Rp_pos -0.000069 0.214906
a_pos epsilon_f_neg -0.000069 0.214906
a_pos epsilon_f_pos -0.000069 0.214906
a_pos epsilon_neg -0.000091 0.215598
a_pos epsilon_sep -0.000069 0.214906
a_pos epsilon_pos 0.000774 1.437378
a_pos Cdl_neg -0.000040 0.209904
a_pos Cdl_pos 0.000029 0.244132
a_pos cs_max_neg -0.000069 0.214906
a_pos cs_max_pos -0.000069 0.214906
a_pos c0 -0.000060 0.215128
a_pos D -0.000072 0.214974
a_pos Ds_neg -0.000069 0.214906
a_pos Ds_pos -0.000069 0.214906
a_pos d2Udcp2_pos_sgn -0.000069 0.214906
a_pos d2Udcp2_neg_sgn -0.000069 0.214906
a_pos d3Udcp3_pos_sgn -0.000069 0.214906
a_pos d3Udcp3_neg_sgn -0.000069 0.214906
a_pos dUdcp_pos_mag -0.000069 0.214906
a_pos dUdcp_neg_mag -0.000069 0.214906
a_pos d2Udcp2_pos_mag -0.000069 0.214906
a_pos d2Udcp2_neg_mag -0.000069 0.214906
a_pos d3Udcp3_pos_mag -0.000069 0.214906
a_pos d3Udcp3_neg_mag -0.000069 0.214906
a_pos i0_neg -0.000069 0.215232
a_pos i0_pos 0.000225 0.507849
a_pos SOC_neg -0.000069 0.214906
a_pos SOC_pos -0.000069 0.214906
a_pos tP -0.000090 0.215115
a_pos aa_neg -0.000069 0.214931
a_pos aa_pos -0.000084 0.222296
a_pos kappa_0 -0.000018 0.210362
a_pos sigma_neg -0.000069 0.214906
a_pos sigma_pos -0.000069 0.214907
l_neg l_sep 0.000000 0.000193
l_neg l_pos 0.000000 0.000204
l_neg Rp_neg 0.000000 0.000192
l_neg Rp_pos 0.000000 0.000192
l_neg epsilon_f_neg 0.000000 0.000192
l_neg epsilon_f_pos 0.000000 0.000192
l_neg epsilon_neg 0.000000 0.000897
l_neg epsilon_sep 0.000000 0.000192
l_neg epsilon_pos 0.000000 0.000180
l_neg Cdl_neg 0.000001 0.001110
l_neg Cdl_pos 0.000000 0.000267
l_neg cs_max_neg 0.000000 0.000192
l_neg cs_max_pos 0.000000 0.000192
l_neg c0 0.000000 0.000195
l_neg D 0.000000 0.000193
l_neg Ds_neg 0.000000 0.000192
l_neg Ds_pos 0.000000 0.000192
l_neg d2Udcp2_pos_sgn 0.000000 0.000192
l_neg d2Udcp2_neg_sgn 0.000000 0.000192
l_neg d3Udcp3_pos_sgn 0.000000 0.000192
l_neg d3Udcp3_neg_sgn 0.000000 0.000192
l_neg dUdcp_pos_mag 0.000000 0.000192
l_neg dUdcp_neg_mag 0.000000 0.000192
l_neg d2Udcp2_pos_mag 0.000000 0.000192
l_neg d2Udcp2_neg_mag 0.000000 0.000192
l_neg d3Udcp3_pos_mag 0.000000 0.000192
l_neg d3Udcp3_neg_mag 0.000000 0.000192
l_neg i0_neg 0.000000 0.000192
l_neg i0_pos 0.000000 0.000159
l_neg SOC_neg 0.000000 0.000192
l_neg SOC_pos 0.000000 0.000192
l_neg tP 0.000000 0.000195
l_neg aa_neg 0.000000 0.000198
l_neg aa_pos 0.000000 0.000216
