Parameter S1 S1_conf ST ST_conf
a_neg 0.056657 0.056950 0.106931 0.879153
a_pos 0.308921 0.150117 0.040591 0.073676
l_neg 0.000002 0.000005 0.000000 0.000000
l_sep -0.000001 0.000006 0.000000 0.000000
l_pos -0.000074 0.000136 0.000000 0.000002
Rp_neg 0.000009 0.001365 0.000563 0.004028
Rp_pos -0.000318 0.003144 0.000008 0.000046
epsilon_f_neg -0.000000 0.000003 0.000000 0.000000
epsilon_f_pos -0.000000 0.000003 0.000000 0.000000
epsilon_neg 0.015367 0.111785 0.091069 0.239767
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.008202 0.045873 0.239021 1.884445
Cdl_neg 0.000006 0.000129 0.000005 0.000020
Cdl_pos 0.000375 0.003289 0.000051 0.000406
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000270 0.001629 0.000002 0.000015
D 0.000279 0.001625 0.000001 0.000005
Ds_neg -0.000124 0.001501 0.018447 0.107825
Ds_pos -0.003824 0.020301 0.000141 0.000827
d2Udcp2_pos_sgn -0.000926 0.000465 0.000001 0.000007
d2Udcp2_neg_sgn -0.000041 0.000244 0.001590 0.009435
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000001 0.000000 0.000000
dUdcp_pos_mag 0.009918 0.058134 0.001301 0.007330
dUdcp_neg_mag 0.000102 0.000572 0.000053 0.000404
d2Udcp2_pos_mag -0.003078 0.020066 0.000244 0.001306
d2Udcp2_neg_mag -0.000198 0.001092 0.017965 0.106424
d3Udcp3_pos_mag 0.000018 0.000009 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000001 0.000000 0.000000
i0_neg 0.007567 0.076801 1.102166 9.164751
i0_pos 0.190975 0.129198 0.060830 0.206154
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000345 0.002084 0.000005 0.000025
aa_neg 0.002761 0.020258 0.085210 0.677050
aa_pos -0.000564 0.009772 0.160793 1.286441
kappa_0 0.049611 0.547587 6.220089 54.780839
sigma_neg 0.000001 0.000012 0.000000 0.000001
sigma_pos -0.000001 0.000022 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.068726 0.109437
a_neg l_neg -0.062396 0.089698
a_neg l_sep -0.062394 0.089692
a_neg l_pos -0.062401 0.089713
a_neg Rp_neg -0.062360 0.089603
a_neg Rp_pos -0.062908 0.092407
a_neg epsilon_f_neg -0.062396 0.089698
a_neg epsilon_f_pos -0.062396 0.089699
a_neg epsilon_neg -0.049466 0.113573
a_neg epsilon_sep -0.062395 0.089698
a_neg epsilon_pos -0.056916 0.059750
a_neg Cdl_neg -0.062408 0.089735
a_neg Cdl_pos -0.062722 0.091116
a_neg cs_max_neg -0.062395 0.089698
a_neg cs_max_pos -0.062395 0.089698
a_neg c0 -0.062126 0.088238
a_neg D -0.062672 0.091180
a_neg Ds_neg -0.062408 0.089716
a_neg Ds_pos -0.058939 0.071782
a_neg d2Udcp2_pos_sgn -0.062389 0.089696
a_neg d2Udcp2_neg_sgn -0.062396 0.089695
a_neg d3Udcp3_pos_sgn -0.062395 0.089698
a_neg d3Udcp3_neg_sgn -0.062395 0.089698
a_neg dUdcp_pos_mag -0.071057 0.141340
a_neg dUdcp_neg_mag -0.062344 0.089544
a_neg d2Udcp2_pos_mag -0.059112 0.072275
a_neg d2Udcp2_neg_mag -0.062403 0.089707
a_neg d3Udcp3_pos_mag -0.062396 0.089698
a_neg d3Udcp3_neg_mag -0.062396 0.089698
a_neg i0_neg -0.063165 0.091482
a_neg i0_pos -0.055321 0.061193
a_neg SOC_neg -0.062395 0.089698
a_neg SOC_pos -0.062395 0.089698
a_neg tP -0.062050 0.087828
a_neg aa_neg -0.062736 0.090408
a_neg aa_pos -0.062918 0.089035
a_neg kappa_0 0.074060 1.156168
a_neg sigma_neg -0.062394 0.089695
a_neg sigma_pos -0.062392 0.089686
a_pos l_neg -0.310682 0.167886
a_pos l_sep -0.310681 0.167887
a_pos l_pos -0.310605 0.167837
a_pos Rp_neg -0.309679 0.172304
a_pos Rp_pos -0.309924 0.167317
a_pos epsilon_f_neg -0.310680 0.167889
a_pos epsilon_f_pos -0.310681 0.167885
a_pos epsilon_neg -0.311590 0.170080
a_pos epsilon_sep -0.310680 0.167889
a_pos epsilon_pos -0.307363 0.180941
a_pos Cdl_neg -0.311027 0.166535
a_pos Cdl_pos -0.310672 0.167953
a_pos cs_max_neg -0.310680 0.167889
a_pos cs_max_pos -0.310680 0.167889
