Parameter S1 S1_conf ST ST_conf
a_neg 0.097331 0.135223 0.262044 0.637503
a_pos -0.001001 0.021785 0.405594 0.258947
l_neg 0.000088 0.000196 0.000020 0.000047
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000010 0.000020 0.000000 0.000000
Rp_neg 0.000099 0.000217 0.000011 0.000030
Rp_pos -0.000334 0.001633 0.000101 0.000273
epsilon_f_neg -0.000001 0.000004 0.000000 0.000000
epsilon_f_pos -0.000002 0.000006 0.000000 0.000000
epsilon_neg 0.057403 0.160249 0.337375 0.230175
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.008301 0.025358 16.842676 12.048344
Cdl_neg -0.003553 0.003076 0.041977 0.030354
Cdl_pos 0.018375 0.041021 0.011365 0.015789
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000016 0.000026 0.000000 0.000000
D -0.000010 0.000015 0.000000 0.000000
Ds_neg -0.000010 0.000251 0.000035 0.000039
Ds_pos 0.000444 0.000667 0.000008 0.000021
d2Udcp2_pos_sgn -0.000008 0.000021 0.000000 0.000000
d2Udcp2_neg_sgn -0.000003 0.000008 0.000001 0.000003
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000290 0.000887 0.000031 0.000083
dUdcp_neg_mag 0.000064 0.000107 0.000004 0.000007
d2Udcp2_pos_mag 0.000300 0.000467 0.000000 0.000000
d2Udcp2_neg_mag 0.000046 0.000114 0.000007 0.000017
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg -0.003700 0.008212 0.113223 0.078620
i0_pos 0.013864 0.030361 0.509361 0.299127
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000019 0.000033 0.000000 0.000001
aa_neg 0.001175 0.001318 0.005731 0.004017
aa_pos 0.002028 0.002694 0.049579 0.035240
kappa_0 0.470010 1.307803 67.588078 179.999409
sigma_neg 0.000009 0.000012 0.000000 0.000000
sigma_pos 0.000009 0.000025 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.095436 0.135446
a_neg l_neg -0.080131 0.131414
a_neg l_sep -0.080133 0.131415
a_neg l_pos -0.080146 0.131422
a_neg Rp_neg -0.080118 0.131410
a_neg Rp_pos -0.081595 0.131566
a_neg epsilon_f_neg -0.080135 0.131415
a_neg epsilon_f_pos -0.080137 0.131414
a_neg epsilon_neg -0.041677 0.181751
a_neg epsilon_sep -0.080133 0.131415
a_neg epsilon_pos -0.102035 0.130959
a_neg Cdl_neg -0.079195 0.131445
a_neg Cdl_pos -0.097094 0.143370
a_neg cs_max_neg -0.080133 0.131415
a_neg cs_max_pos -0.080133 0.131415
a_neg c0 -0.080149 0.131439
a_neg D -0.080127 0.131401
a_neg Ds_neg -0.080128 0.131412
a_neg Ds_pos -0.080126 0.131942
a_neg d2Udcp2_pos_sgn -0.080134 0.131415
a_neg d2Udcp2_neg_sgn -0.080133 0.131415
a_neg d3Udcp3_pos_sgn -0.080133 0.131415
a_neg d3Udcp3_neg_sgn -0.080133 0.131415
a_neg dUdcp_pos_mag -0.079431 0.131525
a_neg dUdcp_neg_mag -0.080109 0.131407
a_neg d2Udcp2_pos_mag -0.080428 0.131847
a_neg d2Udcp2_neg_mag -0.080133 0.131415
a_neg d3Udcp3_pos_mag -0.080133 0.131415
a_neg d3Udcp3_neg_mag -0.080133 0.131415
a_neg i0_neg -0.084843 0.133100
a_neg i0_pos -0.073021 0.131564
a_neg SOC_neg -0.080133 0.131415
a_neg SOC_pos -0.080133 0.131415
a_neg tP -0.080155 0.131446
a_neg aa_neg -0.079938 0.131333
a_neg aa_pos -0.081979 0.131887
a_neg kappa_0 0.896893 2.626375
a_neg sigma_neg -0.080128 0.131414
a_neg sigma_pos -0.080119 0.131419
a_pos l_neg 0.145100 0.384041
a_pos l_sep 0.145130 0.384060
a_pos l_pos 0.145123 0.384022
a_pos Rp_neg 0.145186 0.384112
a_pos Rp_pos 0.134508 0.355461
a_pos epsilon_f_neg 0.145129 0.384060
a_pos epsilon_f_pos 0.145091 0.383957
a_pos epsilon_neg 0.147327 0.377728
a_pos epsilon_sep 0.145130 0.384060
a_pos epsilon_pos 0.094778 0.074842
a_pos Cdl_neg 0.142279 0.378448
a_pos Cdl_pos 0.148359 0.395622
a_pos cs_max_neg 0.145130 0.384060
a_pos cs_max_pos 0.145130 0.384060
a_pos c0 0.145117 0.384030
a_pos D 0.145102 0.383988
a_pos Ds_neg 0.145106 0.383961
a_pos Ds_pos 0.148051 0.391915
a_pos d2Udcp2_pos_sgn 0.145137 0.384066
a_pos d2Udcp2_neg_sgn 0.145129 0.384060
a_pos d3Udcp3_pos_sgn 0.145130 0.384060
a_pos d3Udcp3_neg_sgn 0.145130 0.384060
a_pos dUdcp_pos_mag 0.151014 0.399887
a_pos dUdcp_neg_mag 0.145058 0.384014
a_pos d2Udcp2_pos_mag 0.145135 0.384076
a_pos d2Udcp2_neg_mag 0.145121 0.384053
a_pos d3Udcp3_pos_mag 0.145130 0.384060
a_pos d3Udcp3_neg_mag 0.145130 0.384060
a_pos i0_neg 0.161417 0.396501
a_pos i0_pos 0.143143 0.436213
a_pos SOC_neg 0.145130 0.384060
a_pos SOC_pos 0.145130 0.384060
a_pos tP 0.145130 0.384061
a_pos aa_neg 0.146080 0.388229
a_pos aa_pos 0.146201 0.375846
a_pos kappa_0 8.795561 23.700675
a_pos sigma_neg 0.145123 0.384059
a_pos sigma_pos 0.145268 0.384444
