Parameter S1 S1_conf ST ST_conf
a_neg 0.038845 0.165724 0.106998 0.275970
a_pos 0.017334 0.176604 0.912397 0.848008
l_neg -0.000152 0.000637 0.000010 0.000042
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000025 0.000079 0.000001 0.000002
Rp_neg -0.000012 0.000083 0.000001 0.000003
Rp_pos -0.000242 0.000903 0.000015 0.000059
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000003 0.000011 0.000000 0.000000
epsilon_neg 0.014725 0.068382 0.182789 0.441867
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.079319 0.079907 30.557852 15.616559
Cdl_neg -0.008705 0.021849 0.107499 0.234547
Cdl_pos 0.003475 0.027612 0.211518 0.477582
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000001 0.000005 0.000000 0.000000
D 0.000001 0.000002 0.000000 0.000000
Ds_neg -0.000017 0.000095 0.000002 0.000007
Ds_pos -0.000003 0.000039 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000001 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000050 0.000190 0.000001 0.000003
dUdcp_neg_mag -0.000010 0.000068 0.000001 0.000002
d2Udcp2_pos_mag -0.000010 0.000047 0.000000 0.000000
d2Udcp2_neg_mag 0.000002 0.000009 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.001105 0.009641 0.025333 0.055954
i0_pos -0.009473 0.005675 0.590690 0.283095
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000000 0.000002 0.000000 0.000000
aa_neg 0.001128 0.004785 0.002448 0.006409
aa_pos -0.002487 0.012071 0.181756 0.087890
kappa_0 0.575001 2.268180 101.109425 384.317191
sigma_neg 0.000005 0.000019 0.000000 0.000000
sigma_pos 0.000009 0.000045 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.045659 0.265735
a_neg l_neg 0.005505 0.154983
a_neg l_sep 0.005535 0.154976
a_neg l_pos 0.005518 0.154997
a_neg Rp_neg 0.005537 0.154972
a_neg Rp_pos 0.005063 0.154555
a_neg epsilon_f_neg 0.005536 0.154974
a_neg epsilon_f_pos 0.005529 0.154971
a_neg epsilon_neg 0.213415 0.874944
a_neg epsilon_sep 0.005535 0.154976
a_neg epsilon_pos -0.012451 0.161888
a_neg Cdl_neg 0.004970 0.142077
a_neg Cdl_pos -0.010661 0.160966
a_neg cs_max_neg 0.005535 0.154976
a_neg cs_max_pos 0.005535 0.154976
a_neg c0 0.005533 0.154972
a_neg D 0.005535 0.154977
a_neg Ds_neg 0.005534 0.154978
a_neg Ds_pos 0.005553 0.154956
a_neg d2Udcp2_pos_sgn 0.005535 0.154976
a_neg d2Udcp2_neg_sgn 0.005535 0.154976
a_neg d3Udcp3_pos_sgn 0.005535 0.154976
a_neg d3Udcp3_neg_sgn 0.005535 0.154976
a_neg dUdcp_pos_mag 0.005636 0.155064
a_neg dUdcp_neg_mag 0.005518 0.154946
a_neg d2Udcp2_pos_mag 0.005545 0.154943
a_neg d2Udcp2_neg_mag 0.005535 0.154976
a_neg d3Udcp3_pos_mag 0.005535 0.154976
a_neg d3Udcp3_neg_mag 0.005535 0.154976
a_neg i0_neg 0.000663 0.147155
a_neg i0_pos 0.004341 0.153856
a_neg SOC_neg 0.005535 0.154976
a_neg SOC_pos 0.005535 0.154976
a_neg tP 0.005534 0.154976
a_neg aa_neg 0.006353 0.154498
a_neg aa_pos 0.010780 0.161098
a_neg kappa_0 1.225443 4.742125
a_neg sigma_neg 0.005547 0.154971
a_neg sigma_pos 0.005555 0.154996
a_pos l_neg 0.173825 0.280167
a_pos l_sep 0.173785 0.280181
a_pos l_pos 0.173835 0.280164
a_pos Rp_neg 0.173790 0.280179
a_pos Rp_pos 0.172162 0.276059
a_pos epsilon_f_neg 0.173785 0.280181
a_pos epsilon_f_pos 0.173767 0.280135
a_pos epsilon_neg 0.171956 0.283894
a_pos epsilon_sep 0.173785 0.280181
a_pos epsilon_pos 0.883691 0.577972
a_pos Cdl_neg 0.176941 0.279077
a_pos Cdl_pos 0.180777 0.223636
a_pos cs_max_neg 0.173785 0.280181
a_pos cs_max_pos 0.173785 0.280181
