Parameter S1 S1_conf ST ST_conf
a_neg 0.186841 0.549401 3.968699 11.692405
a_pos 0.392360 1.684464 75.804958 296.918491
l_neg 0.000002 0.000013 0.000000 0.000001
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos -0.000732 0.002444 0.000164 0.000602
Rp_neg -0.000000 0.000001 0.000000 0.000000
Rp_pos 0.000002 0.000009 0.000000 0.000000
epsilon_f_neg -0.000003 0.000006 0.000000 0.000000
epsilon_f_pos -0.000004 0.000007 0.000000 0.000000
epsilon_neg 0.013913 0.031949 3.024211 8.483188
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.281361 0.323894 3.216864 4.042519
Cdl_neg 0.032027 0.139420 1.246376 2.711643
Cdl_pos 0.022373 0.053488 2.669999 9.373589
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000001 0.000003 0.000000 0.000000
D -0.000000 0.000001 0.000000 0.000000
Ds_neg -0.000001 0.000001 0.000000 0.000000
Ds_pos -0.000001 0.000004 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000006 0.000024 0.000000 0.000000
dUdcp_neg_mag -0.000005 0.000011 0.000000 0.000000
d2Udcp2_pos_mag 0.000001 0.000004 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.010293 0.012579 0.065544 0.047608
i0_pos 0.210709 0.288866 4.424715 6.084741
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000002 0.000006 0.000000 0.000000
aa_neg 0.004369 0.007572 0.002600 0.002323
aa_pos -0.013771 0.019492 0.070193 0.055456
kappa_0 0.026588 0.143556 11.102352 23.958512
sigma_neg 0.000026 0.000058 0.000000 0.000000
sigma_pos -0.000015 0.000015 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.521166 1.814665
a_neg l_neg -0.155117 0.538542
a_neg l_sep -0.155117 0.538541
a_neg l_pos -0.154602 0.537485
a_neg Rp_neg -0.155105 0.538532
a_neg Rp_pos -0.155121 0.538550
a_neg epsilon_f_neg -0.155113 0.538527
a_neg epsilon_f_pos -0.155118 0.538536
a_neg epsilon_neg 0.243736 1.024729
a_neg epsilon_sep -0.155117 0.538541
a_neg epsilon_pos -0.147625 0.525087
a_neg Cdl_neg 0.125222 0.857017
a_neg Cdl_pos -0.154750 0.536499
a_neg cs_max_neg -0.155117 0.538541
a_neg cs_max_pos -0.155117 0.538541
a_neg c0 -0.155117 0.538540
a_neg D -0.155117 0.538540
a_neg Ds_neg -0.155109 0.538534
a_neg Ds_pos -0.155117 0.538542
a_neg d2Udcp2_pos_sgn -0.155117 0.538541
a_neg d2Udcp2_neg_sgn -0.155117 0.538541
a_neg d3Udcp3_pos_sgn -0.155117 0.538541
a_neg d3Udcp3_neg_sgn -0.155117 0.538541
a_neg dUdcp_pos_mag -0.155117 0.538535
a_neg dUdcp_neg_mag -0.155105 0.538528
a_neg d2Udcp2_pos_mag -0.155118 0.538544
a_neg d2Udcp2_neg_mag -0.155117 0.538541
a_neg d3Udcp3_pos_mag -0.155117 0.538541
a_neg d3Udcp3_neg_mag -0.155117 0.538541
a_neg i0_neg -0.143669 0.540883
a_neg i0_pos -0.156351 0.536748
a_neg SOC_neg -0.155117 0.538541
a_neg SOC_pos -0.155117 0.538541
a_neg tP -0.155117 0.538539
a_neg aa_neg -0.152701 0.531936
a_neg aa_pos -0.154001 0.536545
a_neg kappa_0 -0.040080 0.454540
a_neg sigma_neg -0.155104 0.538477
a_neg sigma_pos -0.155138 0.538623
a_pos l_neg -0.067751 1.721504
a_pos l_sep -0.067787 1.721498
a_pos l_pos -0.069130 1.720941
a_pos Rp_neg -0.067786 1.721498
a_pos Rp_pos -0.067789 1.721501
a_pos epsilon_f_neg -0.067787 1.721498
a_pos epsilon_f_pos -0.067789 1.721498
a_pos epsilon_neg -0.070871 1.725167
a_pos epsilon_sep -0.067787 1.721498
a_pos epsilon_pos 1.731375 3.386286
a_pos Cdl_neg -0.056257 1.697611
a_pos Cdl_pos 0.068749 1.797740
a_pos cs_max_neg -0.067787 1.721498
a_pos cs_max_pos -0.067787 1.721498
a_pos c0 -0.067789 1.721498
a_pos D -0.067786 1.721498
a_pos Ds_neg -0.067786 1.721498
a_pos Ds_pos -0.067786 1.721496
a_pos d2Udcp2_pos_sgn -0.067787 1.721498
a_pos d2Udcp2_neg_sgn -0.067787 1.721498
a_pos d3Udcp3_pos_sgn -0.067787 1.721498
a_pos d3Udcp3_neg_sgn -0.067787 1.721498
a_pos dUdcp_pos_mag -0.067788 1.721503
a_pos dUdcp_neg_mag -0.067787 1.721498
a_pos d2Udcp2_pos_mag -0.067787 1.721498
a_pos d2Udcp2_neg_mag -0.067787 1.721498
a_pos d3Udcp3_pos_mag -0.067787 1.721498
a_pos d3Udcp3_neg_mag -0.067787 1.721498
a_pos i0_neg -0.071855 1.722723
a_pos i0_pos 2.200277 3.908140
