Parameter S1 S1_conf ST ST_conf
a_neg 0.995606 2.269976 308.673721 708.981503
a_pos 0.210934 0.521234 49.004910 118.441014
l_neg -0.000084 0.000155 0.000028 0.000045
l_sep -0.000000 0.000000 0.000030 0.000060
l_pos 0.004445 0.008669 0.008264 0.013549
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.000001 0.000003 0.000000 0.000000
epsilon_f_pos -0.000003 0.000004 0.000000 0.000000
epsilon_neg 0.017380 0.030217 37.764509 56.498880
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.070291 0.122028 0.696396 0.376083
Cdl_neg 0.021042 0.058218 2.801940 4.688617
Cdl_pos 0.159883 0.285766 1.583644 2.233644
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000000 0.000001 0.000007 0.000015
D -0.000000 0.000001 0.000001 0.000002
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000001 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000001 0.000002 0.000000 0.000000
dUdcp_neg_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.004491 0.006475 0.069835 0.061244
i0_pos 0.046861 0.097656 1.085552 1.872480
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000003 0.000005 0.000023 0.000047
aa_neg 0.001219 0.003315 0.001329 0.001519
aa_pos -0.001472 0.005049 0.352067 0.207218
kappa_0 0.013977 0.049206 4.766943 8.959611
sigma_neg 0.000011 0.000026 0.000000 0.000001
sigma_pos -0.000002 0.000009 0.000001 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -1.166512 2.481456
a_neg l_neg -0.986694 2.280608
a_neg l_sep -0.986692 2.280604
a_neg l_pos -0.987761 2.281587
a_neg Rp_neg -0.986691 2.280604
a_neg Rp_pos -0.986692 2.280604
a_neg epsilon_f_neg -0.986691 2.280603
a_neg epsilon_f_pos -0.986698 2.280608
a_neg epsilon_neg -0.820101 2.231316
a_neg epsilon_sep -0.986692 2.280604
a_neg epsilon_pos -0.981469 2.278032
a_neg Cdl_neg -0.715095 2.176960
a_neg Cdl_pos -0.993701 2.286278
a_neg cs_max_neg -0.986692 2.280604
a_neg cs_max_pos -0.986692 2.280604
a_neg c0 -0.986692 2.280604
a_neg D -0.986692 2.280604
a_neg Ds_neg -0.986691 2.280604
a_neg Ds_pos -0.986692 2.280604
a_neg d2Udcp2_pos_sgn -0.986692 2.280604
a_neg d2Udcp2_neg_sgn -0.986692 2.280604
a_neg d3Udcp3_pos_sgn -0.986692 2.280604
a_neg d3Udcp3_neg_sgn -0.986692 2.280604
a_neg dUdcp_pos_mag -0.986692 2.280604
a_neg dUdcp_neg_mag -0.986691 2.280604
a_neg d2Udcp2_pos_mag -0.986692 2.280604
a_neg d2Udcp2_neg_mag -0.986692 2.280604
a_neg d3Udcp3_pos_mag -0.986692 2.280604
a_neg d3Udcp3_neg_mag -0.986692 2.280604
a_neg i0_neg -0.979797 2.279353
a_neg i0_pos -0.987494 2.280414
a_neg SOC_neg -0.986692 2.280604
a_neg SOC_pos -0.986692 2.280604
a_neg tP -0.986693 2.280605
a_neg aa_neg -0.985075 2.279285
a_neg aa_pos -0.986383 2.280305
a_neg kappa_0 -0.941060 2.254621
a_neg sigma_neg -0.986687 2.280602
a_neg sigma_pos -0.986663 2.280588
a_pos l_neg -0.120667 0.491778
a_pos l_sep -0.119938 0.491825
a_pos l_pos -0.056846 0.510838
a_pos Rp_neg -0.119934 0.491822
a_pos Rp_pos -0.119934 0.491822
a_pos epsilon_f_neg -0.119934 0.491822
a_pos epsilon_f_pos -0.119934 0.491822
a_pos epsilon_neg -0.121087 0.492463
a_pos epsilon_sep -0.119934 0.491822
a_pos epsilon_pos 0.235267 0.894627
a_pos Cdl_neg -0.109302 0.484833
a_pos Cdl_pos 0.055749 0.512567
a_pos cs_max_neg -0.119934 0.491822
a_pos cs_max_pos -0.119934 0.491822
