Parameter S1 S1_conf ST ST_conf
a_neg 0.076626 0.086875 0.157402 1.169367
a_pos 0.109210 0.058090 0.029539 0.122520
l_neg 0.000007 0.000038 0.000000 0.000002
l_sep 0.000001 0.000004 0.000000 0.000000
l_pos -0.000030 0.000132 0.000000 0.000001
Rp_neg 0.000174 0.001133 0.000115 0.000790
Rp_pos -0.000781 0.001367 0.000007 0.000042
epsilon_f_neg -0.000001 0.000004 0.000000 0.000000
epsilon_f_pos -0.000001 0.000004 0.000000 0.000000
epsilon_neg 0.025898 0.146651 0.126210 0.235020
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.007463 0.039604 0.650321 3.787119
Cdl_neg -0.000086 0.000378 0.000090 0.000176
Cdl_pos 0.002633 0.015628 0.000671 0.003778
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000124 0.000545 0.000001 0.000004
D 0.000099 0.000436 0.000000 0.000000
Ds_neg 0.000141 0.001639 0.000509 0.002779
Ds_pos -0.001615 0.006707 0.000070 0.000357
d2Udcp2_pos_sgn -0.000450 0.000238 0.000000 0.000001
d2Udcp2_neg_sgn -0.000029 0.000194 0.000163 0.001081
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.003149 0.012682 0.000206 0.001030
dUdcp_neg_mag 0.000089 0.000440 0.000025 0.000187
d2Udcp2_pos_mag -0.001399 0.006751 0.000022 0.000087
d2Udcp2_neg_mag 0.000208 0.001834 0.000719 0.004939
d3Udcp3_pos_mag 0.000003 0.000002 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg -0.001085 0.012094 0.056088 0.113445
i0_pos 0.269265 0.169941 0.077509 0.122249
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000161 0.000700 0.000001 0.000008
aa_neg 0.001315 0.005620 0.012816 0.037558
aa_pos 0.001549 0.009579 0.207028 1.211423
kappa_0 0.093402 0.688033 12.622699 80.756826
sigma_neg 0.000003 0.000015 0.000000 0.000000
sigma_pos -0.000001 0.000022 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.087873 0.123118
a_neg l_neg -0.080309 0.104698
a_neg l_sep -0.080310 0.104702
a_neg l_pos -0.080315 0.104692
a_neg Rp_neg -0.080288 0.104663
a_neg Rp_pos -0.080168 0.103534
a_neg epsilon_f_neg -0.080310 0.104699
a_neg epsilon_f_pos -0.080310 0.104698
a_neg epsilon_neg -0.058296 0.159125
a_neg epsilon_sep -0.080309 0.104698
a_neg epsilon_pos -0.077043 0.089495
a_neg Cdl_neg -0.080373 0.104798
a_neg Cdl_pos -0.082660 0.110797
a_neg cs_max_neg -0.080309 0.104698
a_neg cs_max_pos -0.080309 0.104698
a_neg c0 -0.080186 0.104203
a_neg D -0.080413 0.105098
a_neg Ds_neg -0.080312 0.104702
a_neg Ds_pos -0.078333 0.098524
a_neg d2Udcp2_pos_sgn -0.080307 0.104698
a_neg d2Udcp2_neg_sgn -0.080310 0.104699
a_neg d3Udcp3_pos_sgn -0.080309 0.104698
a_neg d3Udcp3_neg_sgn -0.080309 0.104698
a_neg dUdcp_pos_mag -0.082287 0.115709
a_neg dUdcp_neg_mag -0.080269 0.104626
a_neg d2Udcp2_pos_mag -0.078813 0.098645
a_neg d2Udcp2_neg_mag -0.080311 0.104701
a_neg d3Udcp3_pos_mag -0.080309 0.104698
a_neg d3Udcp3_neg_mag -0.080309 0.104698
a_neg i0_neg -0.081409 0.106487
a_neg i0_pos -0.071702 0.090788
a_neg SOC_neg -0.080309 0.104698
a_neg SOC_pos -0.080309 0.104698
a_neg tP -0.080151 0.104062
a_neg aa_neg -0.080746 0.105238
a_neg aa_pos -0.083570 0.109041
a_neg kappa_0 0.155189 1.485041
a_neg sigma_neg -0.080307 0.104697
a_neg sigma_pos -0.080304 0.104693
a_pos l_neg -0.103486 0.114974
a_pos l_sep -0.103482 0.114982
a_pos l_pos -0.103450 0.114954
a_pos Rp_neg -0.102558 0.118372
a_pos Rp_pos -0.103590 0.111987
a_pos epsilon_f_neg -0.103482 0.114984
a_pos epsilon_f_pos -0.103485 0.114966
a_pos epsilon_neg -0.104108 0.114799
a_pos epsilon_sep -0.103482 0.114982
a_pos epsilon_pos -0.102105 0.113829
a_pos Cdl_neg -0.104474 0.111548
a_pos Cdl_pos -0.103291 0.116311
a_pos cs_max_neg -0.103482 0.114982
a_pos cs_max_pos -0.103482 0.114982
a_pos c0 -0.103497 0.114921
a_pos D -0.103502 0.114886
a_pos Ds_neg -0.103767 0.113709
a_pos Ds_pos -0.101802 0.123126
a_pos d2Udcp2_pos_sgn -0.103033 0.114825
a_pos d2Udcp2_neg_sgn -0.103483 0.114979
a_pos d3Udcp3_pos_sgn -0.103482 0.114982
a_pos d3Udcp3_neg_sgn -0.103482 0.114982
a_pos dUdcp_pos_mag -0.101035 0.129015
a_pos dUdcp_neg_mag -0.103888 0.113752
a_pos d2Udcp2_pos_mag -0.103578 0.115040
a_pos d2Udcp2_neg_mag -0.103537 0.114731
a_pos d3Udcp3_pos_mag -0.103485 0.114983
a_pos d3Udcp3_neg_mag -0.103482 0.114982
a_pos i0_neg -0.098345 0.126923
a_pos i0_pos -0.319856 0.578839
a_pos SOC_neg -0.103482 0.114982
a_pos SOC_pos -0.103482 0.114982
a_pos tP -0.103486 0.114976
a_pos aa_neg -0.103509 0.115893
a_pos aa_pos -0.104330 0.104377
a_pos kappa_0 0.610041 4.669149
a_pos sigma_neg -0.103481 0.114987
a_pos sigma_pos -0.103471 0.115043
l_neg l_sep 0.000157 0.000349
l_neg l_pos 0.000157 0.000349
l_neg Rp_neg 0.000157 0.000349
l_neg Rp_pos 0.000157 0.000349
l_neg epsilon_f_neg 0.000157 0.000349
l_neg epsilon_f_pos 0.000157 0.000349
l_neg epsilon_neg 0.000009 0.000069
l_neg epsilon_sep 0.000157 0.000349
l_neg epsilon_pos 0.000161 0.000344
l_neg Cdl_neg 0.000153 0.000341
l_neg Cdl_pos 0.000156 0.000350
l_neg cs_max_neg 0.000157 0.000349
l_neg cs_max_pos 0.000157 0.000349
l_neg c0 0.000157 0.000349
l_neg D 0.000157 0.000349
l_neg Ds_neg 0.000155 0.000344
l_neg Ds_pos 0.000157 0.000349
l_neg d2Udcp2_pos_sgn 0.000157 0.000349
l_neg d2Udcp2_neg_sgn 0.000157 0.000349
l_neg d3Udcp3_pos_sgn 0.000157 0.000349
l_neg d3Udcp3_neg_sgn 0.000157 0.000349
l_neg dUdcp_pos_mag 0.000157 0.000349
l_neg dUdcp_neg_mag 0.000158 0.000350
l_neg d2Udcp2_pos_mag 0.000157 0.000349
l_neg d2Udcp2_neg_mag 0.000157 0.000349
l_neg d3Udcp3_pos_mag 0.000157 0.000349
l_neg d3Udcp3_neg_mag 0.000157 0.000349
l_neg i0_neg 0.000067 0.000171
l_neg i0_pos 0.000237 0.000504
l_neg SOC_neg 0.000157 0.000349
l_neg SOC_pos 0.000157 0.000349
l_neg tP 0.000157 0.000349
l_neg aa_neg 0.000198 0.000429
l_neg aa_pos 0.000158 0.000349
l_neg kappa_0 -0.000154 0.000989
l_neg sigma_neg 0.000157 0.000349
l_neg sigma_pos 0.000157 0.000349
l_sep l_pos -0.000001 0.000004
l_sep Rp_neg -0.000001 0.000004
l_sep Rp_pos -0.000001 0.000004
l_sep epsilon_f_neg -0.000001 0.000004
l_sep epsilon_f_pos -0.000001 0.000004
l_sep epsilon_neg -0.000001 0.000004
l_sep epsilon_sep -0.000001 0.000004
l_sep epsilon_pos -0.000001 0.000004
l_sep Cdl_neg -0.000001 0.000004
l_sep Cdl_pos -0.000001 0.000004
l_sep cs_max_neg -0.000001 0.000004
l_sep cs_max_pos -0.000001 0.000004
l_sep c0 -0.000001 0.000004
l_sep D -0.000001 0.000004
l_sep Ds_neg -0.000001 0.000004
l_sep Ds_pos -0.000001 0.000004
l_sep d2Udcp2_pos_sgn -0.000001 0.000004
l_sep d2Udcp2_neg_sgn -0.000001 0.000004
l_sep d3Udcp3_pos_sgn -0.000001 0.000004
l_sep d3Udcp3_neg_sgn -0.000001 0.000004
l_sep dUdcp_pos_mag -0.000001 0.000004
l_sep dUdcp_neg_mag -0.000001 0.000004
l_sep d2Udcp2_pos_mag -0.000001 0.000004
l_sep d2Udcp2_neg_mag -0.000001 0.000004
l_sep d3Udcp3_pos_mag -0.000001 0.000004
l_sep d3Udcp3_neg_mag -0.000001 0.000004
l_sep i0_neg -0.000001 0.000004
l_sep i0_pos -0.000001 0.000004
l_sep SOC_neg -0.000001 0.000004
l_sep SOC_pos -0.000001 0.000004
l_sep tP -0.000001 0.000004
l_sep aa_neg -0.000001 0.000004
l_sep aa_pos -0.000001 0.000004
l_sep kappa_0 -0.000003 0.000013
l_sep sigma_neg -0.000001 0.000004
l_sep sigma_pos -0.000001 0.000004
l_pos Rp_neg 0.000987 0.000582
l_pos Rp_pos 0.000897 0.000534
l_pos epsilon_f_neg 0.000987 0.000580
l_pos epsilon_f_pos 0.000987 0.000580
l_pos epsilon_neg 0.001681 0.000936
l_pos epsilon_sep 0.000987 0.000580
l_pos epsilon_pos 0.000911 0.000611
l_pos Cdl_neg 0.000994 0.000583
l_pos Cdl_pos 0.000987 0.000580
l_pos cs_max_neg 0.000987 0.000580
l_pos cs_max_pos 0.000987 0.000580
l_pos c0 0.000988 0.000580
l_pos D 0.000988 0.000581
l_pos Ds_neg 0.000980 0.000579
l_pos Ds_pos 0.000933 0.000552
l_pos d2Udcp2_pos_sgn 0.000886 0.000528
l_pos d2Udcp2_neg_sgn 0.000987 0.000580
l_pos d3Udcp3_pos_sgn 0.000987 0.000580
l_pos d3Udcp3_neg_sgn 0.000987 0.000580
l_pos dUdcp_pos_mag 0.000986 0.000580
l_pos dUdcp_neg_mag 0.000994 0.000585
l_pos d2Udcp2_pos_mag 0.001010 0.000592
l_pos d2Udcp2_neg_mag 0.000987 0.000580
l_pos d3Udcp3_pos_mag 0.000988 0.000581
l_pos d3Udcp3_neg_mag 0.000987 0.000580
l_pos i0_neg 0.000980 0.000572
