Parameter S1 S1_conf ST ST_conf
a_neg 0.054477 0.170138 0.093357 0.528198
a_pos -0.008656 0.042060 0.632307 0.300123
l_neg 0.000106 0.000720 0.000032 0.000223
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos 0.000001 0.000009 0.000000 0.000000
Rp_neg 0.000031 0.000151 0.000001 0.000004
Rp_pos -0.000564 0.003117 0.000100 0.000547
epsilon_f_neg -0.000000 0.000003 0.000000 0.000000
epsilon_f_pos -0.000002 0.000012 0.000000 0.000000
epsilon_neg 0.016343 0.138118 0.193950 0.296728
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.004599 0.044770 26.673088 15.102923
Cdl_neg -0.003831 0.005572 0.093228 0.135460
Cdl_pos 0.008181 0.064695 0.005273 0.025585
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000000 0.000006 0.000000 0.000000
D -0.000000 0.000002 0.000000 0.000000
Ds_neg -0.000010 0.000125 0.000005 0.000007
Ds_pos 0.000053 0.000251 0.000001 0.000004
d2Udcp2_pos_sgn -0.000000 0.000001 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000004 0.000000 0.000001
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000221 0.001241 0.000016 0.000086
dUdcp_neg_mag 0.000026 0.000127 0.000001 0.000004
d2Udcp2_pos_mag 0.000008 0.000026 0.000000 0.000000
d2Udcp2_neg_mag 0.000011 0.000078 0.000000 0.000003
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg -0.001854 0.018404 0.034692 0.055915
i0_pos 0.001007 0.008422 0.736967 0.385900
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000001 0.000005 0.000000 0.000000
aa_neg 0.000021 0.001410 0.000178 0.000721
aa_pos 0.001226 0.008840 0.035691 0.018350
kappa_0 0.499462 2.771991 79.570520 430.820164
sigma_neg 0.000004 0.000014 0.000000 0.000000
sigma_pos 0.000010 0.000058 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.051606 0.166378
a_neg l_neg -0.036208 0.175371
a_neg l_sep -0.036217 0.175369
a_neg l_pos -0.036220 0.175366
a_neg Rp_neg -0.036212 0.175371
a_neg Rp_pos -0.037372 0.173322
a_neg epsilon_f_neg -0.036217 0.175369
a_neg epsilon_f_pos -0.036222 0.175360
a_neg epsilon_neg -0.031885 0.221588
a_neg epsilon_sep -0.036217 0.175369
a_neg epsilon_pos -0.054387 0.168671
a_neg Cdl_neg -0.033746 0.176585
a_neg Cdl_pos -0.049559 0.188439
a_neg cs_max_neg -0.036217 0.175369
a_neg cs_max_pos -0.036217 0.175369
a_neg c0 -0.036219 0.175369
a_neg D -0.036217 0.175367
a_neg Ds_neg -0.036217 0.175369
a_neg Ds_pos -0.036139 0.175575
a_neg d2Udcp2_pos_sgn -0.036217 0.175369
a_neg d2Udcp2_neg_sgn -0.036217 0.175369
a_neg d3Udcp3_pos_sgn -0.036217 0.175369
a_neg d3Udcp3_neg_sgn -0.036217 0.175369
a_neg dUdcp_pos_mag -0.035754 0.176230
a_neg dUdcp_neg_mag -0.036206 0.175370
a_neg d2Udcp2_pos_mag -0.036225 0.175391
a_neg d2Udcp2_neg_mag -0.036216 0.175369
a_neg d3Udcp3_pos_mag -0.036217 0.175369
a_neg d3Udcp3_neg_mag -0.036217 0.175369
a_neg i0_neg -0.038697 0.177726
a_neg i0_pos -0.034129 0.178902
a_neg SOC_neg -0.036217 0.175369
a_neg SOC_pos -0.036217 0.175369
a_neg tP -0.036219 0.175373
a_neg aa_neg -0.036046 0.175289
a_neg aa_pos -0.033150 0.181826
a_neg kappa_0 0.989108 5.655198
a_neg sigma_neg -0.036217 0.175370
a_neg sigma_pos -0.036201 0.175403
a_pos l_neg 0.143256 0.701441
a_pos l_sep 0.143286 0.701507
a_pos l_pos 0.143285 0.701439
a_pos Rp_neg 0.143244 0.701425
a_pos Rp_pos 0.134696 0.654491
a_pos epsilon_f_neg 0.143286 0.701506
a_pos epsilon_f_pos 0.143253 0.701323
a_pos epsilon_neg 0.145180 0.696200
a_pos epsilon_sep 0.143286 0.701507
a_pos epsilon_pos 0.131155 0.088359
a_pos Cdl_neg 0.143969 0.696177
a_pos Cdl_pos 0.115706 0.548402
a_pos cs_max_neg 0.143286 0.701507
a_pos cs_max_pos 0.143286 0.701507
