Parameter S1 S1_conf ST ST_conf
a_neg 0.052013 0.134755 0.308953 0.240747
a_pos 0.212152 0.644278 6.966558 16.738654
l_neg 0.000032 0.000068 0.000000 0.000001
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.000102 0.000283 0.000005 0.000011
Rp_neg -0.000012 0.000027 0.000000 0.000001
Rp_pos -0.000036 0.000108 0.000001 0.000002
epsilon_f_neg -0.000002 0.000005 0.000000 0.000000
epsilon_f_pos -0.000005 0.000010 0.000000 0.000000
epsilon_neg 0.029559 0.046675 0.372926 0.298754
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.279445 0.232005 17.381688 11.809184
Cdl_neg -0.014540 0.020573 0.327185 0.239308
Cdl_pos 0.009372 0.016845 1.351545 3.492377
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000000 0.000003 0.000000 0.000000
D -0.000000 0.000001 0.000000 0.000000
Ds_neg -0.000013 0.000030 0.000000 0.000001
Ds_pos -0.000001 0.000006 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000001 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000004 0.000020 0.000000 0.000000
dUdcp_neg_mag -0.000051 0.000085 0.000001 0.000002
d2Udcp2_pos_mag 0.000001 0.000004 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000001 0.000000 0.000000
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000813 0.013181 0.040638 0.058008
i0_pos 0.004939 0.007250 0.028597 0.020244
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000000 0.000004 0.000000 0.000000
aa_neg 0.003537 0.005995 0.002187 0.003118
aa_pos -0.011717 0.011701 0.108013 0.071601
kappa_0 0.304728 0.991273 58.928080 167.241874
sigma_neg 0.000022 0.000049 0.000000 0.000000
sigma_pos -0.000012 0.000024 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.194066 0.647799
a_neg l_neg 0.026176 0.133686
a_neg l_sep 0.026175 0.133677
a_neg l_pos 0.026266 0.133558
a_neg Rp_neg 0.026182 0.133667
a_neg Rp_pos 0.026096 0.133745
a_neg epsilon_f_neg 0.026180 0.133669
a_neg epsilon_f_pos 0.026171 0.133680
a_neg epsilon_neg 0.722946 1.742197
a_neg epsilon_sep 0.026175 0.133677
a_neg epsilon_pos 0.019739 0.142166
a_neg Cdl_neg 0.079315 0.346284
a_neg Cdl_pos 0.017028 0.143771
a_neg cs_max_neg 0.026175 0.133677
a_neg cs_max_pos 0.026175 0.133677
a_neg c0 0.026173 0.133678
a_neg D 0.026176 0.133676
a_neg Ds_neg 0.026172 0.133681
a_neg Ds_pos 0.026179 0.133672
a_neg d2Udcp2_pos_sgn 0.026175 0.133677
a_neg d2Udcp2_neg_sgn 0.026175 0.133677
a_neg d3Udcp3_pos_sgn 0.026175 0.133677
a_neg d3Udcp3_neg_sgn 0.026175 0.133677
a_neg dUdcp_pos_mag 0.026193 0.133658
a_neg dUdcp_neg_mag 0.026147 0.133619
a_neg d2Udcp2_pos_mag 0.026173 0.133680
a_neg d2Udcp2_neg_mag 0.026175 0.133677
a_neg d3Udcp3_pos_mag 0.026175 0.133677
a_neg d3Udcp3_neg_mag 0.026175 0.133677
a_neg i0_neg 0.019582 0.120234
a_neg i0_pos 0.025029 0.134653
a_neg SOC_neg 0.026175 0.133677
a_neg SOC_pos 0.026175 0.133677
a_neg tP 0.026173 0.133679
a_neg aa_neg 0.031208 0.132858
a_neg aa_pos 0.029261 0.131325
a_neg kappa_0 0.704975 2.014477
a_neg sigma_neg 0.026211 0.133649
a_neg sigma_pos 0.026187 0.133674
a_pos l_neg 0.133528 0.714132
a_pos l_sep 0.133525 0.714126
a_pos l_pos 0.133506 0.714118
a_pos Rp_neg 0.133530 0.714122
a_pos Rp_pos 0.133286 0.714266
a_pos epsilon_f_neg 0.133525 0.714126
a_pos epsilon_f_pos 0.133515 0.714130
a_pos epsilon_neg 0.126247 0.721267
a_pos epsilon_sep 0.133525 0.714126
a_pos epsilon_pos 1.962938 1.849391
a_pos Cdl_neg 0.133060 0.708846
a_pos Cdl_pos 0.251961 0.784924
a_pos cs_max_neg 0.133525 0.714126
a_pos cs_max_pos 0.133525 0.714126
a_pos c0 0.133520 0.714128
a_pos D 0.133527 0.714126
a_pos Ds_neg 0.133529 0.714123
a_pos Ds_pos 0.133529 0.714124
a_pos d2Udcp2_pos_sgn 0.133525 0.714126
a_pos d2Udcp2_neg_sgn 0.133525 0.714126
a_pos d3Udcp3_pos_sgn 0.133525 0.714126
a_pos d3Udcp3_neg_sgn 0.133525 0.714126
a_pos dUdcp_pos_mag 0.133567 0.714100
a_pos dUdcp_neg_mag 0.133529 0.714122
a_pos d2Udcp2_pos_mag 0.133525 0.714126
a_pos d2Udcp2_neg_mag 0.133525 0.714126
a_pos d3Udcp3_pos_mag 0.133525 0.714126
a_pos d3Udcp3_neg_mag 0.133525 0.714126
a_pos i0_neg 0.131011 0.714885
a_pos i0_pos 0.194990 0.740130
a_pos SOC_neg 0.133525 0.714126
a_pos SOC_pos 0.133525 0.714126
a_pos tP 0.133526 0.714125
a_pos aa_neg 0.132827 0.714609
a_pos aa_pos -0.005634 0.662004
a_pos kappa_0 2.001994 6.176647
a_pos sigma_neg 0.133525 0.714127
a_pos sigma_pos 0.133521 0.714087
l_neg l_sep 0.000025 0.000126
l_neg l_pos 0.000025 0.000126
l_neg Rp_neg 0.000025 0.000126
l_neg Rp_pos 0.000025 0.000126
l_neg epsilon_f_neg 0.000025 0.000126
l_neg epsilon_f_pos 0.000025 0.000126
l_neg epsilon_neg 0.000002 0.000083
l_neg epsilon_sep 0.000025 0.000126
l_neg epsilon_pos 0.000025 0.000126
l_neg Cdl_neg 0.000015 0.000094
