Parameter S1 S1_conf ST ST_conf
a_neg 0.463033 1.125486 45.088975 111.575785
a_pos 0.280123 1.922443 65.128655 411.891890
l_neg -0.000014 0.000034 0.000009 0.000020
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.000653 0.002662 0.000706 0.001345
Rp_neg 0.000000 0.000001 0.000000 0.000000
Rp_pos 0.000001 0.000003 0.000000 0.000000
epsilon_f_neg -0.000002 0.000005 0.000000 0.000000
epsilon_f_pos -0.000003 0.000007 0.000000 0.000000
epsilon_neg 0.012760 0.027272 14.718063 32.351870
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.147880 0.251190 1.186431 1.376900
Cdl_neg 0.028899 0.096585 1.803443 3.595820
Cdl_pos 0.039542 0.092357 2.135189 5.154596
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000001 0.000004 0.000000 0.000000
D -0.000000 0.000001 0.000000 0.000000
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000002 0.000004 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000006 0.000015 0.000000 0.000000
dUdcp_neg_mag -0.000001 0.000002 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000001 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.008411 0.014107 0.057811 0.055270
i0_pos 0.174843 0.332956 3.706945 7.008032
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000003 0.000007 0.000000 0.000000
aa_neg 0.002706 0.005323 0.001729 0.001814
aa_pos -0.009398 0.018627 0.248479 0.154214
kappa_0 0.010664 0.091943 6.724246 15.665838
sigma_neg 0.000016 0.000038 0.000000 0.000000
sigma_pos -0.000008 0.000014 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.701989 2.148171
a_neg l_neg -0.445261 1.129797
a_neg l_sep -0.445266 1.129800
a_neg l_pos -0.444907 1.129480
a_neg Rp_neg -0.445259 1.129794
a_neg Rp_pos -0.445268 1.129802
a_neg epsilon_f_neg -0.445264 1.129797
a_neg epsilon_f_pos -0.445270 1.129803
a_neg epsilon_neg -0.197497 1.338819
a_neg epsilon_sep -0.445266 1.129800
a_neg epsilon_pos -0.439222 1.125908
a_neg Cdl_neg -0.167369 1.196452
a_neg Cdl_pos -0.447803 1.131846
a_neg cs_max_neg -0.445266 1.129800
a_neg cs_max_pos -0.445266 1.129800
a_neg c0 -0.445265 1.129800
a_neg D -0.445266 1.129800
a_neg Ds_neg -0.445260 1.129795
a_neg Ds_pos -0.445265 1.129800
a_neg d2Udcp2_pos_sgn -0.445266 1.129800
a_neg d2Udcp2_neg_sgn -0.445266 1.129800
a_neg d3Udcp3_pos_sgn -0.445266 1.129800
a_neg d3Udcp3_neg_sgn -0.445266 1.129800
a_neg dUdcp_pos_mag -0.445262 1.129796
a_neg dUdcp_neg_mag -0.445259 1.129794
a_neg d2Udcp2_pos_mag -0.445266 1.129800
a_neg d2Udcp2_neg_mag -0.445266 1.129800
a_neg d3Udcp3_pos_mag -0.445266 1.129800
a_neg d3Udcp3_neg_mag -0.445266 1.129800
a_neg i0_neg -0.437355 1.131869
a_neg i0_pos -0.446417 1.129465
a_neg SOC_neg -0.445266 1.129800
a_neg SOC_pos -0.445266 1.129800
a_neg tP -0.445266 1.129800
a_neg aa_neg -0.443693 1.129143
a_neg aa_pos -0.444604 1.129250
a_neg kappa_0 -0.378808 1.091848
a_neg sigma_neg -0.445259 1.129792
a_neg sigma_pos -0.445261 1.129797
a_pos l_neg -0.054266 1.949619
a_pos l_sep -0.054252 1.949641
a_pos l_pos -0.056699 1.948749
a_pos Rp_neg -0.054252 1.949641
a_pos Rp_pos -0.054252 1.949641
a_pos epsilon_f_neg -0.054252 1.949641
a_pos epsilon_f_pos -0.054253 1.949641
a_pos epsilon_neg -0.056165 1.953645
a_pos epsilon_sep -0.054252 1.949641
a_pos epsilon_pos 0.755225 2.720473
a_pos Cdl_neg -0.041963 1.943834
a_pos Cdl_pos 0.037578 2.016414
a_pos cs_max_neg -0.054252 1.949641
a_pos cs_max_pos -0.054252 1.949641
a_pos c0 -0.054253 1.949641
a_pos D -0.054252 1.949641
a_pos Ds_neg -0.054252 1.949641
a_pos Ds_pos -0.054251 1.949641
a_pos d2Udcp2_pos_sgn -0.054252 1.949641
a_pos d2Udcp2_neg_sgn -0.054252 1.949641
