Parameter S1 S1_conf ST ST_conf
a_neg 0.707801 1.770226 237.138741 595.871010
a_pos 0.142243 0.342200 32.139684 77.838206
l_neg -0.000037 0.000062 0.087946 0.066765
l_sep -0.000007 0.000005 0.325714 0.247368
l_pos 0.003808 0.009803 0.022034 0.052077
Rp_neg -0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.000001 0.000002 0.000000 0.000000
epsilon_f_pos -0.000001 0.000003 0.000000 0.000000
epsilon_neg 0.012185 0.023740 27.119794 40.765775
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.045225 0.087694 0.995729 1.617553
Cdl_neg 0.014110 0.043043 2.407089 4.681241
Cdl_pos 0.112787 0.216833 0.722278 0.527634
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000003 0.000003 0.068190 0.051787
D -0.000003 0.000003 0.013626 0.010348
Ds_neg -0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000000 0.000000 0.000000
dUdcp_neg_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.002701 0.003530 0.055201 0.056966
i0_pos 0.007191 0.022682 0.304512 0.480757
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000008 0.000006 0.348160 0.264414
aa_neg 0.000724 0.001704 0.000900 0.001027
aa_pos 0.000220 0.001917 0.240268 0.178602
kappa_0 0.006235 0.021538 3.529398 4.087065
sigma_neg 0.000007 0.000013 0.000000 0.000000
sigma_pos 0.000000 0.000007 0.000001 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.821616 1.934732
a_neg l_neg -0.702853 1.777012
a_neg l_sep -0.702880 1.777050
a_neg l_pos -0.705776 1.780516
a_neg Rp_neg -0.702880 1.777049
a_neg Rp_pos -0.702881 1.777050
a_neg epsilon_f_neg -0.702879 1.777049
a_neg epsilon_f_pos -0.702885 1.777052
a_neg epsilon_neg -0.593224 1.739749
a_neg epsilon_sep -0.702880 1.777050
a_neg epsilon_pos -0.698735 1.772853
a_neg Cdl_neg -0.518682 1.569072
a_neg Cdl_pos -0.709569 1.780465
a_neg cs_max_neg -0.702880 1.777050
a_neg cs_max_pos -0.702880 1.777050
a_neg c0 -0.702882 1.777050
a_neg D -0.702880 1.777049
a_neg Ds_neg -0.702880 1.777049
a_neg Ds_pos -0.702880 1.777050
a_neg d2Udcp2_pos_sgn -0.702880 1.777050
a_neg d2Udcp2_neg_sgn -0.702880 1.777050
a_neg d3Udcp3_pos_sgn -0.702880 1.777050
a_neg d3Udcp3_neg_sgn -0.702880 1.777050
a_neg dUdcp_pos_mag -0.702880 1.777050
a_neg dUdcp_neg_mag -0.702880 1.777049
a_neg d2Udcp2_pos_mag -0.702880 1.777050
a_neg d2Udcp2_neg_mag -0.702880 1.777050
a_neg d3Udcp3_pos_mag -0.702880 1.777050
a_neg d3Udcp3_neg_mag -0.702880 1.777050
a_neg i0_neg -0.698181 1.775204
a_neg i0_pos -0.703093 1.776891
a_neg SOC_neg -0.702880 1.777050
a_neg SOC_pos -0.702880 1.777050
a_neg tP -0.702881 1.777050
a_neg aa_neg -0.701767 1.775892
a_neg aa_pos -0.702627 1.776734
a_neg kappa_0 -0.674444 1.754628
a_neg sigma_neg -0.702877 1.777048
a_neg sigma_pos -0.702860 1.777045
a_pos l_neg -0.110299 0.305224
a_pos l_sep -0.110509 0.305202
a_pos l_pos -0.075751 0.286752
a_pos Rp_neg -0.110097 0.305247
a_pos Rp_pos -0.110097 0.305247
a_pos epsilon_f_neg -0.110097 0.305247
a_pos epsilon_f_pos -0.110097 0.305247
a_pos epsilon_neg -0.111286 0.305559
a_pos epsilon_sep -0.110097 0.305247
a_pos epsilon_pos 0.462034 1.369347
a_pos Cdl_neg -0.101727 0.297536
a_pos Cdl_pos 0.024307 0.353201
a_pos cs_max_neg -0.110097 0.305247
a_pos cs_max_pos -0.110097 0.305247
a_pos c0 -0.109915 0.305276
a_pos D -0.110185 0.305243
a_pos Ds_neg -0.110097 0.305247
a_pos Ds_pos -0.110097 0.305247
a_pos d2Udcp2_pos_sgn -0.110097 0.305247
a_pos d2Udcp2_neg_sgn -0.110097 0.305247
a_pos d3Udcp3_pos_sgn -0.110097 0.305247
a_pos d3Udcp3_neg_sgn -0.110097 0.305247
a_pos dUdcp_pos_mag -0.110097 0.305247
a_pos dUdcp_neg_mag -0.110097 0.305247
a_pos d2Udcp2_pos_mag -0.110097 0.305247
a_pos d2Udcp2_neg_mag -0.110097 0.305247
a_pos d3Udcp3_pos_mag -0.110097 0.305247
a_pos d3Udcp3_neg_mag -0.110097 0.305247
a_pos i0_neg -0.110725 0.305804
a_pos i0_pos 0.203732 0.732712
a_pos SOC_neg -0.110097 0.305247
a_pos SOC_pos -0.110097 0.305247
a_pos tP -0.110522 0.305200
a_pos aa_neg -0.110160 0.305305
a_pos aa_pos -0.125313 0.320621
a_pos kappa_0 -0.053172 0.316048
a_pos sigma_neg -0.110096 0.305247
a_pos sigma_pos -0.110100 0.305250
l_neg l_sep -0.000099 0.000260
l_neg l_pos -0.000094 0.000256
l_neg Rp_neg -0.000099 0.000260
l_neg Rp_pos -0.000099 0.000260
l_neg epsilon_f_neg -0.000099 0.000260
l_neg epsilon_f_pos -0.000099 0.000260
l_neg epsilon_neg -0.000114 0.000303
l_neg epsilon_sep -0.000099 0.000260
l_neg epsilon_pos 0.000025 0.000062
l_neg Cdl_neg -0.000069 0.000298
l_neg Cdl_pos 0.000001 0.000108
l_neg cs_max_neg -0.000099 0.000260
l_neg cs_max_pos -0.000099 0.000260
l_neg c0 -0.000099 0.000260
l_neg D -0.000099 0.000260
l_neg Ds_neg -0.000099 0.000260
l_neg Ds_pos -0.000099 0.000260
l_neg d2Udcp2_pos_sgn -0.000099 0.000260
l_neg d2Udcp2_neg_sgn -0.000099 0.000260
l_neg d3Udcp3_pos_sgn -0.000099 0.000260
l_neg d3Udcp3_neg_sgn -0.000099 0.000260
l_neg dUdcp_pos_mag -0.000099 0.000260
l_neg dUdcp_neg_mag -0.000099 0.000260
l_neg d2Udcp2_pos_mag -0.000099 0.000260
l_neg d2Udcp2_neg_mag -0.000099 0.000260
l_neg d3Udcp3_pos_mag -0.000099 0.000260
l_neg d3Udcp3_neg_mag -0.000099 0.000260
l_neg i0_neg -0.000103 0.000262
l_neg i0_pos -0.000088 0.000240
l_neg SOC_neg -0.000099 0.000260
l_neg SOC_pos -0.000099 0.000260
l_neg tP -0.000099 0.000260
l_neg aa_neg -0.000098 0.000260
l_neg aa_pos -0.000140 0.000340
l_neg kappa_0 -0.007512 0.015577
l_neg sigma_neg -0.000099 0.000260
l_neg sigma_pos -0.000099 0.000260
l_sep l_pos 0.000007 0.000005
l_sep Rp_neg 0.000007 0.000005
l_sep Rp_pos 0.000007 0.000005
l_sep epsilon_f_neg 0.000007 0.000005
l_sep epsilon_f_pos 0.000007 0.000005
l_sep epsilon_neg 0.000007 0.000005
l_sep epsilon_sep 0.000007 0.000005
l_sep epsilon_pos 0.000007 0.000005
l_sep Cdl_neg 0.000007 0.000005
l_sep Cdl_pos 0.000007 0.000005
l_sep cs_max_neg 0.000007 0.000005
l_sep cs_max_pos 0.000007 0.000005
l_sep c0 0.000007 0.000005
l_sep D 0.000007 0.000005
l_sep Ds_neg 0.000007 0.000005
l_sep Ds_pos 0.000007 0.000005
l_sep d2Udcp2_pos_sgn 0.000007 0.000005
l_sep d2Udcp2_neg_sgn 0.000007 0.000005
l_sep d3Udcp3_pos_sgn 0.000007 0.000005
l_sep d3Udcp3_neg_sgn 0.000007 0.000005
l_sep dUdcp_pos_mag 0.000007 0.000005
l_sep dUdcp_neg_mag 0.000007 0.000005
