Parameter S1 S1_conf ST ST_conf
a_neg 0.021982 0.280596 0.347345 0.114870
a_pos 0.056669 0.103544 0.104320 0.059148
l_neg -0.006690 0.059668 0.173404 0.160231
l_sep -0.125224 0.079624 0.088983 0.055012
l_pos 0.068209 0.062527 0.015128 0.015200
Rp_neg -0.102526 0.216927 0.255893 0.103340
Rp_pos 0.183600 0.148745 0.139022 0.077370
epsilon_f_neg 0.000007 0.000020 0.000000 0.000000
epsilon_f_pos -0.000003 0.000060 0.000000 0.000000
epsilon_neg -0.096955 0.317736 0.328527 0.110524
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.417143 0.200924 0.253720 0.100777
Cdl_neg 0.031285 0.093220 0.085684 0.063411
Cdl_pos -0.022073 0.116619 0.128527 0.072375
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.085520 0.110596 0.137971 0.074682
D -0.037646 0.090070 0.059223 0.038254
Ds_neg 0.087865 0.243954 0.436185 0.107691
Ds_pos 0.048090 0.234402 0.311297 0.120400
d2Udcp2_pos_sgn 0.054253 0.100034 0.085717 0.059303
d2Udcp2_neg_sgn -0.034248 0.100552 0.085290 0.061741
d3Udcp3_pos_sgn -0.000926 0.058369 0.016437 0.012910
d3Udcp3_neg_sgn -0.047307 0.049491 0.010730 0.011131
dUdcp_pos_mag 0.146041 0.141165 0.101938 0.041939
dUdcp_neg_mag -0.068728 0.135067 0.085897 0.032538
d2Udcp2_pos_mag -0.042365 0.305969 0.429571 0.125134
d2Udcp2_neg_mag -0.218575 0.207308 0.294959 0.090405
d3Udcp3_pos_mag 0.031102 0.043086 0.011961 0.007275
d3Udcp3_neg_mag 0.221144 0.133189 0.086044 0.047757
i0_neg 0.016362 0.165272 0.275998 0.116173
i0_pos 0.271063 0.313035 0.579432 0.214687
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos -0.000000 0.000000 0.000000 0.000000
tP 0.132291 0.161751 0.201147 0.075351
aa_neg 0.146543 0.248419 0.374297 0.107314
aa_pos 0.030832 0.116589 0.093898 0.061714
kappa_0 0.026220 0.144026 0.133860 0.093833
sigma_neg -0.000319 0.000167 0.000000 0.000000
sigma_pos 0.000165 0.000618 0.000005 0.000004

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.019303 0.378069
a_neg l_neg -0.088894 0.362182
a_neg l_sep -0.076386 0.365520
a_neg l_pos -0.075112 0.365858
a_neg Rp_neg -0.070075 0.368227
a_neg Rp_pos -0.065076 0.369992
a_neg epsilon_f_neg -0.077236 0.365411
a_neg epsilon_f_pos -0.077228 0.365410
a_neg epsilon_neg 0.026418 0.381545
a_neg epsilon_sep -0.077236 0.365411
a_neg epsilon_pos -0.073692 0.365194
a_neg Cdl_neg -0.098887 0.371500
a_neg Cdl_pos -0.078496 0.367023
a_neg cs_max_neg -0.077236 0.365411
a_neg cs_max_pos -0.077236 0.365411
a_neg c0 -0.080786 0.366218
a_neg D -0.082468 0.364525
a_neg Ds_neg -0.043105 0.360720
a_neg Ds_pos 0.019250 0.357751
a_neg d2Udcp2_pos_sgn 0.008963 0.376801
a_neg d2Udcp2_neg_sgn -0.164773 0.352112
a_neg d3Udcp3_pos_sgn -0.106851 0.370874
a_neg d3Udcp3_neg_sgn -0.077091 0.365437
a_neg dUdcp_pos_mag -0.066569 0.370781
a_neg dUdcp_neg_mag -0.058548 0.362069
a_neg d2Udcp2_pos_mag -0.195573 0.385783
a_neg d2Udcp2_neg_mag -0.006369 0.366311
a_neg d3Udcp3_pos_mag -0.103572 0.369340
a_neg d3Udcp3_neg_mag -0.077824 0.365340
a_neg i0_neg 0.001265 0.379836
a_neg i0_pos 0.006159 0.389305
a_neg SOC_neg -0.077236 0.365411
a_neg SOC_pos -0.077236 0.365411
a_neg tP -0.104888 0.368697
a_neg aa_neg 0.005231 0.377067
a_neg aa_pos -0.077673 0.365367
a_neg kappa_0 -0.043081 0.370157
a_neg sigma_neg -0.077231 0.365415
a_neg sigma_pos -0.077202 0.365391
a_pos l_neg -0.237782 0.184828
a_pos l_sep -0.225912 0.180645
a_pos l_pos -0.231432 0.181405
a_pos Rp_neg -0.242928 0.186226
a_pos Rp_pos -0.239479 0.186015
a_pos epsilon_f_neg -0.230601 0.181189
a_pos epsilon_f_pos -0.230611 0.181191
a_pos epsilon_neg -0.225184 0.213717
a_pos epsilon_sep -0.230603 0.181188
a_pos epsilon_pos -0.128467 0.152822
a_pos Cdl_neg -0.229084 0.181186
a_pos Cdl_pos -0.231969 0.180996
a_pos cs_max_neg -0.230603 0.181188
a_pos cs_max_pos -0.230603 0.181188
a_pos c0 -0.228885 0.180899
a_pos D -0.230241 0.181069
a_pos Ds_neg -0.331539 0.242631
a_pos Ds_pos -0.175840 0.154551
a_pos d2Udcp2_pos_sgn -0.316522 0.229479
a_pos d2Udcp2_neg_sgn -0.229992 0.181193
a_pos d3Udcp3_pos_sgn -0.230819 0.181107
a_pos d3Udcp3_neg_sgn -0.230669 0.181191
a_pos dUdcp_pos_mag -0.280489 0.203173
a_pos dUdcp_neg_mag -0.217933 0.177393
a_pos d2Udcp2_pos_mag -0.275410 0.253610
a_pos d2Udcp2_neg_mag -0.270186 0.200780
a_pos d3Udcp3_pos_mag -0.230732 0.181145
a_pos d3Udcp3_neg_mag -0.251443 0.187799
a_pos i0_neg -0.340889 0.251364
a_pos i0_pos -0.257338 0.219537
a_pos SOC_neg -0.230603 0.181188
a_pos SOC_pos -0.230603 0.181188
a_pos tP -0.228265 0.181179
a_pos aa_neg -0.398836 0.260242
a_pos aa_pos -0.196683 0.195294
a_pos kappa_0 -0.231330 0.181173
a_pos sigma_neg -0.230594 0.181189
a_pos sigma_pos -0.230502 0.181183
l_neg l_sep -0.027952 0.071593
l_neg l_pos -0.026736 0.071714
l_neg Rp_neg -0.039047 0.074908
l_neg Rp_pos -0.027118 0.071670
l_neg epsilon_f_neg -0.027073 0.071681
l_neg epsilon_f_pos -0.027073 0.071682
l_neg epsilon_neg -0.026527 0.072259
l_neg epsilon_sep -0.027073 0.071682
l_neg epsilon_pos -0.026680 0.071739
l_neg Cdl_neg -0.027050 0.071679
l_neg Cdl_pos -0.030886 0.071927
l_neg cs_max_neg -0.027073 0.071682
l_neg cs_max_pos -0.027073 0.071682
l_neg c0 -0.029540 0.071725
l_neg D -0.026826 0.071653
l_neg Ds_neg -0.014980 0.065575
l_neg Ds_pos -0.031033 0.071986
l_neg d2Udcp2_pos_sgn -0.027050 0.071680
l_neg d2Udcp2_neg_sgn -0.029440 0.071813
l_neg d3Udcp3_pos_sgn -0.027070 0.071681
l_neg d3Udcp3_neg_sgn -0.027079 0.071682
l_neg dUdcp_pos_mag -0.026419 0.071674
l_neg dUdcp_neg_mag -0.026138 0.069051
l_neg d2Udcp2_pos_mag -0.027874 0.071404
l_neg d2Udcp2_neg_mag -0.027954 0.071943
l_neg d3Udcp3_pos_mag -0.027079 0.071682
l_neg d3Udcp3_neg_mag -0.018814 0.072165
l_neg i0_neg -0.029298 0.072214
l_neg i0_pos -0.041137 0.073833
l_neg SOC_neg -0.027073 0.071682
l_neg SOC_pos -0.027073 0.071682
l_neg tP -0.029036 0.071311
l_neg aa_neg 0.000269 0.079633
l_neg aa_pos -0.026991 0.071689
l_neg kappa_0 -0.024767 0.070036
l_neg sigma_neg -0.027070 0.071681
l_neg sigma_pos -0.027096 0.071679
l_sep l_pos 0.126868 0.080042
l_sep Rp_neg 0.127375 0.080034
l_sep Rp_pos 0.128242 0.080077
l_sep epsilon_f_neg 0.126884 0.080044
l_sep epsilon_f_pos 0.126884 0.080044
l_sep epsilon_neg 0.130698 0.079665
l_sep epsilon_sep 0.126884 0.080044
l_sep epsilon_pos 0.127384 0.080067
l_sep Cdl_neg 0.127630 0.080051
l_sep Cdl_pos 0.127942 0.079986
l_sep cs_max_neg 0.126884 0.080044
l_sep cs_max_pos 0.126884 0.080044
l_sep c0 0.131496 0.079626
l_sep D 0.127169 0.080063
l_sep Ds_neg 0.130227 0.079712
l_sep Ds_pos 0.124609 0.079971
l_sep d2Udcp2_pos_sgn 0.126886 0.080045
l_sep d2Udcp2_neg_sgn 0.127962 0.079982
l_sep d3Udcp3_pos_sgn 0.126823 0.080045
l_sep d3Udcp3_neg_sgn 0.126877 0.080045
l_sep dUdcp_pos_mag 0.126097 0.080041
l_sep dUdcp_neg_mag 0.128103 0.079980
l_sep d2Udcp2_pos_mag 0.123485 0.080060
