Parameter S1 S1_conf ST ST_conf
a_neg -0.028569 0.296613 0.366392 0.118757
a_pos 0.006482 0.119329 0.115868 0.069864
l_neg -0.048781 0.080382 0.183888 0.169259
l_sep -0.128213 0.080202 0.094066 0.059884
l_pos 0.005621 0.004919 0.000148 0.000087
Rp_neg -0.183715 0.193880 0.240115 0.104238
Rp_pos 0.174423 0.133660 0.119609 0.066844
epsilon_f_neg -0.000021 0.000019 0.000000 0.000000
epsilon_f_pos 0.000152 0.000091 0.000000 0.000000
epsilon_neg -0.069823 0.309147 0.317172 0.113586
epsilon_sep -0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.415052 0.189323 0.243107 0.100121
Cdl_neg 0.031370 0.095431 0.089720 0.065472
Cdl_pos -0.005410 0.121577 0.134581 0.080661
cs_max_neg -0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.085772 0.115118 0.139055 0.078064
D -0.073137 0.077806 0.050057 0.040296
Ds_neg 0.047822 0.233536 0.449012 0.107508
Ds_pos 0.050873 0.216932 0.287230 0.105314
d2Udcp2_pos_sgn 0.050411 0.106006 0.089751 0.065116
d2Udcp2_neg_sgn -0.026946 0.102539 0.085539 0.066929
d3Udcp3_pos_sgn -0.000077 0.062081 0.017925 0.014741
d3Udcp3_neg_sgn -0.049187 0.052119 0.011224 0.011889
dUdcp_pos_mag 0.210320 0.133309 0.093029 0.045238
dUdcp_neg_mag -0.114501 0.099031 0.064974 0.027774
d2Udcp2_pos_mag -0.034084 0.318074 0.424744 0.127462
d2Udcp2_neg_mag -0.171980 0.182801 0.265114 0.082858
d3Udcp3_pos_mag 0.023070 0.043971 0.013382 0.009240
d3Udcp3_neg_mag 0.249517 0.130946 0.077680 0.051650
i0_neg 0.010256 0.169915 0.281619 0.116356
i0_pos 0.299696 0.309693 0.535579 0.206568
SOC_neg -0.000000 0.000000 0.000000 0.000000
SOC_pos -0.000000 0.000000 0.000000 0.000000
tP 0.121053 0.161171 0.192379 0.076325
aa_neg 0.153032 0.243684 0.374297 0.116017
aa_pos 0.024291 0.122178 0.104498 0.064912
kappa_0 -0.018586 0.109553 0.093198 0.059885
sigma_neg 0.000005 0.000136 0.000000 0.000000
sigma_pos -0.000591 0.000690 0.000004 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.136477 0.388954
a_neg l_neg 0.021814 0.369290
a_neg l_sep 0.039195 0.373134
a_neg l_pos 0.040700 0.373323
a_neg Rp_neg 0.022649 0.375412
a_neg Rp_pos 0.033479 0.385068
a_neg epsilon_f_neg 0.038780 0.373100
a_neg epsilon_f_pos 0.038799 0.373103
a_neg epsilon_neg 0.141163 0.392020
a_neg epsilon_sep 0.038780 0.373100
a_neg epsilon_pos 0.015120 0.367193
a_neg Cdl_neg 0.019635 0.379109
a_neg Cdl_pos 0.029365 0.373781
a_neg cs_max_neg 0.038780 0.373100
a_neg cs_max_pos 0.038780 0.373100
a_neg c0 0.025369 0.372213
a_neg D 0.037540 0.372992
a_neg Ds_neg 0.032987 0.380755
a_neg Ds_pos 0.105795 0.374363
a_neg d2Udcp2_pos_sgn 0.128520 0.386596
a_neg d2Udcp2_neg_sgn -0.059016 0.357951
a_neg d3Udcp3_pos_sgn 0.004273 0.377904
a_neg d3Udcp3_neg_sgn 0.038959 0.373111
a_neg dUdcp_pos_mag 0.030006 0.381127
a_neg dUdcp_neg_mag 0.057344 0.367177
a_neg d2Udcp2_pos_mag -0.090533 0.399281
a_neg d2Udcp2_neg_mag 0.084038 0.372606
a_neg d3Udcp3_pos_mag 0.011768 0.375678
a_neg d3Udcp3_neg_mag 0.035305 0.373365
a_neg i0_neg 0.099367 0.381702
a_neg i0_pos 0.128991 0.400185
a_neg SOC_neg 0.038780 0.373100
a_neg SOC_pos 0.038780 0.373100
a_neg tP 0.008055 0.374412
a_neg aa_neg 0.113232 0.386347
a_neg aa_pos 0.019452 0.368509
a_neg kappa_0 0.087552 0.389611
a_neg sigma_neg 0.038783 0.373102
a_neg sigma_pos 0.038897 0.373082
a_pos l_neg -0.188252 0.188370
a_pos l_sep -0.191094 0.184674
a_pos l_pos -0.200046 0.183907
a_pos Rp_neg -0.210768 0.187478
a_pos Rp_pos -0.215843 0.191581
a_pos epsilon_f_neg -0.200723 0.184067
a_pos epsilon_f_pos -0.200755 0.184081
a_pos epsilon_neg -0.186539 0.228521
a_pos epsilon_sep -0.200724 0.184067
a_pos epsilon_pos -0.097186 0.161423
a_pos Cdl_neg -0.200277 0.184045
a_pos Cdl_pos -0.209905 0.182902
a_pos cs_max_neg -0.200724 0.184067
a_pos cs_max_pos -0.200724 0.184067
