Parameter S1 S1_conf ST ST_conf
a_neg 0.011859 0.259068 0.324311 0.104142
a_pos -0.034626 0.096034 0.123716 0.073895
l_neg -0.070437 0.103947 0.189092 0.178252
l_sep -0.124009 0.076711 0.095720 0.060843
l_pos 0.004512 0.003646 0.000108 0.000096
Rp_neg -0.162231 0.168630 0.235978 0.099727
Rp_pos 0.173978 0.130350 0.119061 0.066766
epsilon_f_neg -0.000029 0.000019 0.000000 0.000000
epsilon_f_pos 0.000510 0.000367 0.000001 0.000001
epsilon_neg -0.082656 0.286686 0.312872 0.117777
epsilon_sep -0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.393656 0.168572 0.239664 0.097925
Cdl_neg 0.030465 0.093153 0.092357 0.069252
Cdl_pos 0.015240 0.131236 0.138532 0.078524
cs_max_neg -0.000000 0.000000 0.000000 0.000000
cs_max_pos -0.000000 0.000000 0.000000 0.000000
c0 -0.065623 0.114498 0.142565 0.078714
D -0.093434 0.060102 0.049035 0.040766
Ds_neg 0.042578 0.222252 0.452720 0.110869
Ds_pos 0.088805 0.221482 0.284518 0.103865
d2Udcp2_pos_sgn 0.021344 0.080754 0.092406 0.062400
d2Udcp2_neg_sgn -0.029867 0.105544 0.084203 0.066920
d3Udcp3_pos_sgn 0.006818 0.061125 0.020147 0.015550
d3Udcp3_neg_sgn -0.048830 0.047988 0.011413 0.011199
dUdcp_pos_mag 0.241109 0.125898 0.077245 0.042603
dUdcp_neg_mag -0.125100 0.086924 0.058706 0.027847
d2Udcp2_pos_mag -0.007816 0.289341 0.409206 0.125950
d2Udcp2_neg_mag -0.101685 0.158229 0.238917 0.081668
d3Udcp3_pos_mag 0.018635 0.041840 0.014288 0.009924
d3Udcp3_neg_mag 0.218085 0.124626 0.080046 0.052005
i0_neg -0.027166 0.132616 0.265578 0.108908
i0_pos 0.341735 0.297357 0.518023 0.215177
SOC_neg -0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.077975 0.156776 0.174929 0.070571
aa_neg 0.109217 0.247237 0.377723 0.117976
aa_pos 0.052923 0.122184 0.113300 0.063982
kappa_0 0.016390 0.092775 0.092935 0.059205
sigma_neg 0.000078 0.000185 0.000000 0.000000
sigma_pos -0.003100 0.002760 0.000055 0.000055

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.110653 0.364855
a_neg l_neg -0.036891 0.330652
a_neg l_sep -0.016641 0.336620
a_neg l_pos -0.016686 0.336684
a_neg Rp_neg -0.038218 0.339096
a_neg Rp_pos -0.059983 0.345767
a_neg epsilon_f_neg -0.016719 0.336686
a_neg epsilon_f_pos -0.016721 0.336691
a_neg epsilon_neg 0.112975 0.365167
a_neg epsilon_sep -0.016719 0.336686
a_neg epsilon_pos -0.024515 0.331501
a_neg Cdl_neg -0.030954 0.340288
a_neg Cdl_pos -0.028609 0.337474
a_neg cs_max_neg -0.016719 0.336686
a_neg cs_max_pos -0.016719 0.336686
a_neg c0 -0.035768 0.334847
a_neg D -0.014871 0.336901
a_neg Ds_neg -0.027183 0.347421
a_neg Ds_pos 0.055892 0.343899
a_neg d2Udcp2_pos_sgn 0.095914 0.361128
a_neg d2Udcp2_neg_sgn -0.109923 0.323261
a_neg d3Udcp3_pos_sgn -0.055701 0.343103
a_neg d3Udcp3_neg_sgn -0.016425 0.336689
a_neg dUdcp_pos_mag -0.047132 0.345983
a_neg dUdcp_neg_mag -0.007084 0.330655
a_neg d2Udcp2_pos_mag -0.129820 0.362507
a_neg d2Udcp2_neg_mag 0.003042 0.339659
a_neg d3Udcp3_pos_mag -0.043997 0.339275
a_neg d3Udcp3_neg_mag -0.024147 0.337307
a_neg i0_neg 0.084470 0.361232
a_neg i0_pos 0.081787 0.366640
a_neg SOC_neg -0.016719 0.336686
a_neg SOC_pos -0.016719 0.336686
a_neg tP -0.038004 0.335432
a_neg aa_neg 0.072124 0.361503
a_neg aa_pos -0.045026 0.330978
a_neg kappa_0 0.040359 0.357910
a_neg sigma_neg -0.016691 0.336689
a_neg sigma_pos -0.015926 0.336712
a_pos l_neg -0.142864 0.175704
a_pos l_sep -0.156515 0.172499
a_pos l_pos -0.168553 0.169942
a_pos Rp_neg -0.176907 0.171112
a_pos Rp_pos -0.195581 0.185576
a_pos epsilon_f_neg -0.168172 0.170032
a_pos epsilon_f_pos -0.168254 0.170035
a_pos epsilon_neg -0.088442 0.156771
a_pos epsilon_sep -0.168172 0.170032
a_pos epsilon_pos -0.063055 0.143670
a_pos Cdl_neg -0.167769 0.170031
a_pos Cdl_pos -0.184419 0.168518
a_pos cs_max_neg -0.168172 0.170032
a_pos cs_max_pos -0.168172 0.170032
