Parameter S1 S1_conf ST ST_conf
a_neg -0.037637 0.238928 0.275149 0.097336
a_pos -0.054927 0.092161 0.131925 0.078898
l_neg -0.078077 0.114996 0.199758 0.178110
l_sep -0.121135 0.071325 0.096463 0.058707
l_pos 0.000622 0.000611 0.000004 0.000002
Rp_neg -0.141332 0.152031 0.231223 0.099652
Rp_pos 0.085425 0.117848 0.111185 0.068541
epsilon_f_neg -0.000007 0.000014 0.000000 0.000000
epsilon_f_pos 0.000222 0.000149 0.000000 0.000000
epsilon_neg -0.125046 0.254531 0.321125 0.130494
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.407964 0.173721 0.249366 0.101017
Cdl_neg 0.028366 0.106852 0.097018 0.069125
Cdl_pos 0.027339 0.121135 0.145497 0.082119
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.076433 0.118411 0.146160 0.082011
D -0.095641 0.053217 0.051303 0.041426
Ds_neg -0.035299 0.217791 0.459502 0.108034
Ds_pos 0.117022 0.221386 0.300070 0.110336
d2Udcp2_pos_sgn 0.003113 0.068836 0.096955 0.070041
d2Udcp2_neg_sgn -0.040047 0.103912 0.082884 0.062215
d3Udcp3_pos_sgn 0.014069 0.066253 0.022802 0.017627
d3Udcp3_neg_sgn -0.046126 0.046553 0.010934 0.011035
dUdcp_pos_mag 0.185203 0.121414 0.069253 0.037399
dUdcp_neg_mag -0.151920 0.081737 0.054084 0.029745
d2Udcp2_pos_mag -0.018112 0.274866 0.390097 0.125972
d2Udcp2_neg_mag -0.078334 0.156915 0.228390 0.074346
d3Udcp3_pos_mag 0.009946 0.039760 0.013440 0.009390
d3Udcp3_neg_mag 0.189746 0.125266 0.086503 0.051646
i0_neg -0.092605 0.135727 0.274332 0.116915
i0_pos 0.379689 0.268363 0.541710 0.219271
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.058488 0.144026 0.159659 0.065434
aa_neg 0.052685 0.236923 0.387406 0.114858
aa_pos 0.026274 0.124822 0.128437 0.068570
kappa_0 0.013158 0.076755 0.092734 0.057979
sigma_neg 0.000112 0.000114 0.000000 0.000000
sigma_pos -0.001364 0.000975 0.000007 0.000005

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.214410 0.353387
a_neg l_neg 0.066192 0.321141
a_neg l_sep 0.083511 0.327564
a_neg l_pos 0.084216 0.327624
a_neg Rp_neg 0.076785 0.328766
a_neg Rp_pos 0.025193 0.337593
a_neg epsilon_f_neg 0.084196 0.327645
a_neg epsilon_f_pos 0.084206 0.327646
a_neg epsilon_neg 0.202098 0.351143
a_neg epsilon_sep 0.084196 0.327645
a_neg epsilon_pos 0.067968 0.321837
a_neg Cdl_neg 0.074547 0.329640
a_neg Cdl_pos 0.083695 0.327384
a_neg cs_max_neg 0.084196 0.327645
a_neg cs_max_pos 0.084196 0.327645
a_neg c0 0.075313 0.324865
a_neg D 0.086605 0.328273
a_neg Ds_neg 0.065847 0.331059
a_neg Ds_pos 0.154090 0.343232
a_neg d2Udcp2_pos_sgn 0.203651 0.351367
a_neg d2Udcp2_neg_sgn 0.015525 0.311147
a_neg d3Udcp3_pos_sgn 0.040135 0.335838
a_neg d3Udcp3_neg_sgn 0.084835 0.327663
a_neg dUdcp_pos_mag 0.031326 0.339022
a_neg dUdcp_neg_mag 0.087774 0.321056
a_neg d2Udcp2_pos_mag -0.024397 0.364807
a_neg d2Udcp2_neg_mag 0.083979 0.333303
a_neg d3Udcp3_pos_mag 0.055770 0.330178
a_neg d3Udcp3_neg_mag 0.079526 0.327993
a_neg i0_neg 0.193056 0.348162
a_neg i0_pos 0.196033 0.353723
a_neg SOC_neg 0.084196 0.327645
a_neg SOC_pos 0.084196 0.327645
a_neg tP 0.079798 0.324891
a_neg aa_neg 0.194400 0.350430
a_neg aa_pos 0.049827 0.318089
a_neg kappa_0 0.156434 0.359388
a_neg sigma_neg 0.084206 0.327646
a_neg sigma_pos 0.084628 0.327631
a_pos l_neg -0.146096 0.171828
a_pos l_sep -0.154889 0.169112
a_pos l_pos -0.162750 0.166101
a_pos Rp_neg -0.168116 0.167005
a_pos Rp_pos -0.202699 0.184619
a_pos epsilon_f_neg -0.162810 0.166137
a_pos epsilon_f_pos -0.162847 0.166136
a_pos epsilon_neg -0.062210 0.132178
a_pos epsilon_sep -0.162810 0.166137
a_pos epsilon_pos -0.051919 0.131409
a_pos Cdl_neg -0.158982 0.166106
a_pos Cdl_pos -0.173042 0.163642
a_pos cs_max_neg -0.162810 0.166137
a_pos cs_max_pos -0.162810 0.166137
a_pos c0 -0.160194 0.168631
a_pos D -0.159886 0.166157
a_pos Ds_neg -0.155704 0.169824
a_pos Ds_pos -0.122534 0.154071
a_pos d2Udcp2_pos_sgn -0.163762 0.166630
a_pos d2Udcp2_neg_sgn -0.158939 0.166466
a_pos d3Udcp3_pos_sgn -0.162839 0.166139
a_pos d3Udcp3_neg_sgn -0.162558 0.166147
a_pos dUdcp_pos_mag -0.209899 0.187949
a_pos dUdcp_neg_mag -0.161614 0.168607
a_pos d2Udcp2_pos_mag -0.156710 0.217041
a_pos d2Udcp2_neg_mag -0.188175 0.183608
a_pos d3Udcp3_pos_mag -0.162805 0.166089
a_pos d3Udcp3_neg_mag -0.188390 0.177350
a_pos i0_neg -0.154437 0.171627
a_pos i0_pos -0.111063 0.146496
a_pos SOC_neg -0.162810 0.166137
a_pos SOC_pos -0.162810 0.166137
a_pos tP -0.156988 0.168622
a_pos aa_neg -0.238120 0.216865
a_pos aa_pos -0.122131 0.184422
a_pos kappa_0 -0.165660 0.165967
a_pos sigma_neg -0.162795 0.166137
a_pos sigma_pos -0.162585 0.166147
l_neg l_sep 0.072072 0.115291
l_neg l_pos 0.072038 0.115289
l_neg Rp_neg 0.072200 0.115284
l_neg Rp_pos 0.072076 0.115288
l_neg epsilon_f_neg 0.072041 0.115289
l_neg epsilon_f_pos 0.072041 0.115289
l_neg epsilon_neg 0.072202 0.115294
l_neg epsilon_sep 0.072041 0.115289
l_neg epsilon_pos 0.071989 0.115295
l_neg Cdl_neg 0.072042 0.115289
l_neg Cdl_pos 0.072215 0.115282
l_neg cs_max_neg 0.072041 0.115289
l_neg cs_max_pos 0.072041 0.115289
l_neg c0 0.072125 0.115298
l_neg D 0.072115 0.115283
l_neg Ds_neg 0.070862 0.115309
l_neg Ds_pos 0.072705 0.115256
l_neg d2Udcp2_pos_sgn 0.072048 0.115289
l_neg d2Udcp2_neg_sgn 0.072061 0.115288
l_neg d3Udcp3_pos_sgn 0.072053 0.115289
l_neg d3Udcp3_neg_sgn 0.072041 0.115289
l_neg dUdcp_pos_mag 0.071974 0.115290
l_neg dUdcp_neg_mag 0.071872 0.115295
l_neg d2Udcp2_pos_mag 0.073653 0.115217
l_neg d2Udcp2_neg_mag 0.072262 0.115274
l_neg d3Udcp3_pos_mag 0.072046 0.115289
l_neg d3Udcp3_neg_mag 0.074180 0.115164
l_neg i0_neg 0.072096 0.115290
l_neg i0_pos 0.073253 0.115259
l_neg SOC_neg 0.072041 0.115289
l_neg SOC_pos 0.072041 0.115289
l_neg tP 0.072090 0.115289
l_neg aa_neg 0.073768 0.115245
l_neg aa_pos 0.072024 0.115289
l_neg kappa_0 0.072145 0.115283
l_neg sigma_neg 0.072041 0.115289
l_neg sigma_pos 0.072040 0.115289
l_sep l_pos 0.106429 0.074022
l_sep Rp_neg 0.108181 0.074006
l_sep Rp_pos 0.106445 0.074009
l_sep epsilon_f_neg 0.106489 0.074006
l_sep epsilon_f_pos 0.106489 0.074006
l_sep epsilon_neg 0.110001 0.073458
l_sep epsilon_sep 0.106489 0.074006
l_sep epsilon_pos 0.106344 0.073987
l_sep Cdl_neg 0.106767 0.073987
l_sep Cdl_pos 0.106026 0.074111
l_sep cs_max_neg 0.106489 0.074006
l_sep cs_max_pos 0.106489 0.074006
l_sep c0 0.108482 0.073696
l_sep D 0.106725 0.073913
l_sep Ds_neg 0.115395 0.072271
l_sep Ds_pos 0.105857 0.074045
l_sep d2Udcp2_pos_sgn 0.106493 0.074006
l_sep d2Udcp2_neg_sgn 0.105978 0.074063
l_sep d3Udcp3_pos_sgn 0.106532 0.074001
l_sep d3Udcp3_neg_sgn 0.106473 0.074008
l_sep dUdcp_pos_mag 0.106549 0.073999
l_sep dUdcp_neg_mag 0.105974 0.074148
l_sep d2Udcp2_pos_mag 0.106035 0.074048
l_sep d2Udcp2_neg_mag 0.112282 0.072706
l_sep d3Udcp3_pos_mag 0.106517 0.074002
l_sep d3Udcp3_neg_mag 0.106435 0.074012
l_sep i0_neg 0.106674 0.073946
l_sep i0_pos 0.106237 0.074042
l_sep SOC_neg 0.106489 0.074006
l_sep SOC_pos 0.106489 0.074006
l_sep tP 0.106432 0.073919
l_sep aa_neg 0.109338 0.073575
l_sep aa_pos 0.106486 0.074008
l_sep kappa_0 0.106484 0.074011
l_sep sigma_neg 0.106489 0.074006
l_sep sigma_pos 0.106489 0.074006
l_pos Rp_neg 0.005068 0.006163
l_pos Rp_pos 0.003096 0.004146
l_pos epsilon_f_neg 0.003069 0.004150
l_pos epsilon_f_pos 0.003069 0.004150
l_pos epsilon_neg 0.002512 0.004068
l_pos epsilon_sep 0.003069 0.004150
l_pos epsilon_pos 0.003298 0.004087
l_pos Cdl_neg 0.003070 0.004150
l_pos Cdl_pos 0.002976 0.004159
l_pos cs_max_neg 0.003069 0.004150
l_pos cs_max_pos 0.003069 0.004150
l_pos c0 0.002495 0.004086
l_pos D 0.003050 0.004148
l_pos Ds_neg 0.002524 0.003937
l_pos Ds_pos 0.002122 0.004544
l_pos d2Udcp2_pos_sgn 0.003235 0.004133
l_pos d2Udcp2_neg_sgn 0.002975 0.004158
l_pos d3Udcp3_pos_sgn 0.003069 0.004150
l_pos d3Udcp3_neg_sgn 0.003070 0.004150
l_pos dUdcp_pos_mag 0.003160 0.004157
l_pos dUdcp_neg_mag 0.003099 0.004175
l_pos d2Udcp2_pos_mag 0.003046 0.004156
l_pos d2Udcp2_neg_mag 0.002468 0.004067
l_pos d3Udcp3_pos_mag 0.003068 0.004150
l_pos d3Udcp3_neg_mag 0.003091 0.004163
l_pos i0_neg 0.003300 0.004395
l_pos i0_pos 0.003036 0.004145
l_pos SOC_neg 0.003069 0.004150
l_pos SOC_pos 0.003069 0.004150
l_pos tP 0.002917 0.004175
l_pos aa_neg 0.002680 0.004082
l_pos aa_pos 0.003686 0.003990
l_pos kappa_0 0.001681 0.004736
l_pos sigma_neg 0.003069 0.004150
l_pos sigma_pos 0.003069 0.004150
Rp_neg Rp_pos 0.139263 0.174533
Rp_neg epsilon_f_neg 0.163065 0.175074
Rp_neg epsilon_f_pos 0.163062 0.175075
Rp_neg epsilon_neg 0.132178 0.208211
Rp_neg epsilon_sep 0.163066 0.175074
Rp_neg epsilon_pos 0.170506 0.174171
Rp_neg Cdl_neg 0.168414 0.174950
Rp_neg Cdl_pos 0.150628 0.174223
Rp_neg cs_max_neg 0.163066 0.175074
Rp_neg cs_max_pos 0.163066 0.175074
Rp_neg c0 0.162304 0.175554
Rp_neg D 0.163231 0.175073
Rp_neg Ds_neg 0.212654 0.205368
Rp_neg Ds_pos 0.127514 0.173345
Rp_neg d2Udcp2_pos_sgn 0.162376 0.175117
Rp_neg d2Udcp2_neg_sgn 0.160899 0.175532
Rp_neg d3Udcp3_pos_sgn 0.162194 0.174951
Rp_neg d3Udcp3_neg_sgn 0.163067 0.175078
Rp_neg dUdcp_pos_mag 0.153483 0.176622
Rp_neg dUdcp_neg_mag 0.182498 0.162957
Rp_neg d2Udcp2_pos_mag 0.160059 0.186831
Rp_neg d2Udcp2_neg_mag 0.169803 0.180458
Rp_neg d3Udcp3_pos_mag 0.160856 0.174413
Rp_neg d3Udcp3_neg_mag 0.169114 0.175820
Rp_neg i0_neg 0.190169 0.185706
Rp_neg i0_pos 0.174038 0.195523
Rp_neg SOC_neg 0.163066 0.175074
Rp_neg SOC_pos 0.163066 0.175074
Rp_neg tP 0.129485 0.194025
Rp_neg aa_neg 0.167723 0.174400
Rp_neg aa_pos 0.155683 0.173266
Rp_neg kappa_0 0.173435 0.176376
Rp_neg sigma_neg 0.163076 0.175075
Rp_neg sigma_pos 0.163093 0.175074
Rp_pos epsilon_f_neg -0.062971 0.135929
Rp_pos epsilon_f_pos -0.062971 0.135929
Rp_pos epsilon_neg -0.069865 0.136415
Rp_pos epsilon_sep -0.062970 0.135929
Rp_pos epsilon_pos -0.054898 0.134231
Rp_pos Cdl_neg -0.057092 0.135636
