Parameter S1 S1_conf ST ST_conf
a_neg -0.084681 0.214440 0.261738 0.096853
a_pos -0.025891 0.111587 0.141396 0.090512
l_neg -0.091853 0.141100 0.206921 0.195692
l_sep -0.127330 0.080172 0.100089 0.063757
l_pos -0.000382 0.000572 0.000004 0.000002
Rp_neg -0.092778 0.149234 0.236821 0.107684
Rp_pos 0.060691 0.112328 0.119247 0.074281
epsilon_f_neg -0.000004 0.000008 0.000000 0.000000
epsilon_f_pos 0.000143 0.000084 0.000000 0.000000
epsilon_neg -0.196080 0.231408 0.271390 0.105925
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.444844 0.189615 0.276124 0.113775
Cdl_neg 0.033672 0.117958 0.105344 0.077425
Cdl_pos 0.048160 0.127504 0.157969 0.093862
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.070111 0.120093 0.151487 0.088085
D -0.079002 0.052717 0.054846 0.043102
Ds_neg -0.057297 0.208574 0.452663 0.112674
Ds_pos 0.098207 0.216675 0.281987 0.104838
d2Udcp2_pos_sgn 0.004516 0.077549 0.104902 0.075573
d2Udcp2_neg_sgn -0.017476 0.102264 0.077573 0.060814
d3Udcp3_pos_sgn 0.023855 0.068646 0.025067 0.017775
d3Udcp3_neg_sgn -0.034692 0.035338 0.007472 0.007624
dUdcp_pos_mag 0.178801 0.126311 0.077392 0.039056
dUdcp_neg_mag -0.153147 0.103451 0.063562 0.035160
d2Udcp2_pos_mag -0.027714 0.275419 0.384838 0.121064
d2Udcp2_neg_mag -0.104605 0.149443 0.224456 0.074994
d3Udcp3_pos_mag -0.005205 0.037036 0.011985 0.008602
d3Udcp3_neg_mag 0.191744 0.125091 0.081970 0.051806
i0_neg -0.160731 0.147206 0.269319 0.112992
i0_pos 0.397801 0.300271 0.583373 0.235243
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.030897 0.133897 0.145858 0.068492
aa_neg 0.043257 0.222267 0.379873 0.118929
aa_pos 0.025868 0.133406 0.137069 0.075738
kappa_0 0.022308 0.077197 0.098773 0.060956
sigma_neg 0.000062 0.000077 0.000000 0.000000
sigma_pos -0.000780 0.000684 0.000003 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.252223 0.330751
a_neg l_neg 0.143238 0.304186
a_neg l_sep 0.137835 0.302818
a_neg l_pos 0.138245 0.302963
a_neg Rp_neg 0.127047 0.303113
a_neg Rp_pos 0.076691 0.314651
a_neg epsilon_f_neg 0.138209 0.302973
a_neg epsilon_f_pos 0.138207 0.302979
a_neg epsilon_neg 0.240326 0.329401
a_neg epsilon_sep 0.138209 0.302973
a_neg epsilon_pos 0.117228 0.293299
a_neg Cdl_neg 0.120953 0.306825
a_neg Cdl_pos 0.135046 0.302167
a_neg cs_max_neg 0.138209 0.302973
a_neg cs_max_pos 0.138209 0.302973
a_neg c0 0.128973 0.301901
a_neg D 0.141003 0.303724
a_neg Ds_neg 0.109096 0.304945
a_neg Ds_pos 0.190925 0.330222
a_neg d2Udcp2_pos_sgn 0.247385 0.331672
a_neg d2Udcp2_neg_sgn 0.076823 0.291172
a_neg d3Udcp3_pos_sgn 0.089560 0.313749
a_neg d3Udcp3_neg_sgn 0.139106 0.302916
a_neg dUdcp_pos_mag 0.062160 0.320274
a_neg dUdcp_neg_mag 0.121873 0.294962
a_neg d2Udcp2_pos_mag 0.012739 0.342480
a_neg d2Udcp2_neg_mag 0.153081 0.308236
a_neg d3Udcp3_pos_mag 0.111153 0.306275
a_neg d3Udcp3_neg_mag 0.131303 0.303409
a_neg i0_neg 0.237355 0.327558
a_neg i0_pos 0.230682 0.336711
a_neg SOC_neg 0.138209 0.302973
a_neg SOC_pos 0.138209 0.302973
a_neg tP 0.141575 0.303674
a_neg aa_neg 0.236454 0.328466
a_neg aa_pos 0.097787 0.288912
a_neg kappa_0 0.216127 0.349831
a_neg sigma_neg 0.138221 0.302972
a_neg sigma_pos 0.138362 0.302929
a_pos l_neg -0.181141 0.195752
a_pos l_sep -0.189422 0.192548
a_pos l_pos -0.197562 0.188888
a_pos Rp_neg -0.227007 0.197273
a_pos Rp_pos -0.242639 0.206554
a_pos epsilon_f_neg -0.197599 0.188893
a_pos epsilon_f_pos -0.197623 0.188896
a_pos epsilon_neg -0.089194 0.141327
a_pos epsilon_sep -0.197599 0.188893
a_pos epsilon_pos -0.079404 0.142208
a_pos Cdl_neg -0.194195 0.188800
a_pos Cdl_pos -0.205702 0.185637
a_pos cs_max_neg -0.197599 0.188893
a_pos cs_max_pos -0.197599 0.188893
