Parameter S1 S1_conf ST ST_conf
a_neg -0.004141 0.183394 0.257818 0.104629
a_pos -0.011006 0.116945 0.136335 0.091642
l_neg -0.061719 0.112602 0.100835 0.090752
l_sep -0.147111 0.101938 0.113092 0.075324
l_pos 0.001115 0.001096 0.000008 0.000007
Rp_neg -0.129264 0.163774 0.255942 0.121169
Rp_pos 0.039751 0.118997 0.131600 0.081838
epsilon_f_neg -0.000002 0.000007 0.000000 0.000000
epsilon_f_pos -0.000031 0.000039 0.000000 0.000000
epsilon_neg -0.255602 0.243599 0.257712 0.115407
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.501027 0.232876 0.326885 0.129650
Cdl_neg 0.044440 0.136521 0.122127 0.088957
Cdl_pos 0.080713 0.142760 0.183110 0.108150
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.061689 0.126943 0.134214 0.086185
D -0.053432 0.059486 0.064019 0.050683
Ds_neg -0.114461 0.206179 0.423102 0.119662
Ds_pos 0.139937 0.193062 0.237539 0.085419
d2Udcp2_pos_sgn 0.009267 0.087014 0.120921 0.088541
d2Udcp2_neg_sgn -0.036901 0.112845 0.086520 0.068094
d3Udcp3_pos_sgn 0.027442 0.066800 0.019769 0.013709
d3Udcp3_neg_sgn 0.000824 0.002094 0.000019 0.000013
dUdcp_pos_mag 0.155105 0.136354 0.095421 0.043651
dUdcp_neg_mag -0.099513 0.156350 0.112900 0.054033
d2Udcp2_pos_mag -0.018656 0.286585 0.395269 0.137752
d2Udcp2_neg_mag -0.208334 0.151540 0.230814 0.079529
d3Udcp3_pos_mag -0.004667 0.036902 0.011701 0.009337
d3Udcp3_neg_mag 0.133232 0.061863 0.021684 0.010915
i0_neg -0.132454 0.168317 0.298554 0.129925
i0_pos 0.406750 0.298056 0.646915 0.235301
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.043184 0.120275 0.132859 0.073365
aa_neg 0.093256 0.225342 0.338030 0.117636
aa_pos 0.017852 0.128581 0.137770 0.069992
kappa_0 0.043006 0.088791 0.110367 0.069162
sigma_neg 0.000074 0.000205 0.000000 0.000000
sigma_pos -0.000234 0.000412 0.000001 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.128075 0.323206
a_neg l_neg 0.014975 0.289227
a_neg l_sep 0.008609 0.287974
a_neg l_pos 0.008733 0.288190
a_neg Rp_neg -0.016442 0.288416
a_neg Rp_pos -0.043282 0.300254
a_neg epsilon_f_neg 0.008664 0.288212
a_neg epsilon_f_pos 0.008670 0.288212
a_neg epsilon_neg 0.118221 0.321599
a_neg epsilon_sep 0.008664 0.288212
a_neg epsilon_pos -0.014617 0.274730
a_neg Cdl_neg -0.020544 0.296607
a_neg Cdl_pos -0.000619 0.286300
a_neg cs_max_neg 0.008664 0.288212
a_neg cs_max_pos 0.008664 0.288212
a_neg c0 0.004410 0.289101
a_neg D 0.009872 0.290177
a_neg Ds_neg 0.044161 0.297191
a_neg Ds_pos 0.037981 0.314537
a_neg d2Udcp2_pos_sgn 0.130269 0.325022
a_neg d2Udcp2_neg_sgn -0.044874 0.274987
a_neg d3Udcp3_pos_sgn -0.037149 0.296707
a_neg d3Udcp3_neg_sgn 0.009376 0.288073
a_neg dUdcp_pos_mag -0.084502 0.312163
a_neg dUdcp_neg_mag -0.042198 0.288767
a_neg d2Udcp2_pos_mag -0.129761 0.330425
a_neg d2Udcp2_neg_mag 0.035912 0.293907
a_neg d3Udcp3_pos_mag -0.013763 0.290427
a_neg d3Udcp3_neg_mag -0.008366 0.290257
a_neg i0_neg 0.121925 0.324212
a_neg i0_pos 0.086691 0.337342
a_neg SOC_neg 0.008664 0.288212
a_neg SOC_pos 0.008664 0.288212
a_neg tP 0.017981 0.293291
a_neg aa_neg 0.064496 0.318509
a_neg aa_pos -0.044872 0.270635
a_neg kappa_0 0.092595 0.346026
a_neg sigma_neg 0.008754 0.288202
a_neg sigma_pos 0.008447 0.288165
a_pos l_neg -0.242895 0.218351
a_pos l_sep -0.245970 0.218121
a_pos l_pos -0.254334 0.214341
a_pos Rp_neg -0.289940 0.226205
a_pos Rp_pos -0.296214 0.233312
a_pos epsilon_f_neg -0.254260 0.214388
a_pos epsilon_f_pos -0.254257 0.214392
a_pos epsilon_neg -0.127878 0.150585
a_pos epsilon_sep -0.254260 0.214388
a_pos epsilon_pos -0.118423 0.154478
a_pos Cdl_neg -0.251178 0.214481
a_pos Cdl_pos -0.262183 0.211008
a_pos cs_max_neg -0.254260 0.214388
a_pos cs_max_pos -0.254260 0.214388
a_pos c0 -0.252566 0.216239
a_pos D -0.254821 0.214562
a_pos Ds_neg -0.232490 0.210012
a_pos Ds_pos -0.229562 0.212566
a_pos d2Udcp2_pos_sgn -0.251526 0.212932
a_pos d2Udcp2_neg_sgn -0.253439 0.214354
a_pos d3Udcp3_pos_sgn -0.256116 0.214330
a_pos d3Udcp3_neg_sgn -0.254267 0.214387
a_pos dUdcp_pos_mag -0.320550 0.242588
a_pos dUdcp_neg_mag -0.290923 0.218492
a_pos d2Udcp2_pos_mag -0.242209 0.244563
a_pos d2Udcp2_neg_mag -0.257881 0.220775
a_pos d3Udcp3_pos_mag -0.253740 0.214180
a_pos d3Udcp3_neg_mag -0.289066 0.223671
a_pos i0_neg -0.268450 0.228112
a_pos i0_pos -0.185898 0.174130
a_pos SOC_neg -0.254260 0.214388
a_pos SOC_pos -0.254260 0.214388
a_pos tP -0.249707 0.215373
a_pos aa_neg -0.348685 0.259112
a_pos aa_pos -0.249042 0.224985
a_pos kappa_0 -0.261253 0.214686
a_pos sigma_neg -0.254260 0.214386
a_pos sigma_pos -0.254404 0.214433
l_neg l_sep 0.062563 0.112600
l_neg l_pos 0.062551 0.112583
l_neg Rp_neg 0.062680 0.112584
l_neg Rp_pos 0.062488 0.112580
l_neg epsilon_f_neg 0.062552 0.112583
l_neg epsilon_f_pos 0.062552 0.112583
l_neg epsilon_neg 0.062517 0.112590
l_neg epsilon_sep 0.062552 0.112583
l_neg epsilon_pos 0.062573 0.112600
l_neg Cdl_neg 0.062551 0.112583
l_neg Cdl_pos 0.062714 0.112555
l_neg cs_max_neg 0.062552 0.112583
l_neg cs_max_pos 0.062552 0.112583
l_neg c0 0.062616 0.112596
l_neg D 0.062556 0.112583
l_neg Ds_neg 0.062851 0.112626
l_neg Ds_pos 0.062521 0.112582
l_neg d2Udcp2_pos_sgn 0.062554 0.112583
l_neg d2Udcp2_neg_sgn 0.062582 0.112584
l_neg d3Udcp3_pos_sgn 0.062557 0.112583
l_neg d3Udcp3_neg_sgn 0.062551 0.112583
l_neg dUdcp_pos_mag 0.062522 0.112591
l_neg dUdcp_neg_mag 0.062881 0.112588
l_neg d2Udcp2_pos_mag 0.062562 0.112584
l_neg d2Udcp2_neg_mag 0.062049 0.112609
l_neg d3Udcp3_pos_mag 0.062558 0.112583
l_neg d3Udcp3_neg_mag 0.062542 0.112587
l_neg i0_neg 0.062571 0.112597
l_neg i0_pos 0.063128 0.112583
l_neg SOC_neg 0.062552 0.112583
l_neg SOC_pos 0.062552 0.112583
l_neg tP 0.062551 0.112591
l_neg aa_neg 0.062706 0.112591
l_neg aa_pos 0.062587 0.112584
l_neg kappa_0 0.062552 0.112582
l_neg sigma_neg 0.062552 0.112583
l_neg sigma_pos 0.062553 0.112583
l_sep l_pos 0.141422 0.102682
l_sep Rp_neg 0.141690 0.102642
l_sep Rp_pos 0.141391 0.102691
l_sep epsilon_f_neg 0.141421 0.102682
l_sep epsilon_f_pos 0.141421 0.102682
l_sep epsilon_neg 0.143646 0.102552
l_sep epsilon_sep 0.141421 0.102682
l_sep epsilon_pos 0.141263 0.102698
l_sep Cdl_neg 0.141871 0.102675
l_sep Cdl_pos 0.141143 0.102679
l_sep cs_max_neg 0.141421 0.102682
l_sep cs_max_pos 0.141421 0.102682
l_sep c0 0.143143 0.102574
l_sep D 0.140818 0.102732
l_sep Ds_neg 0.147758 0.102332
l_sep Ds_pos 0.141231 0.102685
l_sep d2Udcp2_pos_sgn 0.141415 0.102682
l_sep d2Udcp2_neg_sgn 0.141174 0.102682
l_sep d3Udcp3_pos_sgn 0.141514 0.102678
l_sep d3Udcp3_neg_sgn 0.141415 0.102682
l_sep dUdcp_pos_mag 0.141646 0.102660
l_sep dUdcp_neg_mag 0.141176 0.102680
l_sep d2Udcp2_pos_mag 0.141077 0.102701
l_sep d2Udcp2_neg_mag 0.144376 0.102380
l_sep d3Udcp3_pos_mag 0.141456 0.102681
l_sep d3Udcp3_neg_mag 0.141384 0.102680
l_sep i0_neg 0.141483 0.102684
l_sep i0_pos 0.141631 0.102679
l_sep SOC_neg 0.141421 0.102682
l_sep SOC_pos 0.141421 0.102682
l_sep tP 0.140906 0.102703
l_sep aa_neg 0.143087 0.102581
l_sep aa_pos 0.141596 0.102676
l_sep kappa_0 0.141421 0.102682
l_sep sigma_neg 0.141420 0.102682
l_sep sigma_pos 0.141418 0.102682
l_pos Rp_neg -0.001206 0.001609
l_pos Rp_pos -0.001538 0.001579
l_pos epsilon_f_neg -0.001512 0.001545
l_pos epsilon_f_pos -0.001512 0.001545
l_pos epsilon_neg -0.001449 0.001530
