Parameter S1 S1_conf ST ST_conf
a_neg 0.067403 0.173322 0.282448 0.121307
a_pos -0.035366 0.123992 0.138306 0.097336
l_neg -0.061588 0.106791 0.095342 0.085244
l_sep -0.153895 0.109003 0.130950 0.087285
l_pos 0.000553 0.000698 0.000002 0.000001
Rp_neg -0.091708 0.159833 0.198468 0.118800
Rp_pos 0.010928 0.119700 0.097633 0.074448
epsilon_f_neg 0.000018 0.000021 0.000000 0.000000
epsilon_f_pos -0.000090 0.000077 0.000000 0.000000
epsilon_neg -0.275575 0.256277 0.259280 0.124566
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.593251 0.259823 0.377117 0.152079
Cdl_neg 0.046512 0.152590 0.138670 0.096130
Cdl_pos 0.096075 0.142377 0.208010 0.123056
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.042892 0.099952 0.091765 0.075831
D -0.058943 0.065430 0.070170 0.060256
Ds_neg -0.133743 0.189080 0.332231 0.113890
Ds_pos 0.081000 0.149300 0.166457 0.071529
d2Udcp2_pos_sgn 0.000439 0.096206 0.134909 0.101492
d2Udcp2_neg_sgn -0.066840 0.112310 0.056565 0.043866
d3Udcp3_pos_sgn 0.009502 0.014648 0.000807 0.000614
d3Udcp3_neg_sgn 0.002075 0.001894 0.000034 0.000028
dUdcp_pos_mag 0.131794 0.138436 0.101636 0.051689
dUdcp_neg_mag -0.127610 0.176203 0.104396 0.042437
d2Udcp2_pos_mag -0.021008 0.303126 0.397308 0.155163
d2Udcp2_neg_mag -0.250515 0.146124 0.157061 0.052728
d3Udcp3_pos_mag 0.000280 0.010395 0.000582 0.000308
d3Udcp3_neg_mag 0.077895 0.048185 0.009769 0.006648
i0_neg -0.031255 0.173740 0.273198 0.148397
i0_pos 0.344466 0.316912 0.680457 0.262661
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.068591 0.127187 0.139691 0.079487
aa_neg 0.098409 0.211110 0.292017 0.107985
aa_pos 0.064637 0.107454 0.074161 0.034068
kappa_0 0.025581 0.096078 0.118085 0.073338
sigma_neg -0.000216 0.000295 0.000001 0.000001
sigma_pos 0.000614 0.001135 0.000013 0.000013

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.109757 0.321783
a_neg l_neg -0.234461 0.278838
a_neg l_sep -0.240778 0.278454
a_neg l_pos -0.239118 0.278124
a_neg Rp_neg -0.257479 0.279309
a_neg Rp_pos -0.252810 0.281946
a_neg epsilon_f_neg -0.238847 0.278286
a_neg epsilon_f_pos -0.238850 0.278277
a_neg epsilon_neg -0.111766 0.322719
a_neg epsilon_sep -0.238847 0.278286
a_neg epsilon_pos -0.258714 0.265888
a_neg Cdl_neg -0.275958 0.294479
a_neg Cdl_pos -0.252596 0.275085
a_neg cs_max_neg -0.238847 0.278286
a_neg cs_max_pos -0.238847 0.278286
a_neg c0 -0.235625 0.285647
a_neg D -0.242541 0.280988
a_neg Ds_neg -0.180154 0.293625
a_neg Ds_pos -0.225964 0.284563
a_neg d2Udcp2_pos_sgn -0.101713 0.323858
a_neg d2Udcp2_neg_sgn -0.258566 0.277147
a_neg d3Udcp3_pos_sgn -0.249152 0.279967
a_neg d3Udcp3_neg_sgn -0.238553 0.278266
a_neg dUdcp_pos_mag -0.330295 0.294796
a_neg dUdcp_neg_mag -0.281329 0.278514
a_neg d2Udcp2_pos_mag -0.375938 0.319774
a_neg d2Udcp2_neg_mag -0.221176 0.276901
a_neg d3Udcp3_pos_mag -0.242380 0.278800
a_neg d3Udcp3_neg_mag -0.260430 0.283032
a_neg i0_neg -0.080715 0.349740
a_neg i0_pos -0.164089 0.342764
a_neg SOC_neg -0.238847 0.278286
a_neg SOC_pos -0.238847 0.278286
a_neg tP -0.237228 0.289275
a_neg aa_neg -0.170711 0.322978
a_neg aa_pos -0.318809 0.268540
a_neg kappa_0 -0.157804 0.331373
a_neg sigma_neg -0.238772 0.278275
a_neg sigma_pos -0.239207 0.278281
a_pos l_neg -0.301846 0.220017
a_pos l_sep -0.306284 0.220800
a_pos l_pos -0.307409 0.219251
a_pos Rp_neg -0.325398 0.221847
a_pos Rp_pos -0.333407 0.229793
a_pos epsilon_f_neg -0.307398 0.219256
a_pos epsilon_f_pos -0.307382 0.219255
a_pos epsilon_neg -0.150031 0.157367
a_pos epsilon_sep -0.307398 0.219256
a_pos epsilon_pos -0.151157 0.160602
a_pos Cdl_neg -0.303328 0.219388
a_pos Cdl_pos -0.309903 0.217975
a_pos cs_max_neg -0.307398 0.219256
a_pos cs_max_pos -0.307398 0.219256
a_pos c0 -0.310831 0.221151
a_pos D -0.312728 0.220468
a_pos Ds_neg -0.249993 0.198213
a_pos Ds_pos -0.274924 0.215770
a_pos d2Udcp2_pos_sgn -0.306240 0.218696
a_pos d2Udcp2_neg_sgn -0.308466 0.219800
a_pos d3Udcp3_pos_sgn -0.307741 0.219247
a_pos d3Udcp3_neg_sgn -0.307351 0.219261
a_pos dUdcp_pos_mag -0.373730 0.240445
a_pos dUdcp_neg_mag -0.323800 0.212287
a_pos d2Udcp2_pos_mag -0.291984 0.225117
a_pos d2Udcp2_neg_mag -0.271283 0.203138
a_pos d3Udcp3_pos_mag -0.305903 0.218866
a_pos d3Udcp3_neg_mag -0.336828 0.226674
a_pos i0_neg -0.326971 0.223863
a_pos i0_pos -0.212457 0.171831
a_pos SOC_neg -0.307398 0.219256
a_pos SOC_pos -0.307398 0.219256
a_pos tP -0.303161 0.219123
a_pos aa_neg -0.396942 0.257316
a_pos aa_pos -0.331324 0.226321
a_pos kappa_0 -0.314042 0.220738
a_pos sigma_neg -0.307403 0.219256
a_pos sigma_pos -0.307668 0.219320
l_neg l_sep 0.062256 0.106822
l_neg l_pos 0.062236 0.106800
l_neg Rp_neg 0.062423 0.106805
l_neg Rp_pos 0.062237 0.106800
l_neg epsilon_f_neg 0.062236 0.106800
l_neg epsilon_f_pos 0.062236 0.106800
l_neg epsilon_neg 0.062230 0.106805
l_neg epsilon_sep 0.062236 0.106800
l_neg epsilon_pos 0.062241 0.106822
l_neg Cdl_neg 0.062236 0.106800
l_neg Cdl_pos 0.062301 0.106778
l_neg cs_max_neg 0.062236 0.106800
l_neg cs_max_pos 0.062236 0.106800
l_neg c0 0.062276 0.106813
l_neg D 0.062270 0.106802
l_neg Ds_neg 0.061545 0.106782
l_neg Ds_pos 0.062317 0.106801
l_neg d2Udcp2_pos_sgn 0.062237 0.106800
l_neg d2Udcp2_neg_sgn 0.062251 0.106800
l_neg d3Udcp3_pos_sgn 0.062238 0.106800
l_neg d3Udcp3_neg_sgn 0.062236 0.106800
l_neg dUdcp_pos_mag 0.062224 0.106800
l_neg dUdcp_neg_mag 0.062303 0.106801
l_neg d2Udcp2_pos_mag 0.062314 0.106801
l_neg d2Udcp2_neg_mag 0.061782 0.106784
