Parameter S1 S1_conf ST ST_conf
a_neg 0.015336 0.165559 0.278293 0.118004
a_pos -0.051966 0.124564 0.141201 0.096578
l_neg -0.054120 0.094457 0.091258 0.081398
l_sep -0.140800 0.106279 0.139654 0.094102
l_pos 0.000187 0.000819 0.000005 0.000004
Rp_neg -0.083850 0.138251 0.147700 0.100830
Rp_pos 0.021341 0.121841 0.088634 0.078132
epsilon_f_neg 0.000005 0.000005 0.000000 0.000000
epsilon_f_pos -0.000120 0.000149 0.000000 0.000000
epsilon_neg -0.255078 0.221785 0.205164 0.108236
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.614330 0.237942 0.364800 0.146781
Cdl_neg 0.039839 0.152015 0.142285 0.099851
Cdl_pos 0.089475 0.142849 0.215490 0.132153
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.054399 0.092984 0.087642 0.080392
D -0.050525 0.077343 0.074378 0.067701
Ds_neg -0.099701 0.165458 0.235814 0.098468
Ds_pos 0.075498 0.136203 0.130359 0.065261
d2Udcp2_pos_sgn -0.004057 0.097199 0.133698 0.097938
d2Udcp2_neg_sgn -0.058327 0.099469 0.032192 0.024322
d3Udcp3_pos_sgn -0.000718 0.002156 0.000042 0.000035
d3Udcp3_neg_sgn 0.001408 0.001544 0.000023 0.000022
dUdcp_pos_mag 0.105833 0.138510 0.097720 0.054700
dUdcp_neg_mag -0.170460 0.148078 0.078425 0.031673
d2Udcp2_pos_mag -0.095176 0.283917 0.359013 0.162623
d2Udcp2_neg_mag -0.185529 0.120351 0.083893 0.035608
d3Udcp3_pos_mag -0.007710 0.010170 0.000630 0.000470
d3Udcp3_neg_mag -0.010659 0.036064 0.003050 0.002421
i0_neg -0.013172 0.172732 0.287951 0.162114
i0_pos 0.254601 0.303335 0.654140 0.254639
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.055145 0.116933 0.145543 0.096059
aa_neg 0.047202 0.166405 0.224780 0.093578
aa_pos 0.109035 0.126513 0.088496 0.043165
kappa_0 0.001915 0.094763 0.111592 0.079982
sigma_neg 0.000157 0.000190 0.000000 0.000000
sigma_pos -0.000830 0.000813 0.000003 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.053431 0.305106
a_neg l_neg -0.196362 0.257083
a_neg l_sep -0.204652 0.258066
a_neg l_pos -0.198734 0.256549
a_neg Rp_neg -0.215237 0.259553
a_neg Rp_pos -0.213148 0.262630
a_neg epsilon_f_neg -0.198046 0.256870
a_neg epsilon_f_pos -0.198105 0.256864
a_neg epsilon_neg -0.061951 0.300073
a_neg epsilon_sep -0.198047 0.256870
a_neg epsilon_pos -0.214955 0.246255
a_neg Cdl_neg -0.234556 0.270682
a_neg Cdl_pos -0.207468 0.254507
a_neg cs_max_neg -0.198047 0.256870
a_neg cs_max_pos -0.198047 0.256870
a_neg c0 -0.192427 0.266288
a_neg D -0.207789 0.261618
a_neg Ds_neg -0.122784 0.277434
a_neg Ds_pos -0.194908 0.259036
a_neg d2Udcp2_pos_sgn -0.057543 0.303260
a_neg d2Udcp2_neg_sgn -0.206307 0.256431
a_neg d3Udcp3_pos_sgn -0.198713 0.256909
a_neg d3Udcp3_neg_sgn -0.197990 0.256873
a_neg dUdcp_pos_mag -0.310213 0.277824
a_neg dUdcp_neg_mag -0.239053 0.257482
a_neg d2Udcp2_pos_mag -0.286161 0.277995
a_neg d2Udcp2_neg_mag -0.203984 0.254531
a_neg d3Udcp3_pos_mag -0.192554 0.255656
a_neg d3Udcp3_neg_mag -0.200005 0.258900
a_neg i0_neg -0.020602 0.342115
a_neg i0_pos -0.102441 0.318875
a_neg SOC_neg -0.198047 0.256870
a_neg SOC_pos -0.198047 0.256870
a_neg tP -0.194497 0.268644
a_neg aa_neg -0.129735 0.285793
a_neg aa_pos -0.244493 0.246430
a_neg kappa_0 -0.130732 0.300845
a_neg sigma_neg -0.198056 0.256872
a_neg sigma_pos -0.198517 0.256839
a_pos l_neg -0.284168 0.201501
a_pos l_sep -0.291597 0.202944
a_pos l_pos -0.286326 0.201310
a_pos Rp_neg -0.294808 0.207977
a_pos Rp_pos -0.298625 0.205001
a_pos epsilon_f_neg -0.286300 0.201306
a_pos epsilon_f_pos -0.286286 0.201303
a_pos epsilon_neg -0.140067 0.142700
a_pos epsilon_sep -0.286300 0.201306
a_pos epsilon_pos -0.146192 0.142741
a_pos Cdl_neg -0.279527 0.201718
a_pos Cdl_pos -0.287127 0.200919
a_pos cs_max_neg -0.286300 0.201306
